,CNS_neurons,Cardiocytes,Endothelium,Epithelial_cells,Extraembryonic_visceral_endoderm,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Primitive_erythroid,Primordial_germ_cells
CNS_neurons,0.0006537928916043764,0.019496756410919268,0.048901525295301625,0.07472152576364029,0.004765493054341282,0.017416818924014477,0.0001053303288338249,0.004632051766574594,0.00013486795745326735,0.39338482134129954,0.00034721598235375363,0.021277504675366002,0.00038969956881319465,0.40097356506645787,0.002183964582665832,0.010362224986124026,0.00025284140423676647
Cardiocytes,8.280029610033073e-05,0.6425233539144493,0.020695202175241074,0.030962874372260595,0.0018061544624577953,0.005137352772255836,8.128066154867204e-05,0.0016949544399827861,5.3794973634446667e-05,0.1606514765851306,0.00013399882628856405,0.008106999348962338,0.0001035100416912589,0.12204954492085733,0.000776828259574257,0.00504037136674734,9.950258281749778e-05
Definitive_erythroid,0.00018139393794316068,0.01815480852108204,0.05390161431553115,0.07409605830851719,0.0058831314052234405,0.01125739283276107,6.194648927701827e-05,0.0041388821054433415,0.00012442752858653108,0.41414062502893273,0.00011558812810772535,0.020637019638509942,0.0003669244031427295,0.3788128938871051,0.001439461775889619,0.016411665166814807,0.00027616652713241107
Endothelium,0.0001433581370469618,0.014186894756879101,0.3466785011683074,0.07162987559861093,0.005655306951060783,0.011943857384029036,0.0004331183226112789,0.004090342738653583,0.0002942200566176224,0.28790131689723497,0.00020840688722092694,0.020324919710562366,0.00021138927319271244,0.2155341541822418,0.0016202127131732839,0.018861601442621743,0.0002825237799354677
Epithelial_cells,0.0002470524677722051,0.014951937276323744,0.04997413480998894,0.1686225663817223,0.004468260354244685,0.020829729527025897,0.0003616295802730521,0.006075277320364764,0.0001381331684533205,0.36397149519498345,0.0003478346570467395,0.026948505195234836,0.00030393226076451434,0.32742461286223545,0.0020790996756322104,0.012929411250521713,0.00032638801741216285
Extraembryonic_visceral_endoderm,0.00020606640178950198,0.014770101141453985,0.05463683722427255,0.07228187626721957,0.26206872429495465,0.016913179671078738,0.001227568279283142,0.0031706933612467743,0.0001072512627890972,0.29505247510758453,0.00018471169856431368,0.0164446554881236,0.00022399264460949277,0.24651270143633852,0.0016352271546368493,0.014297243514466181,0.0002666950515884943
Gut,0.00041257134535209336,0.01615286042558704,0.0528901833545789,0.11222934408000379,0.009554601343623818,0.07084269818419206,0.0019285864819264436,0.0052699568611949445,0.00016861710484035846,0.37402532441026753,0.0002709348329466165,0.02238309058984625,0.00030370403234634746,0.315604928402071,0.0030117072990432747,0.014619427401360002,0.00033146385081947476
Intermediate_mesoderm_and_kidney,0.0003147933554168264,0.013952970933180313,0.04789346976111441,0.09742122442634403,0.0029392688040659003,0.01810338590000384,0.00025821885421234447,0.03488393235027757,0.0001403886897055801,0.42156810862810684,0.0004758277064538046,0.03408064797855575,0.00029806336721105187,0.31361542114942187,0.0020220231420021275,0.01179305686503867,0.000239198088889068
Mesoderm,0.0002850326198019967,0.018220313342770276,0.04923226936524427,0.08867165826401993,0.004050420179841806,0.018324159548307524,0.0005279911653500016,0.005964955606241898,0.00019470802650690882,0.4669818278646786,0.00037846899504438095,0.027748133782933677,0.0002971135922537436,0.302457251781412,0.0019276780194101204,0.01446691990934111,0.0002710979368417467
Neural_crest_PNS_glia,0.0017406997078413433,0.011864810892133136,0.04686134566610855,0.08915541848266806,0.003123597165620309,0.012897559126504322,0.0002243361759369081,0.006187565939196455,0.00018339750665582812,0.36772321756278276,0.00027462187483484553,0.0949648819013086,0.00024191410329987733,0.3479570363383411,0.0015888310347851467,0.014734677610401942,0.0002760889115808345
Neural_crest_PNS_neurons,0.00018186933449965657,0.017611170893761758,0.05191653057490476,0.07507884058402481,0.005650418105793172,0.011002613672720355,6.376302445567874e-05,0.004134070759630878,0.00012335449486131707,0.4143814014653319,0.00012385694341046923,0.020571089243219997,0.00036334803737125934,0.3826621030228187,0.0014209300849379047,0.014441632313448905,0.00027300744480849263
Neuroectoderm_and_glia,0.0007138520062903865,0.012767041409745838,0.04193472084998807,0.08304460268303299,0.0035063702520189296,0.014359576274707362,0.00018829539766981667,0.004824889247019836,0.00012524502327305325,0.35233807592905075,0.00028996229793613843,0.028304486690511308,0.00024803097618129486,0.44371242913546444,0.001887607476252459,0.011499051096789698,0.00025576325406766165
Notochord,0.00032853757798829145,0.015380841984714887,0.04438728554604288,0.09712506278133275,0.0043174555449568205,0.048165516019819665,0.00023333359157259623,0.005163091802855066,7.519489885330334e-05,0.30478963859966446,0.0004678394563553933,0.01695154268364424,0.0002111952240760423,0.2756182307987478,0.176065359028886,0.010477103500595185,0.0002427709598946101
Primitive_erythroid,0.00020145735451472814,0.017327068968183743,0.0564190033513126,0.07491623807067282,0.00586321953616962,0.013428387180736768,0.0002222272870482844,0.0036983170634072083,0.00020411383554909147,0.3359444491584926,0.00018109934301539622,0.02085495960084384,0.0002543397818361007,0.3037058190771995,0.002030380154453716,0.16440943170433409,0.0003394885322299112
Primordial_germ_cells,0.0001973449788063706,0.015777596132387352,0.07354390989977858,0.11142320744641435,0.006370817164917185,0.02072144962448678,0.0005865432034076058,0.004712280122308836,0.00014210567299882167,0.3638657215907191,0.0001964837527642232,0.028318410296709652,0.00034413840601193004,0.33894612104644084,0.0024614638020605236,0.031912566831607626,0.00047984002818016945
White_blood_cells,0.00016658266301530571,0.022739116844186235,0.13375946220024812,0.08229235899102981,0.040592947836432566,0.03365013582530322,0.0006580477023215412,0.003373280932617648,9.767353431570377e-05,0.3072861877600086,0.00015080563737350026,0.01805054679940473,0.00032769645462290295,0.24434328364858995,0.002015677181362022,0.11019777708432274,0.0002984189048453985
