,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Epithelial_cells,Extraembryonic_visceral_endoderm,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Primitive_erythroid,Primordial_germ_cells,T_cells,White_blood_cells
CNS_neurons,0.8730051759359281,4.684025308107666e-06,7.52356553621133e-07,0.00018307587727904592,0.0007975878219643156,5.993752195207839e-06,0.00020969393394467382,2.057590480233405e-06,5.794089285286857e-05,5.783956787124415e-06,0.006075324244193589,1.0110643005644614e-05,0.002106967063823786,0.006214988165784556,0.11108254935696311,7.029385584649238e-06,0.0002276134526682036,9.794024038566606e-07,2.532064410891646e-07,1.4389358382813304e-06
Cardiocytes,0.00022718124708172516,0.6180576649670966,2.3925222557349312e-05,0.006325322314503335,0.021205248382291614,0.0002281699479482489,0.003243979129608578,0.00023644079165701013,0.0022174943863717336,0.000976060955388384,0.26409139657327263,0.007563279234413933,0.0029057348468561226,0.00024885235411777816,0.05920753422889997,0.00018734458970781572,0.012955677014397064,5.583452875581909e-05,1.323991212078864e-05,2.9619372953561912e-05
Definitive_erythroid,0.0019290599240320738,0.0014545432560737757,0.0039850968379276965,0.06828031924414037,0.06925604731276445,0.0030446773048007922,0.012081973671364214,0.000353766180901233,0.005280170306126873,0.007585042417872326,0.357162607113065,0.0004469238492195949,0.006680674150021481,0.0006820370561971187,0.18400467076704183,0.002240774298998223,0.2739752327517097,0.0005339042584143039,0.00037375675872031595,0.0006487225406086133
Endothelium,0.00032429422152763443,0.00018209222879491657,5.4837520364203574e-05,0.7349409860686059,0.024033618535229943,0.0007396815164857227,0.004705233755280766,0.0034207130779862166,0.0017530073899395737,0.0028591364779945146,0.15066029950710857,8.336378685679624e-05,0.006096251174773943,0.0002083261174050087,0.039537569795384454,0.00024119982701615303,0.029680473481362123,3.499715793855109e-05,4.658265860168315e-05,0.00039733570134330533
Epithelial_cells,0.0013948824448689861,0.00015055254489245207,2.291299081091359e-05,0.008383414915209188,0.6302982024265263,0.0005513579923281376,0.009252409582774034,0.00042384381935636523,0.0036223329734191923,0.000680842669074594,0.19281573418116893,0.00023932450246225812,0.013466849691138684,0.0021221244737176835,0.11768056180762891,0.000539299927165569,0.018260358186699868,3.8898310145158124e-05,1.5592999733577822e-05,4.050356087916206e-05
Extraembryonic_visceral_endoderm,0.0004320103309378797,0.0002847341227644544,9.377688512007542e-05,0.018300464306901677,0.11308515773729809,0.24655559564822987,0.11862865790113541,0.05400100702281249,0.0009610521337559304,0.004854238107884339,0.20405396741168563,8.065129774082793e-05,0.011609001972139769,0.00024048202521041774,0.05008454601706481,0.0003466274925305375,0.175817474051261,0.00022617386916869668,0.00019806873676144396,0.00014631292959664798
Eye_and_other,0.009802835508521065,0.0005818093489812274,6.326788257744743e-05,0.022833918023020212,0.05140412344551397,0.0005473922085236114,0.007007211100114334,0.0002292071472154345,0.0030318098971208783,0.0006123428744948196,0.30883847139316367,0.000282144829410114,0.01338970688056513,0.0009641557222100144,0.5581372700191782,0.0006888328594253056,0.02139489060597745,5.051407902318506e-05,9.326588490420247e-06,0.00013076958647347954
Gut,0.021543254296462252,9.76043266907166e-05,2.2332859872847773e-05,0.006133865343162481,0.18983583955658984,0.0011218043104046153,0.2731092771435264,0.014161387877462982,0.02390379185926829,0.001021326948262594,0.2965533626086594,0.00019488458224102112,0.0170481813492111,0.004569973631282418,0.12518059754512847,0.0011625471104330482,0.024160535132060026,0.00012816974313129348,2.2183344406253392e-05,2.9080431744020414e-05
Hepatocytes,0.0010196736064389043,0.00022836204524455064,4.912801290409434e-05,0.011488344906675508,0.05963417977327522,0.0054818864173974075,0.33666629982340884,0.1619037610975498,0.0007218518534042696,0.000283657850745816,0.24769912975217157,9.627930828925295e-05,0.06236392708817429,0.00016910662014173514,0.10166330153283118,0.0003108882081366508,0.010028582521889979,0.00010697316103732544,2.3008554126063093e-05,6.165786615751951e-05
Intermediate_mesoderm_and_kidney,0.0008832831731762766,9.169654713176062e-05,2.5147041785851118e-05,0.006817892375320785,0.10471545468474545,0.00011151614570745293,0.004700666097602223,9.454613215685379e-05,0.4475221745430089,0.00018750495601866342,0.29976289215143403,0.0002040498281076259,0.042253969338924995,0.0017372189762656055,0.08576302617999919,0.00024137719168685574,0.004834421243210409,2.5766211201099094e-05,7.588094060609686e-06,1.980908845535664e-05
Megakaryocytes,0.0004380396951614436,0.00021732801288881705,0.003292827252659869,0.009590887031614995,0.012822285647010203,0.00024072631281461213,0.0023008781843542334,8.681483786027339e-05,0.0012236864452107507,0.026471066024971304,0.19123954207646793,3.965547333033185e-05,0.002236402259762997,0.0005520710006725528,0.049644784623370894,0.00013546173547749395,0.6992928666094479,3.402853900384747e-05,4.155192613100425e-05,9.909631178857623e-05
Mesoderm,0.00115304952424011,0.00029285100784591885,4.040923564518568e-05,0.011192050954986897,0.04154101803794914,0.0004412596615272507,0.005987257366568098,0.0005080389601885595,0.004448829665468555,0.00037539547469888273,0.7845272613563037,0.0008495949712599962,0.021866983135847604,0.0019048077104363984,0.10733223294130086,0.0006125073447260419,0.01681948063284979,3.443787482151311e-05,1.71884893440732e-05,5.534565399147348e-05
Muscle_cells,8.624133047033867e-06,2.635924638228873e-19,3.94798016272265e-29,1.319720469919012e-15,3.7991598521686873e-07,5.722074131238107e-22,1.0013474311904654e-10,1.454900770766544e-20,1.307210390986704e-09,3.71900669059002e-21,0.004380893692429238,0.9956002374415707,5.4789656405726366e-11,9.863034849484416e-06,3.1998208168587415e-10,2.1357334251456046e-17,1.2526095607265962e-20,2.5118666202289936e-25,5.454519834186997e-28,1.3590911052106992e-26
Neural_crest_PNS_glia,0.00404545527909841,7.510931807324881e-05,1.4519389980087146e-05,0.005095180159573598,0.019727042082419967,0.00012601872819339915,0.0017375634173021342,0.00028633649544221215,0.0016057603173170395,0.00019524281514980127,0.35704452048363267,6.399677703544811e-05,0.47672045563287224,0.004365274247419218,0.12007542783305171,0.00011821356102367951,0.00865499215647817,1.445206463431894e-05,8.968254468308812e-06,2.5470986834339836e-05
Neural_crest_PNS_neurons,0.12111450220028128,0.0005925268529870915,3.009187700880885e-05,0.017523407489030956,0.08724228997466292,0.0005703383236850825,0.0069689621259296335,0.0002802240422986685,0.006161340544400836,0.0004083846036093099,0.3016916161109757,0.0010984122941973314,0.019635772056125378,0.19639533854572652,0.2219928235332414,0.0003571486738313091,0.01777068110314728,5.349365597008729e-05,7.791831823922889e-06,0.00010485416106644283
Neuroectoderm_and_glia,0.004289970164847769,0.0001846515180103453,2.9197480427089548e-05,0.007705669665611404,0.031945656220158214,0.00026148283460879874,0.004142783483018395,0.00016510932951253543,0.0016926476559450364,0.0002893629065349452,0.16206146388646622,0.00011161690514343114,0.01267223867979796,0.0006249562571132642,0.7593449768405518,0.0004781274941822772,0.01390594396972312,2.9016370932472473e-05,1.2536356434764348e-05,5.259198098016305e-05
Notochord,0.0023631759196622503,3.9013329112864356e-05,2.037379129632974e-05,0.00396854030133262,0.13287695312360728,8.406828558761598e-05,0.012338856302904178,4.0072526568418594e-05,0.0016079943200216994,0.0002646228928249358,0.1226100910325006,8.425369152656452e-05,0.002089626708037982,0.00014186731012435006,0.23562906523500002,0.4721357193959303,0.01363060807407005,2.9074069755272088e-05,2.1042384451672143e-05,2.4981305684958503e-05
Primitive_erythroid,4.717199393194667e-06,7.722995467583864e-06,2.7028145371105788e-06,0.0003203995908741911,0.0003556594025090261,1.2531506302512015e-05,4.020840828944522e-05,1.4180553760078322e-06,1.9359851912713156e-05,1.9497385690467072e-05,0.0023012659992143083,1.229359342157635e-06,3.715066551984248e-05,3.6441739922610635e-06,0.0011796102842812958,4.109118560394473e-06,0.9956832324321241,6.0072091804758e-07,1.1353677334401633e-06,3.804667961916827e-06
Primordial_germ_cells,0.004752560801749225,0.0005690114096645804,0.000754075344396266,0.03264716089506444,0.11822824884305333,0.0018128958679180184,0.03339710285500539,0.0003094844471593364,0.005631260443606137,0.002526022644291671,0.2713670594196501,0.00023240578522726543,0.010004704482697059,0.0012585600656353395,0.1215776500993135,0.0011711230733403753,0.3933528597989535,0.0001656720076876158,6.639282614554158e-05,0.00017574888944131388
White_blood_cells,0.001447748993106643,2.8117832860443846e-09,4.310100774984541e-09,0.039526138951832414,0.008229847169618797,5.015197593236771e-05,0.0006893314507880491,2.6987160138761187e-05,0.0005679764507066208,0.012491120182627906,0.091297359422791,4.732936272789163e-05,0.004012029202826534,2.530301967447481e-05,0.01824587606491393,8.924277175009539e-05,0.8232531651094537,8.570173123493381e-09,3.243185103521559e-07,5.270054325940327e-08
