,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Epithelial_cells,Extraembryonic_visceral_endoderm,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Primitive_erythroid,Primordial_germ_cells,T_cells,White_blood_cells
CNS_neurons,0.7873149982668113,0.0002911031502500654,0.00018873877427426456,0.0002864589069317856,0.0010461443073658744,4.25514624111233e-05,0.0004755456029152676,0.0002988802169022608,0.00022984602471532884,0.0002521972987905021,0.003788821749472307,5.7142044375206874e-05,0.006453802215948729,0.15769979398412987,0.03953963527262003,3.5466601198890064e-05,0.00019939426770173497,0.0008427296223424485,1.2066632307860238e-06,0.0009555435676122496
Cardiocytes,7.442292318826327e-06,0.9860063721215618,0.00010576580022981152,0.0006068248142211988,0.0006674245767369823,1.9812341493177265e-05,7.979747113184862e-05,0.0017687008823323912,0.000985579441749198,0.00012291439546946908,0.0017862159166227682,7.950371525919963e-06,0.0027582242423264194,0.00012370932293700085,0.004146340739322997,8.856405593914938e-06,0.00011886463386997773,0.00016049163127369789,9.249001143637322e-07,0.0005177876991681987
Definitive_erythroid,0.0023150166364671967,0.028746680545786347,0.30185177143015546,0.029663593673857173,0.027218899918278788,0.007602913574554715,0.01630201148626266,0.014399476908952463,0.006149903246697382,0.09293287752570287,0.06926883578296235,0.0007146986133320702,0.007448274915612423,0.01620013970039075,0.05045586694164801,0.0034590562843897226,0.06420583857250811,0.14210334053363002,0.00048561547211310464,0.11847518823669839
Endothelium,0.0005412179446876271,0.009169049057869649,0.006292143491334382,0.6728555190880701,0.014735403593408308,0.005986509981810681,0.008434614635088194,0.05959293664309423,0.00334717268382973,0.029648222264900017,0.03995705176671556,0.0002952749329636314,0.009049990649109317,0.00848323060213788,0.01910842477725426,0.0007114915834531019,0.010422549569871126,0.01160922582816579,0.00010144725991183634,0.08965852364632457
Epithelial_cells,0.002173457653776222,0.012951795764050516,0.0032670599909102012,0.00922693831423129,0.5532996975888926,0.005231141882251582,0.035607034546053594,0.04408856364868555,0.010142874561792761,0.02425887390315322,0.06936549053167045,0.0007962304397101077,0.034031545857388344,0.08678052333393801,0.05266053162914631,0.0031858819524706312,0.007953926451563856,0.016149296431975622,4.5330040752521855e-05,0.02878380547758657
Extraembryonic_visceral_endoderm,0.00037640202488571926,0.005312652887203743,0.0053241975610319545,0.008902986843136855,0.02531064124862752,0.3603483782732959,0.03083458327356975,0.36447647647268544,0.001218112333308448,0.05907454673905197,0.029293894583398917,0.0004396739225003086,0.0029155409720198404,0.005527592343518358,0.01505025464180911,0.0005999213480270946,0.032052268828338205,0.02194321188477183,0.00028551009933261234,0.030713153719486377
Eye_and_other,0.02325225434055372,0.022628922004314864,0.012527409934805472,0.026504734518027765,0.054848704460147654,0.002792102749019491,0.026177445413726835,0.023348011064983507,0.009748410428743099,0.021037841205397458,0.1633412986191576,0.0010370955564576146,0.0409321188725668,0.06514658030648283,0.38732936959317354,0.0030491014461890564,0.01543019431816692,0.03487588463500926,3.604721494460546e-05,0.06595647331813188
Gut,0.009658524690034876,0.007965708088343263,0.0018974435365357494,0.004386730923017968,0.06855717247047316,0.01325721003786674,0.3680177599834035,0.22208535495264403,0.03429071205506199,0.037605553567464464,0.04398727009609766,0.000968416563012538,0.024360496357777588,0.07461933732512656,0.027645310167967233,0.005868703080406575,0.006508561265306902,0.020544268028077874,3.9546408202542525e-05,0.027735920403178772
Hepatocytes,0.00020599184690694482,0.003391841177206442,0.0023890219047252295,0.003436201701034679,0.00489795345299564,0.022797766962318482,0.025838658088265763,0.7177526319969797,0.0005416978357157712,0.0023605120253787654,0.040162440194556934,0.0006435576329452157,0.13240367109916298,0.002320162475029295,0.01192044088422005,0.00031106185482785445,0.0016824625118040284,0.01935332259087716,2.0158264207999143e-05,0.007570445500841055
Intermediate_mesoderm_and_kidney,0.0017256200012780623,0.02083327985546193,0.0034934524309149775,0.006826172090261639,0.04527455177954943,0.0005703330948840246,0.012531998517930739,0.010290773544912509,0.6310127948706528,0.011119157963416042,0.06177486082425717,0.000450354795293573,0.066976956759381,0.06663756791336649,0.02795749519186215,0.00079476646766003,0.0022488268935035916,0.01078269719556458,1.9764129241976952e-05,0.018678575680607327
Megakaryocytes,0.002173944252475393,0.008673177540014735,0.08417938758309111,0.007901546179932672,0.01248550582669425,0.0010193444978262767,0.013255100384639888,0.013538236370696385,0.004890032241421597,0.486806521396494,0.09060575816247092,0.00011873775163163382,0.005478656417318449,0.04881070125756839,0.026417306945642063,0.0004174331449379345,0.1469546613329848,0.012762984029038454,0.00012280627001094821,0.033388158415110135
Mesoderm,0.004036515009216963,0.03481255462549788,0.00603286827258939,0.013228395918980349,0.04908832149707139,0.0032194489528495555,0.030809553259040307,0.09920042727127326,0.020915547330798506,0.016400646375195112,0.3943067480683247,0.0040372921979034354,0.07850284108732902,0.1188169267628668,0.06731699389394567,0.0034284153863018427,0.009232615096424776,0.016202211337388875,5.3922016235499114e-05,0.030357755640766638
Muscle_cells,1.2663426547207721e-08,7.150204508500662e-07,2.2100783025084733e-30,1.0380419620283254e-18,9.00873631969823e-12,6.962690709815116e-23,2.5544014529588924e-14,8.390018371413955e-18,9.821001275411737e-14,1.1354564550377313e-22,4.7427596799104415e-06,0.9999911623677841,3.055427497926682e-13,3.367179206386375e-06,1.4209160419901569e-14,1.6150917688018342e-20,2.2375213376587553e-25,3.406876647533525e-26,6.085570361181869e-31,2.024576043452108e-27
