,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.7594818121401581,0.0038431984213128205,1.8786781461332015e-05,0.0036282752412022073,0.005772749613613352,4.178216066017242e-06,8.791430728975474e-06,0.0007860743461006737,1.8363973731766188e-05,0.0004931550515376577,5.5160258810401143e-05,0.0374713887420734,0.0001310109261239321,0.001192201782227742,0.0588350985520192,0.12802479083368765,6.513687758927672e-05,9.079627053779872e-05,3.5820784676960255e-05,4.3209756340742626e-05
Cardiocytes,0.0005142569305360537,0.892459413106399,1.8018621430697824e-05,0.0030533359800320264,0.0069683866315320446,2.6508385069981045e-06,6.8035384828614645e-06,0.0007848629152378988,3.7490146226066895e-05,0.0003512660065931029,7.405989100722392e-05,0.06981976957422846,0.0025972623848333834,0.0007489955841919504,0.0003322295677312381,0.021960631122842526,8.773455980626452e-05,0.00011987661477105056,8.848718492947874e-06,5.410726711826543e-05
Definitive_erythroid,0.002420763716661452,0.008126818420911354,0.00026858853766022607,0.12182824733777897,0.042442415243608034,8.1757396944893e-05,3.92192561087513e-05,0.008901777597303345,0.00018444481556454485,0.0016288203580977541,0.0017208102408043532,0.6204218265734738,0.0008881216903272406,0.008841453034408187,0.0016829011010248722,0.17476417305642866,0.000511916752505536,0.004724916522602345,0.00014535615563150106,0.00037567219215424094
Endothelium,0.0017013820032777236,0.002083514511660866,7.501127979049122e-05,0.7233037908924369,0.028046183582753594,0.00013542850088354503,2.4643977744053494e-05,0.003186028928626193,0.0005486621943442118,0.002609667568967802,0.0009170256212715002,0.15960642432997132,0.0006747174712141308,0.004135714696325462,0.0013713500120325589,0.06970621436569979,0.0005097810454701377,0.0004623985215465769,7.791003607886832e-05,0.0008241504599042865
Epithelial_cells,0.0029410097386697643,0.0030136091252872875,2.7019975427352984e-05,0.00934129740852383,0.5528040968896702,0.00045585599028149273,3.41148142481308e-05,0.02850009048309785,0.0003297793353375551,0.007021830219763664,0.00020067748282186,0.2319302940715526,0.002057039819556342,0.006578031742374528,0.008822950286423313,0.14368119431825546,0.0019044475094399712,0.0001768104798733235,3.967018599130569e-05,0.00014018012340412584
Extraembryonic_visceral_endoderm,0.002734605594947051,0.03192061549793733,5.5394874587599965e-05,0.04452641149234608,0.14355952813893708,0.04567237025598141,1.2281483020885792e-05,0.10758038070872848,0.13603289291388693,0.009008266818887757,0.0007381373717216494,0.3359254793601634,0.04097329335981595,0.004507221674732594,0.00408252698988017,0.09072602947190116,0.000639994319487692,0.0005578608750229661,0.0001525809456966696,0.0005941278523171083
Gut,0.025832882168609916,0.003441344731439982,4.0562673572048556e-05,0.009582042460198585,0.09340255642275204,0.0011658963897428806,3.6078842538079346e-05,0.2888140292572726,0.02004465234143339,0.01685898873728652,0.00023036317946708052,0.3406010518025332,0.0008439134722145422,0.005847689655619349,0.008020753624700656,0.17974448022195363,0.005063861977078656,0.0002673409084261568,3.570239537765819e-05,0.00012580873778299216
Hepatocytes,0.0022374273607898734,0.0005928146596064376,1.3782906500608044e-05,0.010508257175926362,0.03722821666108877,0.00030581880943633953,1.2323786970099383e-05,0.08322585549104691,0.36975324601441917,0.0029949466974736236,4.530520217297572e-05,0.3829831218648834,0.029566932307012055,0.0034616724545149394,0.0019450285303847215,0.0746618681669049,0.00030647437317247344,0.0001271960267517767,5.271172633922265e-06,2.4440338310637164e-05
Intermediate_mesoderm_and_kidney,0.00508610951312548,0.0010752087702995724,4.3768253863267686e-05,0.0084340022964688,0.08183253565011751,1.2837324006521827e-05,4.350209569548488e-05,0.02149722541127114,0.00012169697596559039,0.34504291451146324,0.00017420493550113374,0.3623735014397586,0.0035557693373187756,0.012189352897582294,0.012781959040362693,0.14450794473437928,0.0008552794470045183,0.00016181473637086845,6.987116656091756e-05,0.00014050146288434388
Megakaryocytes,0.00606048924945607,0.03107562981645729,0.000348705376890051,0.2338534843591029,0.058376813965952706,0.005418491783805167,2.441522079550957e-05,0.011055648804348074,0.00019813444797238153,0.004431452793534816,0.11096659781956975,0.3455652743809993,0.0009467550380191913,0.014128603651361912,0.003697139603502702,0.16223715946397874,0.000983950491648896,0.006145614930420079,0.00012095578653653,0.004364683015647949
Mesoderm,0.003301316022068904,0.004556908849885196,4.109517713979626e-05,0.010043031782918719,0.03350049339628761,2.754728915947283e-05,5.7403701749997026e-05,0.006746887860895081,0.0006153977743751703,0.004720256314230107,0.00022569555412710492,0.7916960910860888,0.0014307806620046356,0.013522533100956047,0.0036097027783062426,0.12501499364125743,0.00042876567348564877,0.0002669016314155827,3.20887673909012e-05,0.00016210893625746424
Muscle_cells,0.0036108698393108544,0.0030361574724812926,2.176648582111234e-05,0.005895955524132415,0.02299721557713572,8.180132994886921e-06,3.303178650966616e-05,0.0022434839741061244,9.603553217486594e-05,0.002511580990157805,0.00011160394847922949,0.22001372164701086,0.6413975486695132,0.0030254044228183135,0.021563090675435763,0.07293728207558503,0.0002986588297720578,0.00013789064992362438,8.312874646433031e-06,5.220889199079484e-05
Neural_crest_PNS_glia,0.003427476051941798,0.001977759021775299,1.5184598509964288e-05,0.004059016390802214,0.019390611703679398,3.7335977627936524e-06,1.9749716386887786e-05,0.0015543721965144025,0.0006408993743859605,0.002251215363351557,0.00010200972264783201,0.39562906315345087,0.0003231584972102845,0.3960445075430829,0.03026634567995606,0.14403068068220315,0.00010264489921940577,7.434734567072571e-05,1.5218562681378368e-05,7.200589876710975e-05
Neural_crest_PNS_neurons,0.1312696244090458,0.0012665226193100038,3.65854081771765e-05,0.005982835098286129,0.030468850751184984,2.406988061644078e-06,3.724861174169975e-05,0.003512203375960707,6.452326032939323e-05,0.0027831780036219056,0.00016549930267497416,0.16894968567073004,0.004077882212398531,0.03618476692567589,0.45557503834865726,0.15899024084674454,0.00022061092953426398,0.00023265135932536228,3.234540554420206e-05,0.00014730047299548607
Neuroectoderm_and_glia,0.013145592191331915,0.0015807026175123013,3.15043351206409e-05,0.004810404419987728,0.02339653859266801,6.6820935825184635e-06,6.954982942295478e-05,0.003565523595003699,8.155460020470739e-05,0.0012907532385074483,0.00014345944210337628,0.12973577829265792,0.0006469046868911233,0.0077400474525117745,0.0018093749242920093,0.8111121711883794,0.0004961115009273965,0.00019266431724212626,2.651765712362383e-05,0.00011816502452935952
Notochord,0.0012524295410445932,0.0005836845288064304,3.0106486068301957e-05,0.006129199081383955,0.027159140969318218,2.187326539508988e-06,8.80623688753436e-06,0.023402617893329293,3.487029555346789e-05,0.0014306391607626127,0.000154110164165902,0.16732270764715929,0.0005108468972836322,0.0012167258936982824,0.00127255157987465,0.14246293688750358,0.6267058755349779,0.00022261452643698165,1.0870900787949465e-05,8.70784484178907e-05
Primitive_erythroid,0.002616231732104661,0.00616827033438116,0.0005397329674838723,0.03303195456220872,0.018123069339624848,0.0010302535707471404,8.276453427095533e-06,0.0024072173400469287,0.00014896782162150609,0.0009017833290378454,0.012647064096723122,0.13309827124926676,0.00023270575348742045,0.003561460094044014,0.0009986309791524194,0.06188241615188039,0.0012600510076312122,0.7166291301918577,0.0006708925776852871,0.0040436204475878664
Primordial_germ_cells,0.006544584503059057,0.0014048848901743666,3.2861991668789467e-05,0.021845803288989447,0.14777894970478708,5.602306965382201e-05,2.6306548861896598e-05,0.026093025143947436,0.00023481539516429295,0.011371852185395668,0.0005611554052149437,0.4165998163092203,0.000871544305188439,0.020232432306249843,0.005045131959865944,0.3323344995929716,0.0034749126420217137,0.0006105979209145804,0.0001798881465106859,0.004700914690140041
