,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.8234523933035399,1.860338625983607e-05,2.7076784394850362e-05,0.0011794910250050594,4.980836700687821e-06,0.00431699435102137,5.21415538212107e-08,1.2680718705370413e-05,0.0014314129604803562,4.5470175609048574e-05,0.00039249992335895607,2.7558568642692786e-14,0.00011882855038659179,0.026205786805734654,9.445693058793114e-05,0.0015039880165939074,0.058844341414408995,0.07964806812429029,1.672489775801983e-05,0.002502881861710831,9.00770897907289e-06,0.00017426008289286738
Cardiocytes,0.012515690480187495,0.5946449185094247,0.0007748324029231376,0.010150257743361027,4.2427128507847456e-05,0.017615318724108,8.227417327951353e-05,2.3763023483766814e-05,0.006612870070731111,0.0003437514034298034,0.0018347199518381953,4.442294417552473e-10,0.005511481448111891,0.23209252024388638,0.03181159573197066,0.0023239884155930707,0.0019529208547282672,0.05276752390848445,0.0001488188172106166,0.02432025655282318,0.00018814979284815034,0.004241920178839267
Definitive_erythroid,0.00417110600221266,0.00024194808614512342,0.0005329022493891536,0.028873359571178737,4.062646409693186e-06,0.02739973718547696,1.4299666900416505e-09,2.409933750118102e-05,0.001981178283956391,0.000708707079177965,0.0017593481913620306,3.9289505028507284e-24,0.005626355721959439,0.2780604937992211,0.0003454460795128604,0.00949866503910432,0.0028689503457791856,0.17763583230872051,0.0001559066574678644,0.45754399557652287,9.994341707004704e-07,0.0025669049747645057
Endothelium,0.002066378853698863,9.464647453911874e-05,0.0004913627995077984,0.7450640459951124,1.728442943087146e-05,0.01827774300292737,8.296193833849121e-06,1.5506381921401945e-05,0.0022343517199826727,0.001074145033703965,0.0022569367570548287,3.490509903774993e-05,0.005384883599318755,0.12828723504885337,0.000533673422439327,0.004233878379660237,0.0019446667566601313,0.04727895343611613,0.00045304592042586753,0.03386916439221708,0.00013725185377619722,0.006241644449782013
Epithelial_cells,0.007035325610663899,8.669893255726561e-05,0.00014300771668854413,0.008470436954650596,5.623181177207478e-05,0.5700948505249035,9.352963826501219e-05,2.514659108266659e-05,0.008483334841590228,0.0014607593868156494,0.006841682683578483,1.4529368625372747e-05,0.0014209277661726201,0.22729742100930303,0.001949135654580424,0.007807770178145565,0.011301113821609424,0.13143490870160002,0.00025231613561751493,0.013540513516039729,0.0005672143572110964,0.0016231447985272879
Extraembryonic_visceral_endoderm,0.0009010951561106849,3.6691004749283776e-05,0.00011316072711286886,0.013599028673934583,1.7860079330723966e-06,0.04996206158194309,0.0007607089217885715,6.707274615838016e-06,0.008002087009995235,0.33830459902030613,0.0016635533928348765,1.5662072890541355e-16,0.0009061702241545336,0.35879956791658746,0.05308607158227337,0.0025292573577201933,0.0007876994664848557,0.04131704065161742,0.000272927385167185,0.12812345478344045,2.9929478316568492e-06,0.000823338913398522
Eye_and_other,0.005198405405012554,0.00014494420095765038,0.00011258913909564742,0.007621608403442424,1.812577765226847e-05,0.04768073016688509,1.111329921862076e-08,8.14830098656125e-05,0.0024981756271730236,0.00043288503281571823,0.003472859149211395,1.0434849968987358e-18,0.0003500559708393579,0.28597160156682616,0.0008671802043745706,0.008919706250867644,0.008064975675189422,0.6156169553186767,8.866893452469053e-05,0.012315436759652335,8.890419532981983e-07,0.0005427132516852026
Gut,0.024694088194553664,5.945290480283193e-05,0.00012745603584480138,0.005679568982682156,1.7876309763110598e-05,0.16348341651948853,0.0005590742334843111,3.2140117035107483e-05,0.2708028593931399,0.02081547564055013,0.0334041569978203,0.0009434975810217865,0.0019222342007617198,0.2940895029354432,0.0012611834505018016,0.007255512261393341,0.011265875311134951,0.14495925919327862,0.0016856268982045797,0.012275121771178205,0.00037831454007580296,0.004288306527841104
Hepatocytes,0.0004497247882369416,1.2193410887715674e-05,4.4479420643626e-05,0.003681683927508468,4.4184850087839695e-07,0.01192026776343485,0.00034208249553116125,1.2579365652509983e-06,0.04094375313702882,0.7012447146634596,0.01995833226031398,9.104281253999587e-11,0.0004350381222151786,0.1629985428375397,0.006552709758252597,0.0013374672324477444,0.0007331360859137249,0.04033821837247765,0.00017231745073618146,0.008383126031403855,2.771352921729685e-06,0.00044774101293746396
Intermediate_mesoderm_and_kidney,0.01519000152079048,5.124429280021008e-05,0.00014854542623118049,0.007208971279939427,2.6315621555719174e-05,0.08203788816298632,8.144080508630019e-07,1.97499975178701e-05,0.01249477635159321,0.000309659283390817,0.2070063493917399,1.0302718995242782e-07,0.0013982171606558636,0.4988729935259811,0.005559858845411236,0.01290148957503193,0.04383541254829441,0.0982713472177955,0.00020404251624110472,0.011439065406505751,0.001087237611105105,0.001935916829192083
