,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.8222943844240201,0.0002457542958411858,0.008533425008990554,0.004591133612918542,5.293410788212273e-06,0.007593103495708717,0.00015068549513816187,0.005192112832603807,0.006322750586609549,6.495367652337921e-05,0.006414095173720034,8.58802990619166e-12,0.00033250062309098127,0.010361294639939244,0.0001628195082303998,0.0023445869719616935,0.08559277965811073,0.019190761029163218,2.442858656599233e-05,0.0002468779947760963,0.01057328229210342,0.009762976674607987
Cardiocytes,0.00041338945652301135,0.9333737149067464,0.0048106419668054075,0.004284547210587926,6.463353574555748e-07,0.005508140106369265,0.0003917349282744209,0.0020907791555124337,0.003013539523152499,6.153809334965652e-05,0.002793322268955153,9.345217234997752e-12,0.0010617839966328654,0.010743412039069037,0.021427882540968904,0.0007577167526849169,0.00022133188713589395,0.003015463169736732,7.789841345437846e-06,0.00044864306832575264,0.0016848664431773127,0.003889116299944353
Definitive_erythroid,0.00469762832514523,0.002530584562621159,0.13054473910551057,0.18043070755724294,4.066838357493201e-06,0.055642230578168146,1.7547234266806444e-05,0.0094968704524936,0.01018584233666449,0.001503661011324104,0.02359950870263735,3.534476576327131e-21,0.028609636233512266,0.16845351298976258,0.0005017381718113916,0.01928257939736328,0.0037826079432639174,0.0887511062183822,0.0003075105477431918,0.04554469065145066,0.007509045499244005,0.2186041856430346
Endothelium,0.0007821718282342411,0.00046405998379765484,0.032761703417146085,0.869312743060736,2.815611131363571e-06,0.008943525866951506,0.0019980750049115744,0.002301951118463904,0.0022167262572979065,0.00026038401971416965,0.006564105708712555,9.536225754468866e-11,0.003705255135676151,0.015750405944818836,0.00017941883873081268,0.0016769092374083014,0.0012820471013769642,0.005783085111569172,5.8116160761176734e-05,0.0008570028386701872,0.010248603061665619,0.034850894596863455
Epithelial_cells,0.004566279895083536,0.001086530442754683,0.034313453148586734,0.03384281490190682,3.0704226408530415e-05,0.6036982767215248,0.012829576774294606,0.011632654112310748,0.02938662850435472,0.001123645507753353,0.05776656814695539,4.95731625989596e-05,0.003081543650355362,0.046503127533793306,0.001589422600133766,0.0069522546124492325,0.008712055565968928,0.02324753300303752,0.00018897482680806034,0.0007858433634630937,0.07312532072034962,0.04548721857910824
Extraembryonic_visceral_endoderm,0.0004902598746910423,0.0004119320034130005,0.022888570556351108,0.17354040905577198,1.2578757007728593e-06,0.02400448505856051,0.1524997446502156,0.0020172301512364757,0.010701259319053653,0.2539160406378908,0.007456987153755659,3.9082475262881685e-14,0.010365432760081901,0.042831538993013146,0.20727635693278176,0.002739112525488827,0.0005294865436404363,0.009064536162860017,8.239226510479457e-05,0.001958913056366072,0.010652397477198329,0.06657165694678502
Eye_and_other,0.022085681783468477,0.0021287300308608934,0.04734086320432322,0.03834111978575351,2.9592351963187735e-05,0.1018559209461504,0.00021260337062332607,0.05196762203846265,0.016969227905354423,0.0008313821367120453,0.07024626353051464,3.431089558793249e-13,0.0010241862423629807,0.13905533973030226,0.001842920959108126,0.018119564130684454,0.017079777768060203,0.42721576558171037,0.00020463184525934143,0.001840359239709084,0.0049176984460255774,0.03669074897224774
Gut,0.007994141226993918,0.0006575725689528232,0.02744283085033302,0.02062172949187633,8.158039029326267e-06,0.08863618745205375,0.029944104314661758,0.011227970658201518,0.43190960981202775,0.008414774919800173,0.13225790522966316,0.001314648742985961,0.002751951036124742,0.03274013764109319,0.00044451897302590955,0.004646373794896436,0.0036497820640418693,0.016239702289856994,0.0010549443273643437,0.0004238540024608207,0.09906086819562761,0.07855823436892863
Hepatocytes,0.00019448878513709505,0.00019518113613629332,0.011224337471911872,0.013340807066322773,2.518437355196613e-07,0.01106498539084473,0.1190555204210438,0.00024896230633577514,0.12925681032406813,0.6015190873695291,0.009726046253902621,1.490985950641879e-08,0.001760168872540084,0.025528761621688635,0.044462325402543273,0.0009515639653107301,0.00025148295990211095,0.0072111894719047885,3.34031490196449e-05,0.0002088374096219298,0.0022254010371556667,0.021540372831485997
Intermediate_mesoderm_and_kidney,0.01182611961723188,0.0006116996157325469,0.02573506940618959,0.028592271901146864,1.047068719235361e-05,0.05994045007209406,0.005400205642830243,0.010867612724700713,0.03864185283422406,0.0006192206271541585,0.559868302596522,7.915359206019785e-07,0.0030736048284210637,0.06469948952033575,0.0021761968841210394,0.008847017249018565,0.020703783896399933,0.014109572492142827,0.00021317038238663486,0.0004573373028020339,0.0945719871591206,0.049033773024312534
