,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intestine,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.8146451620287877,0.000976563026160204,7.474118782833777e-06,0.0016117335597158127,4.5352003407227044e-05,0.004699240264100793,4.811323676882805e-06,0.0011112559111042726,3.434251115255735e-05,0.0006671824789424076,2.7281262707711913e-12,2.567563387757533e-07,1.922611892005108e-05,0.019378843986490472,0.00014245545908438687,0.0025728563043702496,0.021560437450356428,0.13136539677001963,5.833768225212348e-05,0.000980008104992454,9.36792788534408e-06,2.221964588307534e-06,0.00010747424614299434
Cardiocytes,3.706544423639578e-05,0.9941965675757083,9.959778446108376e-07,0.00029102124205760023,9.92898068258076e-07,0.0003581867691783004,3.2707020230025806e-07,2.955118101836891e-05,4.115378379374621e-06,1.5939874664025257e-05,1.5233775227255796e-19,1.4486746709253398e-07,1.2732623082473317e-06,0.003820645522278653,1.1415938087701906e-05,6.0744127259454425e-05,2.155197341914006e-05,0.0011382832590568688,2.5293069727488885e-06,5.133629373147693e-32,1.246526120577182e-06,1.1734401940817933e-07,7.284461652529905e-06
Definitive_erythroid,0.005828033897733175,0.013045012313946358,0.004619913085956704,0.1189667364984098,6.568266627967919e-05,0.06335706992217022,0.00010294739549140738,0.006111681192248241,0.0008335030450550065,0.0017559983751980848,6.046345954614092e-24,5.740680839996401e-08,0.005369225337087493,0.3789953729857006,0.001019748620097833,0.016470618428553872,0.00750224155520095,0.30742269038801606,0.00045001140507878063,9.083565676267886e-32,0.00114438890225821,4.276268223064168e-05,0.06689630389647848
Endothelium,0.0010831928724092878,0.002352552276546619,3.924877175986399e-05,0.8958656852705001,2.603774184668888e-05,0.011528825909288828,9.102311260025057e-06,0.0014158314461258324,0.0002164986810710662,0.0004566836649776756,9.523203983632595e-16,4.318565954346729e-06,0.00016424134569344487,0.0579498418327294,0.0003170471246470526,0.0016123384545386134,0.0007021375055765544,0.025577807501455562,0.00016976411880705296,1.6961232786760655e-28,4.9680503523873576e-05,9.289569891389002e-06,0.0004498745313956448
Ependymal_cells,0.0,7.197311145407651e-27,0.0,6.0071314231679714e-21,6.167731507147625e-07,4.4707683795709744e-12,0.0,8.162887618273106e-25,0.0,0.06017718472219395,0.0,0.0,0.0,2.773237476722319e-10,4.629316871073667e-32,1.1149564649990809e-36,0.0,0.9398221982228608,0.0,0.0,0.0,0.0,0.0
Epithelial_cells,0.0030822006481423347,0.00548095721067523,4.622372574575006e-05,0.01413115484739324,0.00016533982104479378,0.6299063555486722,2.087844038338042e-05,0.0295933913070238,0.0007690359479464702,0.006420962970142172,3.538101004911119e-05,0.0003889243521065471,0.0005674099076909566,0.1986178008223727,0.0015628418167177925,0.005821744438446846,0.0031938285061351664,0.09803061175034782,0.001563092458905373,4.7799669748399755e-18,3.856953839848083e-05,0.00012461266290213774,0.0004386822687575913
Extraembryonic_visceral_endoderm,8.627980592344355e-07,3.292741899665443e-06,2.218247433432068e-21,0.007410226821563068,5.356597947038408e-19,0.06173115925101963,1.1230623781555e-32,0.927202460251719,0.0002154161775558418,2.2421822885695644e-08,1.6055723375965625e-11,0.00037444482245224756,1.3383782382991755e-13,0.0028586236695660027,0.00020264225984691547,5.788735853602345e-12,5.349895880930964e-07,3.13299956841295e-07,3.3852102170968485e-10,2.20954283274998e-34,2.909865092700004e-21,1.0351499774968924e-12,1.3341588045366575e-10
Eye_and_other,0.009093036699156641,0.006970167025144703,2.402967355800866e-05,0.013759004617198358,0.001506823900797383,0.032035264497924355,0.00014359695791837698,0.0036110246320858338,0.00031099706519175464,0.003551470047051353,5.813127164765835e-28,1.5366655206230798e-08,3.7292327039255473e-05,0.237960676714126,0.0007138536173538215,0.010851347608971036,0.005074213160723886,0.6735209692312236,0.00041946930930357825,8.420431450727574e-32,4.483575234733169e-05,1.8722860978970294e-06,0.00037003951013159936
Gut,0.006203361599635192,0.008089483471388907,6.501329866485193e-05,0.028677127389663645,0.00011296962861734945,0.1096094664625003,1.2591640899752979e-05,0.46830298082940086,0.009272668230752602,0.009323584565692346,0.0025351854672882143,0.004637939715446468,9.734387710428748e-05,0.22499137437633754,0.0021092562765166493,0.006197332217469147,0.003300740516753486,0.11183374782559825,0.0022700542364440116,4.69856521909431e-23,3.641070979161279e-05,0.00019071099238310193,0.002130656671651417
Hepatocytes,0.0008132585507182296,0.0019424464816104052,1.8171667648062777e-05,0.008309376473659313,7.861423074007183e-06,0.039550024535204134,4.347653877279532e-06,0.04876983019601562,0.6958730076778341,0.0004884608268936408,9.900092192319049e-11,9.149387669941849e-05,2.345376675063783e-05,0.15488251886660492,0.015051595197261588,0.002509762033264552,0.0008702105499136115,0.030463979133623788,8.533210895787345e-05,1.4423701593563019e-30,3.321118503345569e-05,9.59394117503352e-06,0.00020206375517955864
