,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intestine,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.5701577022984936,0.0044613117004787765,0.006588762109093093,0.0043865698048187836,0.008607285961551017,0.009486582987657463,0.0037989313418436295,0.010091141719036497,0.0001209782994595856,0.003455021857392916,3.433762403215708e-08,2.9374511767440157e-06,0.017482476172830125,0.01749564879922293,0.0018266404371054589,0.0125907341900699,0.1359356333162769,0.06627685525076757,0.00022631909638460041,0.09684744401870404,3.241136048249869e-05,0.010252348998834466,0.01987622849069538
Cardiocytes,8.79134427040383e-06,0.9975531358289369,0.00023459549142621473,0.00020788632345118425,5.491874758813439e-05,0.00023286638915847671,9.688722888783507e-05,3.5691505228233694e-05,6.223643755528049e-06,1.6364613169270635e-05,1.5623716272296206e-22,3.794967638009719e-07,0.00011335771997604632,0.0007000597141407082,5.915740682771287e-06,7.418198411128e-05,2.4218231088699243e-05,0.00019739402850327183,3.839620247882049e-06,8.515228634641302e-31,1.7687228138260108e-06,4.592888699456425e-05,0.00038559473880496513
Definitive_erythroid,0.0013976708091016582,0.02580691651507001,0.16162575554279854,0.05199242310198306,0.004221773181404229,0.030445664693352074,0.026560091971741494,0.00501653498441578,0.0009755923392096099,0.0016862364481793773,2.5831621683036855e-27,8.926570468406629e-09,0.2916267473258632,0.08681587007865046,0.0005539748739855196,0.014546383899236322,0.007369052049554034,0.04221815929109803,0.0006298576975229217,1.3344979986160753e-30,0.001376135139019445,0.008777793373529297,0.2363573577577145
Endothelium,0.00024367667638980245,0.0014862495625066925,0.007582073879931303,0.8744044070382604,0.0013380467980796654,0.00639205918140979,0.0025179566462476444,0.0012840080840156544,0.0004135616353349898,0.00042700230866611865,1.9594769668911836e-17,1.1220339967164756e-06,0.051298750828697774,0.014381716624133262,0.00022225688201791958,0.0017743488578040123,0.0006617647870076536,0.004313036512591478,0.0001867493633774513,2.2630891120709697e-27,5.9317134131622836e-05,0.004043675661102976,0.02696821950429704
Ependymal_cells,0.0,6.996683284503156e-42,0.0,6.651745136973472e-34,0.9562335681634652,3.739204570466726e-27,0.0,7.942559754969735e-42,0.0,1.0750337899949301e-15,0.0,0.0,0.0,7.167673984341382e-37,0.0,0.0,0.0,0.04376643183653373,0.0,0.0,0.0,0.0,0.0
Epithelial_cells,0.000777103586790389,0.008017204679967298,0.017903303678528368,0.025204664027282202,0.015360129023789939,0.5943195207549106,0.01012447380484949,0.03831043456444788,0.0041084461733060145,0.010318706715189618,7.429868835652922e-05,0.0009335877813935107,0.03383019184751776,0.06578273308161917,0.001068643640597215,0.012052874047862948,0.006085112674278163,0.0226882155363944,0.002945614970612565,4.30477516264943e-15,7.924863872323813e-05,0.08576895273109274,0.04424653935248552
Extraembryonic_visceral_endoderm,5.85729620570473e-10,0.001280429982050141,1.3127249577574853e-18,0.0007853496208015613,2.6290082396488436e-18,5.7251555362465615e-05,9.167731993314902e-32,0.9296530908304717,0.028066373839542517,2.0327018856451912e-10,1.7083559184208582e-13,0.0028182360750828033,0.02141714987560745,1.3515945941998657e-06,0.01588628597814886,7.994207924617386e-11,3.433578540160412e-05,5.389266710367477e-11,9.759631289532625e-12,6.063841678885449e-34,1.4494499488563223e-19,2.5574352826122954e-08,1.1835581894256635e-07
Eye_and_other,0.004386176126985481,0.0124688626299154,0.014767360105225467,0.029896876150619332,0.28421981644127764,0.04848673687445096,0.09908724805776038,0.010901558577087937,0.0008344046220999016,0.010096005570148982,5.228328007288442e-28,9.83744021688016e-08,0.006072407272436249,0.15883757837753928,0.0010631646175015147,0.029266614806909532,0.012817526500647288,0.23144682037706052,0.0014959351778332495,1.9533621569426164e-29,0.00016223049053205497,0.0025001499898116056,0.04119242885975504
Gut,0.0009187162996567287,0.010722394927557137,0.02137016484058686,0.04226291510765334,0.008311659947533873,0.07505676821819021,0.005547124838107432,0.4656484975477468,0.026852251698656016,0.0064053842170101955,0.0014133308875625028,0.003348036869212187,0.05101086521818335,0.05064284379320517,0.0015281900846568748,0.011709077168982717,0.0037454932095338928,0.022549114900367147,0.0023051723611929105,2.014311999311719e-21,7.713425217734884e-05,0.09789551698584356,0.09067934662638377
Hepatocytes,0.000282925731703264,0.0014775191847271408,0.009371114078041766,0.007790957672816534,0.0004840769747805497,0.011293023031492367,0.0017281169050326144,0.011573554158204024,0.8729667174298942,0.0006340515178878325,4.371434095039373e-14,4.4088563838978086e-05,0.005523560170586799,0.030641729386905812,0.005365602737725901,0.003362114582354075,0.0012909396476611568,0.006581333080708147,0.00019941537419229313,6.974627184192008e-29,6.542320705176111e-05,0.010386215649917475,0.018937520914433546
