,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.9013643721902148,4.229211234210159e-06,2.639988183786718e-06,0.0004152300179737936,2.532220020921976e-05,0.0019521185594575062,3.5365766871762608e-06,0.00015028865659889664,4.3131199408099785e-05,0.00010914975987400798,2.8093852528347857e-05,0.008241309657340887,3.097109536173507e-05,0.0010267540188591707,0.015469433501372426,0.0687890712746157,3.6361626720320734e-05,0.00220657392729577,6.178182407265153e-06,1.7825711618514887e-06,9.345193249503941e-05
Cardiocytes,0.03486445113989169,0.5917290347933374,0.00010440298323064552,0.005006325345540104,0.0035099961660225855,0.03433670044820611,0.00016689776099276124,0.0031669700442234546,0.00011222434649381187,0.0021476682373858702,0.0014271263254717836,0.15076398591621226,0.04896509563619694,0.004126143105535223,0.0038262202215665663,0.10813033395834368,0.0005259312948595252,4.321180966813582e-05,3.913366459896888e-05,2.833684763308815e-05,0.006979809954589376
Definitive_erythroid,0.016666603110408015,0.0003241764575888251,0.0003217482378619444,0.07466901347952176,0.0002582943828490656,0.08135221363797314,8.939069042688776e-06,0.00491198166581537,0.0005077232156548276,0.0029524502266318996,0.0006275359943582188,0.3865589841420382,0.002028311935104061,0.02098302777763062,0.012226754927097579,0.3801251996032544,0.00177829456467749,0.0008383474227306942,0.00135861072140543,0.00022395714751246228,0.011277832280843243
Endothelium,0.004986671545155598,0.00010086071767528123,0.0002596546158813665,0.8285400558886058,0.00010711781543575764,0.01790714756017338,4.398630444373596e-06,0.0021607751618988344,0.0006151897021557391,0.0007186260505228552,0.0013039176798022008,0.0897952582771987,0.0004175495259019551,0.005155172472676227,0.0017347657639786207,0.0400906488269429,0.00028521231826807543,4.926376094106092e-05,7.009034482492591e-05,4.375745102893621e-05,0.005653865890487412
Ependymal_cells,0.17100761242014853,4.841570095516255e-05,1.6181592752594445e-05,0.004277986792702226,0.3187391648220832,0.031790519901284175,1.4286193126433852e-05,0.0024355686362438774,6.319177701493472e-05,0.0017703949097068834,0.0002008841915040895,0.06171219955991661,0.00039478820786325995,0.007642295879746239,0.01420431721477795,0.3845429288070212,0.00029996708748889975,0.0005002321968847443,2.8259129003521734e-05,9.09014912019686e-06,0.0003017148306553114
Epithelial_cells,0.009384746251679432,8.935577688233545e-05,3.0206302238540678e-05,0.00557622521874079,0.000674382462857401,0.6378939468045047,0.0001690279967525675,0.01038533031096322,0.0012263125434990403,0.004703579264227302,7.24589886029959e-05,0.16113690325224184,0.0015677005761993703,0.011441332717618984,0.007691747171601098,0.1449552859866946,0.0013956376903475386,7.049373070972372e-05,0.00020514565959044013,7.380088613096966e-05,0.0012563804079171168
Extraembryonic_visceral_endoderm,0.004110238034623778,2.6479068671413897e-05,1.8793086771279915e-06,0.0009630671668220361,2.4201231922932462e-05,0.14660245128213853,1.5006372624675237e-07,0.053690336454516555,0.1249142880784555,6.851123155978591e-05,7.1637688707656e-05,0.12589983597516527,0.5004187208574202,0.00020920207242437072,0.009422185797405247,0.033452425033598694,3.361414916900413e-05,1.8320584948619733e-06,7.297929616092136e-06,5.750421203274215e-06,7.58960956813865e-05
Eye_and_other,0.016054883595262755,1.9701035977237015e-14,1.9451587002910625e-08,1.4593845204202483e-06,0.0012617529133901865,0.04354899375540747,0.001843582605481633,8.20453569553323e-05,9.528825504036791e-10,0.00017590420607265476,6.967691977198959e-10,0.005030699538670439,6.245721236410756e-07,0.007453621828925585,0.0018699243660061074,0.922597050435882,7.937384359880125e-05,1.7737712336153302e-12,4.045840335459868e-14,1.9397657574726667e-13,6.249443627693925e-08
Gut,0.05242730234105217,5.947164674650701e-05,2.7863934145043092e-05,0.004039882627943712,0.002923685785186744,0.17584377290797934,8.623763890233271e-05,0.34357681408488167,0.007628166014205994,0.029648053992498872,5.594570682014698e-05,0.20333453739467786,0.0006049943540854324,0.014300646068094692,0.018711380408941252,0.13871407322335574,0.004220914504547181,0.002852563940748673,2.6103126960234813e-05,8.027176846850323e-05,0.0008373185297578701
Hepatocytes,0.0020501330984678584,0.00024103373677723092,2.1817598224968136e-05,0.0038074681713199856,7.827935968765376e-06,0.032653695390111745,5.60727333066691e-06,0.027780797965867302,0.6790652570644838,0.0008907068592306985,2.5863587090176193e-05,0.16534442467983812,0.0035211623950846165,0.003690901514732762,0.005592800895001948,0.07357870461795618,0.0002356516384086017,2.3224295428059796e-05,4.2199955666387226e-05,4.529880770501628e-05,0.0013754225193050665
Intermediate_mesoderm_and_kidney,0.03005806772311129,2.8346933063986578e-05,2.6100319367545014e-05,0.004031927132811841,0.0019562499597331473,0.09120379699034345,0.00011889918985067454,0.014547389239160574,0.00021113908309772618,0.3651669745580844,6.104576896486774e-05,0.31935544281193107,0.006082908892016857,0.012442144904052406,0.019260860062262804,0.13414932148535166,0.0006501151055612105,7.16499382616554e-05,2.9325873096586275e-05,2.2194705559555985e-05,0.000526099324316724
Lung_and_airways,0.020815412817370413,7.588481137943607e-06,3.7600001976893576e-08,0.0019432597905977168,1.5268039982070243e-05,0.2659269193068463,7.760916439664496e-07,0.4969076066336564,4.9756099860894947e-05,0.009816903324847023,1.3367125669496064e-08,0.14150833656719694,0.00021849238760632484,0.0064862978550825415,0.01786569265776406,0.032826474808925206,0.0004083587141001534,3.4489313142057834e-10,1.5746232287165952e-08,1.1281182314419838e-09,0.005202788237010653
Megakaryocytes,0.09976706976840256,3.3398191321039274e-05,0.005072942341480206,0.011913578494950738,0.039211924257307094,0.025877921608718712,1.7668129637462198e-06,0.015646429764714264,0.0005803113939306646,0.0006237489140135311,0.4894023561162662,0.053512317387683875,0.00018911042541343927,0.009604607516494943,0.0044468994638184305,0.0705667204559923,0.00015719768614918083,3.4136966504907364e-05,0.02563935218326873,1.1793399137858122e-05,0.1477064168514676
Mesoderm,0.004850829508432169,0.000292043929514728,2.731114093216316e-05,0.0051656826942484526,0.0001647562478273285,0.02810827366826517,4.933784062869884e-05,0.003184507455857707,0.0005113070297651934,0.004972986911889389,0.00011558520490574602,0.8462193864050908,0.002187813852417877,0.011231634965129064,0.005024346097420291,0.08643272644094513,0.00043913607132954174,9.158960359577954e-05,7.393586582390868e-05,2.0661986388247287e-05,0.0008361470795926712
Muscle_cells,0.016519397242920824,0.0007529564784433364,5.836791298155714e-06,0.0017675825821126636,0.00031626404474797124,0.02101046932188167,6.63006347876893e-05,0.0007859935746624894,9.639101187419774e-05,0.0017670084217542503,2.2623305646580592e-05,0.17794474685491973,0.7137339005289334,0.00779761129164492,0.011890139247755699,0.04502975498868314,0.00016786032680038234,4.282812667517611e-05,2.774000270670143e-05,1.8182717842404478e-06,0.00025277694996680625
Neural_crest_PNS_glia,0.01279274388037045,2.604209875536689e-05,2.203971782856205e-05,0.002480446801153539,5.9838411742958087e-05,0.016167196865110835,3.457236305360404e-05,0.0009471667208733628,9.606847818622646e-05,0.0008701451733619262,5.368743671512498e-05,0.11145598627861748,0.00036367576232903523,0.7071431870217971,0.04795566229497986,0.09825681226139253,0.00011972556513004745,0.000539499612913401,2.535759661469675e-05,2.7449592855703197e-05,0.0005626960662181255
Neural_crest_PNS_neurons,0.06702652554716901,2.7072958443876518e-05,7.973787433694124e-06,0.0017941394172944654,4.538240165209722e-05,0.007901895822005803,6.46929874100951e-06,0.0005515683395787508,0.00017489275531554715,0.00038104689178809916,3.862921872419988e-05,0.03962965975532768,0.0001747504958084885,0.02040546527394228,0.8029490390199859,0.04971181407230612,0.00010745435659764878,0.0086397323223606,3.100061814179029e-05,5.775032856307799e-06,0.00038971261452658734
Neuroectoderm_and_glia,0.043917268394954426,2.5193367286379056e-05,2.3449458346278885e-05,0.002432233155157234,0.0007561877175804195,0.01644484833784778,0.0003947965193567887,0.0012919336919575057,0.0001141393243445753,0.0010268116281534146,9.51787665979166e-05,0.06980715520102594,0.00024121115509308854,0.009554925227824333,0.003784525286054393,0.8487023215896975,0.0004686801788082082,0.00023052606121344755,3.876226719427892e-05,2.2332882523177708e-05,0.0006275197889828736
Notochord,0.04646844481247689,4.461283674325211e-05,0.0002227846559951747,0.004584156138452432,0.0003195443211571033,0.05673562359098076,3.180293577429252e-05,0.00436431978759851,0.0002971591405495265,0.0014106283425927245,9.061282743770675e-05,0.11942228628042459,0.0003748945643259843,0.003077446046175654,0.0046961118147068985,0.15279736101687777,0.6042320923674543,4.826204574893768e-05,2.906831094208378e-05,2.1123909809699158e-05,0.0007316642537756336
Olfactory_sensory_neurons,0.6743377347866139,2.3045649364828333e-21,1.182164670352618e-20,2.060999254791414e-18,3.3501194301355706e-19,6.888798156421497e-16,2.926983465818734e-19,1.720451898402677e-15,2.2448182229392867e-19,3.5298635101905934e-17,5.312039002953589e-17,2.501120829155618e-09,2.619745067890403e-19,1.042952597809467e-09,0.0035464311427875947,0.004763182648192983,3.675307388598144e-19,0.3173526478783295,1.6651124281007647e-21,6.841553392375535e-21,2.572636615711059e-19
Primitive_erythroid,0.004299433548427668,5.321112032704498e-05,0.0004974204478189633,0.00951110223910656,0.00023183935868586501,0.01185774089043364,4.238721086589675e-06,0.0007494151554965096,0.00022324767488021512,0.00047557732399931217,0.0031425902508615505,0.049648960485118576,0.00010837592991192382,0.0029853618085754034,0.0015682263010520221,0.05016657095914411,0.00024064559593524017,6.459596066014776e-05,0.8505241496756638,6.37161663943999e-05,0.013583580386420487
Primordial_germ_cells,0.004076292511880537,4.85689880715534e-05,5.9361282028817885e-05,0.005513279091021653,4.180946934667984e-06,0.2137233144301876,0.00453841666317034,0.007445543975732011,0.0007008951917908358,0.003557367226262119,3.324933472455377e-05,0.23074786229094746,0.0003693831602822706,0.16099956086394573,0.003652302064138229,0.3556863576297435,0.00036648875506965545,1.7906232783776912e-05,4.3740116618570606e-05,0.0007760354656737513,0.007639893778992342
White_blood_cells,0.011197801871693893,0.00010871795716687294,0.0026427198189641066,0.032607149892786236,0.0001650629011392519,0.04663510700689345,4.698129204115932e-05,0.006050761427343404,0.007553867194153307,0.0028462459356419535,0.02090474440298312,0.1920973840565848,0.0009356378156267824,0.03757742856906785,0.006440596765627769,0.24736047215915746,0.0011103425831313046,0.00014326490300428706,0.0006856763620347123,0.0007677523085460367,0.38212228477641225
