,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.7539907606039954,0.00023639887651369785,0.0005676887031518574,0.0005406372729955452,3.6102369154485844e-05,0.0012673677101039682,0.00013599788697235944,9.926549624357399e-05,0.00014280073317718045,0.00012895944524411097,6.304496916744825e-05,0.002266569681505655,3.8492692376867506e-05,0.0011440759597369447,0.04386232716453814,0.015703740656895778,4.2796850877275764e-05,0.17893302156615765,3.7110042058247416e-06,0.000554211998927494,0.00024202835805881993
Cardiocytes,0.00010372293249981785,0.9902460084565662,0.0007023660816635836,0.000656391985329379,3.765197602590765e-06,0.0023886094549205182,5.403427081268309e-05,4.509781642234864e-05,1.1700597826992988e-05,6.452214846440657e-05,1.3076353104931343e-05,0.002428806732233532,8.614226981820326e-05,0.0006068329957524208,0.0001778023782351072,0.0011238355098508812,2.2333001455626416e-05,0.0003670249534565622,2.8907275851017275e-06,0.0005583383332025416,0.00033669780319655647
Definitive_erythroid,0.0187968100613558,0.023590394199278084,0.06784941705495069,0.132336655453896,0.0004679029603590394,0.07735886832797476,0.0004159995697336459,0.004316211955698402,0.0009951971736209767,0.0048438480807456484,0.004221009837962578,0.1799909692069492,0.0031778883201390618,0.04033154073473076,0.0266089260160934,0.17952955477068483,0.0033293956371459273,0.15330601560711205,0.0012961071351230964,0.0498401649933446,0.027397122903101468
Endothelium,0.003990041812885229,0.00308879391487061,0.007968963633518364,0.9251469369340454,0.00010478779528846441,0.00788075713551265,9.794513506449393e-05,0.00045658502504653274,0.00030153010921239666,0.0009655858192672848,0.0017289273615262318,0.01824227278375167,0.0004002390452522465,0.00412024723640187,0.0024318519672377353,0.010258488081832986,0.00028646215300252024,0.0069623635878027995,3.799873472605307e-05,0.002925223392323195,0.002603998341431328
Ependymal_cells,0.15113395868895346,0.005029966231713132,0.004109806089187811,0.006898752854895811,0.3697167968347841,0.03337790207362428,0.0008167909692903687,0.001516357887841168,6.365010906668921e-05,0.0022743759457984174,0.0005788490696284351,0.019531650943740368,0.0006664649808406052,0.012940826837748548,0.05797706877563474,0.23876058849187337,0.00040806448680491547,0.09079388629081801,2.3811117116582314e-05,0.00271972109799363,0.0006607102226455769
Epithelial_cells,0.016031589661561072,0.00904706498109958,0.01068160392703101,0.017311897306742128,0.0019310408255283906,0.6780858572063273,0.01967576513442794,0.0107558973842233,0.003815918789493198,0.008164890247241367,0.0009841033231177284,0.05949761512034018,0.001731073315363715,0.028399852134694648,0.021096791881648886,0.056040490180446385,0.003483026647987707,0.02449877135462108,5.5457685508397525e-05,0.02388289338389805,0.004828399508697887
Extraembryonic_visceral_endoderm,0.0038469208684894602,0.11711529196899148,0.000529112939022741,0.0023916328688688513,4.3460163526611096e-05,0.059580610596466806,3.4063594914904243e-06,0.029945158149618737,0.2113259219882613,4.8297812647308226e-05,0.0003712877137350075,0.013423828906205788,0.5461967628296559,0.00016715732391931124,0.007875418421265025,0.006074549012793181,2.8459477852400773e-05,0.00022840353492197283,3.3078296203633053e-06,0.000713031200854045,8.798003379221843e-05
Eye_and_other,0.07985609401465198,0.0017444274049254725,4.212532336487208e-06,5.553355293474525e-06,0.041734160792966324,0.018495165821121092,0.5187927245206363,6.927022740162465e-05,3.1651260706761554e-10,0.0009379938859884676,9.442804857674437e-08,0.00012101509661296742,3.678638024373843e-08,0.0025542039642975144,0.2445136195882094,0.05124982210029643,5.222051309055691e-05,0.03986884469663368,1.3212635941792691e-14,1.1989917186143427e-11,5.399425937097097e-07
Gut,0.0550403986833501,0.01143161526989556,0.0103561043651766,0.01328268973248127,0.0019396064552997636,0.16728659561790019,0.011616088857987582,0.30810509214246384,0.01844693785138373,0.04817732220244992,0.0007448034855458902,0.05956397042289579,0.003454128401613477,0.02851523186592684,0.029136098082103108,0.045263426105670114,0.01606160458716776,0.13953836752375612,2.8233192179343266e-05,0.027829592162410797,0.004182092992342219
Hepatocytes,0.0019604960911076713,0.003826437810956904,0.004282005813859641,0.008531081929619704,2.052803050401263e-05,0.021227758561644616,0.0005065906762638943,0.017094627896129363,0.8397636800732186,0.0007737116994362764,0.0027057274853023007,0.033341905127624756,0.002913498299286566,0.006437605569896855,0.004689059369299195,0.02603660462050679,0.0005500471116681713,0.006322676658072646,4.2030067825490364e-05,0.012760990033008126,0.006212937074768458
