,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.9185187963884546,2.2981335319056415e-06,6.694113215422308e-05,3.397038435545257e-05,1.9528530487382097e-05,0.0006753652232014598,1.6590307695464276e-38,7.689499885193787e-05,1.4654088098110711e-05,2.3159430300676205e-06,0.0009826376493240134,0.0029938871055284204,5.6040477818804155e-05,0.005123802077217901,7.209139700612335e-05,0.0004108724599454778,0.009392805548103901,0.05250883559132612,1.1286114339741266e-06,0.0008624445901690972,0.008079400415614208,2.330467234362157e-07,0.0001050562076233855
Cardiocytes,0.2165121982299943,0.026447846876413873,0.0016049265026214427,0.00041093015678956234,0.007496754931851928,0.022954603128451965,7.625129507603028e-08,0.0037500585031344283,0.00016462191327377553,7.969819669759783e-05,0.026836567871589577,5.461729107711662e-05,0.009132577827344012,0.2580248356043637,0.1548970455019235,0.00278550007484433,0.0016869143194362117,0.12808547619030602,1.724431928170713e-05,2.8875000924738686e-05,0.08716324516058084,1.5630952115474855e-05,0.05184975519568882
Definitive_erythroid,0.001530204209855872,4.0582086744342915e-05,0.0984546473284421,0.00037594259116357007,7.3669339565256226e-06,0.003263843031612872,0.0,3.8360915133009565e-05,7.719851463183461e-05,6.386828354246596e-05,0.00028771607485996386,0.00012345386564918968,0.20436072466254981,0.02782084995004891,0.0005051847576142879,0.001292731853133958,0.0007079623796429335,0.03727429753966985,1.0234483683474018e-06,1.4734980225077864e-05,0.6219235694162538,2.1843148942221926e-11,0.0018357371550580793
Endothelium,0.04163296656193115,0.00015730961436197607,0.019376010462114412,0.23722845455340072,0.0011011574488877837,0.028438398857971885,1.939676397860693e-08,0.0002684502243884881,0.0008186971069764064,0.002193480837997038,0.01161998444199933,0.0001283663950415599,0.011356941709001814,0.3073049012689815,0.005366065233891628,0.021056703024249036,0.0020185158370031025,0.072995435015645,0.00020401866934464634,3.4933438485552906e-05,0.18377900567328528,0.001540715136385787,0.05137946909189186
Ependymal_cells,0.21684113333659458,9.064083393937779e-06,5.9287315314147984e-05,4.935476360737855e-05,0.32871032047349175,0.005597431727056951,0.0,0.0007947924383262494,7.298769260039507e-05,8.853429867257961e-06,0.0022451761374140448,1.4716681235654897e-05,0.0001312029355685264,0.0649816623027045,0.0016830159730586004,0.0008191348823321902,0.0015260973146801612,0.35810011937056824,4.394407407803978e-05,2.5003915870320255e-05,0.018103217863693365,5.273245779315535e-07,0.00018295596396578363
Epithelial_cells,0.039491442078934555,5.606140760088624e-05,0.0014964876834277243,0.0004693569615315289,0.002961893639311063,0.40516899039499726,4.257001582696979e-18,0.0007405902326061125,0.0016027329653712733,0.00023263483884430747,0.011587624725101884,9.40560735774261e-05,0.001173333643193675,0.28757626530503044,0.0068872530787791,0.005639553675406501,0.003914734445612383,0.14203055554733154,4.995278992311285e-05,0.00015773541626499615,0.08700681693278024,3.822716920785958e-05,0.0016237009951661325
Eye_and_other,0.14744929888377745,2.295295176870892e-06,0.00012002143855685184,7.1086351063957745e-06,0.002719583440545742,0.011095923310708935,0.0,0.022923841946660868,0.0002002021345031286,1.4110709039269549e-06,0.004180225986394373,5.303138521408208e-06,0.0005184088339514006,0.03662216643259161,0.0028455187410391537,0.0012062892717221538,0.0009687204093585909,0.7138666471398751,6.9050350778776e-05,6.14172719263861e-06,0.054898202117951864,1.5174486028810909e-09,0.00029363817723412547
Gut,0.12252142638615741,2.430793497867087e-05,0.00147584960793507,0.00026266706743883887,0.0013587134461332028,0.09526581761503937,0.0032676077813278736,0.0005952280292509705,0.032311512999938154,0.001243622701471264,0.03124125575742802,7.195425632968888e-05,0.0024291301776292054,0.4692454487962918,0.004213233811022887,0.00598468752311555,0.005803869853978246,0.145127083250044,0.0010494211124519946,0.0028641118229522167,0.07263107368542063,3.249351982244655e-05,0.0009794828638424859
Hepatocytes,0.03454526454631029,2.0311044887111947e-05,0.0037750374690329416,0.00033011569841899307,5.660915635029673e-06,0.01529145193221314,5.196107956226008e-18,9.190489905982181e-05,0.001052972956144943,0.45198104905006925,0.0007496585701709606,9.267142126400394e-05,0.00044706892784875015,0.24422948787603674,0.019386352867003128,0.002037144450849485,0.02284216529196183,0.08957512744154975,7.218828927714453e-07,5.695739826521429e-05,0.11145217982570269,7.360689991488356e-06,0.0020293348446916715
Intermediate_mesoderm_and_kidney,0.0188245342826069,7.204593639532068e-06,0.0004015290055463992,0.0001567100554835003,0.00038756859395985935,0.033334384381311616,7.497806488741028e-22,0.00019133599499297494,0.0022259889604294655,4.097029561005957e-05,0.28180491229089355,2.4278045191321595e-05,0.00034110335952767336,0.5280907544726248,0.004069210790433441,0.003135665905730577,0.004429388221929666,0.09505562025117824,2.3854866322466556e-05,0.00321711846200254,0.023911616576017425,6.181588663509315e-08,0.00032618877868133164
Intestine,0.00029345931310820493,7.246770182488642e-12,2.8727139350300504e-11,7.96873487378745e-11,2.6833551522403465e-09,0.00030174488278175303,0.0,2.977929008426279e-07,0.007617230227676678,6.232592160962103e-13,0.2756075323170729,2.971532047998806e-13,7.149152259666977e-11,0.7127354300594234,0.002933228452442151,3.308855256724933e-06,7.986384472710855e-05,0.00042743347353859696,3.1411226302594055e-12,4.5383493865291015e-07,1.3949858461938062e-08,5.644332492699922e-15,1.216993338240353e-10
Lung_and_airways,0.0005410020538523905,4.8229002663056674e-05,0.0015520649382482462,0.00010795013966952423,6.717966255866696e-05,0.040492875244436455,0.0,0.0003276010512710666,0.16324096063571839,1.3519445903382494e-06,0.008491061183374529,8.006541215004636e-07,0.00417693309972233,0.4660594219375471,0.002163345113771148,0.2525937424992616,0.0011584184224599113,0.05100922392016268,1.3960669044956433e-07,1.6213208770579545e-06,0.007672626123516802,7.803954407177773e-08,0.0002933734059426833
