,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.6469555347009143,0.002151770932948062,0.004935798586337496,0.00012559686437704662,0.00012143866924896899,0.003671465123538119,1.3730037310587105e-28,0.006953674207163417,0.0016393583120257753,1.2855772794792463e-05,0.0023061790899612878,0.008920985066958076,0.0009283632173793837,0.0034654018596147074,0.0007670841118160874,0.0027332046831803534,0.11166789868569615,0.017766998668399713,0.001224978449261971,0.1615628264598096,0.004409231143178132,0.0024865089804227782,0.015192846414973754
Cardiocytes,5.553505141492976e-05,0.9192424828902888,0.004062843427833543,8.533771881508647e-05,2.1884176948504517e-06,0.0007644928256954874,0.0,0.00022952907143651297,0.00032880252617902613,0.0009860426456142738,5.4005470532010174e-05,2.13359558358507e-05,0.0001774218945701322,0.0030319559713331305,0.0524640370852701,0.0004130977530839414,0.00017791434592353506,0.0009553839727318496,2.845060168958202e-05,0.00015012538342637776,0.005920636814989092,0.0007960831121722158,0.010052297063469717
Definitive_erythroid,0.0005947344852898936,0.005514824651618531,0.33411054969799253,0.0011708441477052982,1.845996239728493e-05,0.008446873708396961,0.0,0.0030002302555242446,0.007139517918747863,0.00018685617869836424,0.0006180646993596372,0.0003114866758599307,0.21567600861148759,0.014903191503300028,0.0014502212638511367,0.0032904241019926315,0.0015837572135625234,0.010373878027960916,0.00040720469839232746,0.0011964902119209432,0.29858382474572215,1.7107520041988992e-05,0.09140544972017724
Endothelium,0.00516899067702656,0.008236685734808437,0.07622675567163449,0.24914663930372152,0.00018868621479648995,0.014365180338057332,4.539901713616542e-28,0.003168018754932489,0.006039200792135959,0.0003131851250345657,0.00306618910918475,0.00015313997512401704,0.013150579243426774,0.01774476088932993,0.0039031291224330125,0.005021878963729007,0.002165895878051795,0.007489453971217156,0.0071222120610966765,0.0013886922914841796,0.0338112598794673,0.050005655535619656,0.4921238104676879
Ependymal_cells,0.07292572581261537,0.0038272345877437062,0.002446146041223169,0.0002390082429070655,0.45325477002354564,0.01359641863500923,2.4818271571330714e-38,0.03612411852617262,0.005758598117278936,1.5185279512106251e-05,0.022789387570976247,1.9102721577277606e-05,0.058028345436347585,0.009004384492053697,0.001624544888012496,0.0011393705186551804,0.005919248471229067,0.01724294986348291,0.2236042373573183,0.020077685368704492,0.01040539263193216,9.095158963043746e-05,0.0418671938240723
Epithelial_cells,0.007836834460161791,0.014381982262438983,0.04277599193624831,0.0012647253352426131,0.002896783615698233,0.5717925380174718,1.107300375195418e-08,0.01756406374073194,0.04096018860284462,0.0010818334901808852,0.011632111754824643,0.00015962796032066231,0.0043526119178263845,0.037460211342311214,0.005964743387816242,0.008973522965931142,0.007836951806805183,0.01873659885208999,0.018478875820878003,0.008782848640256885,0.030131015667497527,0.06101034156668314,0.08592558578273608
Eye_and_other,0.1288912593748672,0.007683453146697358,0.026522636401850833,7.890919365459025e-05,0.005486785431761221,0.022711416696404058,2.6624670810403036e-43,0.479206472423453,0.007789630439414614,3.0871726708024964e-06,0.012196931051287076,1.5669936594699184e-06,0.001684830057621341,0.005009620448222745,0.00042311276756151273,0.0051460904046498395,0.0013438473682498536,0.06796275076246285,0.005957237442184835,0.0038232365606217238,0.011683481740257618,0.11588087672833526,0.09051276739411222
Gut,0.012139170166545017,0.023024085504526934,0.038930538933448305,0.0006837141026816486,0.007242844192481037,0.12472974025810032,0.0021773590890488566,0.013360343489192829,0.34020021187993066,0.008115728517890459,0.02444619630947403,0.00010763851273237647,0.014149463273506,0.04839653417730956,0.011200288139045736,0.007014180308543173,0.005433710222570268,0.013003295869663952,0.05507033521046166,0.042698807535011575,0.02497717678458786,0.08402433909078968,0.09887429843245805
Hepatocytes,0.0003051890878673778,0.0012773941475114389,0.05923718141357604,0.00035598100165163104,6.634773809975602e-06,0.00835095655740056,4.1280787938823167e-14,0.0016180566692955878,0.015918253655933245,0.7620617174567218,0.0005334602500781523,0.00011157343285964863,0.0007693185474881304,0.009173476379096225,0.025157412485990332,0.0015236025229535468,0.0009157094066994012,0.0030905355239264384,9.360349964938337e-05,0.0005748565458783704,0.02302338941212807,0.024328617413258535,0.061573079816184845
Intermediate_mesoderm_and_kidney,0.0012807940291590593,0.009007592520773367,0.016322809729315806,0.00041082731917589074,0.000750732380990967,0.08969850856489651,2.4196646524555092e-21,0.01470735794300426,0.1366527345843403,0.0001815383011370631,0.4319252143323921,5.512300518418655e-05,0.001343008594329149,0.09855529014568275,0.014194713250824597,0.00837307680875305,0.015884370963551518,0.012791812577193456,0.040516834428891556,0.028644994476389386,0.01083300448014224,0.033585297939356225,0.03428436362451655
