,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.8695239657497719,9.872063210968332e-06,7.340070365959267e-07,0.0017412960762683057,0.0002992230372984432,0.0012408020307019933,0.00029237743784195054,2.4052777651404977e-05,1.1145199394446605e-05,5.9574633045186505e-05,0.0008895528973747395,3.7665987960059514e-07,2.1066958875179186e-07,0.004738332364904724,5.043400004488132e-05,0.0006895674926440543,0.006035206535357776,0.11237263980352635,1.5407037338745636e-06,0.002010996507303183,1.1767918510515092e-08,6.467681319360182e-07,7.440817370508645e-06
Cardiocytes,0.00015678196743382553,0.8206265223115822,1.4349743141354006e-06,0.0002693116239437736,9.83730047559652e-07,0.04969439830360297,1.0978232798966277e-05,3.0080407854990676e-05,4.394566936339345e-06,4.293051332163587e-05,1.783888054632353e-09,5.479660895744589e-08,8.5720422871238e-07,0.12104576182161036,0.0003663840050412195,0.00023392937372185225,9.17420879205191e-05,0.007397504605860005,3.904439558831281e-07,3.265828889157998e-06,3.2830733472613186e-08,8.282277024172234e-08,2.2175762935259812e-05
Definitive_erythroid,0.0035319545301536123,0.00016958333656780388,0.12433869553945982,0.04362316486544732,1.1282895831662492e-05,0.025300603690119133,7.934111739674853e-05,0.0020789427488405177,0.006660964892560683,0.002910177494193828,0.00011611836968421129,7.37718083278666e-06,0.03728377122659807,0.27400866508446625,0.0027460568011548904,0.040957250235529125,0.005445021275709778,0.24118241982498742,0.00015093264134132594,3.407681696350505e-05,0.018796220667088137,0.02834081500501484,0.1422265637600585
Endothelium,0.000815940936938545,7.799399389232086e-05,0.00018400100379512013,0.9272910595028654,0.00014398459436034127,0.0041871383205620595,2.259388151772547e-05,0.0011228858502694674,8.604665187776037e-05,0.0005255724577855724,1.593745237002458e-05,4.599029562079819e-06,0.0003896172747284839,0.03970789501024048,0.0002637766321413801,0.0014527799464627827,0.000574743781739285,0.016317332348094668,6.0862498792938025e-05,7.173587790830063e-06,1.1084243621294861e-05,2.8721064838953608e-05,0.006708259935752501
Ependymal_cells,0.039403908007174554,0.00031632080250640647,2.501429893221183e-07,0.0076005901311241636,0.584721387211433,0.061637595378000634,0.004291809635365147,0.008790058095539665,2.392112324744704e-07,0.0008304569066387065,2.375306985518758e-13,7.751522399622955e-06,2.7886246280866046e-05,0.028716633134584748,0.0002352708109761239,0.0006276138018793939,0.0011640903555460032,0.26129710709087817,0.00025832417339033566,6.623002272771302e-05,2.5725008824097105e-09,1.6877637088183397e-08,6.457868957529259e-06
Epithelial_cells,0.005896449545223465,0.0008252981338408438,1.389770475308204e-05,0.011807389538362054,0.002122930014815216,0.5895281424572907,0.0012403924463846448,0.012625236975202642,0.00169343687321442,0.013662710763880795,5.52949813046956e-06,0.0005653216494463819,3.942728192691291e-06,0.2054452147754237,0.0022107644436697273,0.008208674365484333,0.004211006679315394,0.13865897037128672,0.0010622288083328856,3.1888201141174975e-05,9.086018038874101e-07,9.406376905970108e-05,8.56016557450396e-05
Eye_and_other,0.008893957528472222,0.003237421558454348,2.2962690870884384e-06,0.003692351039078329,0.0011844532862678773,0.05466323648346037,0.02684351574539417,0.0017703798224449165,0.00016001274864207876,0.010341129611314072,4.677433205450629e-07,0.00014046300481837943,1.9631772979970503e-06,0.1377427002997487,0.0017248836613192394,0.010697294416180524,0.008246462879099498,0.7305491276638957,2.6560413612981623e-05,1.1354406107373041e-05,4.652806004351066e-08,2.6662746331482235e-05,4.325896759211606e-05
Gut,0.005103358802066692,0.00020978183251874156,1.415564276602841e-05,0.014217010516809625,0.003635992720406495,0.09377538161738608,0.0019359000581306374,0.07727493007746083,0.0006775571739526185,0.04462868210328692,1.3046196505122309e-05,0.09138881896544136,1.9773534536651287e-06,0.38760950222990687,0.0020106298511156657,0.02032706993608285,0.012477992759815941,0.24405081365636302,0.00045580137011703005,3.394727351971414e-06,2.1571613188528043e-08,0.00011961374450765978,6.856709294096589e-05
Hepatocytes,0.000734426709820783,4.9037792582709104e-05,0.00038484055520832697,0.0014674397884110342,5.533589868297494e-06,0.009699147972170174,2.2532776353910684e-05,0.0015661907133995784,0.8713448505535935,0.0007962842811311008,5.3643844753298306e-05,4.504698480534487e-07,4.2966271622387636e-05,0.06897319743951404,0.00024614797049167823,0.002222489763204789,0.0009337091321169841,0.03352037391565438,4.296884367336347e-05,1.330313786465479e-05,0.00017147962081317774,0.00733682874133763,0.00037215611656615387
Intermediate_mesoderm_and_kidney,0.013719906784770503,0.0007893181660136959,5.0330241040280056e-06,0.009537248985353283,0.004732474278721654,0.07052409788935061,0.000735700416593705,0.020327715321919442,6.711161556235237e-05,0.4746183345843908,3.8431227380844075e-06,0.0013161106070190144,1.795291114519953e-06,0.25113672843809787,0.0013030848977772596,0.009745309224640853,0.006727649253124312,0.12270439853619078,0.011919173320815147,2.677315521814228e-05,7.429000776713217e-08,8.3476927216877e-06,4.977110375448125e-05
