,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.4255028131529999,0.0013893228419417994,8.512702590397925e-05,0.004366806000915623,0.00033618397314131464,0.0019169293912829639,0.011795996966729524,0.002715888282836065,5.0393959948604314e-05,0.00014460474558270191,0.13670758146360606,4.942017721298735e-07,0.0003097468699249439,0.003276897645789568,0.0021349306899303483,0.0019800994846235318,0.08951515953991906,0.022965765218368284,7.114240422240783e-06,0.29328580067473864,2.2589615241723514e-05,0.0012855121620008738,0.00020424185238009893
Cardiocytes,8.732826319035035e-08,0.9283943933142503,9.91449436034572e-08,7.884797440590685e-07,2.176592581830834e-09,0.07137707286252168,9.759416568124822e-07,9.77615354358959e-07,3.3704454534923323e-08,1.443403835402515e-07,2.9403406330232354e-08,7.055027064888332e-11,1.4318980884760006e-08,9.168280964724852e-06,0.00021133086293704127,7.611855819647044e-07,4.132200308059386e-07,2.4595993847679006e-06,4.736566472374362e-09,6.551196326951609e-07,2.030302053447577e-09,1.2687339650298622e-07,4.593901008514035e-07
Definitive_erythroid,0.0003697736421402504,0.0003814395638831585,0.44919743272621127,0.01579332239918556,7.832831585118875e-06,0.0072994175084966926,0.001970902643934771,0.007107169236963171,0.0018473792295610185,0.0018640923960274772,0.012114740548286373,4.857230011948496e-07,0.06188789301978587,0.04041252848400587,0.0022432258013802913,0.01105084229234421,0.004352611229249223,0.01810370471043599,6.075925116535906e-05,0.0023461714096665977,0.055299497024047885,0.14693773485934475,0.15935104346929793
Endothelium,0.0002154643177125079,0.0010932123373071753,0.0035815616455232096,0.9255829529720626,8.143284046288172e-05,0.002977386648267663,0.0012935782289109057,0.004422449258460825,0.00022270683461876714,0.0005678914284857528,0.004262556082539913,2.14729049495077e-06,0.005623669513402345,0.012189056971112494,0.0020136203417359727,0.0020592723747960085,0.001264388485585918,0.0030434760884186125,3.940841776661585e-05,0.0007919842747445246,0.0024386307717776307,0.005299365781666039,0.02093378709414669
Ependymal_cells,0.0005137437167585671,5.470205885906935e-05,4.7041924035149426e-07,0.0003143619698765374,0.7711317088031883,0.0006487050018499595,0.007383276020831464,0.1274068179950598,1.5241721528278202e-07,7.257383519285556e-05,3.579702434246869e-10,3.335030137185816e-07,0.061119372309596305,0.000552782259907884,2.3044489748340828e-05,0.0004642143476671878,0.003647402745008416,0.001862352776463593,2.5449923385695312e-05,0.024776585918014134,8.120740416544423e-09,1.3556438200002047e-06,5.853665919305848e-07
Epithelial_cells,0.0018367408748065051,0.007899514387973592,0.003303800937568593,0.020127283379948808,0.004916631143836085,0.5530688158570136,0.03070583003761446,0.11877427232862935,0.007085013193012836,0.020811174034590405,0.0028770954771940955,0.0003801101114657502,0.0020739959988364774,0.058919738892408,0.00762276443474873,0.020977752252688876,0.026581814473928805,0.020642990216375633,0.0006118396404609089,0.007915114972398274,0.0012707564728469058,0.07719627011509689,0.004400680766556353
Eye_and_other,0.004817270819128711,0.0010217699763323354,0.00024296873749219807,0.009179053173691993,0.019206198511734683,0.06110143100758886,0.3823411878051019,0.13022031282809146,0.000854573995042571,0.043637459551388334,0.0006863718943035668,6.562005198836184e-05,0.0001549438503744922,0.06347663892063546,0.008140568867024151,0.036425215359615716,0.03455016866241872,0.12157342949678161,7.287832924449522e-05,0.03836465370156406,3.4540283782574532e-06,0.04285036901751512,0.001013461414562912
Gut,0.001045243209383737,0.0002689514598905124,0.04520967502698024,0.060210908362195385,0.00012010681264477304,0.040740038298168975,0.012036942610543756,0.4063896446908554,0.011251398113268795,0.03471393806419593,0.014043567391443587,0.015539106569089758,0.00023405110760541415,0.07682533392198208,0.0032213422688357105,0.04284618327586764,0.012740309068298084,0.02730657286127616,0.0014551328173179434,0.0033213348790000646,0.0001430802626774888,0.18835807919970163,0.001979059728776915
Hepatocytes,0.00017751342985805867,9.188892737389962e-05,0.003669785339708759,0.0022763309559753284,4.8425699841339705e-06,0.0034161568657000425,0.0012692995383438207,0.0071134460237126905,0.9123367081217306,0.0006333055796569527,0.011448706512863279,3.410395383195485e-07,0.00022493628809830787,0.016006678360478966,0.0009654471661371169,0.0021787211322979827,0.002459066224203526,0.006178036338946498,3.980048136170851e-05,0.0010377669252728775,0.021783530736160888,0.0046341647445129015,0.0020535266980833116
Intermediate_mesoderm_and_kidney,0.0025374256427379695,0.004590722796102013,0.0005607585849941114,0.010949441384091875,0.002329866667089828,0.04047834556975051,0.018640792256603415,0.16297248232558664,0.0005462387419849395,0.5822764716079621,0.0025980440329790196,0.00011419631641412567,0.0003379881137963732,0.06174377065354677,0.004980077570658346,0.015165269585793461,0.02838373037420822,0.01497511120854083,0.002385683390900014,0.0174209179917266,8.861929141434616e-06,0.0251391924689222,0.0008646107864691269
Intermediate_neuronal_progenitors,0.32981753484833176,6.005478305390626e-05,0.0005133151447073232,0.0026760010624370875,8.461837786154903e-06,0.00381681999828731,0.006032849686796152,0.0030151824590784336,0.0007018268253622785,0.0010380934733714058,0.3885575846903082,9.653734917825915e-07,0.00010298977619215355,0.016175074569292527,0.00101970101660039,0.005391199163894372,0.03312614946268521,0.02646916370539747,1.5593994312853842e-05,0.17228436540827016,3.2615021288946757e-06,0.007139466266614364,0.002034344951599837
Megakaryocytes,0.0005503332385613279,0.00015094806513760555,0.13785795934647738,0.027775123850802202,0.00016767915885681353,0.003969950620811741,0.0014298348757292474,0.014534482803269641,0.0005615723812389165,0.0010538608818467102,0.01568624012368558,2.551314265633777e-07,0.6640081438009514,0.01776532278674739,0.001234991947621525,0.005570952807702707,0.0041259722985299415,0.009144852913793054,3.0877890972539226e-05,0.005113664573772805,0.014759892669747829,0.015680588858275266,0.05882649897404178
Mesoderm,0.0010518336704038163,0.003829634506983323,0.003138285863750871,0.01914599044626185,0.0005277975828151229,0.035878290954500604,0.011733117705038373,0.07835410786457948,0.005330598577098091,0.022318304040776376,0.003485696636198004,0.001697769514361607,0.0006972277330294231,0.6573380413525098,0.028627792431280295,0.03360906031456471,0.024123492061291944,0.01390757137782058,0.0005953860443083636,0.006598311991781701,0.0016625197720417687,0.04351299354314268,0.0028361760154611768
Muscle_cells,0.00043395445028952687,0.017968621557561588,0.0031153176298898875,0.005152689888477684,8.96155784011406e-05,0.013137199315531705,0.005323529377561933,0.01211700991514919,0.000643458757459258,0.004105932648339905,0.0018117214078084338,2.477064134475686e-06,8.065653149406245e-05,0.08883079365131474,0.7893325885277258,0.012519134523900502,0.02531499479401201,0.007543833185016725,0.00017018460922673084,0.0035468915905149056,7.163347798624007e-06,0.008201501538808439,0.0005507301095827716
Neural_crest_PNS_glia,0.001019850645797858,0.00019181424450803174,0.006834116099071406,0.008300602759178035,0.00012368537617815864,0.00767004193792472,0.008552516212191852,0.016824722944964506,0.0006622511685639892,0.0012806749935524657,0.0031339562320984683,1.2331862788236073e-05,0.003940975912586299,0.025701212765863516,0.003240671600634182,0.7783074681934156,0.07118380346825397,0.012444275915745501,2.443263569668198e-05,0.0100956628303669,0.0009504417327470093,0.024691826693752028,0.014812663774120674
Neural_crest_PNS_neurons,0.0068684867364723476,2.109410843208579e-05,0.00025521470718732625,0.0005565343667871131,0.0010785293530942847,0.0009584734835656832,0.0021744404461830386,0.003334233985590845,0.001012358879892203,0.0032502405582960606,0.0014363138234729813,3.885632475937702e-07,0.0017981465205144668,0.003715894192281097,0.00410806693604224,0.009162923913196678,0.9421343220079599,0.0022046134369050796,4.160845306260167e-06,0.012518556666136516,2.7144371350451705e-06,0.001480353742565781,0.0019239382897354323
Neuroectoderm_and_glia,0.025230882410629808,0.0016563312259009822,0.0021712727810790354,0.005339608397263082,0.004245334105717067,0.02679051440753798,0.1527171677854765,0.04013904808612793,0.0012840142813982326,0.008319462240472204,0.02952077797603322,7.886023872128964e-05,0.0006652641294924172,0.04339241881381742,0.004805320244197378,0.05637451242655001,0.03326555550313215,0.4563018966071305,0.0012678190464702691,0.06344135503875449,0.0006393145123438852,0.03910219542284716,0.0032510743189069708
Notochord,0.010964271055257829,0.0006784061201429657,0.0003175460550785792,0.08261063231773955,0.005517832191809367,0.03303197884020164,0.25616867224254386,0.0645349271263883,0.0006790936690571356,0.011530871896503266,3.4602488811445183e-06,0.00011189924789332155,0.0001949438076859752,0.052613964236938905,0.004571507840872179,0.015599877174515034,0.008700446522573181,0.039839507508667195,0.4045345325219577,0.005627886118545572,7.523590995570596e-06,0.0014936071166041845,0.0006666125491475544
Olfactory_sensory_neurons,0.0003875752664966046,2.3270622777580687e-09,4.009056124290985e-08,2.8783685517842384e-06,5.168982075088404e-06,2.0660802039499672e-06,7.466815508262782e-07,7.211143250943304e-05,5.486453412677481e-10,5.525562483493994e-08,1.4817946703195822e-06,4.353839777896565e-11,6.8110365301190164e-06,2.416496398440984e-07,4.703140545879206e-07,3.496559956322778e-05,0.2312147276732332,4.1003305950345447e-07,9.46986048511437e-12,0.7682702399853287,4.308510968581572e-10,3.4534179324091254e-09,2.943361722320574e-09
Primitive_erythroid,0.0017059927422225167,0.0005151805841799913,0.022986387943938053,0.013846826805863466,0.0004222779263923965,0.013299868505755309,0.012747363248366202,0.01807939456113178,0.0035091792401195313,0.0031111801657677683,0.01279802905931286,9.397654752720404e-07,0.007823838889781406,0.0522588940975136,0.0028692735496361537,0.011279224472072469,0.009318239100159801,0.028877066586501715,6.357290870660391e-05,0.013675551926959292,0.727468076848858,0.022680571411293447,0.020663069659992397
Primordial_germ_cells,0.0005672767520212042,0.0001664163931656764,0.20486708807011736,0.07534770969731673,5.9161001316834e-07,0.012831761085019133,0.0003253927410226745,0.01572709221135757,0.0023099338630868664,0.0008481857707021142,0.000617995650146248,2.7175552712213074e-06,0.01109504557938716,0.031631903128820894,0.0009821099623027916,0.020129312637082737,0.003968253425211397,0.014547505068074862,0.00015340113055962318,0.00016871750216493827,1.4415010478511425e-05,0.522560736632426,0.08113643852425116
T_cells,0.0007172020001518907,0.011319348154367836,0.11594831707656696,0.1019244685827113,6.539833961807121e-10,0.038092447255033,6.087585814110299e-08,0.02466394860579105,4.239068043434563e-05,0.006699304856271102,0.000844069386182306,1.63190282804056e-13,0.03125328707857382,0.11723710366366046,0.009623715145331495,0.0018796638712615082,0.0014390967021327115,0.01578301074378678,2.7058200709277198e-06,3.191729914867772e-06,0.013253890559994591,0.3912483029526172,0.11802447360514119
White_blood_cells,0.0008904154982785487,0.038721133660236315,0.08540497784074917,0.04716975983241474,0.0003176458741490754,0.006959763266075536,0.004106399741306253,0.011076027575305278,0.0006263074547604418,0.0014409470619528122,0.009692568490160924,3.339385518421187e-06,0.050063125521218166,0.02571997586375759,0.0028446579876974533,0.012576173919160905,0.005526242802570975,0.01463306485371346,3.0395405096239647e-05,0.003870760014732278,0.025950753854049217,0.06092503925973021,0.591450524837366
