,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.9292569340736526,1.887758335457612e-05,0.0004040612917549917,0.00024799551946657895,9.755761500941535e-06,0.0013140496121461665,2.8886643682348902e-05,0.00012132786886284205,7.748483190224339e-05,0.00012444680274211782,0.006555502895782179,4.5256644821478433e-07,8.464359944399348e-06,8.025219150278131e-05,0.011224722707473343,0.0006044345326634839,0.0006791189211852759,0.015011365816643774,0.030398721465115186,5.158096528270522e-06,0.0011905796358365338,0.002153747524007828,5.718745907855329e-06,0.0004779405518954091
Cardiocytes,0.0030586223628225567,0.8047897810846886,0.0005531856027897742,0.00027227521936517657,4.815710421688954e-07,0.0006728203232015325,6.539260164711229e-07,1.177834022477735e-05,8.410942345558064e-05,3.732260387183547e-05,1.922132709365038e-08,3.0394694906357564e-12,5.774648367081705e-06,0.00012491178290041055,0.0688440077757851,0.11977602392185725,0.00011646661590798231,0.0001681611485715889,0.00028262235791572793,2.831086492350466e-06,3.5074749372825586e-08,1.785733778340967e-05,1.29366116543269e-05,0.0011673219561702786
Definitive_erythroid,0.0010526170850590438,0.0014220271119699491,0.6005691826886247,0.0033455770133736422,7.4161206792358015e-06,0.0033476263886789296,1.4769270674424225e-05,9.233668879602867e-05,0.008460591463986925,9.699426204970703e-05,7.498781013888227e-06,4.07186419463416e-10,5.634602293024083e-05,0.10657743259760799,0.045558459608745,0.0010774128498724004,0.0037582700236834994,0.0007211869744440598,0.017641825427963078,1.647136361670697e-05,1.9280271127648365e-06,0.13474713133381117,5.608146911399083e-05,0.07137081701900613
Endothelium,0.027655318962738977,0.0002840982402529716,0.008783170207334826,0.7566980879177542,0.000136292455100294,0.008022095245950765,4.432875087157111e-05,0.00038949075045194894,0.004122243815439646,0.0009151299793518855,5.847685802673605e-05,6.346912320803662e-07,0.00014264708743966283,0.006709653560038645,0.1114169382708456,0.0032601848466680297,0.003111000471245199,0.002573244095109657,0.012665735824835182,0.00014274858705052163,5.908752097672293e-06,0.019464632906807493,7.743929908973032e-05,0.03332049842426674
Ependymal_cells,0.28169271185698397,8.810672391999602e-05,1.2863328190681661e-05,0.00045353040067595905,0.4189200078862617,0.00712587633672878,0.00010633043650021292,0.01624484537012875,3.613149580671e-05,0.0011112731816659688,8.823687329318206e-07,0.0012161969136330862,1.6165747998808592e-05,0.00024399100078531313,0.08087053102796325,0.0010970383818572382,0.000137046488017958,0.0037772690191466883,0.18484093141093907,1.280472922001435e-06,2.9886245837084037e-06,0.0012198936821561507,1.7944997703109637e-06,0.0007823133446307215
Epithelial_cells,0.03490053455142166,0.0002953846094664187,0.007765552417549923,0.005201268423845384,0.002718108912011531,0.5280157871257576,0.00044398469176638823,0.006632648808200861,0.006753622952829062,0.005907179263425499,0.0003929433257408699,0.0003747125992123423,0.0007012029458045288,0.0015397195085699996,0.31052261282556454,0.0221104545185461,0.004855276502876569,0.003936228303260929,0.03573054412283678,0.0002561296543745486,5.393534175802967e-05,0.014319720535812533,0.00014592328662412703,0.006426524772743823
Eye_and_other,0.3484766814614905,4.131399731148085e-05,0.0005729923777994972,0.0011484559036590179,0.0014623510790967075,0.07766492738995755,0.0037925381110010085,0.0018132494470071338,0.002767727271081341,0.004931605468110975,0.005826368052283685,8.022871119697986e-06,0.00029762348560838457,0.00013178758798315654,0.24540753896987552,0.00907156159452783,0.007788400240127684,0.005924036782939069,0.27187523505493455,9.734884863278931e-06,3.6375466499535056e-05,0.009831823502512462,1.4321131994075157e-05,0.001105327868215821
Gut,0.03212897676298057,0.00026096681567909947,0.005171924546547178,0.005207013985271359,0.0004563103762420095,0.09492741750920307,0.00015051525310492026,0.09366683894580968,0.03297756059364449,0.024251405685643428,6.644610039372043e-05,7.271598917771666e-05,0.06095382982823788,0.004699735179484314,0.553630500547229,0.019760963357273845,0.0043459364629524514,0.010889870450204665,0.032845908841699,5.883523450489578e-05,2.6041533086392324e-05,0.018283591536821377,7.913656303565926e-05,0.005087557901773281
Hepatocytes,0.00026891360180255464,1.9780914047811955e-06,8.116119717196761e-05,7.261201245750283e-05,6.47703927932619e-07,0.0003142224159612811,1.0596895664941483e-06,8.273361346717658e-06,0.9868437053409633,2.886151378812668e-06,1.4242809813910796e-06,5.2801618573200945e-17,5.745823160439339e-07,1.1090110094321225e-05,0.00334666203762957,0.0003762767883641669,7.514004393097011e-05,4.779447045504174e-05,0.0010088152486641304,1.2056029954133743e-08,5.486437545187438e-07,0.0009353478091457438,1.1084729580508064e-08,0.006600843277923198
Intermediate_mesoderm_and_kidney,0.016687400633411276,0.00017923253465899097,0.005290357394216687,0.007864728567323547,0.0020203765009213564,0.07898140695999147,0.000631746952208223,0.03454262762093107,0.0032832643471725764,0.23754519216129955,2.3943804982166426e-05,0.0002991027721588887,0.005315601358254386,0.0020068883889084077,0.5171009300389764,0.021372413255493904,0.0030835042697189567,0.0055849864128707715,0.03878284244417299,0.0001024664961386247,9.40972167563776e-05,0.013212790708243886,9.222092918725486e-05,0.00590187823200222
Intermediate_neuronal_progenitors,0.9565490069770258,5.443651188792505e-10,1.3159336093026942e-09,1.572775717319509e-08,9.610730172055354e-10,1.8313179232088812e-07,4.641143113553794e-09,5.794553569278212e-08,1.2954150220835857e-09,3.6167340032193087e-08,0.029327652042519397,1.438397497014062e-14,4.838751158346451e-10,1.5728155743268495e-09,9.550983849608647e-05,4.118944907845142e-08,5.225060348544514e-06,2.853653913517223e-05,0.013985748668261907,1.2604702243642247e-11,7.93270025093909e-06,3.794000918844483e-08,1.1469618007974142e-11,5.233369392821657e-09
