,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.4719041385042858,0.0004821377032501048,0.0011835551365844247,0.005147049309469652,0.0015121639318989022,0.0110980665733165,0.03967466287030795,0.014318848323539727,0.0003869290310447029,0.0020018024782155384,0.01143781584949786,1.3980969303197762e-05,0.0011644762947587482,0.0013501082126443629,0.010069022162408372,0.0025787356374777142,0.004468829463028201,0.05560721944003836,0.06488713010608563,0.0016358611510678032,0.29194620852641534,0.004417790656582177,5.6824102363095095e-05,0.0026566435664157964
Cardiocytes,1.1624088691476078e-08,0.9959962653291887,1.0268340250211957e-08,7.81826551812688e-05,1.0017367063007412e-06,6.244683205899332e-05,1.6081831296528576e-05,0.0006664217989851963,2.9920740076602393e-09,4.80714120512067e-06,1.4424745145175086e-10,5.024797943992246e-10,1.5387081916365253e-07,8.298673275339878e-08,0.002781518581831162,0.00034519917505473,1.2591475885113491e-06,6.746224039451455e-08,4.3731707935187657e-05,3.567833464276113e-09,9.44917149390247e-09,7.380251998871513e-08,5.766104203841619e-09,2.66162631653297e-06
Definitive_erythroid,0.00013297550301274945,0.0015644587086318744,0.7003211368124531,0.007898754427924074,9.750315242193514e-07,0.006151733444718685,0.0032448116639293635,0.027490887748026018,0.0017976240459722029,0.00011341978807234078,1.0483417992887278e-05,9.402971940170757e-06,0.0012349416482552056,0.030067119700488417,0.012125457618093404,0.002714624158527897,0.0020418011085869604,0.0007482006319300688,0.005654854691146372,0.0005174676763201971,1.627913659110449e-05,0.1083203999498222,0.0014098051447776737,0.08641238497126283
Endothelium,0.00021776033079168585,0.0003391431589344271,0.005061407230509123,0.9123628117233215,3.068269298974866e-05,0.006587135624764574,0.0028965354796742352,0.014678698900962836,0.0006201819794912444,0.0006954437814599278,1.902249149003007e-05,2.716149899796443e-05,0.0040514191660918665,0.000936740771248604,0.01930164973760554,0.0014690257544653059,0.0024674658854012222,0.0007811213197742527,0.005755084642410677,0.0005626706025151749,0.00013250913446082846,0.01084358916705314,0.00010623183341907967,0.010056507092167004
Ependymal_cells,0.0008192619025870062,0.011197976086418178,0.00040423422789155963,0.0041416940271613726,0.6525713350866219,0.050351781030827325,0.053774987615327244,0.025382005244288637,0.0001339652110662673,0.04501098122243025,1.6222804695447095e-05,1.9788704307956348e-05,0.004698684078186246,0.03764941254772893,0.019966541303419575,0.0017872996794036117,0.001284150435355849,0.0015859814947255166,0.07984903632850399,0.0005278743455560097,0.002862936415294099,0.002545401045075081,4.702551191536764e-05,0.0033714236512126334
Epithelial_cells,0.0005436159260096413,0.0015189248713134084,0.008666323029449896,0.024665719427563966,0.000915085963801731,0.5914587654846606,0.03949649418486329,0.1534990585325831,0.002632323277390026,0.006977028301972727,4.1984463227690306e-05,9.174807432575875e-05,0.022903655348991338,0.001990829952484086,0.06110731927062243,0.010504468707675565,0.012305288841773357,0.0036038905762448624,0.023001544796872796,0.007235636543529517,0.000977033929241697,0.013601259524557412,0.0006926692647841994,0.011569331706060873
Eye_and_other,0.036877445317153805,0.0009681156805998676,0.0038433996377462737,0.00997884742678509,0.0026067620679161418,0.05771101178595957,0.4651926685333695,0.06984037054922976,0.00123353580004243,0.0026465267472812535,0.0009545243083980808,7.125559824222057e-05,0.008792391844820398,0.0004464926828882217,0.05841349349217392,0.006601517919886357,0.01511737308814392,0.00472470458879973,0.21875878836645227,0.0025524654969784713,0.019058778592897917,0.006729246015089462,0.000234057934081569,0.0066462265250638135
Gut,0.0003772121567015975,0.0003606067637715943,0.007638850133589503,0.021169003350595128,6.012612990904421e-05,0.09150119919508838,0.04222877374737289,0.553103822094133,0.018558325696077044,0.006072029474893495,2.191099171460603e-05,7.731513463081775e-05,0.1114162717893078,0.0028659636301683676,0.05444781067796759,0.008239880508354763,0.01582808672117524,0.0027577129887618097,0.023065913575610306,0.002032621841766689,0.0008319776919719978,0.013954294714670126,0.000994693062926787,0.022395597928841382
Hepatocytes,5.2657857087354107e-05,0.0002714652714722228,0.006917185861737651,0.006203746226110448,1.2673381941090703e-06,0.0017375042110238425,0.003009785336785575,0.024650746173624147,0.9178158349387112,4.1373945855702984e-05,2.714052611947162e-06,2.2884914143026573e-06,0.00026156769933247885,0.002349892556546668,0.007989953018304565,0.0010672660671240044,0.0005672114022621144,0.00014136284431874192,0.001603246033499505,7.500900153978711e-05,4.748485329577461e-06,0.003459424834732182,9.500434014869287e-06,0.02176424791836703
Intermediate_mesoderm_and_kidney,0.000508691824742921,0.0046623852125574705,0.005746789744926775,0.02383949794980994,0.00025456355081571695,0.07706924531458327,0.05641633274787849,0.2426817120247212,0.0011675265855914754,0.347705036563029,2.013187441686319e-05,4.151801478762917e-05,0.019925219947401148,0.0053220782453665925,0.11987641459303357,0.01697090641451283,0.00818955805532521,0.004087864423204165,0.018961602830741338,0.020497296014994955,0.0011572778463143656,0.010167570789404145,0.0003672698223338626,0.014363509609507118
