,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,T_cells,White_blood_cells
CNS_neurons,0.9491979159292949,6.923157430698698e-07,0.00022251574328254384,4.902369397747356e-05,3.7015612344006585e-06,0.00033719952149378,0.00018499975513343176,2.68009269852394e-05,2.4064043616898736e-06,1.0966777472316115e-05,0.014390787527493412,7.15698909818767e-10,7.346196739017459e-06,8.175819299103901e-07,4.360357833480729e-06,0.0019680676621809056,0.00013997570610428678,0.0002192322053793492,0.0014926583240989796,0.02939705822274027,7.458560492583561e-07,0.002206756797419477,7.579676313918895e-06,1.4080692789716587e-06,8.973818215900903e-08,0.00012689273357885215
Cardiocytes,0.01078175339117624,0.35115723443592833,0.0016775292393944171,0.000919950566522905,0.000728518266453999,0.037696550073291625,7.398688908602722e-05,0.0017478067217409497,2.4118830855637205e-05,0.001984512123809743,5.534898231944701e-05,2.958363096849756e-06,0.00020530868575174434,0.004318201281722128,0.0003829558406427641,0.03945302065577842,0.49007401954742286,0.002403932297740307,0.0018745154814221925,0.030942848617891844,1.5901813934430012e-06,0.00011776569862466496,2.9997826208345904e-05,0.00010446832635040693,0.0003426711058863592,0.022898436569488353
Definitive_erythroid,0.008639904291954006,3.1636822519306036e-05,0.7177663904764615,0.0036578653392601635,5.478842636396908e-05,0.012653197040196804,0.00014632273295754692,0.0008331581435579772,0.004877757127526747,0.00016953840888906036,0.00036161956945066905,1.0960987486263515e-08,0.00032824626313806725,0.0008534842018419443,0.015890936452737085,0.06382379344216298,0.005130563259599081,0.006053654864367863,0.002004807477580151,0.07178052974108283,6.744263464046667e-07,0.00023100702697128624,0.029114745557687973,0.0002511100480362762,4.197342691724045e-05,0.05530228447140555
Endothelium,0.02794067108240575,5.190179067409451e-05,0.01862112751360078,0.6354837829747878,0.0015860182007011463,0.0316100185902693,0.00011207507889952385,0.0030621890023810367,0.003263694605406393,0.001453299615384991,0.0002934964638019508,7.99648364187659e-06,0.0033955112048351353,0.0007118398583318807,0.0009668622817442997,0.14564735765972686,0.007764118498887361,0.009319305150232765,0.0018921062035551757,0.045496335799157205,7.139987494898658e-06,0.00017340818383892084,0.002070207554542413,0.0001731001198024513,5.9068714218048735e-05,0.05883736738167793
Ependymal_cells,0.06224128289572994,2.3568668566570377e-05,6.49998474844526e-05,0.026925426730330246,0.5581133941793214,0.06059522258081954,0.0002776513268230489,8.502517965363835e-05,1.4935211595674719e-07,0.0003082718127132844,0.002384590653173507,5.054592471030617e-12,6.652168115411828e-06,1.6812125941207099e-06,2.2548563050735496e-05,0.017322158391929077,0.00015316273258122884,0.00026471802255284544,0.0002912147871607579,0.2691335977132717,1.050498551677219e-06,0.0015548413533299451,8.470190525453775e-06,1.233006560669737e-09,6.36413674580237e-07,0.00021968348786984292
Epithelial_cells,0.04231956326559371,3.938652042976685e-05,0.006774113074002138,0.0024267501020182386,0.0017089899684657717,0.5913040850358507,0.0010980435633114868,0.008382662586864945,0.0005671323374743033,0.00198924924378567,0.0007131675494043766,0.00021004361134645367,0.0048099548229018395,0.00016389905459385904,0.00018472296034984903,0.1630681200319671,0.015913468684387356,0.012720382878367568,0.0028630667836740172,0.1350005926515748,1.9024979922285578e-05,0.0005657110811099951,0.0012170800848011884,7.549764506074825e-05,2.8665346649189968e-05,0.005836626136092574
Eye_and_other,0.22307527070536914,2.3039945523099145e-05,0.0006420139690512243,0.000612534640966987,0.0019325906182539475,0.017921179537230332,0.1692491621178104,0.0012896228584707702,1.2160299777999679e-05,0.0016052278228163735,0.00378358527175887,1.4091049255196689e-06,0.0002079602418724914,8.163776512552849e-05,0.0001403729111520003,0.037121221431901795,0.0022971576550803894,0.0046183476235431105,0.020797902723090244,0.5111015440238617,4.765814084053579e-06,0.00033635363805587957,6.531013060969749e-05,1.9253102441317758e-05,6.2151889338668186e-06,0.0030541608582932817
Gut,0.05530475996209167,3.189993251251012e-05,0.014113443389686743,0.0028315350779208374,0.0008428039420827139,0.18948025311464778,0.0006832444675127739,0.10252201928885564,0.001286530820370204,0.003837112197623158,0.0006824777562311413,0.012336113972269688,0.0666527127790008,0.00028656643237473864,0.00021817806488295678,0.32375957382933146,0.03840639674878319,0.0219103332080914,0.003555839518985085,0.14740724324841276,4.671612544330529e-06,0.0014028269286726883,0.00015738646625184808,0.00014437187402979064,2.709155970960145e-05,0.012114613807124475
Hepatocytes,0.012689332043419987,1.808883582202402e-05,0.004765589092723773,0.004236663081026398,4.872194964846377e-05,0.007522183212959919,8.153695392270122e-05,0.0013835582175773195,0.8805167373636466,0.00012974660341308526,0.00015987820550722844,1.1268192748442644e-07,0.0001194622123004322,2.9935191263049835e-05,0.00011574585700512332,0.03586645674131899,0.0019128672356703953,0.0024356755059998397,0.010844328069547896,0.030044388860289734,6.306088732960459e-07,7.082475834484983e-05,0.00015345149788574482,5.389953182343567e-05,5.324402809148454e-06,0.006794861285273171
Intermediate_mesoderm_and_kidney,0.07384058966940538,2.086289388509069e-05,0.0019845990823752083,0.002076296173411063,0.004407178224771481,0.1266286694110048,0.001230465037695691,0.007644487217770849,0.0008309104164770551,0.20769922811688485,0.0004499550932139802,0.0015266455288110035,0.0008289252441656249,6.731379957390779e-05,0.0002588046528734972,0.4002016259241078,0.021281484900150523,0.005999547072448854,0.0026707258559480426,0.13211362303308857,6.460364355670408e-05,0.0024787418527843423,0.00010612647939949622,2.4358163941870566e-05,3.268621790203322e-05,0.0055315462943522934
