,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,1.3331327198866982e-06,0.9366237852703989,2.0121763812419047e-06,4.404481816361679e-05,0.00012177093298231897,5.299085574947298e-06,0.0005177246240685027,0.00013485193380646706,4.2010285719692954e-05,6.0856198950620465e-05,3.0507280086849304e-05,0.01699434094680436,2.377278945024137e-06,7.924357585950333e-06,1.3176085542726343e-06,7.892840864934212e-06,0.003877596135600295,0.00043130027259916066,0.0004338326260806681,0.002539814772578045,0.03736342621972995,8.356297449583147e-14,0.000649149086952251,7.036093414933086e-07,1.076202958651851e-06,0.00010505230246828514
Cardiocytes,2.1615356248812026e-09,3.526434978854213e-08,0.5344889779104246,2.673570530075746e-08,5.680747625938174e-08,5.61393208232373e-12,9.734295537756051e-08,3.810364537511032e-11,1.0256932229104127e-08,2.925167674093609e-08,2.841823320155214e-08,7.148018869020605e-10,3.3842550410784214e-11,3.5976739493869976e-09,2.7470668199480474e-11,8.05648795000757e-09,4.766249747912514e-06,0.4527565853074582,0.01274903868221183,1.2110781754064976e-08,2.5217229994280494e-07,4.1715537973806686e-26,1.6342127709472926e-10,8.715285191343932e-10,5.899122791197092e-12,6.781336760810782e-08
Definitive_erythroid,0.00018248350392399926,0.007672919047067638,0.0010764734663026593,0.6217973679822932,0.0073569953149059154,3.9066074433948536e-05,0.02420246961572361,0.00011087722011763908,0.0015399364000318807,0.015844271727397122,0.0006011380897453532,0.0006009837230174997,5.749656024843514e-05,0.00047441470591837046,0.0008926030774460811,0.01596466753057374,0.09427491508987876,0.015274813566837788,0.011264432101113159,0.0042600397292876955,0.0590914530371243,2.3693732351375723e-25,6.180516801692738e-05,0.013523591724385414,0.0029106365749137497,0.10092414896929508
Endothelium,3.924586431668815e-05,0.004908675811567808,0.0011841709536174181,0.0008732695164533372,0.8940733703991027,5.368197181865351e-05,0.007013644583178613,4.873656161780972e-05,0.0006675783103610328,0.0030035951750655866,0.00039269408588018265,0.00014226006221531597,1.898455236785929e-05,0.00019265404332797188,4.3857853758638687e-05,0.0004040395739410957,0.058690224058187926,0.004942701216294933,0.0028695273318368646,0.0007964735879913628,0.014764616320062908,1.1004288131631997e-17,2.6489227918189086e-05,1.857501963507423e-05,1.988911943065678e-05,0.0048110448000513815
Ependymal_cells,2.231991963011906e-07,0.15790851560164362,0.0015928215727291507,1.7598413413776245e-05,0.0007039124676830397,0.35349357454890584,0.033998627529885826,0.00027957250389713405,0.0003245859145852865,5.9934166173773186e-05,0.021830316834771813,0.002019772557584786,3.289287436409423e-06,4.645610576712213e-05,1.0614905575386145e-05,8.329968918277792e-05,0.061613791260418105,0.001715201551116414,0.0008427180660553025,0.0031191604500242073,0.35883424017711374,1.0561337502246657e-07,0.0009769926636448575,1.5568256374738876e-06,5.508390523557727e-07,0.0005225672551304824
Epithelial_cells,2.0382829918563216e-05,0.03786657428368476,0.001613349019020539,0.0009381013107236633,0.005531918875171636,0.0010583659185956099,0.5376514796740116,0.0007321717220203815,0.014841016176488881,0.004683652950026444,0.00844168757285194,0.0005188382344375056,0.0023262745504338263,0.0015989974529585335,0.00011704650239156143,0.00021069941600943703,0.2699851397143135,0.037244033501814995,0.011891370104355965,0.005749814854349342,0.05257930448648619,8.353552425962642e-06,0.00118630578949263,1.3284831430615054e-05,5.214536431775802e-05,0.003139691312268207
Eye_and_other,1.706873021606619e-06,0.20815943008414822,0.0001745667090325632,0.00022003389129911295,0.00124298931462821,0.0005457456527529858,0.018274353665140568,0.14983901256890425,0.0009524639383847753,0.00038559228094021215,0.0025162617466714344,0.0015417539852054306,5.1932929204817125e-05,0.00015018420401868596,1.7178443015776066e-05,7.014098751704607e-05,0.1068182504235065,0.012359312632721152,0.009157152770307096,0.026653224380700436,0.4593852124159877,1.2129675071985367e-18,0.000416982100602971,6.042333502367396e-06,5.535281570145832e-06,0.0010549403872159168
Gut,7.288262135473682e-06,0.07764980907353089,0.0014322008873673205,0.00055427982922981,0.006728938750691425,9.52362165959387e-05,0.15699861873647866,0.00028113557948047593,0.2142621865246004,0.07589601691464877,0.01964457696848898,0.00024674981140294705,0.002497420169442112,0.034491833145449464,9.690391700536932e-05,0.0001744889588223445,0.2725936162225906,0.04921182595580191,0.03665656207532077,0.0070565547479145225,0.04006022197009266,1.7012966862397584e-18,0.0009778918421952728,4.8886090335228355e-06,3.399378313877197e-05,0.0023467610485415845
Hepatocytes,1.343131311410652e-07,1.6590595536759547e-05,9.619533275028184e-08,5.605851345545133e-06,0.0060268451924320905,7.783936995780776e-08,0.00036992893702178606,2.267697086636708e-07,2.4873787475443904e-06,0.9932701971227292,9.856642389867104e-07,8.682164656077727e-07,2.0004488794112338e-07,7.767224319447604e-07,1.5263454734439263e-07,1.1370779459662321e-06,0.00016199930439878747,1.8881436337013997e-05,1.2569481926829368e-05,3.922561669735192e-06,9.328848314980741e-05,0.0,9.746959882551759e-08,8.593876875579369e-08,1.1781461239672134e-07,1.2726953664564491e-05
Intermediate_mesoderm_and_kidney,1.2149943450995633e-05,0.09779620976733167,0.0057048890785640054,0.00044413554883568416,0.006189617372898286,0.002531299110542221,0.07374695551328528,0.0010186409020415139,0.02180860743882296,0.003223451585792958,0.34833922873364376,0.00024663920917532555,0.00010661085403853856,0.00030768825298476196,0.00011143816127516247,0.00013183791811472237,0.33562731529222334,0.020308920925041406,0.012704659369288804,0.001955089087638363,0.061731600634579276,1.0414725052655134e-08,0.000746182867832506,5.119346464183512e-06,1.6840878312310348e-05,0.005184861793096933
