,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,7.840677232593145e-06,0.5543232423118621,0.0006173385038159766,0.0006000957070575154,0.0063108534854640136,0.001560143622184274,0.01827792964392694,0.06478091169185542,0.03377396529863843,0.0016501667734202482,0.0018211400151792734,0.03713755590299748,0.017216104588471212,0.006012411639467816,0.03375315582754567,0.0002470099946420072,0.04739216225406039,0.0017946699656179418,0.010117432783761562,0.04674066487632012,0.06787215005451727,0.02998659685627383,0.006557743834261971,7.854818055866723e-05,9.031553194749287e-06,0.011361133957672478
Cardiocytes,1.0758307603653089e-07,2.4665342689738116e-07,0.6736499627535044,3.625696741934357e-06,8.320419461758811e-06,3.008365414067954e-11,4.793246233924797e-06,2.2725901027222354e-08,0.10881282325146492,1.9821522866350394e-06,0.05554349315271313,4.413978045969056e-09,9.992096407007859e-07,6.386140247459343e-06,5.842422262691806e-07,8.089862101468454e-07,2.1315257856365476e-05,0.16020595933120838,2.047218219338101e-06,4.776116469751871e-07,3.102120881461133e-06,0.001706575266289877,1.728328137097542e-09,4.091314143383385e-07,2.735247567892612e-10,2.595140343339849e-05
Definitive_erythroid,0.00010690775887207515,0.0002038921305319003,0.0003319829879860602,0.6228614832497263,0.004286698850393876,4.429099893447106e-06,0.01062884983572159,0.0007056611115884875,0.01279704601503681,0.010812732021209115,0.00013539126203621614,0.00011844712166324553,0.002780908856414632,0.007292368665496013,0.06129254191078549,0.010502879148587937,0.014906389128907425,0.001968990245539764,0.004145220245939463,0.0027203710284901773,0.004294910786914658,7.453425923527026e-07,4.793015996019731e-06,0.028802146149959015,0.0002751632906905963,0.19801905073902734
Endothelium,3.738810902305681e-05,6.969134950819592e-05,0.0013720783376244044,0.001276989486434658,0.9293486614166238,9.994563846195072e-06,0.0029558807585431334,0.0005069927504253905,0.008380521213481791,0.00235056531386253,0.0001213404193406676,3.6019213975143615e-05,0.0011705390817422319,0.00600543627134075,0.008660350123702943,0.0003686275504407298,0.010311744329217576,0.000916851989125717,0.0011507631450680762,0.0002639880443139159,0.001553407078429578,0.005923062651036019,2.1843143583465396e-06,0.00012201004755773311,7.96539200587909e-06,0.017076947048971593
Ependymal_cells,1.7832066554854956e-06,0.00021807154751791178,0.0022011661833721452,0.00024099756553506307,0.004057466885359735,0.44998069505981214,0.07517513450397098,0.013350410063034803,0.05411663892706721,0.00023656804995850103,0.011915713259581304,0.0003900686766383961,0.0028288624494430302,0.012428087812156237,0.02793308279697065,0.00357370675253438,0.0337723857911792,0.001267587735299213,0.0020743282008591746,0.0005970247876345296,0.12087987070080079,0.1564231178958758,1.763319553869526e-05,6.20493795803339e-05,6.734191465847116e-06,0.026250814382158434
Epithelial_cells,3.0101706395428532e-05,0.00019953991322374016,0.0005597980864772989,0.0024401740627281224,0.008704274824149998,0.0004998940283761712,0.5008555075309556,0.017020784225681037,0.1168981060199247,0.003967452804178931,0.004595788133409247,9.320354386263822e-05,0.09177795488265096,0.037220935717778306,0.06271144027281636,0.00042846447638847276,0.0592378980411974,0.006623309276046771,0.005408191897785248,0.0013672556554354147,0.006566572645658025,0.046516465267110264,0.0003949065995738947,0.00015033418913879955,7.387799147911903e-05,0.025657768207577966
Eye_and_other,5.8431085471635195e-06,0.01916035388354605,8.872642211885253e-05,0.0011774379142260084,0.0032741014240938514,0.00037685311913595595,0.04734040269459173,0.48527665339883735,0.04069568083755535,0.006120473877666378,0.0035395600141482427,0.0003409107046041971,0.071728756168921,0.012083441555340513,0.020606312227105718,0.00029894295335379555,0.07613750298256611,0.0065283661436581954,0.010524896560738914,0.007729208775495737,0.10503498866493127,0.06488249238803649,0.00012553059376630452,0.00015492349705811646,2.533666983185691e-05,0.016742303420124845
Gut,8.72488256226426e-06,0.00011098274791450216,4.666991215433526e-05,0.001173578065290622,0.011548502163884127,0.0015472944083109528,0.055625001834989654,0.0011985212116985351,0.4958570212725895,0.04543269344261662,0.00604042260333881,6.900804022833988e-05,0.11254303700825632,0.11653835117715679,0.05310292446874629,0.0035148574341159725,0.03567764471648463,0.003501288530108128,0.006782814273204004,0.0005143754441368571,0.0025897847490359335,0.033928855645965976,3.407871857136513e-05,4.975671165101706e-05,2.3911784891542204e-05,0.012539898752096918
Hepatocytes,2.423086423392514e-08,6.948295750295759e-08,5.820998747939671e-09,1.858179515512279e-06,0.008521369590847051,2.32554662570549e-09,2.47985392741734e-06,4.3910733545270744e-07,5.634989930400276e-06,0.9914299767087854,7.748910429606645e-08,2.6743085755912455e-08,2.3369307015194043e-06,4.722726733988225e-06,8.884298879410594e-06,2.471207361356141e-07,6.343505851599856e-06,6.957318932425635e-07,9.792823825254322e-07,2.5998576596386444e-07,1.6575565819493005e-06,4.9403280466236383e-29,2.3833086426388946e-09,1.1166613856087378e-07,2.0440930563769908e-08,1.177384719754535e-05
Intermediate_mesoderm_and_kidney,1.9746191292711286e-05,0.0001804602272632073,0.0035034288323625407,0.0016883785470455871,0.026967565132094518,0.0006522921873278977,0.06803241037017577,0.01555768603198699,0.11574070330602487,0.0025792770214290374,0.3063101915645032,3.3422651713374645e-05,0.05042565738144558,0.018415902765508117,0.08826058668288139,0.000475524522923928,0.14972197272041454,0.008104383546286958,0.007244304862685954,0.0008557859852353924,0.005997899158662925,0.09123167691291865,9.6176855360178e-05,8.420579564676784e-05,2.780289514185498e-05,0.037792557851668095
Intermediate_neuronal_progenitors,6.87619428714257e-05,0.1240143780496693,6.501129607222978e-05,0.003294519428604249,0.005018797420007143,0.00045561429919347655,0.013518703338934518,0.02087337964758167,0.03614764829238727,0.0013553190910419223,0.0005504500276063742,0.49855259229056503,0.008622303118747374,0.013091887540288102,0.018062411720008005,0.00043605297556257244,0.08466449647437499,0.006043452428643083,0.014287940351921031,0.007303651475968413,0.11954908888760044,1.357730073949366e-09,0.0006750942758415352,0.00023272502727843784,2.9772463816339833e-05,0.023085946777684996
Intestine,0.0,1.8441088477920297e-42,4.3676449322035254e-32,2.9942190000640035e-39,1.2200074074421914e-16,0.0,2.7567383431099217e-06,0.0,0.9999970570434179,1.0852124205451272e-24,7.9435141983094e-12,0.0,1.8620828951204435e-07,1.4137751198807877e-25,0.0,1.2715222927300283e-25,2.0058562763926874e-12,2.1201750380017944e-18,7.723062934828052e-24,1.2830492848487913e-33,6.999243753743433e-29,1.6131625926692665e-29,0.0,0.0,3.8359805724519166e-32,6.528213681424085e-20
Lung_and_airways,1.6294646501492247e-05,6.659198437295953e-05,1.4784374219628017e-05,0.0015598069266035848,0.017650501111849633,7.1040182723076266e-06,0.011809725783553339,0.0008828069203586589,0.059163255164442145,0.003250660014722463,0.0004665436971900129,2.3331086591618567e-05,0.030323383143036876,0.8170659222342734,0.01937093882454666,0.00020581810453610563,0.016958867467393075,0.001460448781618898,0.0020326468298128976,0.00029349069825182207,0.0018462122394003254,0.00021369834467368612,1.3580559803512418e-05,0.00010238908325346066,9.403904910303193e-05,0.01510715891161842
Mast_cells,7.0825216460642e-09,5.132027329424877e-07,2.0322852280657257e-06,0.0007682790127756766,0.003447934968520268,6.051937588504511e-09,0.0011865259090915903,8.255759854537935e-06,0.010755116999396618,0.0003255229660431817,6.633513716950999e-06,9.513088582042415e-08,0.005779111264321827,0.0002907195289092624,0.26695635785963023,0.32008096421258264,0.000192813457921906,7.316441734633604e-05,0.00010882227017876533,4.443685135283483e-06,1.6749212510258256e-05,0.3331849558962421,5.569851255535058e-07,3.081349617467639e-06,2.549884344688528e-06,0.056804787093428816
Megakaryocytes,3.061120959464288e-05,7.639803718140473e-05,6.210695010386345e-05,0.05687038005700813,0.018848946816226796,1.4138698507747329e-05,0.002751777719795362,0.00032360925379586587,0.011399101767230089,0.0013380673834815998,0.0005806305715612451,8.241948525683993e-06,0.00046886376878841284,0.0028717187992293096,0.041683995335357764,0.5786830339795562,0.005863340726496648,0.0066386355910496,0.0013906724420072283,0.014730730483363477,0.0012350894138700506,0.03683573477473164,8.960340333395043e-07,0.0005503916327097927,2.1852788118001602e-05,0.2167210338176761
Mesoderm,2.4245717211301514e-05,0.00015226121779510373,0.00047378058013365214,0.0015816225180760371,0.008340905725291375,2.59368006099353e-05,0.023473220045519796,0.008736522212046205,0.055321543978702106,0.0045024223037707515,0.0032792934081678285,7.530478777037223e-05,0.028923045533978,0.09061611508168088,0.01421377980487919,0.00022114874239902534,0.7070645158864461,0.015041677082752333,0.005294551209529895,0.0013592810280349098,0.0045139353125733675,0.015432026940743308,8.138524688416076e-05,0.00010675578158339114,2.3359578400030966e-05,0.011121363475020947
Muscle_cells,2.6534812308686414e-05,0.00012650961587429567,0.03204935643473985,0.0015454295087570047,0.0038899100014990577,7.1690138991636044e-06,0.01865025897512754,0.007003400622209116,0.04849166947791215,0.002760850466130258,0.0010746422433914513,5.0217049184566966e-05,0.05169747162387018,0.015295149994759475,0.012724713775461612,0.00025069482533095634,0.10537819085497371,0.6643238957846892,0.0051126803742206055,0.002075388001966009,0.003807439295788585,0.012239501255393333,4.122082276854111e-05,7.170607242859237e-05,6.077032682129588e-05,0.011245228770494812
Neural_crest_PNS_glia,3.113080271002973e-05,0.00024692606213946514,5.079106930212378e-05,0.0027479643115918065,0.007343361991484438,1.775866599014806e-05,0.01598851362258004,0.006031107080236336,0.03939309293250085,0.0023799198374860942,0.0008158085879708006,9.864014883637238e-05,0.048169433453744546,0.05206154965251097,0.02360323972576806,0.0006856991588805212,0.03835642661210069,0.006654023573274888,0.7134106067853088,0.00529855343247288,0.007424598464660133,0.002496083700730325,6.728852081558e-05,0.00013519461035362828,0.0001306414034484706,0.026361645793102094
Neural_crest_PNS_neurons,8.321047064498724e-06,0.0015361218252075263,1.6319332649137454e-05,0.0011359560306727088,0.0021063392056752013,1.5210677706739306e-05,0.006129162387860305,0.0040882104088454906,0.014458998110667613,0.013290419247180402,0.00019700122362667697,7.865821683063277e-05,0.007736895235665558,0.009774353358040676,0.004892957863903962,0.0001272751979205258,0.016329417009978354,0.002181226388260744,0.012761827562028039,0.8840810063098234,0.0029856511400470167,0.006501516329171854,0.0024458358537140204,4.494297537759538e-05,3.12863958334724e-05,0.007045090666247747
Neuroectoderm_and_glia,4.478966588089377e-05,0.00776412034030934,0.00032184749287988133,0.003394952867687754,0.006760561158962644,0.003483875777126295,0.04280081255774758,0.1516079556608061,0.06539572568240988,0.003672742634171673,0.002806553295399306,0.0021745310407587847,0.0404620455801248,0.03165017340671908,0.03109353868530762,0.00045963034789914015,0.08609132196029878,0.011165915634736078,0.03769066065384362,0.009127458268399453,0.4110309947484499,0.02492368142344068,0.00039011858681488803,0.00020127709375694985,7.951045448055805e-05,0.025405204981588343
Notochord,0.00016508384598729249,0.0007922489671302231,0.002584921546009817,0.012849718914279176,0.03272403179801046,6.071382178878376e-06,0.08538613110080763,0.0014287075674912632,0.12599824939624052,0.02094107216075322,0.0019670020282817257,0.00016277439872829043,0.023029829487188617,0.043609207608546904,0.03632890597613658,0.0017476321291090538,0.23309766811874466,0.13146030008155457,0.018045068604466336,0.0030556217754264333,0.015521905156652206,0.14285395196382883,3.5124192208195064e-05,0.0009393020143545991,1.702119229561354e-05,0.06525244859358889
Olfactory_sensory_neurons,4.355479777732128e-06,0.035841816372317474,1.946350377303312e-05,0.0009074197454243757,0.0025666573477620878,4.669876736189242e-05,0.02512779543394508,0.019315370073186195,0.08264760204394189,0.0014940756872785198,0.0010279927280874733,0.0011210400054759548,0.01832176433684064,0.004346532892514649,0.01884942006029712,0.012293391340838376,0.020809965904140033,0.001675279750637298,0.0038374589176883448,0.3191029536156328,0.00790042363452301,3.0609286227958976e-06,0.41351885986470327,8.890153118871886e-05,1.4305974697035073e-05,0.009117394059344237
Primitive_erythroid,9.98229354804354e-05,9.89485763916877e-05,0.0005842801091871176,0.2981270504947522,0.002160847851661006,2.5512324609985402e-05,0.005271778824987169,0.0007754922722904418,0.00865059518664575,0.001454429096094605,0.0001811528171653543,6.265679887297678e-05,0.0005607702099356889,0.0028307607419352124,0.0890115858072153,0.007882974918293845,0.009561864509299672,0.0005952401459040281,0.0010445735952052397,0.00036068469651883046,0.002123988200211325,4.395842199059331e-08,2.363048187608894e-06,0.46633388861151964,9.318920855895134e-06,0.10218937534835702
Testis_and_adrenal,2.6330566859359293e-19,2.709454753881412e-12,4.375307270093997e-12,7.828768853171695e-14,3.050560541247774e-10,1.889891249648477e-16,4.590397819234069e-07,2.0202860968884872e-07,9.399333679680133e-06,0.9999873322864075,1.2040305438711422e-12,3.653249174675147e-15,3.022311038707517e-12,2.54242764652071e-11,4.972396035933341e-12,5.827799945665844e-15,2.0633628341508922e-06,4.9125185924581686e-08,1.2216512971299678e-09,4.931411994260608e-07,1.1135224335678819e-10,1.4667531715487552e-28,3.6763527260314036e-13,8.106918995340929e-17,5.524385638449037e-14,2.023479410456852e-12
White_blood_cells,0.0001283902022550939,0.0003457505283915342,7.682532027478386e-05,0.041367186794764886,0.0724151176924328,6.420860530567018e-05,0.020342936068723116,0.0017560064890284268,0.07947333622755454,0.014010933117518474,0.0003571614715941704,0.00013462721169510525,0.012849989168812978,0.015417837509947407,0.12200475453990596,0.021286993603543185,0.028340181133822043,0.004938241849380133,0.009084202881496426,0.0023862974719537004,0.006424121469441625,0.03179679997321739,6.726655495538874e-06,0.0018410457911302899,0.0011720892030243242,0.5119782390192904
