,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.7836240667215851,0.00122954083857706,6.871496914396773e-05,4.759939196037844e-05,2.033895606524099e-05,9.229793254941506e-05,0.009145385050224799,0.0002215224392222479,1.6407237984536196e-05,0.0002680873865213161,0.05808418276545329,2.4465346018493216e-05,9.004512703796052e-06,0.0006057032378559778,0.0003959022055927745,0.0003871226572997841,6.170729104926331e-05,9.353673702026876e-05,0.006688694077979732,0.015173724895339927,9.723641936927568e-06,0.12360931209142006,2.5110852569321834e-05,2.204614664210297e-05,7.580261728412706e-05
Cardiocytes,2.6622280117554494e-06,0.6583724999692689,3.510802201248906e-08,1.8700711125968294e-07,1.1589908886148934e-06,1.466226033264547e-06,2.7263314699864797e-06,5.816539593815847e-07,1.3219249264574826e-08,0.022543148335132483,2.52193422373908e-08,9.967243061748407e-08,5.742636845635681e-09,1.8806907361869236e-05,0.02172610651759907,1.6595491302750956e-06,0.297224988798925,3.0939792298006745e-07,4.782100248888739e-07,0.0001014682169337423,4.3470468863932116e-11,1.2746011901806028e-06,2.0551208065809034e-08,2.6334240596925353e-08,2.511684360892297e-07
Definitive_erythroid,0.0005205828423969555,0.01825196509141842,0.5983958928564854,0.0015568793980760304,1.597116921294902e-05,0.0011723686648096494,0.0015919724481120137,0.004752629506599232,0.013649098776282667,0.0009648319243162998,0.00014630229486179227,7.900707831169996e-05,0.00015609905179154489,0.024711052320023373,0.03948389424462513,0.0062398864875998885,0.0010222389979076586,0.001094126857179173,0.00017830349942363547,0.0024824652721042837,1.7444863588772914e-08,0.0009375548826876513,0.26721817648860086,0.0022476644120831986,0.013131017990226954
Endothelium,0.004232096418481067,0.011316869227894669,0.0013833564951781787,0.9122302387103606,0.0014627886470577798,0.0017840621010694322,0.004024117189716197,0.004094338445064031,0.0018078861470564216,0.0021875463078178566,0.00023401232820796614,0.00024266558080513671,0.00019837089033070685,0.019910497274218165,0.012864302639199264,0.007909388155604229,0.001079415419665732,0.002486780944774341,0.00029638898087500776,0.0026053457572176864,0.0007590402262630091,0.0021603477309507426,0.0008322769294365035,0.0005661876549297724,0.003331679797825549
Ependymal_cells,0.001125626201429985,0.02532952395511944,0.00035006615664980495,0.0004923406749477023,0.7324866393801588,0.001240332668030826,0.0032251078258187936,0.0015666407556041409,0.0001567753424197578,0.0013571677888893111,0.0003389969216794,8.53698332531347e-05,0.0001965608189073648,0.0029058047977284012,0.1583748681769862,0.004430316126991571,0.0004998326997442546,0.0006700646790086543,0.0014951958544011802,0.016792311175196084,9.08731207798662e-14,0.046075610703396094,7.2221507850636e-05,0.00020160721961416992,0.0005310187360835114
Epithelial_cells,0.015340508391302677,0.05776585449555364,0.0025432753941672403,0.007571617825000476,0.03396426402684788,0.37514339650337414,0.05940566762664907,0.051847336980385975,0.003631828699663297,0.031181086697396197,0.0010930348295785037,0.029092495309306403,0.003670814792683935,0.10095014837954756,0.01713537182483828,0.028756185425388613,0.006589055311455794,0.012320877581116906,0.002534964737444523,0.024005894695215812,0.07997142261918987,0.04165810582857489,0.0010634794250552406,0.007385325376494271,0.0053779872237687916
Eye_and_other,0.06774838088817345,0.002249409152055254,9.326984334278747e-05,0.00012158666181613145,0.013900020721919367,0.0008045042418471554,0.767303565626602,0.0018237822903211835,1.931401078397625e-05,0.015407744385854712,0.007600750572269391,0.0007133926657541396,2.259813058123363e-05,0.0029939391320731334,0.0006968867779949645,0.0010821469772036487,0.00017358312737165028,0.0006852444312142387,0.00017542010289362838,0.08160318962558635,7.643129517234856e-07,0.03426681367937476,0.00017440584898106498,5.1218163666158917e-05,0.00028806862936792805
Gut,0.0097448748993403,0.11450594389016922,0.0019675385666413996,0.008566542323130682,0.02642158914324276,0.05003595232178851,0.048221057987127225,0.11503847412556344,0.04982885971377311,0.04349446937443448,0.0016773187851617498,0.10295479497771154,0.0039616179633777,0.09984048961578626,0.04660517238072754,0.02003313739238932,0.005522460078631205,0.005735372521275801,0.0011399971280666758,0.010771978388187994,0.11402781779298903,0.10977872942872133,0.0015623459683447995,0.004127642972127714,0.004435822261290231
Hepatocytes,0.00011727299581113846,0.00014679275787720321,6.874369484742815e-05,9.28534401838464e-05,3.443925781017524e-06,0.00015944787525105388,0.00024395673022811924,0.0003067639927859028,0.996505012820749,8.459467490146314e-05,2.449772851985073e-05,1.1544345981454208e-05,2.440341755248797e-05,0.0005703756175567976,0.00012765949131407365,0.0006732039959562849,8.321128973438639e-05,0.00012158253844792255,1.9250638679316296e-05,0.0002856438949285428,7.616168928042204e-25,0.00016536111906260986,2.04761846708999e-05,3.872998982183896e-05,0.00010517683935733944
Intermediate_mesoderm_and_kidney,0.011403420307081974,0.060672064967924565,0.0006339886624469599,0.002126924050742083,0.04628180833554785,0.013530180212215987,0.0718237031416941,0.01763585255989547,0.0002683386044005283,0.5686089545249546,0.0010558013149177825,0.026592937062583234,0.00038655827949742944,0.03393567814806519,0.0296839576530584,0.03599196021552117,0.002337028100766133,0.0019710271669305343,0.0005754907766056191,0.0073459951266428,0.021537766424079077,0.03634792661401402,0.0007972265802296663,0.006927264104236687,0.001528147065948119
