,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
CNS_neurons,0.5984723313793285,1.384109131140771e-05,3.626239989513335e-05,0.00012480336272850749,9.883700164347996e-05,0.0027462226162571633,0.007293244253364744,0.0013766213459983343,0.00015773621940878135,0.001654046119834382,0.0006384087285183905,0.13654921499148373,0.000803905075762396,5.072325445958683e-05,7.581791229052746e-05,1.6415787682336448e-05,0.00025279816374001947,4.08378342591032e-05,0.0006861571644742883,0.006061538192788467,0.020120578753574047,0.00027929009627268494,0.21286459223324744,0.008321257057294121,0.0001821194051014515,5.4865016345509104e-05,9.127249267576985e-07,9.955863162820353e-09,0.0010266118621455357
Cardiocytes,0.02253275088169959,0.704970449461188,0.00032735986982951483,0.03446082917737824,0.0032665994013948924,0.037661658342919235,0.0014772943152340737,0.006724816568040818,0.008491320897542537,0.0020871973555004583,0.01601470516350609,0.002453294221592508,0.002316808892463968,0.0026290119815105695,0.0015702032920692527,0.02849462377313801,0.0030687629622173935,0.003959071059924992,0.03099830767043959,0.0013917547778306792,0.01191411683836739,6.718289946471161e-05,0.03212506461008372,0.0015437280020353548,0.004081663849615727,0.0012296218716417178,8.127235906576155e-06,1.02491292004029e-06,0.0341326497145443
Definitive_erythroid,0.0026137883468745895,0.0018330761527754972,0.4454636958930645,0.005733181916682723,0.0013682393407848982,0.018642892178383556,0.0018657826866483,7.787306453443478e-05,0.003182518145265615,0.017504251664632802,0.0017488467610385526,0.00218619116475879,0.0040711730653737906,0.0020291916065310694,0.0127034078856911,0.012788295140380542,0.0030796884963644115,0.001466211327782218,0.007104249800408132,0.0032678750193410725,0.012545352207713767,7.133352599938975e-06,0.006897244275887855,3.4595319174578862e-06,0.2766347396529685,0.03497131748326694,0.0009001671143232675,5.06050786185837e-07,0.11930965067321951
Endothelium,0.005844485763506886,0.00943493813618234,0.0009558974699594983,0.6971487185232856,0.010330569607804941,0.041353786935580304,0.0040857883757114116,0.0006621798759315793,0.00970088567096281,0.01734002625442574,0.0059722590258028535,0.004285686981223802,0.0069394989566291055,0.005838560689472192,0.007813459949600922,0.020061376809510704,0.00904394751114814,0.0013811977847405774,0.03075634964631991,0.0024044654978296336,0.01643197000872315,0.00020804261371948175,0.029349830947796002,0.0004582364492924409,0.007479831342791322,0.002765585582030249,0.0005564366409966326,2.859622238086967e-06,0.05139312732678368
Ependymal_cells,0.00048186889212705494,1.0283630543975255e-05,3.671530949844478e-05,0.00018119169244833783,0.8904968591239375,0.0015971494398614326,0.000563991631531447,0.0001326824637796866,9.75263118740176e-05,6.998228822054455e-05,0.0001283782403298446,0.0003769482213998856,3.412817193041813e-05,6.441740332212281e-05,0.00015115040021221378,0.007551760915862643,0.00020422786771372462,2.8996894063447732e-05,0.0003548879557220363,7.180452259785895e-05,0.03090975630847395,1.472185489969539e-08,0.06524456667488245,4.254295376777222e-06,0.00034465755244296947,7.945519159535182e-05,7.389684278467464e-11,1.7347948482147823e-10,0.0007823436310206801
Epithelial_cells,0.009219609442914105,0.0027629195509278888,0.0007343423236563912,0.007123686306247238,0.012122206414832514,0.6561922536394581,0.013624120416292329,0.0025155016202875967,0.020287845629441685,0.025019425890698548,0.019540204136829505,0.006269988600735539,0.012638507397207859,0.008894985807933542,0.0034627176094755305,0.002084266005702669,0.00853240426161754,0.0016573095851974945,0.024251621265853566,0.0031595495495340513,0.029895072430250642,0.0030106862618462958,0.09854876258223988,0.002041021674998343,0.005039275712725671,0.002378171364840251,8.721344132028077e-05,1.981792444960665e-06,0.018904349284489978
Eye_and_other,0.03603703830829428,0.0001798303238870264,0.00037673117905310784,0.0013944083785403794,0.00950890388405368,0.021119797190049406,0.7131305197753174,0.0004193595586910039,0.0017177248038337516,0.00403523623517357,0.009590721501959191,0.02449295994514243,0.0014646748027784071,0.0008484045809306494,0.0012311866499444153,0.00017999918430804032,0.003734127079823109,0.0006242922268952842,0.010665089615129103,0.001746512216883846,0.08660201559301738,1.4166448987142896e-11,0.060797310178875366,0.0004257127792365453,0.0021958502046554767,0.0006881124438512763,8.538323659083136e-09,3.215453085422676e-08,0.0067934406526548976
Gut,0.016165949755667073,0.00043774295269298095,0.0010045701856245038,0.010663634397935483,0.006352924414247899,0.17845826238909412,0.011727988974891917,0.03055223889010414,0.1368397206012951,0.16109896056385636,0.09508698640344769,0.015647827056467906,0.058640183293043865,0.014359196028829959,0.004824978869989213,0.0005435102620967721,0.010306375325256325,0.002765314247968982,0.03481669054616626,0.003688737131749981,0.03570828664442112,2.562267865181026e-06,0.1308769910176323,0.00037778734352275303,0.005169343315681221,0.007774151099345326,0.0005905371054859805,3.003201365374952e-06,0.025515545714254198
Hepatocytes,8.751126322156902e-09,1.3003776700775675e-07,7.639644826448523e-08,2.0020519307687004e-07,5.825556101099719e-13,1.9352970138470951e-07,3.07875801080858e-08,1.4551493502916789e-15,3.9077347511467635e-09,0.999997903501796,8.42412886038187e-12,9.237084409134753e-12,6.980583022093403e-14,2.4827445028687797e-09,3.9532139239466755e-09,1.6587411172438686e-08,4.3742947535659907e-08,1.3997873880211137e-08,1.841240346864687e-07,5.918787268228379e-09,6.143275325103057e-08,6.400523550141773e-16,3.865237104275413e-08,3.903973786756083e-16,3.610926487289015e-07,1.4352432904200578e-08,3.397150933882126e-10,2.5756688290540462e-15,7.061874004593547e-07
Intermediate_mesoderm_and_kidney,0.007198310746909769,0.00018138284379356232,0.0007000692444957189,0.0033489562198346368,0.009197790804591485,0.053843466385350744,0.009802160584715057,0.013034584349141391,0.007195233656601267,0.016724987929967974,0.6576982660159967,0.004004961559052291,0.02035237635206155,0.00908888471820974,0.0015298783813167283,0.0003798824389856972,0.008100635814905036,0.0014940528405158785,0.014481094328311588,0.0020989227409468555,0.02057722746203801,0.00010847556062072483,0.11945300340397216,0.0015939636298694894,0.0037408433215320087,0.0012054375554987201,1.6605394509594969e-06,8.796213606365647e-07,0.012862610949953616
