,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
B_cells,0.9199671132387318,5.481733954589516e-07,4.5020471460119e-08,0.056723155027475415,9.259360487451544e-05,3.376173768220568e-11,5.3756193721882636e-05,4.207926782003417e-10,1.2421186593300158e-05,2.0188174422539773e-05,8.162176523769459e-08,1.1405616801641328e-09,1.192240722652609e-06,4.956885060794344e-07,0.0001056821277038131,9.678748839179301e-05,0.0008437652742864256,5.0292561641900785e-06,1.964749895774612e-06,1.498564406779613e-05,1.6499659560711615e-07,8.06491819552995e-10,9.958208723854222e-13,2.4401908910916213e-07,6.180034276706453e-06,1.4928305887637619e-05,3.9417207847295806e-07,0.022038281358278566
CNS_neurons,8.531144823844408e-06,0.8785080846096768,3.1309325777922394e-05,0.012289860196800468,0.0016355793804671028,5.0438218384724706e-05,0.0031404930405088756,0.0014416853560018515,0.000293599497728586,0.002968158318582561,0.0002853635503264419,0.004843684343927542,3.68266407410489e-05,0.00018648952983748803,5.219860357491627e-05,0.00024409207804278657,0.037954363697036975,0.0055652577026906215,0.0022117656029745363,0.009021725440244134,0.03492170919515366,0.00021782114187342126,9.06362941151861e-06,0.000901970598367103,1.0489165030289123e-05,5.961710442098536e-05,2.2295092842288686e-05,0.0030875277947515576
Cardiocytes,1.6923519037001493e-05,0.0005725740327620172,0.19631984791996368,0.018561871686500524,0.02006004746855327,9.913960619954028e-06,0.002630192548546022,5.211008455205147e-05,0.00021673481345703784,0.0015449252648251312,0.0003222677035553995,3.988517338741476e-05,8.047921421998024e-05,0.0002130318458036861,0.00018754911398158235,0.0024368851398562865,0.01830412443918306,0.7017528997222958,0.004839077582552558,0.00028790443265168814,0.0028207059895173055,6.715365530675066e-06,2.4141158359042217e-08,0.01139880062673958,2.635764753362594e-06,5.138620316839287e-05,2.1641548259190433e-05,0.017248844694568992
Definitive_erythroid,1.6774246764954176e-05,0.00032483243895341647,7.281452985321135e-06,0.9714101218643726,0.0005431167478019162,4.351803759459271e-06,0.0006642341967243967,3.080542122397843e-05,4.80114051090056e-05,0.0007354633163864189,5.318973670661226e-05,3.602628079237636e-05,2.0184669880289523e-05,6.82801377626975e-05,7.761371404107573e-05,0.0019804701924455528,0.004034962366235299,0.0016548658617273283,0.00042798054328607076,0.00015526671825191583,0.0016281310839898742,4.397433107076844e-06,1.0202873611220563e-10,0.0058363161835130245,1.65152317777505e-05,9.375003396820358e-05,9.00386990841746e-06,0.010118052946496373
Endothelium,5.749804561178841e-05,0.002887003951172022,0.00023057839177911398,0.05862936166503018,0.658243632466548,9.01427669602206e-05,0.008321749678246067,0.00026768901935283747,0.0009586569158835497,0.005486144952455794,0.0014591256097047814,0.0002212174651917647,0.00023932823981227277,0.0010125998741633228,0.0002922828029414797,0.009206340316873774,0.16773871473729826,0.02907803922540324,0.005255702228177472,0.001476059032562284,0.011805989354603714,5.254271120125847e-05,1.0269857483379175e-07,0.005456690480109861,8.435974146916475e-05,0.0003331612268224343,0.00015245338178535074,0.030962833020265076
Ependymal_cells,2.225283074805809e-06,0.0025084301619990364,7.882433065185787e-05,0.018894835338517775,0.01683998746433957,0.358954565830743,0.12786353239809967,0.0006461733443193291,0.0009766448518725567,0.0008255113889152678,0.0010859586114129514,0.00012385570739533025,5.340805617404524e-05,0.00034033994754023453,0.00026295146170789846,0.0005505282576077545,0.27335105640477586,0.003137291557612817,0.0024839035480046625,0.0006247398273646808,0.17699457052899617,0.00013714920272796946,1.5894000468868358e-06,0.006144494574860337,3.766725691171251e-06,0.0001078869078049099,1.5369566244860247e-05,0.006990409321498633
Epithelial_cells,0.00041551818470274846,0.010359816129869755,0.0006363417983902113,0.09457983069183538,0.02818116392945293,0.00017290704893436017,0.3158000953932554,0.0007930133761014142,0.019735565085681583,0.02746275095258815,0.006590442314671156,0.00041268809890457456,0.005328853098926139,0.011475027502500663,0.001636426441412254,0.004833450452220738,0.29043006181930614,0.06797861092996074,0.016505846178433956,0.003870281459875193,0.033105185974780384,0.0005308639788605483,5.567165865082767e-07,0.008933227274678799,0.0011503108277299324,0.000998395223739925,0.0008248540168423672,0.04725791509975807
Eye_and_other,0.0002046811169504793,0.04886718952958187,0.00011644913430655738,0.0861258088602418,0.011729359005157904,0.0033592780203024358,0.02036095302679975,0.3162396978629775,0.002707099398555618,0.006372884509484738,0.0024683190132882837,0.0012613077910860694,0.0017760945706931756,0.001335941649954002,0.001708957043246367,0.0037140667332835903,0.15143003257269083,0.03569698889617617,0.030629642547147094,0.007065185436942233,0.2249110519900869,0.00028011489455612273,6.479805617729404e-06,0.007804981019220355,0.00013866759392825706,0.0010623220024158372,0.00015096502393432097,0.032475480951374015
Glands,1.1176239422271882e-05,0.11697580110291786,0.0020106663322699116,0.009259921649002481,0.004664363880966334,0.01746089784849953,0.07017771268629419,0.0005258034883721161,0.01996758240111472,0.0032871815444248343,0.017034257107493248,0.0002478377177122946,0.002414681755111634,0.0004932180825638914,0.0007683806595400804,0.003073447201030552,0.5037214241783303,0.007632742294220538,0.010999547496286066,0.06089602882233719,0.025885023597111863,0.0002968637611972462,1.1057789558873141e-05,0.09763873527092999,1.409658602983739e-05,0.00023851443644128204,0.0004940651786669242,0.02379897089215394
Gut,0.0005179575604243723,0.012943739261975725,0.00013284781211915706,0.08575161672665635,0.0423584959184192,0.0001380454216211704,0.07868606712983975,0.000613038669980231,0.09154735640307138,0.08996971083961644,0.013622200316987118,0.00040384926845463056,0.020497469533138607,0.11468289961311491,0.01095502280919715,0.013979094308702917,0.23692734888184427,0.06063408866350263,0.011101167812401712,0.005192657543395903,0.021311600074881122,0.0001743374476254391,2.758560851485853e-07,0.009650113203086933,0.00022349802349383799,0.003332259415328184,0.0030844384326968745,0.07156880305233884
