,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
B_cells,0.377804153988085,0.0044828429090794835,0.005584312512269994,0.04798855182151259,0.02884268341353757,0.004196264712971822,0.024242715516729692,0.012019979572472552,1.1970172441990257e-05,0.024128641541706235,0.009964723909642386,0.001395761361981947,0.0010246602884945426,0.0002237390544983057,0.005013313063102483,0.0667598683730866,0.0005347793252981653,0.031821954479070276,0.013814922198018201,0.01074327790442105,0.007274350499051786,0.027299411151924236,4.927279082556806e-18,0.026078126901453485,0.00014467735074409217,0.015778537583638255,0.005706044752700256,0.03552766086630666,7.182328261931005e-22,0.21159207477576036
CNS_neurons,0.0007380342125258168,0.5596744517244487,0.0010607635091690014,0.0006373634209091505,0.0014135982160233273,0.002295936731297051,0.0071674134920075875,0.028140066689823724,5.808049184520985e-06,0.0018319906991261243,0.002720934154215973,0.0005992293696783924,0.015678305456492823,1.549820654120727e-05,0.0002944792847603437,0.0022136753351311186,1.236302636306688e-05,0.006353905071321511,0.0011160642804756483,0.002956995792891716,0.06987079356649736,0.02634725952607321,1.2982456424752123e-14,0.25082043257423026,0.012096637142810313,0.001259475153820374,7.656090155301058e-05,0.0005244528385541948,7.470486726052876e-07,0.004076764525388813
Cardiocytes,0.00015905912161783624,0.0002496348308879339,0.5964160893131792,0.007393490934131957,0.0007533638109181232,0.0002818658988229208,0.0015953764973519208,0.0009664575873791241,3.053023816955041e-07,0.0009147142335794545,0.0001319254589034932,8.176389110112687e-05,3.9283141087454426e-05,2.673171059905375e-06,0.0001078495830301232,0.0006384369690068508,0.2450571196417163,0.002296550094232699,0.004796656115286534,0.0006404149236423133,0.07704627942214835,0.0016708777749355021,6.563389012277441e-19,0.0017677785181669876,9.160081171939166e-05,0.05547251488206979,4.36974575414304e-05,0.0002128307214747935,9.591188687084163e-18,0.001171389892626738
Definitive_erythroid,0.008895582180218277,0.00048503635070611497,0.0017385333769448057,0.776036910209862,0.004021139617426103,0.00048487450429417293,0.005022067910903935,0.0017311393737021621,1.3941715697244692e-06,0.005097702484867668,0.003423837241425275,0.00022361443585788255,0.00013008525413148154,0.0030352396116738035,0.0008712348060342023,0.015725811127439995,0.0012192243823155643,0.004560612911291077,0.002986421076047074,0.0016790765756708292,0.0009407212536124064,0.004058923376793052,4.1532722410598126e-13,0.0028404707116972427,2.7433614384442457e-05,0.07027023753329681,0.007393742472305303,0.008524096206930416,3.157662430754202e-08,0.06857480565155862
Endothelium,0.009080850821230606,0.0017036448681963946,0.021941656588799843,0.0043205387690035705,0.7122758133308051,0.004279684444454248,0.019591156898205172,0.006094912575981431,4.44075218330564e-06,0.017102717167998736,0.005469689697939907,0.0030905776843601807,0.0002813006381666019,0.000832352613156233,0.0049726433399758085,0.01181824423424937,0.0017141947731751748,0.05650542284848253,0.012745573233398045,0.009451022647986359,0.004556861855934306,0.008242448220633632,2.3665647355924927e-08,0.022028671913560876,0.0002991722223697975,0.010525751129481597,0.0011356388362989591,0.005311791882598558,0.00476303849887527,0.03986016384685101
Ependymal_cells,0.0004735367202608278,0.0006632547925298175,0.00044562786257947544,0.0005535192599518841,0.0008960720600950644,0.8921412080808416,0.0024056284497604103,0.004243258133944747,6.841767005590559e-06,0.0014550622583705164,0.0002545330626455316,6.966391432844328e-05,0.00010484301836177987,5.252704490501211e-07,0.0002728541285634714,0.0019132790416529176,0.04546791915582535,0.004811344909508534,0.00040431311052948357,0.000813909439666677,0.0007116952685784568,0.011838214134178123,6.122959945965829e-18,0.024434899273797748,8.426102853740432e-05,0.0013659556382699652,1.590849467631621e-05,0.00040965444948952965,1.712122608595135e-12,0.003742217273889191
Epithelial_cells,0.0051688771442758765,0.0029121567287341346,0.019767299717851176,0.005104457106889098,0.02333269064791786,0.024154778260435963,0.5233591516799971,0.018194935039258113,7.358824539977093e-06,0.05979403599680637,0.009314250507788504,0.008037123417935515,0.0004976043461368163,0.01221965421766212,0.010855638471401603,0.015325958143160732,0.0017621039263481864,0.035806597748625,0.012352271736167335,0.021820494985529834,0.018230677331056346,0.022667447043991682,1.0771027602541646e-08,0.08659751756875367,0.0017427476704365943,0.009721270069874846,0.002026141515558328,0.00602659016762862,0.007616236930690752,0.03558392228352023
Eye_and_other,0.0016023068090588158,0.016771831454470074,0.0014595365646522412,0.0014723091887385302,0.0020155106744579347,0.008107708239909322,0.00452818837238443,0.7913035548813501,2.3030053182366443e-06,0.0035403556558341515,0.01247444066006456,0.001020524003194117,0.002478272544829284,7.375710633162912e-05,0.0005601423024038334,0.0030565766278737336,2.3050014773076057e-05,0.007703552872265597,0.0021836232551210276,0.004598019873832827,0.0031759887188679207,0.07423412424839909,8.586329992054924e-12,0.043941879972881,0.0017056676710946613,0.0026708544632069956,0.0003177106713466819,0.001240278423194023,6.1090872008373e-14,0.007737931715498764
Gut,0.006766603504891337,0.0024641108577840138,0.0182228453123453,0.006647284324373859,0.04030239037367924,0.0063965732293198895,0.19352904625528952,0.014051466579997823,5.698028628437894e-06,0.1970612769584332,0.09779689043221479,0.00891243814602573,0.0004509157832406654,0.041352620444467324,0.030614313293035003,0.01890275919154374,0.01818971258184615,0.03213063117695954,0.012992770787368128,0.023196824766694643,0.005510318323271899,0.01783787941728277,2.0703269214313844e-13,0.0686644584410564,0.02467300078672289,0.016796604943989622,0.0030024679026395477,0.008545859351768366,0.01725252271504572,0.0677297160898775
Hepatocytes,0.0006960125551916179,0.0014517862155949913,9.628844862967707e-05,0.0006852240565966476,0.003983796457105472,7.610625247338716e-05,0.0005344637745393276,0.00028739414730267674,2.0902808114090736e-07,0.0006689749228688713,0.9818756887860206,3.3539831671351556e-05,8.707512205231257e-05,8.184925477997611e-06,0.00011476801254662156,0.0008871195926407792,6.244449921938894e-06,0.0026279784898068826,0.00034445130301764815,0.00024120517646812438,0.0001612850999561009,0.0010278408579230262,3.5722866453188933e-19,0.00042488966052721465,2.9261749709375262e-06,0.0002067267572060614,0.00013504905986015287,0.00045171218644537677,8.602823741467601e-24,0.002883058655103043
