,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
B_cells,0.4130208204825993,0.023548463419741136,7.2771072341102786e-06,0.2556088871344941,0.01056550911537702,0.00016702686886674014,0.013757997227652335,2.480715870188307e-07,0.0009990679125724304,1.4274239256489064e-05,0.0004845620145383801,0.0059128869476247105,0.0006336474341724392,0.003323805294124101,0.0004855171149449231,0.00023448233028812982,0.0003101059709230041,0.0022388370764928165,0.13847607409630536,0.015646172727453507,0.002802120296005254,0.003831604971111826,0.06318636254745844,0.00022757779574056493,4.133058165853106e-06,0.004905809660890089,7.999211468367349e-06,0.000614190068270794,1.0839449742435314e-05,0.03897370035489834
CNS_neurons,2.9763957653339023e-06,0.9514760514110696,1.51827407897048e-06,0.0024446113526866986,0.00016083697634100287,9.765532040175421e-05,0.0005726379319150323,1.1386169332255813e-08,0.00044184134961585704,3.0352828233393557e-06,2.1361045414453395e-05,0.00010312110749532059,3.0973233725679134e-05,0.017028437380379926,1.0373302649188824e-05,9.000798640615424e-06,8.935345939850594e-06,2.9198316479257234e-05,0.0030621741935963997,0.00034860291417696774,0.0001654121716018686,0.0012521605043478473,0.021676389312625815,0.0002403525617575693,2.6895544838047602e-05,0.00020452505975719173,1.8339139894968627e-05,1.1261355172485919e-05,1.2547625206874388e-06,0.0005500562681189367
Cardiocytes,1.4970327442203527e-05,0.016657196080763815,0.07401666832658893,0.0147465682502181,0.0841716234738696,2.3221027864836706e-05,0.05204796075842348,1.0531788834762651e-07,0.0003857146970677623,1.77485982129117e-05,0.00020662690922272558,0.0006060480407707099,0.00042906895642158365,0.0005958984290867317,0.00012696045523615212,0.00034222711306585465,0.00015623467423603755,0.008242223459026839,0.1543399849437098,0.44411808506816525,0.0014228967565619462,0.0006913374566971508,0.13358438091528663,8.193644363584164e-05,3.3884357629613247e-06,0.00033457236905441474,1.912513118485845e-05,0.00030274273186237886,8.595022567670511e-05,0.012228534626995425
Definitive_erythroid,1.2976955442647075e-05,0.0009235880830908944,8.649310205466951e-07,0.9749588049184416,0.0003574738903650352,7.554822999937102e-06,0.0006860186888556897,3.4271139782049537e-08,4.506077075075929e-05,6.066911908502378e-07,2.8370953150059003e-05,0.00039297424899203953,3.4049987385191145e-05,0.00013858925767331153,2.5438429282677737e-05,1.215499412577486e-05,6.836632575827496e-05,0.0013430554332793988,0.003478036360164648,0.00059465116868144,0.00012188774760839558,9.033569476801529e-05,0.002869259181311436,5.944286553394089e-06,1.8272871731378074e-07,0.007028687477858285,4.5404396048672286e-05,5.712539657092319e-05,8.141325567888642e-07,0.006671687776216252
Endothelium,0.0002634303480209966,0.02410664179507603,0.0002465417156547305,0.10756984158391329,0.20757743340577361,0.0002766244529044551,0.05045557303311952,1.0807747034908422e-06,0.0009085981709362139,8.727217779180636e-05,0.0009704715745912769,0.007024035661955263,0.005974191598509874,0.0036030662525307314,0.0020162264917238364,0.0034276192853175836,0.0035861657749056836,0.008749974733191012,0.32225548637838025,0.029130866223879913,0.006590703383022367,0.002733234266645995,0.031507640506833155,0.0013710797981891483,1.2890644705746234e-05,0.01178692446179353,0.004404608546206371,0.0008380852953664221,0.00010674473549075012,0.16241694692886693
Ependymal_cells,1.2759377099305752e-05,0.10662551591984945,1.8904486493649924e-05,0.03240040056398277,0.0032031683890378668,0.19584631105221992,0.07707998422397729,5.645680029463091e-08,0.003064948239834867,0.02328877231335794,0.00022048506831316494,0.0008454685158195823,0.000245587821439827,0.017387947667331653,0.00010876622775383137,0.00031298257442270624,0.00014636619521347637,0.0013824666861422673,0.2088981193827806,0.003002012950531359,0.002109497392663875,0.0020872900051062326,0.24142388342021104,0.042474859927775686,1.4565746416671793e-05,0.027438295088836148,2.016275926927764e-06,0.0003495314861129856,3.227478484762786e-05,0.009976761759700994
Epithelial_cells,8.457758802535653e-05,0.07484778982400539,0.00040086574255155283,0.09811216650292531,0.023654354941195055,0.0003172606007450997,0.30073616781344464,1.2593190176330163e-06,0.0027934597244514783,0.001261054682648332,0.0035497806806982215,0.007085761024452897,0.004040243286627787,0.004069496592307722,0.005693739812419117,0.0044480219160241315,0.0016420263577661763,0.005931792830727771,0.2617287452387943,0.02507180358604036,0.009382057277520037,0.0064247893323746506,0.07962446101808021,0.0038421868448056734,0.0003899262537337584,0.017345596751954035,0.002420604292171991,0.0007530586499118043,0.0008127753402496042,0.05353417617432993
Extraembryonic_visceral_endoderm,4.044560638133747e-15,3.4802429297934444e-12,2.689817102725461e-14,2.752817533627598e-11,4.042742517278618e-07,1.500244819126782e-15,1.603345894287684e-11,0.0019073208855681,2.882596986290246e-13,6.545399103911963e-15,7.977692230943818e-13,0.9980922725993328,7.855361702413287e-14,2.405092573953957e-14,1.0290113812013511e-12,3.5708720922033586e-13,4.0069631333904164e-13,1.5281252501964497e-12,2.0322174623445708e-09,7.839422846613169e-13,1.5110929765285388e-12,4.347533796800315e-13,2.064943224723099e-12,8.075262292884647e-14,4.987143117038802e-15,9.565942973860099e-11,3.35024495076655e-14,7.567198660405892e-13,8.914856917826396e-14,5.562622120012807e-11
Eye_and_other,1.75723118279145e-05,0.1561382495792711,1.3375031246282983e-05,0.02179303114203186,0.0017583623249421165,0.0001808516459078906,0.011182812500230342,5.7299716320752483e-08,0.4902640373489048,7.219452221585619e-05,0.00020893109310287224,0.0009911823597966852,0.0004856311801497845,0.006806219639702211,0.00021236783332871434,0.00019142202571485102,0.00016716340197998187,0.0003953010433103708,0.051409078447247424,0.005051771430544785,0.0034325933958389183,0.002094386522430088,0.2360970426939294,0.0008202274564645341,0.00015568627782163005,0.0043954139576414045,4.095295307062304e-06,0.00017435177131195614,3.449982468139048e-05,0.005452090643401462
Glands,1.4115644818949478e-07,0.8202470534125124,1.6003292317010474e-05,0.00439969915527875,0.0013213712943818082,3.758250610677706e-06,0.010772177940518617,2.8309734976946587e-08,0.0023194905351032083,2.796363330547017e-05,0.0016530696288796466,0.00019208616852026632,0.0020600280241537573,0.009379975489860408,0.0003000529829691647,5.219409281553257e-05,4.5055319750169425e-05,0.0008508749299069972,0.03960195180434564,0.0009429385528446677,0.0011594548113238894,0.005348776462661189,0.04894546787808556,0.006895110936643919,3.510215171231703e-05,0.03479202833835699,2.6278695464299303e-07,5.026778667677093e-05,6.716816273010201e-05,0.008520446710597337
