,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
B_cells,0.5219865312532295,0.0024384969709423713,0.002097428026081904,0.01637115847904906,0.04167527602605341,0.0022845800868009952,0.03599295303826868,9.026592015401357e-07,0.004983188927157692,0.0026993175768184933,0.058257753454713984,0.0004904228141600985,0.002895420578581366,0.006727487148504793,0.015778209624808186,0.0024295062158595066,0.013490788305732785,0.006832689809598974,0.007986065734577562,0.001724125542048008,0.01015885242341708,0.0052440630840805335,0.0314128875432483,0.0009507519191244726,6.580697501228116e-05,0.006086795906299357,3.651535645021795e-05,0.04998496424013162,0.0013094542923469952,0.14760760598770023
CNS_neurons,0.0007570340900499963,0.6173637932078844,0.00023677326015929026,0.00020337945327112802,0.0011963845127606519,0.005680959977914473,0.006206146732835102,1.9412964912393598e-08,0.002969004596121872,0.0017938418974425753,0.0034285768835351223,9.909306476521674e-06,0.0002156713975117947,0.2827905039077153,0.0008155027524735987,0.00023175904866215582,0.00038413140659313276,0.00010461544731775382,0.0005722776826002063,7.863895514007578e-05,0.0008297619991825903,0.033276109953361444,0.01369785013338647,0.02298792014556684,0.0003476255708573422,0.0003457046598934629,4.1763147883926696e-05,0.0011988299329422976,0.00016324730946606087,0.0020722632180294608
Cardiocytes,0.00040610023900932243,6.600587713190223e-05,0.59656051035411,3.5636780268204705e-05,0.006936845288554665,4.308638116158987e-05,0.005087614713915014,2.795316991807638e-08,0.00012323277426268584,0.00014866755386121056,0.004108478181219851,3.6535822470905886e-06,0.00012084936734698368,0.00013918450864835338,0.0011070918538695887,0.0007373662753482864,0.00039731888704636775,0.11133968695266407,0.0005533101277348479,0.2666367201281733,0.0005467435478425831,9.165264900053437e-05,0.00041495152746665764,5.2523398673297275e-05,2.7879244067877252e-06,3.0366119178478494e-05,7.929981372836777e-05,0.0014532286648330733,0.0007643438924298972,0.0020127146826971545
Definitive_erythroid,0.01212174094511966,0.00036402489708847833,0.0005315204711569388,0.6872592691146933,0.008159784745878244,0.0005278659613088755,0.00815136745229853,5.795572623186506e-07,0.0008064194260773684,0.00037775398906738375,0.015687814262563077,0.00012575587831597823,0.0006335273614615744,0.0010056072094341082,0.004006757938154772,0.0006316734474283681,0.011790189171312224,0.0092099711081264,0.0011023801249835832,0.0003269787179499222,0.0017918123950837288,0.0003951261821926097,0.005179911944399859,0.0001422423254492639,1.1052088863872643e-05,0.07728446413031373,0.011202344870973638,0.018256731657426677,0.00034971823958384327,0.12256561438603167
Endothelium,0.014509851918094011,0.0010246782241681164,0.01302789233470614,0.001631566891227019,0.509061689717958,0.02369526753083705,0.11476135899157819,7.342626354136439e-07,0.0018065604224149,0.005291708699041035,0.08964256864311186,0.0011490682272890357,0.016049941862116102,0.005653031586865786,0.013829829982346241,0.009371373720921835,0.023525178227869124,0.0025536692479190756,0.026886656646548896,0.00482007111887376,0.016449672958245252,0.012541747542920248,0.008949294608486568,0.009065551604464747,5.566380374850752e-05,0.003627475319547509,0.0024204242298357234,0.014755911065457773,0.004834987181099078,0.049006573429672996
Ependymal_cells,0.0011815061689402118,0.0020611008805921003,0.0007163494847043031,0.0011750001830907418,0.004320119424689976,0.6374970461047778,0.07308971698808711,3.663820070605382e-08,0.0034827038414250995,0.004707742350281404,0.008835953469615224,3.890292152245648e-05,0.0006194005632275326,0.019111863704541415,0.0013979409675997385,0.0013073211971210378,0.001833228510846099,0.0004890824163472779,0.004397351667689213,0.00018388136807206764,0.0020460386025054986,0.002062740008115282,0.042840982003843724,0.16539181158814004,3.3646555768690315e-05,0.0014520470770240383,3.279691365688919e-06,0.008755544951378594,0.00037576390198962686,0.010591896768497382
Epithelial_cells,0.009125376855287233,0.004370673485209682,0.008755419252782977,0.002941974308035579,0.06900855791218174,0.011934454940806019,0.42488876695516603,9.828980787128485e-07,0.005636764925101595,0.018925638393523302,0.14491873679011444,0.00019401849353075474,0.02050472915127784,0.008955949742125694,0.045864397580647115,0.014452762047265194,0.011057723809879138,0.006610397363975984,0.014256351728483472,0.0021268143018924176,0.018230039236429428,0.03098702234101724,0.0180850006645158,0.025511924750344316,0.0002921513153599538,0.0068011177681911615,0.0015750454422362294,0.020807235724650087,0.008717318850963293,0.044462652970927566
Extraembryonic_visceral_endoderm,2.8942994598441086e-10,2.76855810078899e-10,1.896836202718184e-09,6.213701641313593e-10,0.0005318304059868944,3.3778476508942135e-10,2.579455100501174e-07,0.907899598566277,9.697314963923214e-10,2.6905293412419087e-08,5.664190999297134e-06,0.09156212758222514,4.09654218371107e-10,6.680828662738535e-11,1.7528723694157674e-07,2.3803026591509792e-08,4.203176826969109e-09,3.811114008777031e-09,9.963479426425648e-08,1.4174944245730502e-10,4.5357672194608296e-09,9.242262866631529e-10,1.0277951601271172e-09,1.7960168520265505e-09,4.8141965069652276e-11,8.061345195139305e-08,4.3914648747246134e-10,1.2388013902830707e-08,1.6849710152310654e-09,7.919660845056529e-08
Eye_and_other,0.0023435265930254173,0.016247732684825034,0.0018966443743958913,0.0010936331317519038,0.011955405673779524,0.0076173260439342015,0.03488317530292548,1.4114464013014413e-07,0.6443424868495994,0.020906273430043403,0.038942579467661685,6.629414614365456e-05,0.002234055444336822,0.051473468922321144,0.011689018544471946,0.0022807128430245554,0.0032735325172207636,0.0007854718190896775,0.0062783873172447624,0.0009760758329571401,0.01718332817432387,0.016038609787085836,0.06048039764137811,0.017761461567948153,0.0024818750281677807,0.0019601911916837123,6.501455257242653e-05,0.008881876310749316,0.0021942928595505415,0.013667010803147707
Glands,1.0818035147286304e-06,0.025347198353474674,0.0009626878660428071,2.0146870891494025e-05,0.0019799397118327113,0.0002225764409850437,0.008725031597476058,1.1041021833436174e-09,0.001985030786872662,0.7971077852309064,0.01491216252036721,1.053311432105765e-06,0.00024011676726873007,0.007502781501069602,0.0012995400940334582,9.37225665994561e-05,7.340215501758285e-05,0.0003500234579828778,0.0008934071846421627,9.456400566239584e-06,0.00018258716529751245,0.020839863286082148,0.00046955906404358324,0.10692733171438105,2.8371362658209036e-05,0.008535994528348806,1.851968885894188e-07,5.999907662751826e-05,0.00010704707919633522,0.0011219158013980556
