,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
B_cells,0.0009693230213951391,0.010246762807396568,0.00014490536148167404,0.5372618713340345,0.034292129781214035,7.550344660819698e-05,0.029763345783912834,0.0011652187241239546,1.2396694013400374e-05,0.0005939612547676399,0.004012695699711102,0.00034534610828767707,0.002672048486743474,0.0008217264137221271,0.0012213609535156953,0.0010722507135824586,0.0044805833896236595,0.09695862318239253,0.04118425322885346,0.004029081857411469,0.015160230587942221,0.037299139895021025,3.8553141061629556e-05,0.0007810684723860871,3.1163218923129075e-05,0.001964660214830718,0.0010839877082352695,0.0060902084801880835,7.005919588726172e-05,0.166157540842733
CNS_neurons,3.134256587204272e-05,0.8699631412899518,5.8890723087613874e-05,0.00711557436987321,0.0007684329982732628,6.228966885429064e-05,0.002714744588595952,0.001700509168986417,0.00037960630638876966,5.48658811913122e-05,0.0002109840210073868,8.339104682200618e-05,0.05271221878614273,4.730976931128097e-05,7.662588982539806e-05,3.0123713695362513e-05,0.00015479461752114913,0.015400039718760571,0.002839385830158419,0.000816060257666374,0.003954132502963562,0.03675593449405862,5.385545702784076e-06,0.0013644096012417782,0.0002919533305666944,0.00031199207664108755,1.123987503743911e-05,6.415193584938188e-05,1.8272596308473036e-05,0.002002196829644867
Cardiocytes,6.118502188933817e-05,0.006667798683661882,0.33346562090947784,0.05839151778081059,0.02785411788106652,8.945236586903935e-05,0.02016561382429759,0.010202099094751584,3.82565903091252e-05,0.0003850844104485821,0.0013890715239584343,0.0005463827064037253,0.0022011342047288545,0.00021918702513527483,0.0009070880884515217,0.000578637901066962,0.003955631228377624,0.06581152525258273,0.3733146953890193,0.005636949810279106,0.0006576017189068777,0.047734068981903174,8.592301513206519e-06,0.00015379704525342777,0.0012542782913141622,0.0012435189539583833,7.466227150575248e-05,0.0005200386163863201,0.0003420888541278742,0.03613030327254527
Definitive_erythroid,2.5920086437124323e-05,0.0007248148431612392,5.706504539189016e-06,0.9767724423162409,0.0005452145206226763,5.431202307792414e-06,0.0010144885317025893,8.214514797561796e-05,2.3523464065661e-07,2.6954442044152174e-05,0.0010535346968945506,2.1559506747635588e-05,0.00022889282609167208,3.742697719801655e-05,4.433273055514551e-05,9.797028326598119e-05,0.0008656925186920859,0.002881314183344858,0.0017960389648899711,0.0002541837786542869,7.901086183892968e-05,0.003608044058579083,7.643560140397923e-07,1.750395703381474e-05,3.00602305281719e-06,0.0012863559144248781,5.367593338783036e-05,0.00019762594027534445,4.211714958695506e-06,0.008265501944428428
Endothelium,0.00017365772925268506,0.011709648464527087,0.000676702025698029,0.2137406519509788,0.22007410754583245,0.00032308072740827885,0.04731980824392092,0.001732667134603812,8.575202287368956e-05,0.0017112164468909648,0.011380692284789514,0.0017429963171105838,0.004580632427361989,0.0014778987159505274,0.0027431641430068743,0.0032549473304171396,0.012818227828636845,0.1397191766537212,0.03549563969626737,0.011091248397547559,0.0016855883116697716,0.04663979001128602,7.128423192124515e-05,0.00048686375958147387,6.212584561004518e-05,0.0028315329204433417,0.0006217812336675336,0.003107672398727439,0.0007946656741264893,0.22184677952617032
Ependymal_cells,1.3886549892656733e-05,0.01583695419634371,0.0006518171900085533,0.04811264226157609,0.005829101457659335,0.22564941757974377,0.02737068212364969,0.006811374366957896,0.00040275391277064444,0.00026910108998500355,0.0005244758239274516,0.0003716168012503625,0.003911111523478436,0.0002374043118022284,0.0004277750289127161,0.0003295578952197403,0.0043844026733552595,0.27828291198275107,0.00851983860687872,0.013077039337257096,0.0012011779532546856,0.3251071290605218,6.360948496075067e-05,0.011520003957777537,5.212365093736905e-05,0.004122592529493735,0.00018162395372450723,0.0005730855656693215,0.0001827348760424495,0.015982054254197395
Epithelial_cells,0.00010337257718359765,0.02584934575456902,0.0011109318448003602,0.18790870674546625,0.04091195711999428,0.0030764727476063373,0.23732720024493514,0.007049274078759286,0.0007130725920322052,0.004504326675743574,0.0031335725996172563,0.003084366637651999,0.009356754717256032,0.002731271985960533,0.0052097313398670134,0.002342982654605834,0.010038737084576336,0.19629315791277643,0.03853060257880086,0.013890130275068299,0.003272616031504309,0.12832812807586091,6.945492265344696e-05,0.0011448877490392198,0.00016411939376454992,0.003234275809883877,0.0009121290529078581,0.0021008997898023796,0.0007944999281700266,0.06681302107914278
Eye_and_other,4.815606790421687e-05,0.06748842015731088,0.00044677499730488997,0.07263615262188212,0.006320849121821558,0.0004675998052969147,0.020382952502178298,0.3624929553550793,0.00016533609992290668,0.00046144399630363114,0.002689734394678585,0.002062766447790396,0.011233285281293427,0.0028044065061317053,0.0007703840471972161,0.00032356716948298133,0.007030501045741397,0.08594263539596418,0.014306160636354382,0.0115729255639856,0.003580160908196147,0.2980472850634378,6.511954726558633e-05,0.003379496063646338,0.00020607191389680478,0.001598038724714316,0.0001422918921700655,0.0006401515737870482,0.00013587010328727396,0.022558506995974042
Glands,4.379773029369035e-12,0.04906507705330116,1.8238819419660462e-05,0.0007974895640563681,0.00857929506522051,0.006491248221267665,0.06778478563150736,0.052901623534666424,0.28744378613760624,0.001925324633854393,1.2692686515848156e-06,0.010375789485048748,0.0016800662805369767,4.149346988523625e-05,0.0002307831688736079,0.0020704138790330964,0.0002924254809189755,0.27341827536120616,0.004644367848071368,0.07983768794007953,0.0002803118833807526,0.09308670657869182,4.592133360745797e-09,0.05013146013557235,0.00015536435356097635,0.0034351929772301667,9.695472073522877e-10,5.482576498127772e-05,0.001171790996837436,0.004084900900479892
Gut,0.0001471850737320292,0.013893924997241593,0.0005616709961736442,0.3170518059485486,0.05880308669242727,0.0011479679080591515,0.10032702485559192,0.002868701076321185,0.0007138805407681054,0.005820680553663361,0.003542535094636109,0.001727497829950099,0.005218973512415759,0.018040063305934127,0.00834200458748685,0.0030609311827514175,0.005613986075968952,0.15085943416431893,0.05313225594472657,0.012218434665866355,0.004656683768791298,0.0668135152894389,5.465019920528486e-05,0.0004939186741781559,0.00010573168663168133,0.004479988123289947,0.0006708735183999667,0.0033595788658026733,0.0017106271539242322,0.15456238771375588
