,Aidpocytes,B_cells,CNS_neurons,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Aidpocytes,0.0069048406471070144,1.9239489093869703e-05,0.002292916392362205,0.0005804885254054844,0.003768136843122152,2.4392808426602567e-05,0.005388299970998152,0.00037686847518853857,0.00012299001955482343,0.0002643931903443162,0.012184157240268357,0.0014083640565274898,0.0001442092750721185,0.00041823090109554953,0.000366157216844466,5.6343500339304025e-05,1.518668300918723e-05,0.8764556867000919,0.08126296115168388,0.004053556272362188,0.00047688830896688866,0.002340413149601514,0.00017801310081113877,1.4143245106465003e-05,1.0314022733150532e-12,1.7717889764102457e-05,4.676650932329398e-05,3.3307237947600335e-05,0.0007853311985500138
B_cells,0.018329363630152876,0.201843384384222,0.018904215048596917,0.1361451023287453,0.05526466017224246,0.0003867549014843905,0.030818561619728086,0.0018430431689003318,0.00022471997747817226,0.0016045553185986335,0.013162423150615199,0.002378858433791588,0.0012456769104141174,0.004167827383269322,0.003616524689358305,0.0023615877548415474,0.0009492843690824989,0.2595923587426613,0.15725295514913082,0.009638068431246453,0.001865925764950455,0.02286632584446593,0.00045981611097611197,5.529082140216116e-05,8.762484160992615e-13,0.0003160699906863204,0.0018385402241749616,0.0005724050668292795,0.05229570061107831
CNS_neurons,3.108853784249541e-05,0.00018714560893116263,0.8585435961184642,0.003681129634473725,0.002038559461316647,0.00023389836713511028,0.005748350315904871,0.0024196990434860568,0.006380232209367687,0.0003110336042371491,0.0008455187408557657,0.0007706381338994227,0.009232209293203222,0.0005384143575546094,0.00033410985735604653,0.0001240157320210314,4.786592517686362e-05,0.06734816152117676,0.0072081896402823396,0.0018736098892342022,0.010039457369173445,0.018085740955524135,0.0012837798886113749,0.0003702652266876621,1.0291760588281958e-08,1.2783645933135688e-05,9.342727075777037e-05,7.617198032554736e-05,0.0021408973793069354
Cardiocytes,5.611968096872795e-06,3.365089111368491e-05,0.005450140865402603,0.004757036671792046,0.0026290105677514277,0.0002266881083066506,0.004783110908549588,0.0005648294168286376,0.0003148575905384069,0.000286272624666361,0.0007136283883979899,0.00036276886670277885,0.00043830229587039264,0.0005813303565118521,0.00029796712520873596,0.00023447581271628822,0.00010480902890027031,0.038133410604770754,0.929020594636354,0.0015102979169869689,0.00047691513152089157,0.00376876051380743,0.00011350368865502987,2.424802424260636e-05,5.365450580711658e-10,5.497662353986058e-06,0.0001660637266910326,6.25741053235837e-05,0.004933641965394136
Definitive_erythroid,3.350298399415221e-05,0.0004969931386986976,0.0040181442673026925,0.8286501870250089,0.007587510722905062,9.856699887062444e-05,0.013580491938413082,0.00046257951766588836,0.0003022673810948519,0.0011509541800797647,0.006366667884049472,0.0008214207586607099,0.0002488285276437446,0.003196812275326,0.0013267419003424657,0.0030073523902487374,0.0010377329440031603,0.045166608518467176,0.03351275292779944,0.002563816993387353,0.000590004616442406,0.005415920702448245,8.524515686770931e-05,1.330146568335842e-05,0.0001727432558315368,0.0004082755237396619,0.0008302232122938856,0.00012647650306650633,0.03872787628966468
Endothelium,0.0001589749311593049,0.00035936673795437986,0.007915159747831507,0.021011041637740282,0.5998504803679292,0.00040159188517576545,0.027503859461727467,0.0011228366142184882,0.00034164474606586815,0.002293287095427721,0.0040396945859465395,0.002131890754659759,0.0005602180069243833,0.004625395441352111,0.0026470096983947033,0.0016371971121259396,0.0005378926912412144,0.21517172620069633,0.053403299709592844,0.00978312090058011,0.0010505616745096057,0.009683032594044592,0.00020373246089572635,2.728469392336272e-05,2.825320869958601e-07,7.731883729235731e-05,0.0007957631084356604,0.0006582464025321067,0.032008089369535725
Ependymal_cells,8.129066828131172e-06,4.983364937097884e-05,0.0052271766460844395,0.006004359237571361,0.004568409850697044,0.773975090642165,0.018629149424038115,0.0007142199502721087,0.002971241084585959,0.00020446857109723124,0.0007541643732650668,0.0005270279067336112,0.0004965647544740029,0.0003738194436938592,0.00032955627443694973,0.00013713259938749636,6.605394077380463e-05,0.05730060167760376,0.0042752798120087344,0.0014493649713965993,0.000368339862113184,0.11802986349675293,0.00022941816305600493,2.941906513324773e-05,5.960512861021266e-10,9.093508598413745e-06,0.00014557586751370042,2.4987661585872975e-05,0.0031016579027113
Epithelial_cells,0.002165010262465911,0.0007689961329340375,0.01564154837889732,0.03164225196738148,0.036287319802554535,0.005785706000551872,0.2890426886532346,0.002091175014524711,0.0016447072726580901,0.011513129838942286,0.007301924179158931,0.008359553569954003,0.0010131671232375436,0.024300631097906634,0.010775444186441564,0.001880113586897335,0.0004486969786899466,0.41482117508208877,0.07403235303547676,0.013710061878648618,0.0015825015652119428,0.019560573955486923,0.0004787446731223306,5.869793581286701e-05,2.4602170819448187e-07,0.00017830364292246572,0.0009211513541161073,0.002735610371720231,0.021258516437254005
Eye_and_other,0.0002474970085558694,0.00018845859015453908,0.07722283573209497,0.01962875122405137,0.012183044765987786,0.0017061414888843267,0.03536275220819106,0.24607732735454532,0.006199993994798904,0.0021772425404648276,0.004519116844011253,0.008195254464507447,0.0031241697089642,0.0038672359427681263,0.002843208066597777,0.0007608028075373657,0.00025923542802627796,0.40527447274146305,0.04147752599184283,0.02633502849599264,0.0022203038718502455,0.08576600718362345,0.0006902188553124316,0.00034076530237533694,1.2516068860133727e-07,8.095222149084977e-05,0.000564581046674183,0.0004081494628911338,0.012278801495653817
Glands,7.06870346636516e-05,3.641933679423361e-05,0.013020164424700057,0.0027694094654901165,0.0035808771168773746,0.0011757050024936806,0.016109572836615148,0.0011858926237936062,0.5746341388040158,0.0016961253832903428,0.0037096350248590694,0.0009153010969984696,0.0002878244579023418,0.0017378443275591223,0.0005542576002687933,0.00025679523422005246,0.00011309541230100375,0.32201144325323683,0.013883819901075529,0.003100199879493573,0.014952403598208217,0.017524745438356706,0.0011415531706121032,3.2334603247015206e-05,4.5556767567349515e-08,4.734416540076173e-06,0.00019042426853960767,0.0004544495054763151,0.004850101225603643
Gut,0.008288005452057446,0.000217244787976278,0.13973769689096424,0.011444158969657022,0.046296529947441295,0.00013829501546020688,0.07428658084884075,0.0009133545193579183,0.005177250650807707,0.006942319289382183,0.12951071693418797,0.0038540657074275786,0.00019837643980330792,0.02830992481880785,0.008829534144501201,0.0014515107181013644,0.0001881761874077138,0.277163627610568,0.19585174523311058,0.035083100560079905,0.0006142098636129337,0.005865451940050441,6.69965818421462e-05,1.4205226907906315e-05,1.3606084454541096e-10,0.0002725410768818509,0.0005341778797021274,0.005444342792080154,0.013305859776921076
Hepatocytes,1.961575634646649e-05,4.9189894974196484e-05,0.0015265845381500964,0.006446785016974214,0.001472442327606435,3.317769706433917e-05,0.0022358535731524746,0.00017101659895891083,4.859149469337698e-05,0.0002060739852941056,0.944179750018417,0.00017389867882218775,9.44350490916762e-05,0.00037901840762635754,0.00023339110526977383,0.0001255010993328605,4.9442312521384895e-05,0.019110463637964994,0.017026513681604138,0.0017283260249389694,0.00017438870006535753,0.0017980357595597542,2.3137885895166086e-05,4.289947791288448e-06,5.4086834259141073e-11,1.4357912371814355e-05,0.00011339480685200985,3.4561340598508595e-05,0.0025277626939752603
Intermediate_mesoderm_and_kidney,0.00021483814063181004,0.00014344804225095592,0.009878077805899466,0.016305391827948806,0.010728300672915133,0.0003997609826546991,0.0334590991745896,0.0015361293756102781,0.0011597559071778773,0.0037728171734302328,0.0021949802693054946,0.5758515855154788,0.0008768283039385208,0.008285109473526776,0.002723731124764033,0.00059894142510962,0.00020288441359724157,0.2858090533509075,0.016758409406559448,0.005642503051121257,0.0011671391985221171,0.011227746536990511,0.00031566643860623514,3.637556575780616e-05,1.8337667965155283e-08,6.051874990149959e-05,0.0005045485214270073,0.0007811836447108459,0.00936515756899845
Intermediate_neuronal_progenitors,0.00010351022764348372,5.822233026671466e-05,0.22531378747227424,0.005354238433538226,0.005251695631727584,0.0002112497218755595,0.01193230731830892,0.002598171005665224,0.001970314565086002,0.00040038987592671497,0.0008671755396528314,0.0046740805493324265,0.510258055654915,0.0012119300119085858,0.0006634588055317607,0.00016049948323881703,6.242346436645513e-05,0.1606097894288456,0.01832118734377038,0.0032244213805366646,0.002732814865366413,0.03971129104930319,0.0010501563775815218,0.0002173791774693173,5.414065841147822e-09,2.2196537341859785e-05,0.00012595706519198584,0.00011772008491420175,0.0027755711843545127
Lung_and_airways,0.00013123751571128542,0.0003027583972121954,0.011328077131240562,0.02620109371159688,0.029198478852727947,0.000312603553021144,0.05409606563480813,0.0014917481642439043,0.00045262297437311856,0.008252149837259198,0.005581825139421917,0.003546607913398623,0.0008167463866202907,0.007187428412259053,0.5655939803669666,0.0008720302148883037,0.00025901426606637494,0.20629160241722694,0.042112519061980505,0.006874654456321775,0.0009039893036372915,0.014257219615197707,0.00018144563628093104,5.07984371620163e-05,1.7801483206566776e-07,0.00011655357192024552,0.0006245766007006743,0.000567364876622138,0.012394629536302172
Mast_cells,9.946206016525395e-05,0.001040810288440146,0.011911941161126375,0.06607219798824152,0.07623873162115528,0.0006652410598461177,0.0736843968352275,0.0020215777428162335,0.0007511589462853867,0.009724865994256749,0.0082238766333833,0.005017131269904986,0.0007124864153594343,0.10225432709685507,0.005253564277221114,0.10051333496911706,0.011277543759757976,0.20610210991951095,0.0618407337283079,0.01286840761474656,0.001375413895229493,0.01352654908595253,0.0002651762422792143,4.105825202417978e-05,1.0908141032778408e-06,0.0001501207203051736,0.0033014508607809344,0.004295708755934221,0.22076953199166607
Megakaryocytes,4.0178118723792496e-05,0.0004023659559079454,0.006328028622411263,0.038196475202129876,0.08235143258481668,0.00047973193506925846,0.06493001694042046,0.0010111034329668396,0.01267663388425783,0.007313032557070196,0.004818624458950116,0.009233172297172755,0.00037973481902563,0.015742343612554336,0.0018794372213245857,0.03646132451694513,0.2354790691481942,0.16014093461360152,0.11495859812225805,0.006758165509486105,0.0009043848750899291,0.009675572838999297,0.0001641061995530977,2.125362904224507e-05,0.0002106663148848087,8.469852862922267e-05,0.0012613529333933883,0.0011509296327974737,0.18694663149432397
Mesoderm,0.0019621131230083094,0.00014087110321543293,0.007413605010800094,0.008404232190844189,0.006825965702970128,0.0032688919046935613,0.013335204479867765,0.0008717906125574767,0.000721030989711278,0.0007671142205474444,0.003085448859931072,0.006698801075688582,0.0005552759697914476,0.0011599627854626158,0.0012716920240298537,0.0002558753662127374,0.00010771681777509127,0.8974836866365551,0.026997362737415428,0.00405547798178365,0.0009056259639047766,0.008327339417029199,0.00016845127111518842,2.871845491235174e-05,2.3087704168641874e-08,2.985143229570167e-05,0.00022550865249762117,0.00019608418969947408,0.0047362779379803216
Muscle_cells,0.0012644322981102297,0.00019097525326159255,0.006220648273047007,0.016494059879535644,0.01087874233858663,0.00011645734148964202,0.012995214552762428,0.0007990784013745342,0.00015664298186394073,0.0008835799662939466,0.004107903677042572,0.0014230296456177855,0.0005613437899381408,0.0016816963115607938,0.0013285440710290297,0.00044652776605217244,0.00023915714829601128,0.16026539726743338,0.7567111565747562,0.00473457892308444,0.0006928473370867385,0.008604396996536132,9.822417217888095e-05,1.9045971898277696e-05,4.3080010239184154e-11,8.043516364902013e-05,0.00035912475330048633,0.00011951378902894371,0.008527245312105445
Neural_crest_PNS_glia,0.000700860107769442,0.00023407493853102546,0.016268219243706982,0.020162639897376045,0.036756321016812116,0.0005390143338755546,0.04239108381644748,0.0029468881006543724,0.0015076642205133185,0.003002307153403072,0.004821433141917319,0.003542211424277861,0.00105183370483546,0.008279898869401526,0.003336383996470418,0.0009811783299567623,0.0003410679620547566,0.3809384115743564,0.0679306889535044,0.3540997193747161,0.0035479239245790476,0.028062863668300186,0.00032164776023351296,0.0002091347000548747,6.667995758578615e-08,9.768981602347113e-05,0.000703260300860123,0.0006943143065276422,0.016531198682883125
Neural_crest_PNS_neurons,0.0006705101920954375,0.00013007932721098402,0.07335335262520856,0.0056694808456846215,0.005877206764991168,0.00018087535015806077,0.008256133922957284,0.0014167906959296447,0.0048047389585575894,0.0005434196391978046,0.002067344099772583,0.0017495665820966716,0.0014044465968652954,0.0008554779047509891,0.00039064882586938786,0.0002032304832956125,9.911429120503345e-05,0.14110041138391255,0.023642397348100395,0.003249066990916845,0.7082677125299925,0.006716805735727179,0.004954094699201728,0.00011266558809342694,4.618360515861407e-09,2.1010936302990506e-05,0.00015266461344751457,0.0001337168695827426,0.003977031580514794
Neuroectoderm_and_glia,0.0005211676704096235,0.0002016393354266868,0.05629346399026273,0.02064202073177867,0.012272693765858577,0.002531035683661686,0.06266848278271162,0.01015987013285252,0.004844341643814775,0.0023946472117977765,0.003474806590862704,0.009914732050408078,0.009273419571546412,0.004059124453914503,0.006332339536573884,0.0006200050979697498,0.0003851019600399191,0.3357731850162328,0.07490682937048175,0.03289281351499278,0.0019800186577389432,0.33411164586413983,0.0004999577873541001,0.002700383197254477,1.3186387683290618e-07,0.00010011387796531903,0.00045874941003234927,0.000558841009014457,0.00942843822102641
Olfactory_sensory_neurons,0.000926517205463628,0.005625852520309475,0.057099880174791395,0.008634482720095427,0.010233083988409847,0.003953535671440031,0.057341051749280905,0.002824649516178079,0.05439184365648892,0.0012822411101670347,0.001652174785813075,0.0047982992838425526,0.001763156890850471,0.003668230116051463,0.0011163584693452498,0.00043002118353189654,0.00011782863579947356,0.37960548130741967,0.021823362046027504,0.005082758266990235,0.030979399390413328,0.012082983101813513,0.32731772264079767,5.0696410975252294e-05,8.23267873883748e-09,2.6752714542823447e-05,0.00026619923947564917,0.00034029290790131843,0.006565136063105347
Olidendrocytes,1.2069080396259409e-05,4.189808606157676e-05,0.02302158850490241,0.006281237693540429,0.004099355616641054,0.0004047314066960312,0.012001180300052476,0.0022965912177772313,0.011882165654836819,0.0010014553729628859,0.0005488126285500052,0.0013817217209990081,0.0008030925086625398,0.0011322895495951735,0.00048542765702340766,0.00027698235256147437,0.00014643848664307359,0.18532039549445603,0.004877453289608609,0.014423206700987136,0.0008456339276316646,0.03591640356458362,0.0002126467189482845,0.686578703022073,7.431641068260724e-07,1.012797401462834e-05,0.00017252806293984848,0.00097913680914822,0.004845983433600285
Primitive_erythroid,3.3127520066893248e-06,8.563646644550756e-05,0.007911014590620758,0.10981524296020619,0.05030507361713322,0.003172545782041324,0.0953955229823669,0.002410911090662763,0.058148970581902666,0.05143192180969074,0.09803802792674493,0.012063728980928886,0.0003097537350834159,0.01648037740225516,0.0007056966620238294,0.015762385419259332,0.029444395452004682,0.24387206815373724,0.0038303950469717454,0.006253936036250742,0.001920216188149398,0.03337792772489461,0.0002262691477140608,2.091168302232409e-05,0.002475184690122754,4.86683725176778e-06,0.001373220156882425,0.0014104198590994706,0.15375006626452645
Primordial_germ_cells,0.00044375763022481236,0.0005937235960218205,0.02046225520196021,0.06986422699029292,0.07971366977742575,0.0012546716767993585,0.16117995430836543,0.004422070831077955,0.0012979752606640611,0.006112215733809439,0.007463585573574378,0.008341400761389126,0.0013051521479324933,0.033931441042780494,0.024150683286846462,0.007812046855754255,0.0012332262309988713,0.27786197727548595,0.16716898355513513,0.01804563175103698,0.0023949862691119246,0.025775613731514904,0.0005133083838549875,7.206961707834388e-05,8.97040639439045e-09,0.003401874367555461,0.0043391365662880784,0.001223863879169939,0.06962048872744409
