,Aidpocytes,B_cells,CNS_neurons,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Aidpocytes,0.6887115554389034,0.013066691011439507,0.0020436536056352445,0.0020931478147992667,0.009263137778168049,3.126456937819062e-05,0.021997041141478667,0.020303958090854182,0.0002866483540700382,0.019266023248466244,0.0029993782723037933,0.0042232337472385955,0.000681875770363856,0.0010602680751617098,0.001645437284024783,0.0015340483050498368,0.00014214573378221749,0.12979117628164932,0.004169589564492704,0.02462405637519249,0.0006052561496920258,0.00843551048388682,0.0012072037757867465,2.1195220200289175e-05,3.572040888439562e-07,0.02461355105607142,0.011734410724589384,0.0025983670515193663,0.002849817871713069
B_cells,0.0026689799374346517,0.5154741651498189,0.00472810048735715,0.08535326678020369,0.011741990781743558,0.00013880173287844256,0.023282579321861518,0.015634978933354474,0.00014717915445835585,0.02347324713898178,0.0031570623732685085,0.0018375011568860192,0.0010381431113862915,0.0018082128067518158,0.002390566395622323,0.009846013507431972,0.0014295784737673803,0.011168881850434142,0.004213343574734334,0.010226888136976149,0.0006143279316452551,0.016383868489721183,0.0005839178616242614,2.0143598751861764e-05,5.086712804097792e-08,0.1377888387381617,0.0837404171699706,0.003258137187282138,0.027850817350363453
CNS_neurons,0.0020610685756584338,0.015237463067259344,0.6594117825805031,0.005768955116441489,0.003093779247714637,0.00016080229995080178,0.018183589051567604,0.08714314436081909,0.014481711636274175,0.01808575548739473,0.0005090816492298011,0.002558485818244787,0.046656902004899005,0.0009376456385864119,0.0009957992188495742,0.00177322834477495,0.0003468285089218531,0.014407060551343089,0.0010745168069864832,0.010779765303117021,0.009682335867578142,0.040831479875003046,0.009971920349056595,0.0013110577000419155,0.0018000791868611633,0.010168556052784446,0.011433733431279776,0.007313273126093184,0.0038201991427653527
Cardiocytes,0.0009527572408116559,0.00996894063225386,0.0043046057363611175,0.011824142737750083,0.02106350572021568,0.0003332047936407983,0.16137964283944659,0.021600623688363605,0.0007482538696992468,0.14499751407728842,0.0006814903780183994,0.01352181441639141,0.0016882918628948506,0.003869382844518224,0.0026381424458159493,0.031072662725756966,0.1751453510916987,0.022205728207620377,0.2034373378000707,0.012347127885170932,0.0007579960281517605,0.012222089441810354,0.0006690983156795587,3.816068233516912e-05,0.020301873808563523,0.012771300634152093,0.03785520223006062,0.028444606271062534,0.0431591515943968
Definitive_erythroid,0.0005112921350109331,0.03663319346910057,0.0011670618543273283,0.6947156782407301,0.004126604178103303,3.521827600239171e-05,0.012173366724990243,0.004352203101818783,4.6193472341672404e-05,0.018237614992338735,0.0015261707584707566,0.0008132829092749635,0.00024201290200581097,0.001362211652146817,0.00122603680858866,0.014580776905485732,0.0024729240669642714,0.0035541700176166366,0.0015747976711969335,0.003702195358852471,0.00019665267596755256,0.00451850378592443,0.00011983076539258113,5.689207679040833e-06,0.013109327285419513,0.10776101790821362,0.04176564511924819,0.002798582891047601,0.02667174486574038
Endothelium,0.009220040963181478,0.04920945118303111,0.0025268501049783005,0.01861347555631936,0.5750231511199441,0.0001548591618669512,0.039037956214792474,0.014112123651001975,0.00021119298493885757,0.052050845463196084,0.001547978895751591,0.002749358425912232,0.0006802690057764304,0.004482704965479662,0.003682508450655956,0.015637374784388928,0.002740647999053414,0.01576822187556067,0.005815859649720261,0.020069685887386363,0.0004911553498857599,0.009853260194668097,0.0003456488636303565,1.4608223275821857e-05,0.007198301319607749,0.034740066618864154,0.05423191716339988,0.021867449445707697,0.03792303647802435
Ependymal_cells,0.0005426283840476505,0.0077863495696477185,0.0020002335497760707,0.007287984908658,0.0029610403644040693,0.5979473368576659,0.07891916190275516,0.02242067931694873,0.04093798470310748,0.009343434709185328,0.0004593298192287617,0.0011498537651306623,0.0007768781799745147,0.0005127916620414718,0.0007524253171567329,0.001375240804728635,0.00023968225851031706,0.0074318188273961834,0.0007867876264230437,0.004905643224898586,0.00024200983726457156,0.18462277262560567,0.0009045414872430959,2.3015140922621102e-05,0.00025992149801503593,0.006189834096411779,0.01361385030356788,0.0016769383177781285,0.003929830941506179
Epithelial_cells,0.01626145918866338,0.03976805246245463,0.004396432255510384,0.026890754791469795,0.018448871276772597,0.0019090924086107742,0.3235412623007726,0.029674839136809395,0.0006732363974627323,0.16348903294609599,0.0020547829146537683,0.008510896375576536,0.0012174814836222146,0.01758272643825871,0.010996376371417118,0.014546443681611987,0.0022337707616835603,0.023607561672746375,0.004882152802104502,0.027524830823478667,0.001572706283808187,0.019816849938344174,0.0008012693778998135,3.1144669032871026e-05,0.006999262613314743,0.10193375571832859,0.059593122253301045,0.051138099640586444,0.019903733015608396
Eye_and_other,0.012077079574456707,0.017026159191356808,0.029948561115447768,0.01695397051901012,0.008615957208204265,0.0007124820538836825,0.05204194936316238,0.4466860999257689,0.007770689806599587,0.066238974210058,0.0015968344429451357,0.009547832017645252,0.004305904083155025,0.0036835433752405336,0.004406966548059825,0.004895691086909777,0.0006749985919414626,0.03064019662032701,0.004302084263776994,0.06380405751886709,0.0009491019480354346,0.10766550442630807,0.001255219167030187,0.00015134203654589763,0.009203315322787274,0.031757148500571174,0.035718320287701326,0.016053271731434206,0.011316745062770087
Glands,0.012442881079724638,0.0043616969502830675,0.004838668678399176,0.0032640173607043762,0.0036880387445289,0.0008301620729407514,0.047318234424731084,0.04060098476094202,0.5870172305108315,0.0872890639881364,0.0010304369364121668,0.0018680717087638688,0.000501901428677073,0.004445572325924124,0.0009775673843528804,0.0031613164636153557,0.0004638948824967357,0.018082691121524788,0.0006142837148416999,0.055239345160434605,0.0027538032378726274,0.017152998373497805,0.004452614521480553,2.3379850668699812e-05,0.007685155507878451,0.002921586585444427,0.01625283786392806,0.06361433780962317,0.0071072265513409845
Gut,0.0661094522403246,0.018123670348342013,0.07224314235660434,0.009629219205054761,0.024166677590855862,4.0712109122730924e-05,0.1392730541709896,0.014361963695434977,0.0008964165518860577,0.14130770330441733,0.022775132734472545,0.006121899107516127,0.00019895295841351472,0.024934454288353634,0.01016910500721497,0.024535444055848593,0.0006628340535908961,0.024054345193791606,0.003755424649679456,0.015178219455385349,0.0001990160991699833,0.004909894606525521,0.00010024037467586096,6.059102914914059e-06,1.0199901536470731e-05,0.16318810518076488,0.03610213633995621,0.16462407039605895,0.012322454921098248
Hepatocytes,0.002965074968884912,0.008776953458736463,0.0011515788520614593,0.01065302828266791,0.0023078159468183836,3.7268233490374357e-05,0.007583851938861477,0.005126805519047067,0.00015877712603051337,0.024400556501311472,0.8678835645102457,0.0004917492050616596,0.00024173890456018418,0.0008806158454157283,0.0008033315548296727,0.0017435079237146025,0.0002338345952330649,0.0061610723018590535,0.0013759785820730104,0.006564693070880468,0.00020828501181996604,0.004157984636309202,0.00010354640852951716,5.108161994488669e-06,0.00010848902475285634,0.01897661763660471,0.015065317067664202,0.006873500545032719,0.0049593541855091445
Intermediate_mesoderm_and_kidney,0.012700502424535324,0.015535705103745457,0.004095773735180727,0.017868716349099263,0.007872330170511496,0.0002721459915277777,0.04238242978078777,0.027454893158732896,0.0003905964159820135,0.08794320987180215,0.0011331191086927357,0.5947344901685796,0.0015892044917714804,0.00588549288857836,0.0032722639379557934,0.006025762161510209,0.0006426056438493858,0.03452764851979839,0.002969900548226008,0.014308722193076313,0.0007149934404367467,0.014874899206713334,0.0009003823190151235,2.3700907512920294e-05,0.0013954760278233292,0.031825688285395906,0.03653186940151315,0.021349604904851598,0.010777872842794762
Intermediate_neuronal_progenitors,0.003181276400136411,0.006497627170852197,0.038507901408646274,0.005815992639257345,0.004305625365302347,0.0001162137131519771,0.020596737189982228,0.041753400417005516,0.0011086533857032257,0.011873335662814368,0.00040317900419131676,0.004618448238459011,0.7510163837960366,0.0013527163634362736,0.0011076175221621707,0.001402437464160945,0.00019972870502629837,0.012325718156101966,0.0020485019924080658,0.008385408729928883,0.0007187702046170758,0.049253791924373166,0.0020875667837421384,8.33095261057788e-05,0.0004879570368329121,0.013052851986745117,0.010103526597756578,0.004510469301398794,0.003084853313665009
Lung_and_airways,0.003119674421123293,0.026187666866574158,0.0036798623724330283,0.023190959618037573,0.01320765874374548,0.00013895162154409517,0.0528812057893225,0.018264069625568993,0.0002534055310664552,0.10302934497955887,0.0018412055847077348,0.003485747279475392,0.0009880439325695956,0.004893679961739838,0.560628636375505,0.006257548747473908,0.000753352746022753,0.014697592280859938,0.0034205621517161694,0.012735352483513264,0.00042650707696482293,0.014633341269616068,0.00034679264807326466,2.7346138387040416e-05,0.008315055390870794,0.06002290000952831,0.042165755007374746,0.009159694161128896,0.01124808718549799
Mast_cells,0.0010708397918016825,0.07315905209310852,0.002420419999436506,0.04084849255505262,0.0179882659737327,0.00014894373808304242,0.03639017327070656,0.015402584883037126,0.00022395363507285418,0.05223328117110665,0.0016645049493091164,0.0023989416059269266,0.000580756561284623,0.010349931868007091,0.0026153236905208125,0.3139977376656263,0.03360290368848382,0.008039681039966568,0.00221437280119481,0.011743020904103377,0.00039965629277198403,0.009020858218799525,0.00026807383313352595,1.5134262488645799e-05,0.016022458272046427,0.04682691278240125,0.15177885808663033,0.033873836594538465,0.11470102977162815
Megakaryocytes,0.0005747897193758091,0.034547467666334826,0.0013801440391878932,0.024861175383183803,0.02187773777768516,9.733655969353034e-05,0.03537008620232981,0.00784129305460688,0.0002497464678501232,0.03369953951013538,0.0011109533038101227,0.0010275785198255664,0.0003298165412621652,0.00289122969328222,0.0011228617753455553,0.135601405068579,0.3979554742835132,0.004876947094655095,0.0015727185979487774,0.007102414846676901,0.0002667767765668954,0.005138170948139409,0.0001755431586505597,8.219203897294746e-06,0.0770636733518644,0.025505918772649086,0.06922681059838029,0.012080309849530492,0.09644386123503976
Mesoderm,0.21474039963189684,0.043241219279911314,0.004929801666555525,0.013682601284301446,0.01705442469355528,0.005281006185722619,0.07063352705936068,0.033090034695857175,0.005029251080032002,0.08222863409037669,0.0023567435541671958,0.01880668567770133,0.0017211471283096731,0.004277653311074273,0.008859866783837803,0.004297402936596895,0.0016500900134129692,0.28079019562843505,0.007526264146895843,0.03550610885014404,0.0009333146848046145,0.02258735781397488,0.0007819535864642041,7.353112953582255e-05,0.0036598917116224005,0.0296223055553448,0.03181727070303788,0.04576900370875196,0.009052313408318781
Muscle_cells,0.0999722769468321,0.03681101243120703,0.00365206106883293,0.023818041907022133,0.036185323854386824,0.00010733394346857835,0.06445182799754934,0.019211033179903823,0.0005586382997247447,0.07763724701675696,0.01043709078377601,0.0044277570728547405,0.0010726238733649361,0.005358424453354532,0.005588089529434184,0.007016550684065978,0.006253695522752499,0.031047239609920618,0.2816943201958714,0.028854781492509522,0.0006831985601733166,0.015461681266390906,0.00047414379799673467,1.6920555778047035e-05,0.0002291064426111624,0.14416318997326533,0.045967772174090586,0.03029457823975247,0.018554039126352617
Neural_crest_PNS_glia,0.015317676567940192,0.023554027048316807,0.0046351021092312355,0.01901973781368207,0.02737607803176286,0.00022596878958224163,0.05538149542981612,0.04141060629783028,0.0017688961209747325,0.05701718844124675,0.0017886108228685129,0.0038360741402635036,0.0013166813860331888,0.00633426615101895,0.0035608296699542845,0.00850885919062664,0.0010093308505765585,0.02400611896509399,0.005461548447588786,0.5292785160454196,0.0008248033689228539,0.029416143853957803,0.0006037419653621074,7.134892793391483e-05,0.0033558402164570148,0.05433322481829494,0.047581266546729034,0.016006689496794877,0.01699932848572008
Neural_crest_PNS_neurons,0.03288099196363262,0.04171491920709792,0.03688878641311717,0.006492536837502345,0.007048400974592704,0.00012741641058440365,0.022883309966685084,0.05365279595695083,0.006782005898671759,0.023700525136019945,0.0019019740847105759,0.006874313015537886,0.007375986745061898,0.0012411534895947654,0.000771004334556505,0.0021305813246558255,0.0005440221362859107,0.019718893403477537,0.001617109017247679,0.015240177499615976,0.6108788993457638,0.013174300750008994,0.03566761375329444,5.2276972362707204e-05,0.0017564616668509893,0.015616593915583952,0.013934641905452976,0.013703543493733534,0.005628764381349315
Neuroectoderm_and_glia,0.011468701765531258,0.01869857611795334,0.017981087025263194,0.01843563393674649,0.008100025850873624,0.0011157635117154386,0.08320866288670199,0.1448384462902537,0.0023723437038111086,0.05110531240122963,0.001305131437861594,0.012099223019565931,0.014786033863512307,0.003181089841536266,0.007890304101445905,0.004456790902164674,0.0007391769774337198,0.02025372286248073,0.005740751397550861,0.06891876135281633,0.0007549246536026992,0.39115464097775826,0.0009765231530967466,0.0005621268990352543,0.0027092620057941595,0.055177006517528604,0.029750753149756393,0.013691141175554264,0.008528082221425507
