,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Aidpocytes,0.332502217890963,0.00960036744876057,0.006514121813382912,9.74417058176712e-05,0.05864105405194712,0.012563902021046191,0.0001007333126802625,0.05009791654500182,0.0018707924856018025,8.71056113425473e-05,0.002048089645654501,0.01985077570636093,0.0037059083314844314,0.002113852894139265,0.00480389783882785,0.004611127103360567,0.0010338926277842575,0.0007194831889677169,0.39838630175514367,0.04731967325654648,0.004242764343068566,0.002102711249288507,0.012698309564415804,0.0010394660113467304,0.0001164879146832499,4.947381420087613e-10,0.0008495538541222995,0.0011281328103710437,0.00037890015141156264,0.02077501837174052
B_cells,0.003235304818920304,0.4371944473938795,0.007958498433955685,0.00022136979288232367,0.20679580257283112,0.012117643308530983,8.893479726458615e-05,0.01492965155849634,0.001522681376160481,2.5350892225181584e-05,0.0005710299923805197,0.005435725435353027,0.002177668639764539,0.0019830063977336627,0.0033506649472047905,0.0031747683885671365,0.007465417169057083,0.0030180908345659938,0.0590304408379481,0.015003920805270498,0.002309545540353944,0.0009577195321637406,0.012799591195333112,0.0009662726236904642,5.552934573560986e-05,2.2601275413553316e-09,0.0005475487901684318,0.006980944118337669,5.461846136592913e-05,0.19002780973973168
CNS_neurons,0.00010347853436392084,0.00021793704287516633,0.84092786658158,6.853663197750647e-05,0.015793038301649798,0.0021371713254197877,0.00018086308096064188,0.007137989431699224,0.003538089238678308,0.001398119637878574,0.00025313321090264344,0.001839411052982325,0.0011543218308056758,0.038568876944384656,0.0006001123730959563,0.0006630434757809463,0.0002293761590992272,0.000225749574066964,0.0319214496223686,0.003048156703120645,0.0013081283729149459,0.010634394530274977,0.028351961771164762,0.002857931020797885,0.0016972507008722155,9.567261167277562e-11,9.849986526443824e-05,0.00014210147505501052,4.6323407572132216e-05,0.0048566880067204485
Cardiocytes,0.0003375076462925681,0.0007665854926049352,0.013401774248013905,0.05905683181942219,0.09699127432520697,0.026311962895567583,0.000685280213962368,0.05507417596985057,0.002911472100996414,0.0006669637758026909,0.0031477323486656735,0.005484215649967981,0.004038880726778521,0.005251662997603763,0.005059579106553284,0.005112946685996847,0.005260847701170286,0.0106392171396811,0.3611227405916976,0.2152176279996982,0.00592010163917258,0.0010326436399686546,0.026814575355714246,0.00121797811965891,0.00031297445509715244,8.233131144636936e-10,0.0002540490333634723,0.0015558127183947776,0.0008258396130118063,0.08552674516677186
Definitive_erythroid,0.0005139146891917143,0.00038665153852866503,0.0015373517169194272,6.280410239383814e-05,0.9250568145485747,0.0026360513762737235,7.023033858877434e-05,0.006042963203009012,0.00029549151955334213,4.7481491213960134e-06,0.00010376747252761061,0.0017170476367643086,0.00041992889164353545,0.0004157481840700377,0.0005934481920701116,0.0007696598590936239,0.0007462794103136958,0.0006160314286239506,0.032782428444656016,0.003708134415109345,0.0004965001771744014,0.00013026327575461105,0.002802286190729778,8.613657350310677e-05,0.00014300212584230095,0.00015654470741493815,9.41572409594243e-05,0.000848331422818697,6.020012141284761e-06,0.016757263156634693
Endothelium,0.0012554547005697934,0.0019038464685131565,0.008730854645686067,0.0002536596674162335,0.08727460906299343,0.4498477180492452,0.003597255018017988,0.053828957229559965,0.0024339476992458952,0.00015608433404709746,0.0026311997207042566,0.006205404971172383,0.007556721866377086,0.0033268573888308906,0.012290977600646019,0.01799466607347071,0.008180437428345372,0.005743308331255062,0.1516330655603004,0.025731834944311405,0.005417760341557973,0.0009342073838040295,0.017516612618574682,0.0009110785120447387,0.00010991914798327562,1.4577106309981806e-08,0.0006142010543414512,0.0033919645187655404,0.0007146344129019598,0.11981274667221159
Ependymal_cells,0.00022171407329594172,0.00033658495045972694,0.025645747772907904,0.0001300929382931396,0.04256654093555539,0.0065564164045638675,0.566346686314581,0.06237198118447292,0.0036260122727404948,0.016816971177165883,0.0005506687846615008,0.003119373454000445,0.002033938568035083,0.003445330790754319,0.001952598012638669,0.0025922723126629976,0.0006527684053321101,0.0006081058967137658,0.14016632259324752,0.007784009077091611,0.0023738249990529303,0.0006292201451605428,0.09402685547403593,0.001261414003516898,0.00034184311078479555,4.5934881445537587e-10,0.00020574120604607992,0.0004247412450922401,9.441270913848586e-05,0.013117810728649067
Epithelial_cells,0.002476142091549868,0.0014622650548493461,0.019153465193716725,0.0003274532577224705,0.1263467735746809,0.037353986290339515,0.004977137921359398,0.28053201387769555,0.007947676294553322,0.0008250501164960599,0.00752031427913319,0.010513129886852853,0.019293154257534258,0.005785719578262468,0.024893163004307516,0.032167618850054515,0.005818446251390997,0.005798921540554257,0.23792448571680883,0.030992893334857694,0.011372780613790155,0.0015780564993827597,0.04744391205113428,0.0018439582738304595,0.00035141010329768906,2.3695694964089322e-09,0.0018608629416057643,0.003317657175179491,0.0065966816955103464,0.06352486790397982
Eye_and_other,0.0006541800367986752,0.0008463496102858604,0.057579106188295495,0.0003273438038111945,0.09915018483061916,0.01571678061335702,0.0011130439102491193,0.05383689546979934,0.3298579289937548,0.0006894539389479163,0.001845698296307386,0.006503678655912029,0.007400454321588253,0.019955397460090493,0.007529575216866674,0.006434777080746148,0.0020293629152835484,0.0018248022108547871,0.15617302692373838,0.02132615905909637,0.009831312510518352,0.005361893897016096,0.1483243763889395,0.00280224240553646,0.0009384965321939157,1.192960778496305e-09,0.0005544332895434447,0.0012415065932712842,0.00048636230862859295,0.0396651753449889
Glands,0.00021076307782167243,0.00019869540783404248,0.0855296071083102,0.0005550206767074206,0.03370746463403196,0.009374901278968182,0.027333316235933405,0.07952525895018643,0.006156380508778126,0.2896738533048139,0.003607458756988423,0.02605911985563921,0.014399215936887505,0.007755096227272669,0.005866035585430964,0.0041773084750072334,0.0013644976463631868,0.0031462429235285024,0.2732599864849157,0.005915082289885876,0.02192677283877604,0.009763337282918824,0.057711181726386056,0.003695443591075958,0.0005216833461924932,5.579895212366376e-10,0.00010369986144636027,0.0005741634875973057,0.005279188299779797,0.02260922364253296
