,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Aidpocytes,0.5113356195916354,0.04172556914640581,0.002353809113398855,0.00045018125818789014,0.012580732086582306,0.04555085374876393,0.0021549903669628376,0.026532169859433057,0.004193423849187243,0.003251389419953414,0.04274378413365753,0.0010779521136269601,0.012342021999664304,0.0017042191741220734,0.027610987870237733,0.006302849956943962,0.006943844370794999,0.00016096284057751922,0.05947281516165263,0.058766131305925326,0.018112423190579593,0.0005787352076953973,0.006873700412972494,0.003500074903129033,0.00012155100753791764,0.01378008466090576,0.012183491337133458,0.05625710354595502,0.008052355739725119,0.01328617262665244
B_cells,0.03643058042938483,0.5517546235454797,0.004112374745911861,0.0008917251933354951,0.026522374205584582,0.031115573075578,0.002938077160152353,0.01969073792354904,0.006092070271654495,0.0018787292210870313,0.01874455335457662,0.0014632103637201566,0.006615809271986807,0.002807086181471881,0.01749558465713849,0.006401797875198869,0.01768957168833506,0.0003301421641695261,0.03390539998803266,0.028905216900283515,0.016210570052726348,0.000880737217365151,0.009506385258118316,0.004714724817861134,0.0001708879479475202,0.02015527973594119,0.007281832002265958,0.09285426381564856,0.0007347664979605877,0.031705314437534306
CNS_neurons,0.0075004267052103946,0.006372592689857415,0.4432848587242875,0.003399710086362482,0.005362074124716108,0.014125614111755065,0.007998703396473343,0.024908228932326342,0.04493676694510927,0.0951979723367305,0.020460369957723434,0.0012669785035124307,0.015743984596115798,0.04389098105517435,0.006841724571199281,0.0032523578519949876,0.004674811120063662,7.057089840965611e-05,0.055301594165777755,0.01628574986255833,0.04223674347425579,0.012520987155227318,0.03362612945460584,0.03586919762165031,0.007640529291510266,0.0033554960108656312,0.004285666812853647,0.01507290984116132,0.01893589169413997,0.005580378008371814
Cardiocytes,0.012428692393371113,0.0026240192143514745,0.0018560013272777105,0.6176156194521404,0.006246323624959994,0.014519058150926491,0.0017852382694490169,0.015271540761570106,0.003854498277074036,0.001459214346174123,0.007484529638740089,0.0006142076840912887,0.0031630962285023843,0.001431882937271052,0.00598477097663412,0.003160536953906175,0.004356702132698097,0.0001211011116402378,0.02012884371080976,0.20233450614036083,0.012832435656053208,0.0004236389625773534,0.004934295391331591,0.0011722277423951244,0.0001289516593975467,0.003239702171701518,0.008927309516481647,0.016140080142157922,0.017799833047738904,0.007961142378216662
Definitive_erythroid,0.023165134727885974,0.011129715487036555,0.0032822871601735915,0.001583977021359824,0.4999207857471849,0.023378064870901796,0.003311421957124586,0.02192716860685025,0.005942841064264721,0.0019412010454894749,0.019937001181493223,0.001468477538795749,0.005793428983523494,0.0022959448411860152,0.020806821076483177,0.006001833830146362,0.015866022567178954,0.0006870678630400068,0.024887075663646556,0.02309744620311958,0.014933765875424224,0.0006217718477616721,0.008314527576524986,0.0023075579680376184,0.00022226304295734116,0.07478335504551749,0.013284775436979982,0.14224351951646844,0.0014831327144239597,0.02538161353901947
Endothelium,0.02259347401394964,0.007894398643992143,0.0026329928075841604,0.0009797364472630043,0.010223099029810466,0.5716690420688487,0.005586796905438911,0.036089338359591105,0.006094676442000878,0.0020529108586158757,0.027963470665566023,0.0009495525154525565,0.010013342834280532,0.0021532671524507703,0.027931651098484025,0.007746608927282315,0.01904542371492095,0.00027517389387684134,0.03654074668618409,0.030154326928448112,0.02088372967985315,0.0006046479101784173,0.00770486984345881,0.002892936346841966,0.00017659865260236267,0.008433612994236056,0.01173258572731483,0.05657665058558802,0.03711616247622324,0.025288175789662044
Ependymal_cells,0.007529640025073333,0.003113696085921498,0.002293346891165568,0.0005086586989740868,0.007846726953041451,0.04154623255944804,0.4793927916902006,0.07639996626725223,0.006573047885146913,0.0025367068324463737,0.03402755001001058,0.0007178219890754733,0.006276169725511874,0.0016689618174617312,0.029701418860884878,0.010941831279432962,0.01352204833795248,0.001184767798111113,0.02443387706096117,0.01309227836456566,0.014585479008542348,0.0004739165838100098,0.021373037023050347,0.00843305690618,0.0001851001560224873,0.006356160554939232,0.03680570012189945,0.03852512274215057,0.09796012089472718,0.011994766876040366
Epithelial_cells,0.026851170756697094,0.0071952805979791,0.003791928603774686,0.0022962354114211786,0.0132057644021184,0.0768302302821497,0.014201924621641743,0.1805127973367412,0.010990535652821019,0.005793382289550173,0.08429867661101828,0.001232773638556182,0.03326275233548636,0.003098779508159184,0.08108148643447087,0.020605021852640015,0.0188936348396256,0.0009440650668012793,0.05178635040214711,0.03523546098575338,0.036149602428448,0.0007990721265333035,0.012814472056197025,0.004480203623192144,0.0002618944587853383,0.011906299459275455,0.08509690938316666,0.06642787972334996,0.09057741435128859,0.01937800076021095
Eye_and_other,0.014587402419246059,0.004649568204373674,0.011626539623025418,0.0015329847704698735,0.012280238708556457,0.027669349732397326,0.006308829381636719,0.032912074065854065,0.5434942620601692,0.007902248376636476,0.023542867735724164,0.0014349384990915612,0.018084104489722922,0.005695133863075461,0.018021711460852782,0.00722694167456043,0.010797998681881403,0.00017157927233784706,0.04705659997401313,0.027059312914822966,0.042946062220917854,0.0012011197060479138,0.027253730240982876,0.005818784172857607,0.0007955414442877091,0.008641115054849196,0.007358463057625199,0.038262809473679306,0.03183885883498744,0.013828829885316956
Glands,0.006600724272800093,0.0019859640541261096,0.007617215325440764,0.0005176976933802006,0.003555995271886012,0.013639490513354266,0.0038873677471033593,0.03337738531283552,0.012326008153965696,0.42881385780471654,0.11743016077739353,0.001311079547240855,0.005684855635457736,0.0025679433170925138,0.009315645886021724,0.0032927178410091717,0.006495296698867615,7.953900471867758e-05,0.08850514539608485,0.012962526130411304,0.02388707640409318,0.0009566185967794006,0.011692274831908331,0.08318647414098768,0.0007002040234764993,0.0026640523105416532,0.002365212328556072,0.01186518231164505,0.0979199519866817,0.004796336681423872
Gut,0.028071168504170706,0.005998616041426963,0.0027158360166626345,0.000685488041003838,0.009852337543570308,0.06085753374525968,0.010406046992369676,0.0731363139525769,0.007031325174226912,0.01000012073942212,0.24189865325487203,0.0013782550663408904,0.015596845948573353,0.0018279392771491764,0.09933220486855394,0.02102463110717583,0.022765565415445475,0.0003717600152820778,0.0427148635500135,0.03691905324154692,0.026268539663940667,0.000702398821506406,0.008193730287354206,0.003376808679179089,0.00021374480042002898,0.011450216980647928,0.06767857746030125,0.07625448620653173,0.09226070243889603,0.021016236165579745
Hepatocytes,0.028889182357227875,0.00915089603204143,0.002209733893072675,0.0003320898326312928,0.007381388764823571,0.017898739876516512,0.0017309280452699797,0.02859168068014886,0.0036827387923134003,0.009274803841417146,0.10421184979802274,0.5535053496265812,0.0033600648635472717,0.0011897382545894974,0.038053269641943194,0.0037970388453775488,0.010448495641208708,7.6266418786678e-05,0.04765537655088781,0.04619089045906081,0.008442596357703266,0.0004718433967942647,0.004529587365089199,0.0011593303403268837,8.148946485194e-05,0.004924963592154407,0.00572633358907702,0.023354127519857586,0.024492710321957798,0.009186495836719447
Intermediate_mesoderm_and_kidney,0.017286106139997,0.00370294942698604,0.0023820602169560925,0.0010533411438875295,0.007653685648725535,0.044857163112119236,0.005102714920326665,0.05353357057444162,0.007551735611898849,0.0019617593902790656,0.03638497237317911,0.0006981688218050771,0.5239873221881102,0.002042974690631164,0.047188364493172805,0.009256167038865792,0.008860054991845662,0.00014993351565758227,0.038801494092356746,0.02314944211443757,0.02606330507366746,0.0005046888525386988,0.007756604261193501,0.00303531745520219,0.00017068147982534756,0.006897882792765636,0.038201841462257795,0.03412053938142815,0.036829474086708544,0.01081568464873338
Intermediate_neuronal_progenitors,0.006828195199620095,0.00194612767915548,0.02201246773167688,0.0008606124048055769,0.0049584366676612346,0.014093804659034596,0.002795710372850838,0.017491906328469916,0.01820209564852191,0.019936903681039186,0.008871172274401961,0.0006607937184854533,0.010014127623425371,0.7045030371201487,0.006316114483072297,0.002734429815039307,0.003469013499347823,5.6298738894389523e-05,0.031907531355636336,0.017533847507969522,0.02175159311090159,0.0016476807129400185,0.04233244300199925,0.0076596035995075504,0.0009628254033849695,0.002568419475885354,0.00384639307806551,0.013591006899955871,0.005425521466761236,0.005021886741341761
Intestine,0.021619627043951286,0.007325561180921482,0.00260958352406241,0.0006011505553329819,0.014220885795450501,0.05630458837151473,0.010305352409746508,0.06078716308924629,0.006499316946391659,0.002513192802671494,0.07864020689070723,0.0011810187602265152,0.019814085024453754,0.0020058930192622766,0.21220105682038265,0.01962486449350166,0.03545410151898082,0.000512035966109138,0.030251715040843768,0.028982009459489342,0.021944101688466684,0.0005589855082500667,0.007701093722453166,0.0026284774977822657,0.0001494789307041348,0.014655551731965167,0.10589450495750989,0.11666672564412332,0.09107437642100213,0.027273295184496654
Lung_and_airways,0.014645337777158133,0.004526531059031836,0.002472398912371379,0.0005723893081563785,0.010363216040536775,0.03483225932342453,0.005624698724646167,0.0519338906509564,0.0054811413969943715,0.0019491030535539076,0.05101663100650657,0.0009380942626912657,0.00921162165607451,0.0018951145143379002,0.032247146160135104,0.5807646174701525,0.008137009467724112,0.0001599137101982606,0.02859443739308385,0.021935003851857062,0.015477537864447957,0.0004869026231616299,0.007364752097964722,0.0020461048442029246,0.0001539923901098779,0.008037545143663194,0.014672152417916584,0.0384235920674394,0.03500414795071485,0.011032716860787863
Mast_cells,0.012696002816394832,0.00866708546063651,0.0025176986064218993,0.0006742507794571883,0.01572559613218605,0.03695039138654228,0.005191078028269609,0.030352095635364687,0.013099606361826013,0.002033646484365208,0.019868068719990445,0.0009850979709932935,0.005915689843937079,0.0018688884169030405,0.028031332873957565,0.004607946686840681,0.38881576693248954,0.001909017128235022,0.0235448632491114,0.018292885571036505,0.015369984571127464,0.0005107964472053518,0.0064497493324505925,0.0019506417764767955,0.00017557030072365925,0.01558953921504894,0.008347484418833338,0.15879072507041914,0.03250431322241373,0.13856418656034214
Megakaryocytes,0.013577873711485772,0.0071810986280302245,0.002917282493127756,0.0008212760375298732,0.018235325669468925,0.029378305888923324,0.004547757060719824,0.06005940911487851,0.005900985049108074,0.0022689634755111445,0.021066823808094798,0.0011652131705843852,0.005591875363740889,0.0021402109245537673,0.020434479999305213,0.0066699506188871854,0.07322432043019825,0.2706513383499547,0.03570758523196111,0.022538736284826954,0.017186647145497225,0.0006738534376894158,0.007492981326341457,0.0022303205738886936,0.00020089562008964384,0.013563074995891851,0.008158259960738696,0.16816033290316554,0.05666546106349153,0.12158936166231529
Mesoderm,0.06443590070530428,0.00789875556703434,0.0035831198483482402,0.0015507309882700823,0.007921146422287284,0.056129781888115925,0.009835090503267575,0.05622512323384233,0.008875743590433405,0.01246291562292629,0.04379042202568552,0.0013131676182543874,0.038376033456248605,0.002674114408441813,0.020346511122503373,0.010846762838759232,0.0076751087161239994,0.00023786663190080177,0.3703298521744478,0.05749430716854761,0.057025449625843196,0.0008273942323724932,0.009830563344654125,0.003586719176933167,0.00031515513521119756,0.005297605386072687,0.015597053281783372,0.027934252476041956,0.08754870224967029,0.010034650560674594
