,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Aidpocytes,0.4173417625196995,0.026914711699691497,0.028770044208895548,0.00018903678187027348,0.048582821104136364,0.0344865527862954,0.000948802854457816,0.04237391666578078,0.0046371522185640465,9.543380831813002e-05,0.005269318651108871,0.03092632803715533,0.006880871409036677,0.018393085446088697,0.020739675739997996,0.006150917963277268,0.0017347035279878782,0.00043149257072040606,0.1732671209720562,0.06610927359267636,0.00460600413329612,0.0019863195442650205,0.01798093234269567,2.5864812056921057e-05,0.006838777954592153,0.00040669558190125493,0.0022996353353505997,0.0029615179446239753,0.0022224710647322284,0.026428758728670988
B_cells,0.03450316119361232,0.42729581151915064,0.04914241340556508,0.00027692169039917854,0.0950510063288905,0.022535983577534797,0.0007932747940992659,0.02253768789799511,0.006705347568221466,0.00012830226870726795,0.003887445539561393,0.023327991539991363,0.007388665985781544,0.018650565061733987,0.01959238744926533,0.007099373420128599,0.005683251221348067,0.0011946897599583782,0.0980501036995162,0.028586544729082602,0.003881371453199557,0.0029251682797076686,0.017856025764298664,2.6724356361995323e-05,0.0065265699398705905,0.0006069156172526341,0.00016126366924901903,0.007030461597188624,0.0005129445209871278,0.08804162615134103
CNS_neurons,0.0008979021230177439,0.0004989866029480769,0.926715017645761,2.7615793437610717e-05,0.005342178863346802,0.0011526891787690193,0.00012878228999669878,0.0015653685996578975,0.002214828185965448,0.00015254568554120334,0.00035007844534357943,0.0018140019410931008,0.0005981193782709146,0.026685891563591913,0.000758260945781648,0.0005609090226416958,0.00017985851172183325,4.234044814310854e-05,0.010541373625063957,0.002146442328971688,0.0005570774449026704,0.0054111600683355,0.007013240824220127,3.953815653964038e-06,0.0009807369850446785,0.0006763207355617322,1.855318268121403e-06,0.00022491374715841392,3.806822746808154e-05,0.002719481654321731
Cardiocytes,0.0034123908570988914,0.0006479361083792971,0.016848971782859972,0.09936673418080828,0.006672086740934238,0.012448885754394281,0.0004951309480276842,0.025782932035876872,0.0031593286597424415,7.832368012370882e-05,0.0018872074939164417,0.003829609347522904,0.003443044171583067,0.008726734487313191,0.004377809260980848,0.002773731360664939,0.0014835547628009494,0.0006288133808068004,0.05644507359428974,0.7175432125317962,0.003788915445641246,0.001522072979010226,0.008227281155352185,3.711258141286675e-05,0.0013527844007185951,0.0003480228908658399,2.3286557495673154e-05,0.0006544202081481612,0.0002586509178954086,0.013735941723539032
Definitive_erythroid,0.007011471172978102,0.003723750542299956,0.01898227286611037,0.00011594843665932022,0.8359383688190132,0.006514380486872322,0.0004139580297838521,0.008844635512155433,0.0031937103582927204,6.393539652107578e-05,0.0016198039012868734,0.008094766155758026,0.002410851922779988,0.0073614510599850904,0.007853452067648523,0.00286413575118909,0.001745900801111388,0.0008519732303195812,0.03372636816497059,0.011141591095040343,0.0016195779391218093,0.0010720979230374266,0.008094440192820272,1.0814002358927307e-05,0.0011316759154006253,0.00032028387757414994,2.3720657674397225e-05,0.0024311033016105924,0.00018271493043416008,0.02264084548919186
Endothelium,0.01848965063061988,0.005835144077796724,0.03935176346727822,0.0005105662650638799,0.04094376621163294,0.40827782283135716,0.0032033739706760125,0.06981682493695576,0.008761409314083932,0.0002564019419368935,0.01245038440148785,0.016068759652669375,0.012410109358385229,0.01761800351671591,0.037455132571726314,0.015144416446989883,0.005032190382882376,0.0013096099187229163,0.15631739159993135,0.03474704407517681,0.0076956014746979474,0.0033054420312626917,0.022128830695950313,3.871106880104839e-05,0.005515837352097503,0.0006634550830829784,0.0006980237383798334,0.0032910978015513593,0.002515554791539227,0.05014768039054765
Ependymal_cells,0.004512494630003915,0.002574549170730255,0.038508800634326684,0.00027426860230616266,0.032521957110762126,0.032038537343169575,0.2255622397526685,0.1251962240410786,0.007508427703219983,0.000251355184675558,0.015113673842944214,0.01263633053892642,0.006665426136271765,0.015093328169077153,0.06141349573014146,0.018428780955518375,0.0026191571957255625,0.0005616546508266925,0.2822693711491436,0.01738490427619085,0.005129128921930276,0.0025288966674212104,0.04863865144119673,2.4806147129493592e-05,0.003918614412229343,0.0006581925846005613,0.0003143454517367749,0.005101637675292686,0.00805191358858663,0.02449883629216881
Epithelial_cells,0.017005282403225012,0.004761148434781663,0.07118166571955048,0.0007363149354525065,0.04814802204602786,0.06841241173150675,0.007069392652746259,0.18377985488748333,0.013973658097261275,0.0008863079780974728,0.027883781372152295,0.031012080681067103,0.026840245663445166,0.026507051993106975,0.07244555233668332,0.0264670200258721,0.005134268367248613,0.0014675647569602254,0.19738415233563295,0.036370178446356684,0.014039022037062416,0.007304358805491178,0.0404609083109306,6.880281182947857e-05,0.010895648341825638,0.0010310242055471379,0.005740055017156579,0.0037650391612940736,0.006478770727444783,0.0427504157167601
Eye_and_other,0.005243908393024993,0.0027918982074792826,0.16724150668418805,0.0002841603298646352,0.032916753097586175,0.01141376186511498,0.0009418759331093264,0.019605866738797592,0.463031928107933,0.00032105307139327667,0.002602147294491211,0.011736448359820004,0.007557545935892179,0.05552803863626046,0.007210048077521981,0.004564109997417001,0.001688369595105063,0.00035543907100644355,0.07631273246215595,0.015211610414061444,0.006563391259996907,0.008373031971309184,0.0669478820375315,4.6433173201331696e-05,0.0067306190687892445,0.0028005811603073042,3.491346650020922e-05,0.0016107999739635383,0.0004220081140868135,0.01991113750209093
Glands,0.00010192919527188282,5.982666576024531e-06,0.7516823967548534,8.07548890712337e-06,3.2069459680111156e-05,0.0003387418092129543,0.08609168186263437,0.003984079675309728,0.019443072276501227,0.02706878990616886,0.00017046123595306547,0.00011372291859803991,0.00013981743467634608,0.0022851657002334155,0.00012941051614012507,5.82207391414462e-05,2.9807429953362468e-05,5.305859730792551e-06,0.04774259750797881,9.870372689867058e-05,8.82320887198114e-05,0.051424022493837866,0.0029262050366915563,4.399923602329435e-07,0.0003875088857620155,0.001205361441896613,2.2030026114189935e-06,0.00026659580040379083,3.65229423451217e-05,0.004132876150951843
