,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Aidpocytes,0.22251592781768412,0.13218034040631624,0.007285661574722251,0.0006525527774744926,0.07165007624560527,0.04457311074851745,0.0009767375322452495,0.026285700844867664,0.03547954726989201,0.0034666883620110543,0.01715690357263384,0.004105046620114809,0.01781620913687631,0.006427010150184269,0.02868786288551288,0.02453094579193868,0.017577751455995636,0.0008017702030858467,0.07522726369640757,0.023370551458583966,0.032830877196495994,0.00113604071509603,0.01607386302521498,0.018430507608976708,0.004847543034192484,0.036114720404974494,0.09048076196591627,0.005159293003495628,0.03415873449496781
B_cells,0.08908854101888364,0.31378122026300403,0.00844107165124805,0.0005277933477880867,0.07546749437366095,0.03615437689445815,0.0005939878540780376,0.020023378748763063,0.03925006694318775,0.003747135730549602,0.014867747594683504,0.0038644688665189254,0.014324093649401891,0.006949580022507094,0.02268311671612425,0.023636684827177398,0.022751621076938466,0.0008447251441967811,0.06702638919480142,0.01684360145046587,0.029203829227831123,0.001300296931871854,0.014576763317377566,0.021394553749775107,0.004615761172281391,0.02358757805224385,0.08317491855600533,0.004155293887670379,0.03712390973650642
CNS_neurons,0.020721343259519253,0.01850763970081471,0.38300828707272333,0.00033509057450171954,0.020726148884200216,0.014457882971488116,0.0004275134880720404,0.014482065694446619,0.06881710422495273,0.03614996148523921,0.012704928923619603,0.002485202959557336,0.01540209974564908,0.042059888915563476,0.009733016999553564,0.01449281595136374,0.009685596846088336,0.00029898634002543587,0.05958737303392,0.008690413441953402,0.03134153911114834,0.014699787500849992,0.03246743736925069,0.06652900102801884,0.052763575976766,0.01079590196968809,0.022488650851492997,0.004814443374781263,0.011326302304751866
Cardiocytes,0.05162598266615484,0.02118030779589641,0.004124936706778502,0.3214576886430494,0.037191033895883845,0.05866407314497989,0.0014785015003122022,0.032115858508070305,0.02593895457574299,0.002647757102464573,0.021523462916652896,0.002246793624520723,0.0257491622081896,0.00364909861805373,0.02539459466044036,0.024618154744155827,0.05434363785715162,0.00126285142676564,0.06765140689922532,0.051051051155580125,0.02969488357804607,0.00067065924900713,0.011026305304401967,0.010792083261467777,0.003346859525384349,0.020380895876657472,0.0455278686247682,0.014647281938420572,0.02999785399177764
Definitive_erythroid,0.039723696745093094,0.04122337219140745,0.005378526070627983,0.0004371620110455333,0.5173100437392769,0.022499235102613858,0.0005943140468843477,0.016338164651931823,0.028415468261129843,0.002760393739277879,0.012088174939293471,0.0028327705530393943,0.010905728500070187,0.0045770865495954665,0.020822952929151296,0.018016743467218717,0.02286285888225998,0.0009170039811518848,0.04154177652776952,0.011843571409129817,0.020899725586145106,0.0007813561868879912,0.010608060064040104,0.010133173021835617,0.0035472855337828485,0.021445046702919884,0.07654362611082371,0.003503724776260814,0.031448957719335424
Endothelium,0.05209812699473139,0.034338335152741664,0.004565657876914017,0.0008471539741894227,0.036983063922955764,0.3740322449883252,0.0014663340440687728,0.03283172722959422,0.02770361573124392,0.0029954506360183727,0.02911969351559162,0.0023906316179097553,0.020815632458284283,0.004121897587879785,0.028726582271559605,0.03469075877765671,0.028595662536855613,0.0009181611478341733,0.08623089318591727,0.015923054292883963,0.03009953795967141,0.0007445168752034456,0.010984805932778969,0.014002341253013266,0.003118528169276332,0.022035530874922035,0.05002870968493747,0.01904108117780327,0.030550270129238274
Ependymal_cells,0.02450498213736578,0.016490311175892,0.0033309347999044632,0.0004358496221638657,0.024674933594557066,0.03795917447513906,0.3507763207713353,0.03967207028889739,0.023220399684008138,0.00258568144579574,0.06696170859833779,0.0016599195117511373,0.035308697662588436,0.0027835779334369165,0.031167870138341047,0.0631372736829923,0.026405019759232935,0.0009400060461969675,0.0499886277721518,0.007496219551796119,0.01903673504952111,0.0005003562789401791,0.04462378914805068,0.015641498250962237,0.0024017338410707778,0.01753611557581238,0.03454220060916143,0.030895700447575926,0.025322292147021037
Epithelial_cells,0.056640631715595545,0.03577667291098288,0.006776952076860211,0.00087781761517868,0.05326166285133968,0.049580781544196005,0.005068457952996912,0.13229497475500349,0.041934704759319846,0.0063447410796466375,0.048768582534574924,0.004492518729222617,0.04537663475823401,0.00591373987052136,0.0459287153590322,0.05857168074723534,0.039692977676257186,0.002060408579930115,0.08131508213425867,0.016909155024716373,0.03853048960137845,0.0010261015809766329,0.01723336519386283,0.02069058378496903,0.00455776020732525,0.03621516940458437,0.06614714465077619,0.039927343151887194,0.03808514974913739
Eye_and_other,0.03926109699945799,0.03463579914654998,0.014155378792860225,0.0006343852413256538,0.047946923822940274,0.03072998892496046,0.0010143722834604601,0.025289025763234357,0.38546131125279004,0.00462644663924669,0.018857873038818154,0.003235027731703962,0.02223489695527812,0.010365602976396625,0.020811541834086136,0.02794167819303733,0.02400070123277844,0.000712354748489396,0.06828757781083745,0.013069691418116187,0.04076656496532689,0.0012667737271505894,0.025802216141304665,0.022459841148188317,0.010470878743675395,0.020566095507037502,0.05222382136858397,0.007281577783958787,0.025890555808405935
Glands,0.02083561600014656,0.013071450596559184,0.01207727397812257,0.0007616670448298156,0.01711832012013862,0.01915074354188909,0.0015255004624152857,0.030223498564232235,0.03404758175485713,0.3672437125668754,0.05134515912149684,0.0027464430716414735,0.018355971471505753,0.007585299312573359,0.022255210532359376,0.03174447687340482,0.023453373805983585,0.0005967834819102099,0.07703471296773919,0.009834652910843289,0.021813355706222684,0.0012575092444250086,0.02323637005497965,0.03899099362465381,0.004030737619366606,0.012291519151620033,0.018715003779867023,0.10544106518914623,0.013215997450195216
