,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Aidpocytes,0.22526112208061927,0.012291490918451447,0.06614169173600527,0.000739102359230371,0.016376848491311904,0.06443519574133949,0.0034471389338026855,0.034648934822823906,0.019268568025064162,0.0012434742775462124,0.0037927671997475725,0.041843305333041335,0.02141636193785874,0.03581374004442546,0.017961425039619762,0.02762482126644947,0.012254754897050572,0.0009117673641656282,0.19694632112561483,0.016320851786463406,0.009718617139921913,0.002664296133829201,0.05366354420340287,0.01291489407700611,0.006772569831485953,0.00016647505634256096,0.02760403228255518,0.0005443672196988433,0.06721152067512587
B_cells,0.022548136664770027,0.21783971237853864,0.09084898004603932,0.00022064953544920451,0.05557859921547554,0.0465711566997484,0.0008632190657369734,0.025600857387927188,0.032797268697120706,0.00032162723718420105,0.0016490635046776637,0.03193490499293931,0.013443429615767442,0.0476062248578168,0.009304137666140213,0.0045163448693832636,0.002769496222124063,0.0014234087071444866,0.13695539189159833,0.02128207257433755,0.006452270155317579,0.0016710294455386725,0.022806560046265748,0.03416003945862047,0.005015184045186764,0.0001734682547942767,0.08417573359202432,4.73651695650585e-05,0.08142366800276776
CNS_neurons,0.0017021893419773473,0.00170530496547209,0.8397685331294142,2.8746381213866452e-05,0.0035670793531162454,0.004265898697050931,0.00012149245062393803,0.002968379754695729,0.007035439437146292,0.00031305374627550313,0.0001865318768801759,0.0044909421040933125,0.001582357803428006,0.08094087112915903,0.0007882117077658655,0.0017356320904344804,0.00025480926459177524,7.637640954232551e-05,0.01980661006237508,0.003356151537748361,0.0009065331648534104,0.002794099485423014,0.006513830303526645,0.0020206604756656163,0.003246471299618183,1.8344875145258567e-05,0.004359977185395268,8.51048090304489e-06,0.00543696148646497
Cardiocytes,0.014434370097990944,0.0019492751298762498,0.019812490634241915,0.1709353612242727,0.004039437943757305,0.023519437573929113,0.0012093683376166683,0.018904464169696024,0.005834524007892744,0.00037516344740158944,0.000811650876981176,0.008322255620044496,0.016124855599309065,0.009973276327575697,0.0036586541392853856,0.007298104872895506,0.0036679869227317268,0.0006262814809350366,0.0730310151160102,0.5616068795568696,0.002710679291709537,0.001030192236642694,0.01835549421978956,0.0034566686680711028,0.0018244256353866142,6.168830392477048e-05,0.005693516648938049,0.0016688230548193715,0.01906365886140512
Definitive_erythroid,0.02015388642142906,0.014993165696603875,0.05443548473457692,0.0004419252548457109,0.4433053777322659,0.034441137586378394,0.0014411284698368533,0.023655392744192535,0.021638792637713605,0.00047595679841692874,0.0020343350484260583,0.027483782096147616,0.014229985074422125,0.029419616050913224,0.011373971872083001,0.008276449976102185,0.006919082325546676,0.0021556556393400026,0.09010914199654653,0.013890132447795496,0.005320619488549042,0.001397819411448133,0.02225280612558725,0.00623612582537071,0.004794775235112468,0.0003013129872860495,0.06482128429575607,0.00018085040634890624,0.07382000562095867
Endothelium,0.024896446892610138,0.010669160753050645,0.06390311640113773,0.0006764784414191092,0.018576326055494273,0.2718627781137915,0.0035241910183104646,0.048486766013846154,0.022830238819953705,0.0010427459026352242,0.004088498231834109,0.026430728208208267,0.025129411649308167,0.035299171155258456,0.011661243754800692,0.024553530191528998,0.007707209877786453,0.0010177884364181687,0.21207037804173653,0.016892023572616717,0.01237378376340995,0.0024124970928177977,0.04068594098680107,0.01081903011474872,0.0055467994569815575,0.0001596305973670301,0.03071117994104938,0.00049141439923452,0.06548149211584448
Ependymal_cells,0.03210357816882272,0.007126406472891442,0.0890559070377309,0.0005646942067156589,0.01272955763797832,0.06701960138550943,0.06271141509152925,0.04386370448369202,0.02908030032520284,0.003785936005908518,0.0046604217904146344,0.032708989971446126,0.040842557506035077,0.04249258536879629,0.02010618998726388,0.030041572331571786,0.013271637645491774,0.001796229435638444,0.22626336476894232,0.011266078335840316,0.010485045179911497,0.003923276743345247,0.07482959766868456,0.04419773634983297,0.007503666605874894,0.00017708601806472118,0.02453523586941806,0.0031770899514326936,0.05968053765601359
Epithelial_cells,0.02186318044202784,0.00903117550769376,0.11997764640342491,0.0005452542042578842,0.01921933291411489,0.07663664067850971,0.009441487314938725,0.11116570420407891,0.023815407418063855,0.004060081661324973,0.0039941724361120725,0.02518500278505515,0.03608285957505095,0.06578457328884622,0.012531700005375988,0.030335124748941737,0.0075153732238479485,0.0009492692238991845,0.21826748969827553,0.018395086455234678,0.012997384521121907,0.00631333161593988,0.0565270379932997,0.014293839409617948,0.006344660838013646,0.0001953660310414041,0.029721074045205347,0.0012832303423184234,0.057527513014366816
Eye_and_other,0.008262016542603274,0.009134604397797822,0.16193057406887806,0.00013814320500108793,0.019071224745709128,0.02248033689178001,0.0007669993826492915,0.015209871634315265,0.42903298604522244,0.0004599997852113129,0.0009736073752371725,0.019150787639647518,0.00969010203658262,0.09037965516818122,0.004187614527593597,0.003747234189041411,0.0014770136935189776,0.0004402862458607644,0.07410822658781721,0.010107665203055127,0.006229693570305339,0.0019160390740316161,0.03537678630117372,0.00910609102356374,0.012815771722243987,8.118079055531267e-05,0.02446891377659025,5.576109190156633e-05,0.029200813283931173
Glands,0.0013389448390049381,0.00025820851185862114,0.5796419267211494,2.630709464243114e-05,0.00041031695642842065,0.0025238978374907284,0.0001014197644717912,0.0033829054371365486,0.006059958321915766,0.06349383260889153,0.00018820813294877757,0.0022994146656059775,0.0010954028514601746,0.16486113731630334,0.0004208303937493085,0.004060766161624432,0.00022545509418364716,2.2869230557234834e-05,0.022252581146975144,0.0020423051724582694,0.0006354089512678237,0.06396660169210366,0.07142108547896853,0.002890961588618097,0.0035909402902177564,1.2185633164978245e-05,0.0008180932069772466,1.411451566726736e-05,0.001943920384158097
