,timepoint,weight,marginal,celltype
0,8.5,1/16,target_marginals,Mesoderm
1,8.5,1/16,target_marginals,Neuroectoderm_and_glia
2,8.5,1/4,target_marginals,Endothelium
3,8.5,1/4,target_marginals,Epithelial_cells
4,8.5,1/4,target_marginals,Neural_crest_PNS_glia
5,8.5,1/2,target_marginals,Primitive_erythroid
6,8.5,50,target_marginals,CNS_Neurons
7,8.5,50,target_marginals,Hepatocytes
8,8.5,50,target_marginals,Primordial_germ_cells
9,8.5,50,target_marginals,Neural_crest_PNS_neurons
10,8.5,50,target_marginals,Muscle_cells
11,8.75,3/4,source_marginals,Definitive_erythroid
12,8.75,1/6,target_marginals,Mesoderm
13,8.75,1/4,target_marginals,Primitive_erythroid
14,8.75,1/4,target_marginals,Neuroectoderm_and_glia
15,8.75,1/3,target_marginals,Endothelium
16,8.75,1/3,target_marginals,Epithelial_cells
17,8.75,150,target_marginals,White_blood_cells
18,8.75,50,target_marginals,Definitive_erythroid
19,8.75,10,target_marginals,Megakaryocytes
20,8.75,150,target_marginals,Primordial_germ_cells
21,8.75,40,target_marginals,Eye_and_other
22,8.75,20,target_marginals,Hepatocytes
23,8.75,20,target_marginals,Neural_crest_PNS_neurons
24,9.0,1/5,target_marginals,Mesoderm
25,9.0,1/3,target_marginals,Neuroectoderm_and_glia
26,9.0,1/2,target_marginals,Primitive_erythroid
27,9.0,1/2,target_marginals,Endothelium
28,9.0,1/2,target_marginals,Epithelial_cells
29,9.0,20,target_marginals,Primordial_germ_cells
30,9.0,30,target_marginals,Definitive_erythroid
31,9.0,5,target_marginals,Muscle_cells
32,9.0,60,target_marginals,Extraembryonic_visceral_endoderm
33,9.0,50,target_marginals,White_blood_cells
34,9.25,1/4,source_marginals,Megakaryocytes
35,9.25,1/4,target_marginals,Mesoderm
36,9.25,1/4,target_marginals,Neuroectoderm_and_glia
37,9.25,1/4,target_marginals,Primitive_erythroid
38,9.25,1/2,target_marginals,Intermediate_mesoderm_and_kidney
39,9.25,3/4,target_marginals,Hepatocytes
40,9.25,150,target_marginals,Definitive_erythroid
41,9.25,250,target_marginals,Extraembryonic_visceral_endoderm
42,9.25,25,target_marginals,White_blood_cells
43,9.25,300,target_marginals,Primordial_germ_cells
44,9.25,300,target_marginals,Eye_and_other
45,9.25,3,target_marginals,Gut
46,9.25,10,target_marginals,Intermediate_mesoderm_and_kidney
47,9.5,1/2,target_marginals,Endothelium
48,9.5,1/4,target_marginals,Mesoderm
49,9.5,1/2,target_marginals,Epithelial_cells
50,9.5,1/6,target_marginals,Neuroectoderm_and_glia
51,9.5,1/2,target_marginals,Primordial_germ_cells
52,9.5,3/4,target_marginals,Neural_crest_PNS_neurons
53,9.5,1/2,target_marginals,White_blood_cells
54,9.5,1/2,target_marginals,Muscle_cells
55,9.5,1/4,target_marginals,CNS_neurons
56,9.5,1/2,target_marginals,Cardiocytes
57,9.5,1/4,target_marginals,Primitive_erythroid
58,9.5,40,target_marginals,Eye_and_other
59,9.5,150,target_marginals,Definitive_erythroid
60,9.5,50,target_marginals,Olfactory_sensory_neurons
61,9.5,200,target_marginals,Eye_and_other
62,9.5,25,target_marginals,White_blood_cells
63,9.5,400,target_marginals,Primordial_germ_cells
64,9.5,50,target_marginals,Ependymal_cells
65,9.5,25,target_marginals,Megakaryocytes
66,9.75,1/4,source_marginals,Ependymal_cells
67,9.75,1/4,target_marginals,Mesoderm
68,9.75,1/4,target_marginals,Neuroectoderm_and_glia
69,9.75,1/2,target_marginals,Epithelial_cells
70,9.75,1/2,target_marginals,CNS_neurons
71,9.75,1/2,target_marginals,Muscle_cells
72,9.75,1/2,target_marginals,Endothelium
73,9.75,1,target_marginals,White_blood_cells
74,9.75,1/3,target_marginals,Primitive_erythroid
75,9.75,1/2,target_marginals,Gut
76,9.75,80,target_marginals,Olfactory_sensory_neurons
77,9.75,150,target_marginals,Primordial_germ_cells
78,9.75,50,target_marginals,Eye_and_other
79,9.75,80,target_marginals,Definitive_erythroid
80,10.0,1/2,source_marginals,Lung_and_airways
81,10.0,1/2,source_marginals,Definitive_erythroid
82,10.0,1/4,target_marginals,Mesoderm
83,10.0,1/4,target_marginals,Primitive_erythroid
84,10.0,1/6,target_marginals,Neuroectoderm_and_glia
85,10.0,1/4,target_marginals,CNS_neurons
86,10.0,1/2,target_marginals,Endothelium
87,10.0,10,target_marginals,Definitive_erythroid
88,10.0,300,target_marginals,Primordial_germ_cells
89,10.0,10,target_marginals,White_blood_cells
