,Amnion_1_corr,Amnion_1_pval,Amnion_1_qval,Amnion_1_ci_low,Amnion_1_ci_high,gene_annotation
ENSMUSG00000055762,0.4412483791461905,0.0,0.0,0.43338684805821426,0.4490427605030758,Eef1d
ENSMUSG00000062397,0.43095608982649924,0.0,0.0,0.42300772191108665,0.43883814327728693,Zfp706
ENSMUSG00000030744,0.42410917165421913,0.0,0.0,0.416104190848241,0.43204842240028013,Rps3
ENSMUSG00000032199,0.4204284910526802,0.0,0.0,0.4123934583219632,0.4283981172197656,Polr2m
ENSMUSG00000029610,0.41428279414783786,0.0,0.0,0.4061981773898751,0.42230255885463047,Aimp2
ENSMUSG00000036781,0.40918355293458236,0.0,0.0,0.4010583591595885,0.4172443682294798,Rps27l
ENSMUSG00000030591,0.40159908753766893,0.0,0.0,0.39341448689504827,0.4097200363456117,Psmd8
ENSMUSG00000003038,0.3990484845713,0.0,0.0,0.3908441600433121,0.40718940754018706,Hmgn2
ENSMUSG00000042462,0.3990303130081226,0.0,0.0,0.3908258484179421,0.40717137783285207,Dctpp1
ENSMUSG00000076437,0.3965758732810076,0.0,0.0,0.3883525501153647,0.40473604032015337,Selenoh
ENSMUSG00000032959,0.3921862120916182,0.0,0.0,0.38392945656662053,0.40038025397120486,Pebp1
ENSMUSG00000055302,0.39199059992839047,0.0,0.0,0.3837323634085209,0.40018614272082176,Mrfap1
ENSMUSG00000041453,0.3918691596747378,0.0,0.0,0.3836100040998194,0.4000656338962819,Rpl21
ENSMUSG00000071415,0.3882452413715157,0.0,0.0,0.3799587935612208,0.39646938009105537,Rpl23
ENSMUSG00000019370,0.3844691955521095,0.0,0.0,0.3761545844973729,0.39272189155494025,Calm3
ENSMUSG00000019505,0.38381989551335116,0.0,0.0,0.37550046996588277,0.39207747439278023,Ubb
ENSMUSG00000021737,0.379345647965017,0.0,0.0,0.3709932716470711,0.38763665381111445,Psmd6
ENSMUSG00000018446,0.3776524426001766,0.0,0.0,0.3692876992371565,0.38595599795111996,C1qbp
ENSMUSG00000040048,0.3773929626569134,0.0,0.0,0.36902632905121846,0.38569843632069517,Ndufb10
ENSMUSG00000016257,0.3767095811566689,0.0,0.0,0.368337975629685,0.38502010080675453,Slmo2
ENSMUSG00000028741,0.37629621929606133,0.0,0.0,0.36792161082255626,0.3846097867897409,Mrto4
ENSMUSG00000027566,0.37602700573698083,0.0,0.0,0.36765044331571695,0.38434255645810667,Psma7
