,Blood_3_corr,Blood_3_pval,Blood_3_qval,Blood_3_ci_low,Blood_3_ci_high,gene_annotation
ENSMUSG00000052217,0.5093859614853847,0.0,0.0,0.502151957163843,0.5165486815816366,Hbb-bh1
ENSMUSG00000055609,0.4915337454323537,0.0,0.0,0.4841264788686809,0.49887056637379096,Hba-x
ENSMUSG00000069919,0.4525663376133009,0.0,0.0,0.44480270509925174,0.4602619631199971,Hba-a1
ENSMUSG00000063856,0.44592802177220675,0.0,0.0,0.438106662961788,0.45368186852848985,Gpx1
ENSMUSG00000069917,0.4261056879127016,0.0,0.0,0.4181171197486703,0.4340283532638216,Hba-a2
ENSMUSG00000054191,0.39690107895467314,0.0,0.0,0.3886802476832136,0.40505872166219387,Klf1
ENSMUSG00000052187,0.39140017036613745,0.0,0.0,0.3831374682209807,0.39960023900673014,Hbb-y
ENSMUSG00000073400,0.3871787888522355,0.0,0.0,0.37888435861201597,0.39541102065506933,Trim10
ENSMUSG00000051839,0.3792109984168234,0.0,0.0,0.37085763656626286,0.38750300426031087,Gypa
ENSMUSG00000005161,0.37156757883694325,0.0,0.0,0.3631588571754666,0.379915778284196,Prdx2
ENSMUSG00000073063,0.37123090975747564,0.0,0.0,0.3628197760665506,0.379581558529797,Hbq1b
ENSMUSG00000021361,0.3687288638518418,0.0,0.0,0.3602998743064419,0.3770976471427701,Tmem14c
ENSMUSG00000027562,0.3660662685013637,0.0,0.0,0.3576184124429875,0.37445421772449616,Car2
ENSMUSG00000032126,0.3548800923880724,0.0,0.0,0.34635449551315317,0.3633470722547953,Hmbs
ENSMUSG00000070803,0.35199430031122536,0.0,0.0,0.3434490468232313,0.36048127777175065,Cited4
ENSMUSG00000073940,0.3484677322428462,0.0,0.0,0.3398986795493723,0.35697893011224624,Hbb-bt
ENSMUSG00000021102,0.34387901729014553,0.0,0.0,0.3352793630836076,0.35242137208450847,Glrx5
ENSMUSG00000028332,0.33730511191350304,0.0,0.0,0.3286623376494069,0.34589139673955677,Hemgn
ENSMUSG00000052305,0.33135193533062274,0.0,0.0,0.3226708445584252,0.3399772844271399,Hbb-bs
ENSMUSG00000028684,0.3302684942957998,0.0,0.0,0.3215805049808767,0.3389008794621692,Urod
ENSMUSG00000018659,0.32579734543789934,0.0,0.0,0.31708113090705325,0.33445852800153963,Pnpo
ENSMUSG00000040466,0.3186195484831166,0.0,0.0,0.30985884278953263,0.3273261561653641,Blvrb
ENSMUSG00000032285,0.31362272037825495,0.0,0.0,0.3048316389509251,0.3223603649811514,Dnaja4
ENSMUSG00000028393,0.30966180105665975,0.0,0.0,0.3008469892200894,0.3184237064978229,Alad
ENSMUSG00000024155,0.30862669134602416,0.0,0.0,0.29980572874726136,0.3173948870774083,Meiob
ENSMUSG00000006574,0.30797225974542924,0.0,0.0,0.29914741926943333,0.31674442176194023,Slc4a1
ENSMUSG00000027078,0.3059271079976499,0.0,0.0,0.2970902029870092,0.3147116117930608,Ube2l6
ENSMUSG00000034248,0.2985850590236079,0.0,0.0,0.2897055184577574,0.3074132055584404,Slc25a37
ENSMUSG00000006235,0.2970945722285633,0.0,0.0,0.2882065054320823,0.30593145170223346,Epor
ENSMUSG00000032596,0.29510274306022977,0.0,0.0,0.28620335014036774,0.3039512260616749,Uba7
ENSMUSG00000026688,0.2919694241466452,0.0,0.0,0.28305237168988956,0.3008360057489427,Mgst3
ENSMUSG00000028124,0.2918176033487559,0.0,0.0,0.28289970011189425,0.30068505708824883,Gclm
ENSMUSG00000027495,0.2911060179128155,0.0,0.0,0.28218413308457696,0.29997755344612376,Fam210b
ENSMUSG00000042770,0.2896762485961471,0.0,0.0,0.2807463936756735,0.2985559560605513,Hebp1
ENSMUSG00000047181,0.28282237183386433,0.0,0.0,0.2738548672101818,0.2917407058200926,Samd14
ENSMUSG00000032028,0.28184617990688865,0.0,0.0,0.2728733877799844,0.29076994175775156,Nxpe2
ENSMUSG00000023216,0.2813207700866034,0.0,0.0,0.27234513983075304,0.29024744573839845,Epb42
ENSMUSG00000035472,0.27919866274372585,0.0,0.0,0.2702116244653993,0.2881370529481243,Slc25a21
ENSMUSG00000074203,0.27885923285524883,0.0,0.0,0.26987037805748526,0.28779948874092703,G430095P16Rik
ENSMUSG00000024588,0.2771630015895167,0.0,0.0,0.2681651029431022,0.2861125475450243,Fech
ENSMUSG00000024661,0.27684626246477084,0.0,0.0,0.2678466812980102,0.28579753701811683,Fth1
ENSMUSG00000001348,0.27477707218974434,0.0,0.0,0.2657665478434403,0.2837395917103802,Acp5
ENSMUSG00000096982,0.27242376542536084,0.0,0.0,0.26340089728254246,0.28139897358869753,Redrum
ENSMUSG00000026532,0.270211462430397,0.0,0.0,0.26117708905353787,0.2791985015717996,Spta1
ENSMUSG00000039956,0.26859949875490413,0.0,0.0,0.2595568026412561,0.27759509892689177,Mrap
ENSMUSG00000058794,0.26711262523018175,0.0,0.0,0.25806229736905995,0.27611607765324603,Nfe2
ENSMUSG00000071713,0.2669574711702421,0.0,0.0,0.2579063494380101,0.2759617405124314,Csf2rb
ENSMUSG00000028644,0.2663800809298963,0.0,0.0,0.2573260090292456,0.2753873862753487,Ermap
ENSMUSG00000030217,0.26615245876579313,0.0,0.0,0.257097225627352,0.27516095921503314,Art4
ENSMUSG00000030000,0.26591845919253343,0.0,0.0,0.25686203333937463,0.27492818718762685,Add2
