,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000068614,0.7862783322302516,0.0,0.0,0.7825388413255284,0.7899610954710287,Actc1
ENSMUSG00000015579,0.7334842584948169,0.0,0.0,0.7289611913455732,0.7379432856652078,Nkx2-5
ENSMUSG00000061086,0.7027437426192402,0.0,0.0,0.697789926490345,0.7076303395869914,Myl4
ENSMUSG00000035458,0.6977423509533156,0.0,0.0,0.6927202272163114,0.7026968103764962,Tnni3
ENSMUSG00000020475,0.6902786393278589,0.0,0.0,0.6851555011929338,0.695333485595728,Pgam2
ENSMUSG00000019528,0.6882740539514429,0.0,0.0,0.6831239738661707,0.6933556810703644,Gyg
ENSMUSG00000013936,0.6642022605507162,0.0,0.0,0.6587348753988522,0.6695995005174312,Myl2
ENSMUSG00000020469,0.655313559568618,0.0,0.0,0.6497319108708254,0.66082454938051,Myl7
ENSMUSG00000007122,0.6478667066269572,0.0,0.0,0.6421905344841063,0.6534718347393857,Casq1
ENSMUSG00000006221,0.6472880467305117,0.0,0.0,0.6416045756198318,0.6529004455947788,Hspb7
ENSMUSG00000040694,0.6464132426951473,0.0,0.0,0.6407187497758879,0.6520366211782719,Apobec2
ENSMUSG00000050503,0.6308821299520627,0.0,0.0,0.6249944812862842,0.6366980078254509,Fbxl22
ENSMUSG00000030470,0.6285593672952215,0.0,0.0,0.6226432417625619,0.6344036388099187,Csrp3
ENSMUSG00000026418,0.6076779371036797,0.0,0.0,0.6015106030121253,0.6137728399514042,Tnni1
ENSMUSG00000032532,0.5952561375827252,0.0,0.0,0.5889434595369847,0.6014961841883343,Cck
ENSMUSG00000001349,0.5894231881468909,0.0,0.0,0.5830433135735376,0.595730373338712,Cnn1
ENSMUSG00000006356,0.5884332992663303,0.0,0.0,0.5820420878000798,0.5947518137810507,Crip2
ENSMUSG00000026564,0.582951941805004,0.0,0.0,0.5764983047671365,0.5893328517765718,Dusp27
ENSMUSG00000032648,0.5826205845835776,0.0,0.0,0.5761631928588801,0.589005248059909,Pygm
ENSMUSG00000060600,0.5824591092303057,0.0,0.0,0.5759998885770646,0.5888456010854302,Eno3
ENSMUSG00000061816,0.5786045182201437,0.0,0.0,0.5721017921072921,0.5850345075126446,Myl1
ENSMUSG00000091898,0.578340739645995,0.0,0.0,0.5718350470931213,0.5847736951866181,Tnnc1
ENSMUSG00000017817,0.5477319757288243,0.0,0.0,0.5408913971007243,0.5545000994867889,Jph2
ENSMUSG00000052374,0.5468024556208886,0.0,0.0,0.5399519968614342,0.5535804773456263,Actn2
ENSMUSG00000026208,0.540769444162804,0.0,0.0,0.533855273648174,0.5476113063833635,Des
ENSMUSG00000026414,0.5394999378098221,0.0,0.0,0.5325724521896906,0.5463551450767657,Tnnt2
ENSMUSG00000031972,0.5380481880553121,0.0,0.0,0.5311055148937278,0.5449186183108865,Acta1
ENSMUSG00000018845,0.537547414171877,0.0,0.0,0.5305995117973207,0.5444230861661735,Unc45b
ENSMUSG00000040666,0.5363083156498326,0.0,0.0,0.5293474955673682,0.5431969370020273,Sh3bgr
ENSMUSG00000097487,0.5330904264328514,0.0,0.0,0.526096201178042,0.5400125395063425,Ptges3l
ENSMUSG00000041616,0.517980034374657,0.0,0.0,0.5108316806410641,0.525056765413963,Nppa
ENSMUSG00000067818,0.5169661033601286,0.0,0.0,0.509807568713422,0.5240530530022733,Myl9
ENSMUSG00000044086,0.5131068641177069,0.0,0.0,0.5059097642982329,0.5202325278894219,Lmod3
ENSMUSG00000067279,0.5103453394469566,0.0,0.0,0.5031208242503964,0.5174985305057141,Ppp1r3c
ENSMUSG00000038403,0.5069113782364266,0.0,0.0,0.49965298185468776,0.5140985957931622,Hfe2
ENSMUSG00000024063,0.4984868085047664,0.0,0.0,0.4911462765394049,0.5057565467574002,Lbh
ENSMUSG00000021203,0.498136905738334,0.0,0.0,0.4907929926671222,0.5054100419642299,Otub2
ENSMUSG00000031880,0.4978885613735568,0.0,0.0,0.49054225001921403,0.5051641078962301,Rrad
ENSMUSG00000031633,0.49784089767482875,0.0,0.0,0.4904941261671426,0.5051169066605574,Slc25a4
ENSMUSG00000028834,0.4938748855035984,0.0,0.0,0.4864899824281277,0.5011892227249599,Trim63
ENSMUSG00000035551,0.49282468685610886,0.0,0.0,0.48542973850298243,0.5001491229105437,Igfbpl1
ENSMUSG00000026430,0.4898071891745232,0.0,0.0,0.4823834991172931,0.49716052423656887,Rassf5
ENSMUSG00000022358,0.48323203777229673,0.0,0.0,0.4757463411683911,0.4906477396179053,Fbxo32
ENSMUSG00000038583,0.48149739473135067,0.0,0.0,0.47399548178763706,0.4889294119157033,Pln
ENSMUSG00000059741,0.4801290044263847,0.0,0.0,0.4726143409182051,0.48757385143082493,Myl3
ENSMUSG00000014313,0.4774204117818354,0.0,0.0,0.4698806186444496,0.4848905482970279,Cox6c
ENSMUSG00000001155,0.4759545876090781,0.0,0.0,0.4684012552396492,0.4834383515378342,Ftcd
ENSMUSG00000039376,0.4758297460982186,0.0,0.0,0.46827526257481217,0.4833146687448391,Synpo2l
ENSMUSG00000056749,0.47501711212765685,0.0,0.0,0.4674551428770246,0.4825095699427031,Nfil3
ENSMUSG00000037568,0.47379309292892585,0.0,0.0,0.46621987296870243,0.4812968765948315,Vash2
ENSMUSG00000046671,0.47062240602742406,0.0,0.0,0.4630201796624172,0.4781553944808076,Mtfr1l
ENSMUSG00000032511,0.4697110296676381,0.0,0.0,0.46210050241632433,0.4772523770242294,Scn5a
ENSMUSG00000039103,0.46895350830480087,0.0,0.0,0.46133609394783415,0.47650179132643256,Nexn
ENSMUSG00000015605,0.4612859488783691,0.0,0.0,0.453599460387747,0.4689038146366276,Srf
ENSMUSG00000014606,0.456101935607593,0.0,0.0,0.4483694026496469,0.4637662071513242,Slc25a11
ENSMUSG00000018770,0.44604176647093363,0.0,0.0,0.4382213894676316,0.4537946227507339,Atp5g3
ENSMUSG00000022551,0.4451445852467036,0.0,0.0,0.43731647098910553,0.4529052473395398,Cyc1
ENSMUSG00000060586,0.4438472497800863,0.0,0.0,0.4360079753880583,0.4516191718623952,H2-Eb1
ENSMUSG00000037152,0.4432225863207247,0.0,0.0,0.43537795017628306,0.4509999185376177,Ndufc1
ENSMUSG00000097927,0.44259764475304963,0.0,0.0,0.4347476521582382,0.4503803820202403,Gm6999
ENSMUSG00000059534,0.44148304773356745,0.0,0.0,0.43362352088194367,0.4492754064229088,Uqcr10
ENSMUSG00000022890,0.44108243803015584,0.0,0.0,0.43321949034174156,0.4488782490373509,Atp5j
ENSMUSG00000043162,0.44072454928827604,0.0,0.0,0.43285854823327186,0.4485234418538676,Pyurf
ENSMUSG00000050856,0.4399731855056057,0.0,0.0,0.4321007823147304,0.4477785396020763,Atp5k
ENSMUSG00000020483,0.43822178351968727,0.0,0.0,0.4303345003347259,0.44604215715033313,Dynll2
ENSMUSG00000032845,0.43540810150521747,0.0,0.0,0.42749703959595464,0.44325248122404787,Alpk2
ENSMUSG00000034566,0.4346618432527861,0.0,0.0,0.4267445007883054,0.4425125644861505,Atp5h
ENSMUSG00000096014,0.4343134320322988,0.0,0.0,0.42639316107197167,0.4421671103160525,Sox1
ENSMUSG00000031698,0.4321242240517596,0.0,0.0,0.42418560685680945,0.4399964293556807,Mylk3
ENSMUSG00000027472,0.4290136086100554,0.0,0.0,0.4210490857700466,0.43691198047032936,Pdrg1
ENSMUSG00000109324,0.42800602236367774,0.0,0.0,0.4200331490429354,0.43591283022952376,Prmt1
ENSMUSG00000039891,0.42539749040430064,0.0,0.0,0.4174030914245707,0.43332604762955274,Txlnb
ENSMUSG00000025204,0.424875826213674,0.0,0.0,0.41687713852024044,0.4328087172835222,Ndufb8
ENSMUSG00000027406,0.42482777120942905,0.0,0.0,0.41682868871487555,0.4327610612443911,Idh3b
ENSMUSG00000022803,0.42449878815975145,0.0,0.0,0.41649700408977935,0.432434808306569,Popdc2
ENSMUSG00000013593,0.4228665122963878,0.0,0.0,0.4148513556456683,0.43081604737937185,Ndufs2
ENSMUSG00000038319,0.42147602243626026,0.0,0.0,0.4134495154205276,0.4294370301605952,Kcnh2
ENSMUSG00000042155,0.4191520589171579,0.0,0.0,0.411106666667398,0.4271321583002811,Klhl23
ENSMUSG00000047514,0.4171072975952185,0.0,0.0,0.40904537688740183,0.4251041091842543,Tspyl1
ENSMUSG00000032330,0.4165100491061646,0.0,0.0,0.4084433161732473,0.42451172696422873,Cox7a2
ENSMUSG00000037916,0.4161692658799326,0.0,0.0,0.40809979029087873,0.4241737173064799,Ndufv1
ENSMUSG00000022519,0.4159501925948877,0.0,0.0,0.40787895508966726,0.42395642583861376,Srl
ENSMUSG00000028833,0.41524556989242845,0.0,0.0,0.40716867180043886,0.42325752788553184,Ncdn
ENSMUSG00000003948,0.4128127964932591,0.0,0.0,0.4047164298039314,0.4208444464050955,Mmd
ENSMUSG00000032366,0.41196763736142683,0.0,0.0,0.40386453442582926,0.42000610175179215,Tpm1
ENSMUSG00000026207,0.4113672234457412,0.0,0.0,0.4032593435163304,0.4194105206100475,Speg
ENSMUSG00000075307,0.410441150846816,0.0,0.0,0.40232591683437224,0.41849188845845625,Klhl41
ENSMUSG00000007721,0.40971441724488017,0.0,0.0,0.40159342394602027,0.4177709821966703,Ccdc124
ENSMUSG00000041548,0.40962863932941546,0.0,0.0,0.40150696693527377,0.4176858914252107,Hspb8
ENSMUSG00000045877,0.4091048170977268,0.0,0.0,0.40097900079572396,0.4171662623268564,4933415A04Rik
ENSMUSG00000001864,0.4077279451873199,0.0,0.0,0.39959126232415776,0.4158003869737601,Aif1l
ENSMUSG00000058076,0.4073753042717026,0.0,0.0,0.399235844291629,0.4154505566104239,Sdhc
ENSMUSG00000028622,0.4060072297694359,0.0,0.0,0.3978570190862327,0.41409336306737843,Mrpl37
ENSMUSG00000036242,0.4041789400660639,0.0,0.0,0.3960144196598429,0.41227955850530945,3632451O06Rik
