,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000006456,0.7520437776226248,0.0,0.0,0.7477898592572376,0.7562359538260108,Rbm14
ENSMUSG00000063888,0.719603643308526,0.0,0.0,0.7148837522260102,0.7242579635335336,Rpl7l1
ENSMUSG00000047649,0.7106720898057344,0.0,0.0,0.7058275739090477,0.7154501331091231,Cd3eap
ENSMUSG00000044018,0.7070367213465091,0.0,0.0,0.7021419333857056,0.711864688137811,Mrpl50
ENSMUSG00000030357,0.7010866566982138,0.0,0.0,0.6961101535746685,0.7059957909694339,Fkbp4
ENSMUSG00000073616,0.7001284568025661,0.0,0.0,0.6951388599234087,0.7050505992677809,Myeov2
ENSMUSG00000026064,0.696446820803097,0.0,0.0,0.6914070840059762,0.7014187812095665,Ptp4a1
ENSMUSG00000005354,0.6957458262453349,0.0,0.0,0.6906965731328872,0.7007272428765817,Txn2
ENSMUSG00000008301,0.69340047184336,0.0,0.0,0.6883194503639217,0.6984134586095186,Phax
ENSMUSG00000043284,0.6921698142347743,0.0,0.0,0.6870721668648092,0.6971993246058394,Tmem11
ENSMUSG00000024732,0.6889592228045731,0.0,0.0,0.6838183425334653,0.694031704819974,Ccdc86
ENSMUSG00000040842,0.6885357328066395,0.0,0.0,0.683389165204191,0.6936138682944972,Szrd1
ENSMUSG00000031988,0.6864428307457141,0.0,0.0,0.6812682083860989,0.6915488557131773,Vps26b
ENSMUSG00000022205,0.6831642035403174,0.0,0.0,0.6779458067572784,0.6883137508662155,Sub1
ENSMUSG00000056076,0.6768607317841362,0.0,0.0,0.6715587734146229,0.6820933794371602,Eif3b
ENSMUSG00000019471,0.6764594824024897,0.0,0.0,0.6711522315675896,0.681697394194664,Cdc37
ENSMUSG00000038374,0.6753013097480517,0.0,0.0,0.6699788005609808,0.6805543988234906,Rbm8a
ENSMUSG00000031490,0.6729819460432171,0.0,0.0,0.6676289603431873,0.6782653523687451,Eif4ebp1
ENSMUSG00000031818,0.6719461664293214,0.0,0.0,0.666579605001172,0.6772430786862521,Cox4i1
ENSMUSG00000044627,0.6700348378954104,0.0,0.0,0.6646432809534185,0.6753566190149425,Swi5
ENSMUSG00000030695,0.6699405458268181,0.0,0.0,0.6645477576491348,0.6752635520058266,Aldoa
ENSMUSG00000018848,0.6683869018280397,0.0,0.0,0.6629738520405999,0.6737300688234693,Rars
ENSMUSG00000027613,0.6683781197517324,0.0,0.0,0.6629649555701919,0.6737214005767252,Eif6
ENSMUSG00000036160,0.6663396442752219,0.0,0.0,0.660899968558695,0.6717093071758186,Surf6
ENSMUSG00000020706,0.665761531464722,0.0,0.0,0.6603143520538088,0.6711386619168203,Ftsj3
ENSMUSG00000008683,0.6655231773611201,0.0,0.0,0.6600729061291749,0.6709033848061188,Rps15a
ENSMUSG00000024181,0.66450251007103,0.0,0.0,0.6590390119425535,0.6698958814009919,Mrpl28
ENSMUSG00000040688,0.6611583162406717,0.0,0.0,0.6556516251339394,0.6665946795856061,Tbl3
ENSMUSG00000032803,0.6592352485836801,0.0,0.0,0.6537038198723869,0.6646962377694455,Cdv3
ENSMUSG00000022706,0.658421819131759,0.0,0.0,0.6528799488325909,0.6638932034633827,Mrpl40
ENSMUSG00000044221,0.6580965523881237,0.0,0.0,0.652550510472036,0.6635720899041484,Grsf1
ENSMUSG00000004937,0.6573614589205281,0.0,0.0,0.651805996993612,0.6628463750811775,Sgta
ENSMUSG00000023456,0.6564343592849864,0.0,0.0,0.6508670321122145,0.6619310890947041,Tpi1
ENSMUSG00000018572,0.6546969032581608,0.0,0.0,0.6491073855707712,0.6602157286083568,Phf23
ENSMUSG00000032388,0.6529651786008226,0.0,0.0,0.6473536031193069,0.6585059693141788,Spg21
ENSMUSG00000022216,0.6524076952103892,0.0,0.0,0.6467890314431446,0.6579555449264637,Psme1
ENSMUSG00000016559,0.6511803832621493,0.0,0.0,0.6455461361784989,0.6567437526373676,H3f3b
ENSMUSG00000031948,0.6499618282369573,0.0,0.0,0.644312138549727,0.6555405781130005,Kars
ENSMUSG00000032959,0.6494782908079054,0.0,0.0,0.6438224814610453,0.6550631360038394,Pebp1
ENSMUSG00000003037,0.6489042542520159,0.0,0.0,0.6432411859004364,0.6544963297810173,Rab8a
ENSMUSG00000109511,0.6464119593085501,0.0,0.0,0.6407174502308159,0.6520353538886668,Nup62
ENSMUSG00000041028,0.6461088721977647,0.0,0.0,0.6404105480165161,0.6517360673953804,Ghitm
ENSMUSG00000003235,0.6457411468982387,0.0,0.0,0.6400381964247331,0.6513729509030745,Eif2b5
ENSMUSG00000025465,0.645183695562084,0.0,0.0,0.6394737369921746,0.6508224813457599,Echs1
ENSMUSG00000023944,0.6442126439161912,0.0,0.0,0.6384904923026112,0.649863577442481,Hsp90ab1
ENSMUSG00000010376,0.6439297791314268,0.0,0.0,0.6382040792293523,0.6495842478797205,Nedd8
ENSMUSG00000026127,0.6434855927356611,0.0,0.0,0.6377543241067334,0.649145609810208,Imp4
ENSMUSG00000033845,0.6413607215480812,0.0,0.0,0.6356028676557929,0.6470472282846229,Mrpl15
ENSMUSG00000051518,0.6391570391903284,0.0,0.0,0.6333717084582614,0.644870927087676,Rps19bp1
ENSMUSG00000057130,0.6389592938214755,0.0,0.0,0.6331715021836558,0.6446756342111669,Txnl4a
ENSMUSG00000020267,0.6373993905344496,0.0,0.0,0.631592213330004,0.6431350511145504,Hint1
ENSMUSG00000037570,0.6346102665382642,0.0,0.0,0.6287685478445147,0.6403803560947836,Mcrs1
