,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000032083,0.8076770554776616,0.0,0.0,0.8042709524389409,0.8110300930485268,Apoa1
ENSMUSG00000029843,0.7886933990245901,0.0,0.0,0.784991078294281,0.792339384762823,Slc13a4
ENSMUSG00000032080,0.7823815296957963,0.0,0.0,0.7785823079180079,0.7861234011765434,Apoa4
ENSMUSG00000024990,0.7818312051485351,0.0,0.0,0.778023572238403,0.7855814009176544,Rbp4
ENSMUSG00000005681,0.7794227160876206,0.0,0.0,0.7755783428189787,0.783209275299993,Apoa2
ENSMUSG00000028001,0.7685477687191151,0.0,0.0,0.7645389396076513,0.7724971455103525,Fga
ENSMUSG00000039878,0.7650265380677781,0.0,0.0,0.7609649632700681,0.7690281522461615,Slc39a5
ENSMUSG00000026295,0.7623667624700786,0.0,0.0,0.7582655094166081,0.7664076780919213,Spp2
ENSMUSG00000028307,0.7605692075993514,0.0,0.0,0.7564412184423067,0.764636608128386,Aldob
ENSMUSG00000035041,0.753278719298777,0.0,0.0,0.7490429528053569,0.757452906868632,Creb3l3
ENSMUSG00000033860,0.750209099712273,0.0,0.0,0.7459282701676893,0.7544279469820462,Fgg
ENSMUSG00000061808,0.7496162535874479,0.0,0.0,0.7453267424343942,0.7538437054896318,Ttr
ENSMUSG00000024391,0.7212185685033755,0.0,0.0,0.7165213800373899,0.7258503560808945,Apom
ENSMUSG00000021278,0.7192903563827556,0.0,0.0,0.714566067109387,0.7239490420721264,Amn
ENSMUSG00000054932,0.7186515299962424,0.0,0.0,0.7139182783670084,0.7233191115565812,Afp
ENSMUSG00000067235,0.7180705261520818,0.0,0.0,0.7133291304178382,0.7227461916390991,H2-Q10
ENSMUSG00000032554,0.7096160323730911,0.0,0.0,0.7047568856484042,0.7144086041496468,Trf
