,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000045128,0.2099417682172989,0.0,0.0,0.2006308284369626,0.21921478350596474,Rpl18a
ENSMUSG00000025362,0.2010981630870261,0.0,0.0,0.19175262179637712,0.21040723929328836,Rps26
ENSMUSG00000060938,0.19858690219689132,0.0,0.0,0.1892318141402484,0.20790594287223668,Rpl26
ENSMUSG00000034892,0.1955384126407067,0.0,0.0,0.18617190118909155,0.20486938567869148,Rps29
ENSMUSG00000020460,0.19008927860895508,0.0,0.0,0.18070280061429267,0.19944113307444114,Rps27a
ENSMUSG00000028234,0.1876083316055604,0.0,0.0,0.1782129552950759,0.19696950305744257,Rps20
ENSMUSG00000041841,0.183864399082797,9.664044493122249e-308,1.3805777847317499e-304,0.17445582231352663,0.19323940527128045,Rpl37
ENSMUSG00000030432,0.18383500742846498,1.216490896011865e-307,1.5206136200148312e-304,0.17442632811307074,0.1932101211540924,Rpl28
ENSMUSG00000033751,0.17732288001120802,6.33360331878282e-286,7.0373370208698e-283,0.1678918964263332,0.18672140822290076,Gadd45gip1
ENSMUSG00000043716,0.17352620639951732,1.1769655869559367e-273,1.1769655869559366e-270,0.16408260146670517,0.18293800718731312,Rpl7
ENSMUSG00000090733,0.171435491469712,5.063443053634894e-267,4.6031300487589945e-264,0.1619850565816981,0.18085448203937887,Rps27
ENSMUSG00000090862,0.17078884382472992,5.47822530188837e-265,4.5651877515736425e-262,0.1613363137568458,0.1802100410393554,Rps13
ENSMUSG00000036114,0.1699570817137346,2.2027845034842167e-262,1.694449618064782e-259,0.16050186869479682,0.17938110537238727,Rpp25l
ENSMUSG00000025794,0.1689704688066098,2.5965623699739733e-259,1.8546874071242668e-256,0.15951209087000678,0.17839782776306118,Rpl14
ENSMUSG00000039001,0.1684090079955118,1.4245867503767444e-257,9.49724500251163e-255,0.1589488374601068,0.1778382565938659,Rps21
ENSMUSG00000093674,0.16766642037322682,2.782960656807791e-255,1.7393504105048694e-252,0.15820388840645616,0.17709815884448682,Rpl41
ENSMUSG00000061787,0.16752494730165593,7.580616504104841e-255,4.459186178885201e-252,0.15806196667158767,0.17695715891798042,Rps17
ENSMUSG00000052146,0.1667781837699091,1.4802833722017385e-252,8.223796512231881e-250,0.1573128413557074,0.1762128864599285,Rps10
ENSMUSG00000044533,0.16473132354661252,2.4694525423122796e-246,1.299711864374884e-243,0.1552595633888004,0.17417279889890072,Rps2
ENSMUSG00000061477,0.16334658731924198,3.59201364897609e-242,1.796006824488045e-239,0.15387053185554594,0.1727925985303297,Rps7
ENSMUSG00000070493,0.16282567687327917,1.2928062647904366e-240,6.15622030852589e-238,0.15334801529466752,0.17227338478262177,Chchd2
ENSMUSG00000061983,0.16243919190700606,1.831049625698249e-239,8.322952844082949e-237,0.15296034211022821,0.17188815527441215,Rps12
ENSMUSG00000047675,0.16222312962514274,8.034843861796782e-239,3.493410374694253e-236,0.15274361683294208,0.1716727935900562,Rps8
ENSMUSG00000014294,0.16188511783151008,8.089710200508232e-238,3.370712583545097e-235,0.15240456966604854,0.1713358760122926,Ndufa2
ENSMUSG00000032518,0.16141359158267624,2.0105603694562644e-236,8.042241477825057e-234,0.15193160279979698,0.1708658725012991,Rpsa
ENSMUSG00000063457,0.15968428547096583,2.418851893744551e-231,9.30327651440212e-229,0.1501970504394252,0.16914211415937774,Rps15
ENSMUSG00000040952,0.1589159644939872,4.187997412714322e-229,1.5511101528571563e-226,0.14942641732240228,0.16837623946063743,Rps19
ENSMUSG00000059070,0.15835490423761706,1.775417978712655e-227,6.340778495402339e-225,0.14886367592732552,0.167816958363538,Rpl18
ENSMUSG00000073702,0.15772304448582009,1.1873882460172539e-225,4.0944422276457034e-223,0.1482299302560662,0.16718709498851203,Rpl31
ENSMUSG00000035960,0.15614808679016037,3.8942688999868916e-221,1.298089633328964e-218,0.14665030570196827,0.16561707978452442,Apex1
ENSMUSG00000057841,0.15494508912418833,1.0168422299281961e-217,3.280136225574826e-215,0.14544377598589234,0.16441782500123195,Rpl32
ENSMUSG00000032398,0.15477583612677467,3.0599951006011157e-217,9.562484689378486e-215,0.14527402832245967,0.16424909635288817,Snapc5
ENSMUSG00000049751,0.15473034742800837,4.113575750119113e-217,1.246538106096701e-214,0.14522840677185753,0.16420374848447786,Rpl36al
ENSMUSG00000058546,0.15451302318582572,1.6887824830505708e-216,4.967007303089915e-214,0.14501044838187935,0.16398709651282672,Rpl23a
ENSMUSG00000057863,0.15438298008786377,3.927860632303914e-216,1.1222458949439754e-213,0.1448800262617951,0.16385745525293552,Rpl36
ENSMUSG00000004032,0.15378999375128286,1.8263525391289807e-214,5.073201497580502e-212,0.14428531580001602,0.16326629711797377,Gstm5
ENSMUSG00000062006,0.1514207705917584,7.172399878784922e-208,1.9384864537256545e-205,0.1419092725726029,0.16090431046371623,Rpl34
