,Blood_9_corr,Blood_9_pval,Blood_9_qval,Blood_9_ci_low,Blood_9_ci_high,gene_annotation
ENSMUSG00000052217,0.7009595660668965,0.0,0.0,0.6959813252080747,0.7058704266829844,Hbb-bh1
ENSMUSG00000054191,0.6623792855275997,0.0,0.0,0.6568883385405555,0.66779997715083,Klf1
ENSMUSG00000051839,0.659566125119768,0.0,0.0,0.6540389474570822,0.6650228822894961,Gypa
ENSMUSG00000021361,0.6530423404473862,0.0,0.0,0.6474317465478943,0.658582153649934,Tmem14c
ENSMUSG00000027562,0.6428333593544372,0.0,0.0,0.6370939208140428,0.6485015166455231,Car2
ENSMUSG00000032126,0.6377330672460503,0.0,0.0,0.6319300327290533,0.6434645989752339,Hmbs
ENSMUSG00000005161,0.631881198372304,0.0,0.0,0.6260058310545689,0.6376848318808654,Prdx2
ENSMUSG00000070803,0.6281055200295995,0.0,0.0,0.622183842844717,0.6339553273844807,Cited4
ENSMUSG00000040466,0.6238978575073075,0.0,0.0,0.6179249045756596,0.6297988009844852,Blvrb
ENSMUSG00000073400,0.6211241349901745,0.0,0.0,0.6151175723842842,0.627058602954666,Trim10
ENSMUSG00000063856,0.618972499205193,0.0,0.0,0.6129399697489912,0.6249328716716813,Gpx1
ENSMUSG00000028332,0.6157385846217229,0.0,0.0,0.60966719928582,0.621737725366304,Hemgn
ENSMUSG00000055609,0.6150604250404645,0.0,0.0,0.6089809177892154,0.6210676702575186,Hba-x
ENSMUSG00000006574,0.6008163065663225,0.0,0.0,0.5945683090882797,0.6069917492103013,Slc4a1
ENSMUSG00000028393,0.5883017752383157,0.0,0.0,0.5819090589262678,0.5946217936422541,Alad
ENSMUSG00000073063,0.585146349079907,0.0,0.0,0.578717632186296,0.5915023485691285,Hbq1b
ENSMUSG00000018659,0.5768712888415093,0.0,0.0,0.5703490960982427,0.5833207443379727,Pnpo
ENSMUSG00000028684,0.5764663972800855,0.0,0.0,0.5699396655863224,0.5829203919107616,Urod
ENSMUSG00000006235,0.5742127894310493,0.0,0.0,0.5676608533673473,0.5806919914101148,Epor
ENSMUSG00000028124,0.5739562457031614,0.0,0.0,0.5674014468172407,0.5804383110533773,Gclm
ENSMUSG00000024155,0.5722644092811732,0.0,0.0,0.5656907634383147,0.5787653262800717,Meiob
ENSMUSG00000026532,0.5720799971240458,0.0,0.0,0.5655043003605055,0.5785829656673832,Spta1
ENSMUSG00000028644,0.5668416549569195,0.0,0.0,0.5602079812510242,0.5734026273464738,Ermap
ENSMUSG00000047181,0.5648742590854023,0.0,0.0,0.5582189507239658,0.5714568807993728,Samd14
ENSMUSG00000032285,0.5620685344948456,0.0,0.0,0.5553825050467575,0.5686819025014175,Dnaja4
ENSMUSG00000024588,0.558888559492687,0.0,0.0,0.55216789919778,0.5655365929780807,Fech
ENSMUSG00000096982,0.5572949531233208,0.0,0.0,0.550557013151788,0.5639602860533232,Redrum
ENSMUSG00000021102,0.556467651490344,0.0,0.0,0.5497207607682255,0.5631419460663029,Glrx5
ENSMUSG00000032028,0.5559177175795114,0.0,0.0,0.549164884488783,0.5625979620055553,Nxpe2
ENSMUSG00000042770,0.5557340719033491,0.0,0.0,0.5489792557408414,0.5624163019420133,Hebp1
ENSMUSG00000074203,0.5546774551259376,0.0,0.0,0.5479112421827894,0.561371096976785,G430095P16Rik
ENSMUSG00000034248,0.553606548128421,0.0,0.0,0.5468288067754896,0.5603117343403301,Slc25a37
ENSMUSG00000023216,0.5523964817035798,0.0,0.0,0.5456057411418577,0.5591146860145407,Epb42
ENSMUSG00000001348,0.5503544902180741,0.0,0.0,0.543541879038465,0.557094599102866,Acp5
ENSMUSG00000027495,0.5501347108364851,0.0,0.0,0.5433197506339197,0.556877172554174,Fam210b
ENSMUSG00000035472,0.5477017861882814,0.0,0.0,0.540860886398897,0.5544702316783747,Slc25a21
ENSMUSG00000039956,0.5449537467620374,0.0,0.0,0.5380836882792898,0.551751405273927,Mrap
ENSMUSG00000023926,0.5371000654745032,0.0,0.0,0.5301474959545845,0.5439804159328571,Rhag
ENSMUSG00000032596,0.5370556542498289,0.0,0.0,0.5301026216075615,0.5439364689608639,Uba7
ENSMUSG00000026688,0.5369354829587757,0.0,0.0,0.5299811973598829,0.5438175536909972,Mgst3
ENSMUSG00000069919,0.5358161494742958,0.0,0.0,0.5288502069300168,0.5427099061187682,Hba-a1
ENSMUSG00000030000,0.5328174273988308,0.0,0.0,0.5258203775271146,0.5397423727204055,Add2
ENSMUSG00000026614,0.5317605314647383,0.0,0.0,0.5247525601694528,0.5386964281777851,Slc30a10
ENSMUSG00000038871,0.5257134189776451,0.0,0.0,0.5186433839627191,0.5327115637838715,Bpgm
ENSMUSG00000031543,0.5197870718685322,0.0,0.0,0.5126569129572902,0.5268455424121586,Ank1
ENSMUSG00000038695,0.5180869852735092,0.0,0.0,0.5109397066201747,0.525162637292172,Josd2
ENSMUSG00000027078,0.5161348976931508,0.0,0.0,0.5089680320179077,0.5232302097108458,Ube2l6
ENSMUSG00000022742,0.5137504946493444,0.0,0.0,0.5065598061746727,0.520869721629965,Cpox
ENSMUSG00000041237,0.5111100062125977,0.0,0.0,0.5038930672752289,0.5182555895814869,Pklr
ENSMUSG00000008843,0.5098835990205179,0.0,0.0,0.5026545145222084,0.517041378524159,Cldn13
ENSMUSG00000084796,0.5077143296893091,0.0,0.0,0.5004638347892415,0.5148936111775925,Mir142hg
ENSMUSG00000071713,0.5055333615108315,0.0,0.0,0.4982614343373264,0.5127341700801392,Csf2rb
ENSMUSG00000025573,0.504602950572706,0.0,0.0,0.4973219088496415,0.5118129149672422,6030468B19Rik
ENSMUSG00000001014,0.5034720901202656,0.0,0.0,0.49617999318440237,0.5106931605625042,Icam4
ENSMUSG00000034796,0.4985211468672905,0.0,0.0,0.49118094684319885,0.5057905515270672,Cpne7
ENSMUSG00000052187,0.49754178902026475,0.0,0.0,0.49019213089035274,0.504820699151848,Hbb-y
ENSMUSG00000030217,0.4954588170578195,0.0,0.0,0.4880891056222912,0.502757883034412,Art4
ENSMUSG00000054342,0.49449761007325754,0.0,0.0,0.4871186737065834,0.5018059491212544,Kcnn4
ENSMUSG00000069917,0.4942510658484074,0.0,0.0,0.48686976627466133,0.5015617805346968,Hba-a2
ENSMUSG00000058794,0.4921114913017214,0.0,0.0,0.48470973354749336,0.49944277347847593,Nfe2
ENSMUSG00000028825,0.48638134636849667,0.0,0.0,0.4789252427535048,0.49376727970664147,Rhd
ENSMUSG00000049687,0.48513241800581713,0.0,0.0,0.4776645552351144,0.49253017945300037,Fam109b
ENSMUSG00000030979,0.4830515930124676,0.0,0.0,0.47556420675315975,0.4904689947350326,Uros
ENSMUSG00000059895,0.48205468481519853,0.0,0.0,0.4745579752395326,0.4894814666466587,Ptp4a3
ENSMUSG00000037336,0.47967459898226533,0.0,0.0,0.47215570952052455,0.48712369848450826,Mfsd2b
ENSMUSG00000028542,0.4777795243970396,0.0,0.0,0.4702430546985129,0.4852463160469964,Slc6a9
ENSMUSG00000036390,0.4766460372033902,0.0,0.0,0.46909908620030677,0.4841233780246641,Gadd45a
ENSMUSG00000048752,0.47601416501204585,0.0,0.0,0.4684613821095566,0.48349737586715597,Prss50
ENSMUSG00000110206,0.4748805423112402,0.0,0.0,0.4673173163002165,0.4823742652306028,Flt3l
ENSMUSG00000033685,0.4708154005704822,0.0,0.0,0.46321493411494374,0.4783466168854792,Ucp2
ENSMUSG00000024663,0.4671187367953353,0.0,0.0,0.45948468823632205,0.4746837728968426,Rab3il1
ENSMUSG00000026815,0.4652824406876436,0.0,0.0,0.4576318105255499,0.47286417915396195,Gfi1b
ENSMUSG00000000253,0.4644838061838668,0.0,0.0,0.45682598515111994,0.4720727885975156,Gmpr
ENSMUSG00000106438,0.46415187920632933,0.0,0.0,0.4564910732146098,0.4717438687374259,Gm42749
ENSMUSG00000024661,0.461467287893231,0.0,0.0,0.45378241964229254,0.46908352102624945,Fth1
ENSMUSG00000018654,0.45116967845773515,0.0,0.0,0.44339382860453797,0.4588776235714707,Ikzf1
ENSMUSG00000043953,0.44998245599757186,0.0,0.0,0.44219625107379606,0.45770084389886784,Ccrl2
ENSMUSG00000001542,0.4494517463043248,0.0,0.0,0.44166092145743624,0.4571747935724823,Ell2
ENSMUSG00000038997,0.4458319116180568,0.0,0.0,0.4380097234147597,0.45358659509761773,Asb17
ENSMUSG00000090523,0.44246861382139113,0.0,0.0,0.4346175162446117,0.450252466129337,Gypc
ENSMUSG00000078621,0.441816379620372,0.0,0.0,0.43395970152383667,0.4496058634216717,Hbb-bh2
ENSMUSG00000071714,0.4417573858119626,0.0,0.0,0.43390020337715807,0.44954737857254645,Csf2rb2
ENSMUSG00000027333,0.4400557306096661,0.0,0.0,0.43218403021627716,0.4478603753697141,Smox
ENSMUSG00000029866,0.4392303842563678,0.0,0.0,0.43135166281519144,0.4470421155981058,Kel
ENSMUSG00000029716,0.4356652685966701,0.0,0.0,0.42775637356160917,0.44350746049785755,Tfr2
ENSMUSG00000031974,0.43406302915775274,0.0,0.0,0.4261406549657241,0.4419188312322565,Abcb10
ENSMUSG00000024014,0.43362189008605323,0.0,0.0,0.425695813597307,0.4414814307515616,Pim1
ENSMUSG00000086804,0.43311513831677945,0.0,0.0,0.4251848135994659,0.4409789690214343,Gm43154
ENSMUSG00000020932,0.4329452755504851,0.0,0.0,0.4250135279618378,0.4408105431695711,Gfap
ENSMUSG00000025889,0.4274939976466187,0.0,0.0,0.41951688852299013,0.43540508496533625,Snca
ENSMUSG00000073940,0.4270160506903113,0.0,0.0,0.4190349923338985,0.4349311281013458,Hbb-bt
ENSMUSG00000026389,0.42292503401371795,0.0,0.0,0.41491035590163616,0.43087408543211164,Steap3
ENSMUSG00000052305,0.42254786335434324,0.0,0.0,0.41453010225818554,0.4305000308222242,Hbb-bs
ENSMUSG00000002997,0.4213589865649437,0.0,0.0,0.4133315259386594,0.42932095823388183,Prkar2b
ENSMUSG00000104763,0.42134762181837404,0.0,0.0,0.4133200686062728,0.4293096870769639,9830132P13Rik
ENSMUSG00000040767,0.4205205976106078,0.0,0.0,0.4124863136566942,0.4284894668265991,Snrnp25
ENSMUSG00000038637,0.4201081972998933,0.0,0.0,0.4120705620528439,0.4280804544402794,Lrrc56
ENSMUSG00000034825,0.41778361958169935,0.0,0.0,0.40972715669429494,0.4257749123548601,Nrip3
ENSMUSG00000069814,0.4123097584259843,0.0,0.0,0.4042093806350481,0.4203454659629789,Ccdc92b
ENSMUSG00000024190,0.41212295758200695,0.0,0.0,0.40402109155482246,0.4201601706616807,Dusp1
ENSMUSG00000029613,0.4119101779701364,0.0,0.0,0.40380661757108877,0.4199491051548075,Eif2ak1
ENSMUSG00000000244,0.41141272619528363,0.0,0.0,0.4033052080449946,0.41945565734724444,Tspan32
ENSMUSG00000090113,0.4082677550082466,0.0,0.0,0.40013532799262647,0.4163358898768711,Nhlrc4
ENSMUSG00000044573,0.40808561693186657,0.0,0.0,0.39995175330329374,0.4161552056300761,Acp1
ENSMUSG00000001763,0.4046390376949131,0.0,0.0,0.39647811220597806,0.4127360169275367,Tspan33
ENSMUSG00000034156,0.40415732293011564,0.0,0.0,0.3959926337234266,0.4122581122530975,Bzrap1
ENSMUSG00000084833,0.40349045297474345,0.0,0.0,0.39532056093503193,0.41159650950290755,Gm12649
ENSMUSG00000037685,0.39914122738230556,0.0,0.0,0.3909376177955376,0.4072814262579899,Atp8a1
ENSMUSG00000034663,0.3926518766463533,0.0,0.0,0.3843986497312866,0.40084234256875406,Bmp2k
ENSMUSG00000078350,0.39144366040232076,0.0,0.0,0.3831812869536674,0.3996433959052152,Smim1
