,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000032083,0.7619352212449124,0.0,0.0,0.7578275437632379,0.7659825007353824,Apoa1
ENSMUSG00000029843,0.7483289314416244,0.0,0.0,0.7440205928550583,0.7525750446577704,Slc13a4
ENSMUSG00000028307,0.7411582677716617,0.0,0.0,0.7367456587923183,0.7455077517230488,Aldob
ENSMUSG00000032080,0.7348599202201738,0.0,0.0,0.7303565680253526,0.7392993928345432,Apoa4
ENSMUSG00000024990,0.7305410245354879,0.0,0.0,0.7259759033874125,0.7350417678140277,Rbp4
ENSMUSG00000005681,0.7287584984104828,0.0,0.0,0.7241679915247269,0.7332844262790559,Apoa2
ENSMUSG00000028001,0.7165484612794453,0.0,0.0,0.7117857620781385,0.7212452738860062,Fga
ENSMUSG00000039878,0.7096022794534282,0.0,0.0,0.7047429423390836,0.7143950402926079,Slc39a5
ENSMUSG00000033860,0.706401026720023,0.0,0.0,0.7014974749327869,0.7112376974742657,Fgg
ENSMUSG00000026295,0.70302342659614,0.0,0.0,0.6980734449662767,0.7079062145455046,Spp2
ENSMUSG00000035041,0.6982388220287833,0.0,0.0,0.6932234567670983,0.7031865662783611,Creb3l3
ENSMUSG00000061808,0.6907054412988696,0.0,0.0,0.6855880497428813,0.6957545756937132,Ttr
ENSMUSG00000054932,0.6685071514304688,0.0,0.0,0.663095668151359,0.6738487596534443,Afp
ENSMUSG00000006179,0.6654177808088216,0.0,0.0,0.6599661427797937,0.6707993485078,Prss16
ENSMUSG00000032554,0.6604444717749847,0.0,0.0,0.6549285894934689,0.6658899844847773,Trf
ENSMUSG00000067235,0.6573523202701714,0.0,0.0,0.6517967413014748,0.6628373529608741,H2-Q10
ENSMUSG00000021278,0.6567469345609935,0.0,0.0,0.6511836058991853,0.6622396831842761,Amn
ENSMUSG00000024391,0.6566986652130319,0.0,0.0,0.6511347189559025,0.6621920287515508,Apom
ENSMUSG00000030895,0.6543787322177363,0.0,0.0,0.6487851573798852,0.6599015975692241,Hpx
ENSMUSG00000038298,0.6538958701104606,0.0,0.0,0.6482961418999487,0.6594248629522027,Pdzk1
ENSMUSG00000090231,0.6495465969812133,0.0,0.0,0.6438916518377243,0.6551305814016455,Cfb
ENSMUSG00000020258,0.6484266590941057,0.0,0.0,0.6427575562669728,0.6540247454287907,Glyctk
ENSMUSG00000036892,0.6466739110637788,0.0,0.0,0.6409827007650826,0.6522940194390552,Prodh2
ENSMUSG00000017950,0.6414283669967527,0.0,0.0,0.6356713580702825,0.6471140317602954,Hnf4a
ENSMUSG00000033831,0.6380780250290736,0.0,0.0,0.6322792755752766,0.6438052860840194,Fgb
ENSMUSG00000063354,0.6361747697837464,0.0,0.0,0.6303524074751929,0.6419255653760304,Slc39a4
ENSMUSG00000026956,0.6356974531380292,0.0,0.0,0.6298691802224621,0.6414541401062601,Uap1l1
ENSMUSG00000022875,0.6341162247703317,0.0,0.0,0.6282684037510405,0.6398923973070902,Kng1
ENSMUSG00000001827,0.6313948232497653,0.0,0.0,0.625513474551205,0.6372044200454031,Folr1
ENSMUSG00000034456,0.6287768889599143,0.0,0.0,0.6228634256902419,0.6346185058421128,Uroc1
ENSMUSG00000058135,0.6286618294514936,0.0,0.0,0.6227469578436755,0.6345048506314391,Gstm1
ENSMUSG00000024650,0.6284060573160902,0.0,0.0,0.622488055974615,0.6342521992818695,Slc22a6
ENSMUSG00000027249,0.6282673087520477,0.0,0.0,0.6223476101676504,0.6341151431263312,F2
ENSMUSG00000059994,0.627535059702245,0.0,0.0,0.6216064101893514,0.6333918197183604,Fcrl1
ENSMUSG00000003546,0.6269779604233184,0.0,0.0,0.6210425081034397,0.6328415042637503,Klc4
ENSMUSG00000064373,0.6255500854159256,0.0,0.0,0.619597225198261,0.6314309895075477,Selenop
