,Mid-Hind Gut_corr,Mid-Hind Gut_pval,Mid-Hind Gut_qval,Mid-Hind Gut_ci_low,Mid-Hind Gut_ci_high,gene_annotation
ENSMUSG00000025465,0.8413047586858696,0.0,0.0,0.8384409861320011,0.8441220724911584,Echs1
ENSMUSG00000040842,0.8388639335739203,0.0,0.0,0.8359600385891531,0.8417208544780282,Szrd1
ENSMUSG00000008301,0.8276446798044612,0.0,0.0,0.8245578885195023,0.8306822009223834,Phax
ENSMUSG00000003037,0.8242735625011617,0.0,0.0,0.8211323050776422,0.8273648829925603,Rab8a
ENSMUSG00000018572,0.8209020949740059,0.0,0.0,0.8177065920970523,0.8240470047084196,Phf23
ENSMUSG00000001729,0.8199446099273077,0.0,0.0,0.8167337427975119,0.8231046994841658,Akt1
ENSMUSG00000008892,0.8194339626169007,0.0,0.0,0.816214908865276,0.8226021407834931,Vdac3
ENSMUSG00000039615,0.8172375837922041,0.0,0.0,0.8139833772122204,0.8204404959813427,Stub1
ENSMUSG00000068921,0.8169795009161505,0.0,0.0,0.8137211700510063,0.8201864884729191,Dap3
ENSMUSG00000044221,0.8150950758833936,0.0,0.0,0.8118066712147423,0.818331781935005,Grsf1
ENSMUSG00000038467,0.8136640167712832,0.0,0.0,0.8103528208588276,0.8169232464333644,Chmp4b
ENSMUSG00000031988,0.811967980231727,0.0,0.0,0.8086298257999243,0.8152538536708355,Vps26b
ENSMUSG00000031575,0.8119276587456314,0.0,0.0,0.808588864100231,0.8152141649479232,Ash2l
ENSMUSG00000003464,0.8083697614440637,0.0,0.0,0.8049746028903942,0.81171198002797,Pex19
ENSMUSG00000007415,0.80793880419699,0.0,0.0,0.8045368355636845,0.811287754731988,Gatad1
ENSMUSG00000028223,0.8068786010899156,0.0,0.0,0.8034598946312738,0.8102440979692871,Decr1
ENSMUSG00000063904,0.803662795471053,0.0,0.0,0.800193456721376,0.8070783501269762,Dpp3
ENSMUSG00000010376,0.8016428744747145,0.0,0.0,0.7981418376648539,0.805089771146452,Nedd8
ENSMUSG00000038848,0.8012445691650552,0.0,0.0,0.7977372914445534,0.8046976369776349,Ythdf1
ENSMUSG00000016559,0.7998808959912816,0.0,0.0,0.796352275246474,0.8033550690492339,H3f3b
ENSMUSG00000005354,0.7991798376089363,0.0,0.0,0.7956402589114873,0.8026648470350644,Txn2
ENSMUSG00000074748,0.7967836750570545,0.0,0.0,0.793206716775789,0.8003056518612174,Atxn7l3b
ENSMUSG00000023147,0.7933288651074704,0.0,0.0,0.789698213690348,0.796903949853005,Wrb
ENSMUSG00000090000,0.7926529828591728,0.0,0.0,0.7890118549512711,0.7962384308681119,Ier3ip1
ENSMUSG00000051853,0.7922345749523566,0.0,0.0,0.788586966080946,0.7958264340366853,Arf3
ENSMUSG00000037570,0.7915927403081827,0.0,0.0,0.7879351964557941,0.7951944274712647,Mcrs1
ENSMUSG00000024962,0.7913373845116386,0.0,0.0,0.7876758902768803,0.7949429796285672,Vegfb
ENSMUSG00000036309,0.7870841661045624,0.0,0.0,0.7833570648516108,0.7907546701372659,Skp1a
ENSMUSG00000023944,0.7866534786189144,0.0,0.0,0.782919753962449,0.7903305362658842,Hsp90ab1
ENSMUSG00000031513,0.7845304287131439,0.0,0.0,0.7807641082817128,0.7882397405292807,Leprotl1
ENSMUSG00000044502,0.784473759322184,0.0,0.0,0.7807065700583463,0.7881839309074257,Bod1
ENSMUSG00000031672,0.783595807134579,0.0,0.0,0.779815165619936,0.7873192909219944,Got2
ENSMUSG00000020918,0.7832742716037961,0.0,0.0,0.7794887072594017,0.7870026271018458,Kat2a
ENSMUSG00000025132,0.7828370973927055,0.0,0.0,0.7790448430455241,0.7865720735369772,Arhgdia
ENSMUSG00000061032,0.7827593436743796,0.0,0.0,0.7789658998734025,0.7864954969547929,Rrp1
ENSMUSG00000032388,0.782359121083132,0.0,0.0,0.7785595566956065,0.7861013316321787,Spg21
ENSMUSG00000027170,0.7807044746270544,0.0,0.0,0.776879639615865,0.7844716955309079,Eif3m
ENSMUSG00000004667,0.7806200275394442,0.0,0.0,0.77679390426872,0.784388523484714,Polr2e
ENSMUSG00000067148,0.7800568298804579,0.0,0.0,0.7762221185284217,0.7838338259136738,Polr1c
ENSMUSG00000053929,0.7782617744594145,0.0,0.0,0.7743997327831849,0.7820658222306119,Cyhr1
ENSMUSG00000062014,0.7781429176230896,0.0,0.0,0.7742790685734213,0.7819487544220163,Gmfb
ENSMUSG00000061479,0.7779971799199735,0.0,0.0,0.7741311151216074,0.7818052099898035,Snrpa
