,Mixed_2_corr,Mixed_2_pval,Mixed_2_qval,Mixed_2_ci_low,Mixed_2_ci_high,gene_annotation
ENSMUSG00000020267,0.721353405216721,0.0,0.0,0.7166581146271055,0.7259833092056865,Hint1
ENSMUSG00000030357,0.7156825693956215,0.0,0.0,0.7109077713263885,0.7203913927653776,Fkbp4
ENSMUSG00000022706,0.7076074425957258,0.0,0.0,0.7027205295560328,0.7124275884868434,Mrpl40
ENSMUSG00000032959,0.6927977315182893,0.0,0.0,0.6877085634070782,0.6978188146710436,Pebp1
ENSMUSG00000024608,0.6904872657407632,0.0,0.0,0.6853669361577189,0.6955393204036385,Rps14
ENSMUSG00000028964,0.6893296229207637,0.0,0.0,0.6841937199176215,0.6943971573972956,Park7
ENSMUSG00000030652,0.6815939920287519,0.0,0.0,0.6763547061433389,0.686764310688548,Coq7
ENSMUSG00000021266,0.6801686906865306,0.0,0.0,0.6749104858253181,0.6853578230721152,Wars
ENSMUSG00000062397,0.6797401783545719,0.0,0.0,0.6744762934394594,0.6849349594574506,Zfp706
ENSMUSG00000041453,0.6769282279648666,0.0,0.0,0.6716271601812879,0.6821599898089941,Rpl21
ENSMUSG00000109324,0.6737885867181221,0.0,0.0,0.6684461882061492,0.6790614607785966,Prmt1
ENSMUSG00000016559,0.67199070871922,0.0,0.0,0.6666247306590889,0.6772870405928161,H3f3b
ENSMUSG00000045948,0.6719134542750285,0.0,0.0,0.6665464644425722,0.6772107927452572,Mrps12
ENSMUSG00000024181,0.6706039390656012,0.0,0.0,0.6652198170068978,0.6759183227219306,Mrpl28
ENSMUSG00000044627,0.6689264219329992,0.0,0.0,0.6635204027911766,0.6742625930768679,Swi5
ENSMUSG00000005354,0.6683648688262973,0.0,0.0,0.6629515320429444,0.6737083214014049,Txn2
ENSMUSG00000008683,0.6677527681885262,0.0,0.0,0.6623314621951655,0.6731041507761332,Rps15a
ENSMUSG00000073616,0.6660074843257839,0.0,0.0,0.6605634964840488,0.6713814385545189,Myeov2
ENSMUSG00000042462,0.6638760355270027,0.0,0.0,0.6584044290988376,0.6692774768696584,Dctpp1
