,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000025362,0.22518487715766028,0.0,0.0,0.21593716832058824,0.23439219016291152,Rps26
ENSMUSG00000043716,0.2094089884107876,0.0,0.0,0.2000959207781514,0.2186842189541109,Rpl7
ENSMUSG00000034892,0.19524765312099834,0.0,0.0,0.18588006161732304,0.20457975486360208,Rps29
ENSMUSG00000059291,0.1871836405511214,0.0,0.0,0.17778675307768724,0.1965463949661256,Rpl11
ENSMUSG00000027133,0.18667708830487087,0.0,0.0,0.17727840299475026,0.19604172624660002,Nop10
ENSMUSG00000057841,0.17487691257057106,5.480823613562444e-278,9.134706022604074e-275,0.16543776553809442,0.18428402344863706,Rpl32
ENSMUSG00000030744,0.17234545585812047,6.727750040999551e-270,9.611071487142215e-267,0.16289798314944423,0.18176132753218666,Rps3
ENSMUSG00000058546,0.17153283248084805,2.4975656463146913e-267,3.121957057893364e-264,0.16208271369137284,0.18095149017997023,Rpl23a
ENSMUSG00000090862,0.17065018890493674,1.4918826005233557e-264,1.6576473339148396e-261,0.1611972106498203,0.18007185821781707,Rps13
ENSMUSG00000070493,0.16980706470790888,6.474885200178476e-262,6.474885200178477e-259,0.1603513692292995,0.17923159672090208,Chchd2
ENSMUSG00000001056,0.1687996517854591,8.794562718284212e-259,7.99505701662201e-256,0.15934072782262762,0.1782275862858358,Nhp2
ENSMUSG00000012848,0.16864370732267284,2.6754481124272506e-258,2.229540093689376e-255,0.1591842853722999,0.17807216676314083,Rps5
ENSMUSG00000059070,0.16625635742441897,5.814087256260781e-251,4.472374812508294e-248,0.15678937109897548,0.17569279443375876,Rpl18
ENSMUSG00000004885,0.16609836904448255,1.762239646034324e-250,1.2587426043102315e-247,0.15663088605670702,0.17553533009827463,Crabp2
ENSMUSG00000007892,0.16340515817073062,2.3989839420537867e-242,1.5993226280358577e-239,0.15392928362907196,0.17285097827778562,Rplp1
ENSMUSG00000052146,0.16020177034372415,7.404422731706639e-233,4.627764207316649e-230,0.15071609909815134,0.16965794496068026,Rps10
ENSMUSG00000028081,0.15814173737489715,7.3444395185223635e-227,4.320258540307273e-224,0.14864987195139973,0.1676044658703686,Rps3a1
ENSMUSG00000003970,0.15804087491888832,1.436908386797621e-226,7.982824371097894e-224,0.14854870834691747,0.1675039221939593,Rpl8
ENSMUSG00000061477,0.1575431985734208,3.9147349404727047e-225,2.0275724883485454e-222,0.1480495489808082,0.16700781589144215,Rps7
ENSMUSG00000025508,0.1575378829219892,4.055144976697091e-225,2.0275724883485454e-222,0.14804421751542843,0.16700251698367785,Rplp2
ENSMUSG00000075227,0.15548790804901994,2.9443351921262673e-219,1.4020643772029844e-216,0.14598818515029457,0.16495895852261808,Znhit2
ENSMUSG00000033307,0.15538740437238704,5.67846694914613e-219,2.581121340520968e-216,0.1458873866045663,0.16485876733089116,Mif
ENSMUSG00000047675,0.15392670630614033,7.546838443945442e-215,3.2812341060632357e-212,0.1444224252416291,0.16340258878588823,Rps8
ENSMUSG00000035960,0.15289684089283004,5.756939755189883e-212,2.3987248979957846e-209,0.14338957903248353,0.16237588504359143,Apex1
ENSMUSG00000036615,0.15175020272799736,8.816227692156771e-209,3.5264910768627086e-206,0.1422396464549599,0.1612327428916649,Rfxap
ENSMUSG00000044533,0.15038421099389332,5.087484028077503e-205,1.9567246261836551e-202,0.14086976358956116,0.1598708827505931,Rps2
ENSMUSG00000030432,0.1467198682785487,4.153375872770404e-195,1.5382873602853347e-192,0.1371951626567543,0.1562174448669732,Rpl28
ENSMUSG00000041453,0.1458088230128368,1.1031562066245195e-192,3.9398435950875696e-190,0.13628160763650896,0.1553090704687771,Rpl21
ENSMUSG00000038462,0.13987604189576439,2.7565543763340543e-177,9.505359918393291e-175,0.13033287914970526,0.14939328921624326,Uqcrfs1
ENSMUSG00000028998,0.1396864802973397,8.341769625943003e-177,2.7805898753143345e-174,0.13014281933476135,0.14920425955646746,Tomm7
ENSMUSG00000028234,0.1381448621258322,6.407713235933386e-173,2.067004269655931e-170,0.12859717544019844,0.1476669415653857,Rps20
ENSMUSG00000020460,0.1363329034200586,2.068648141329407e-168,6.464525441654396e-166,0.12678054435344888,0.14585997830276423,Rps27a
ENSMUSG00000004032,0.13603797456662392,1.1058603120287765e-167,3.351091854632656e-165,0.12648486104966897,0.14556585653205154,Gstm5
ENSMUSG00000067274,0.1358168088616164,3.877488107737527e-167,1.1404376787463316e-164,0.1262631306998519,0.14534529494941922,Rplp0
ENSMUSG00000033751,0.13565874050914992,9.492682400046577e-167,2.712194971441879e-164,0.12610465937756296,0.14518765778622553,Gadd45gip1
ENSMUSG00000024608,0.13294258530800307,3.8454626978977244e-160,1.0681840827493679e-157,0.123381655953154,0.1424788363116356,Rps14
ENSMUSG00000016526,0.13127651261557738,3.7057602700179213e-156,1.0015568297345733e-153,0.12171145384253816,0.140817191393761,Dyrk3
ENSMUSG00000063229,0.12893558192605886,1.1966331146078744e-150,3.0682900374560883e-148,0.11936481259507983,0.1384823911673515,Ldha
ENSMUSG00000039001,0.12836068072762608,2.600849210343688e-149,6.50212302585922e-147,0.11878852531472245,0.13790897929700346,Rps21
ENSMUSG00000042462,0.1274533255884627,3.257294743664003e-147,7.755463675390483e-145,0.11787899567101635,0.13700396171152288,Dctpp1
ENSMUSG00000020116,0.1256547396723071,4.219832058562017e-143,8.978366082046845e-141,0.1160761468674217,0.1352099622343889,Pno1
ENSMUSG00000021871,0.12468847450889378,6.449911669826712e-141,1.3163085040462679e-138,0.11510761758914399,0.13424613520012288,Pnp
ENSMUSG00000032518,0.12370246630658778,1.0480593975601952e-138,2.09611879512039e-136,0.11411931778857556,0.13326259630192894,Rpsa
ENSMUSG00000063480,0.12156121482489533,5.738342168634469e-134,1.1035273401220133e-131,0.11197315510674322,0.1311266424009949,Nhp2l1
ENSMUSG00000039016,0.11806129356943888,2.085805398402718e-126,3.4763423306711967e-124,0.10846539896667402,0.1276351889329573,Timm8b
ENSMUSG00000040952,0.11716532984516449,1.651931547535656e-124,2.6644057218317036e-122,0.1075674679616647,0.12674135477514537,Rps19
ENSMUSG00000015806,0.11670534442994926,1.53808829283016e-123,2.4414099886193016e-121,0.10710647863267457,0.12628245663224646,Qdpr
ENSMUSG00000021660,0.11293656968532181,9.505914041060704e-116,1.320265839036209e-113,0.103329633997796,0.12252243579948034,Btf3
ENSMUSG00000005732,0.11290028376617244,1.1264820366738394e-115,1.5431260776353963e-113,0.10329327172785344,0.12248623282584906,Ranbp1
ENSMUSG00000071415,0.11246740712965986,8.49993610862179e-115,1.1486400146786202e-112,0.1028594862370575,0.12205434372905709,Rpl23
ENSMUSG00000036781,0.11157887958675576,5.249211715135531e-113,6.841480541171934e-111,0.10196910461854407,0.12116783184714433,Rps27l
ENSMUSG00000006057,0.1071666275718438,2.488165547059881e-104,2.5651191206802897e-102,0.09754787368652588,0.11676536261412027,Atp5g1
ENSMUSG00000090733,0.10700308714385216,5.1349526465315086e-104,5.186820855082331e-102,0.09738400775075391,0.11660217753527367,Rps27
ENSMUSG00000036114,0.10604987906093749,3.4255083564522794e-102,3.142668216928697e-100,0.09642891279903282,0.11565103031828593,Rpp25l
ENSMUSG00000044018,0.10581012243710394,9.79308914969417e-102,8.902808317903792e-100,0.0961886843672241,0.11541178928446158,Mrpl50
ENSMUSG00000032288,0.1056722043857529,1.790037361917306e-101,1.598247644569023e-99,0.09605049541999988,0.11527416731736854,Imp3
ENSMUSG00000047260,0.10342323828428347,2.984129179149647e-97,2.2954839839612667e-95,0.0937971642786279,0.11302997731059646,Emc6
ENSMUSG00000073702,0.1031093207416134,1.139541907084844e-96,8.198143216437727e-95,0.09348264529379359,0.11271671863383302,Rpl31
ENSMUSG00000025794,0.10305745646119734,1.421337966112366e-96,1.0152414043659757e-94,0.09343068183030007,0.1126649630249398,Rpl14
ENSMUSG00000045128,0.10223372852465121,4.680096341233986e-95,3.0994015504860836e-93,0.09260538566215956,0.11184295406106269,Rpl18a
ENSMUSG00000000088,0.10213522310604996,7.094098789610289e-95,4.667170256322558e-93,0.09250669359235533,0.1117446533252971,Cox5a
ENSMUSG00000016252,0.10033377480638274,1.3275025533925252e-91,7.500014425946469e-90,0.09070186521628458,0.10994691505815068,Atp5e
