,Amnion_2_corr,Amnion_2_pval,Amnion_2_qval,Amnion_2_ci_low,Amnion_2_ci_high,gene_annotation
ENSMUSG00000033585,0.8270973604408295,0.0,0.0,0.8240017108904024,0.8301436308471503,Ndn
ENSMUSG00000029581,0.7796157892773138,0.0,0.0,0.7757743569952011,0.7833994375288154,Fscn1
ENSMUSG00000029610,0.778667058853686,0.0,0.0,0.7748111821682738,0.7824650042839923,Aimp2
ENSMUSG00000003038,0.7775711121077489,0.0,0.0,0.7736985719352341,0.7813855519447852,Hmgn2
ENSMUSG00000074682,0.7726154591221708,0.0,0.0,0.7686678681605824,0.7765041983997787,Zcchc3
ENSMUSG00000051855,0.7696096253826672,0.0,0.0,0.7656167505511511,0.7735432032941193,Mest
ENSMUSG00000091337,0.7683410973594855,0.0,0.0,0.7643291656396296,0.7722935466275395,Eid1
ENSMUSG00000025066,0.7639490321403147,0.0,0.0,0.7598713662758713,0.7679665839961147,Sfr1
ENSMUSG00000029126,0.7606442244199773,0.0,0.0,0.7565173497485219,0.7647105208907591,Nsg1
ENSMUSG00000062480,0.75589582333655,0.0,0.0,0.7516986246894453,0.7600317933051638,Acat3
ENSMUSG00000003500,0.7543873416625373,0.0,0.0,0.7501678961435794,0.7585453559086319,Impdh1
ENSMUSG00000079523,0.751403660267148,0.0,0.0,0.7471403450199824,0.7556051492515075,Tmsb10
ENSMUSG00000068329,0.7492322686785782,0.0,0.0,0.744937138196597,0.7534652902119228,Htra2
ENSMUSG00000037335,0.7491609557751853,0.0,0.0,0.7448647820053353,0.7533950113804234,Hand1
ENSMUSG00000011837,0.7465436568814728,0.0,0.0,0.7422092626687372,0.7508155976739047,Snapc2
ENSMUSG00000072235,0.7458921381299078,0.0,0.0,0.7415482509392185,0.7501734893480001,Tuba1a
ENSMUSG00000062397,0.7424692398792024,0.0,0.0,0.7380756177619511,0.7467998982075329,Zfp706
ENSMUSG00000031983,0.7420632130019033,0.0,0.0,0.7376637067313269,0.7463997053909643,2310022B05Rik
ENSMUSG00000045377,0.7413106892861754,0.0,0.0,0.7369002860797955,0.7456579861369684,Tmem88
ENSMUSG00000019370,0.7390249324210448,0.0,0.0,0.734581499242132,0.7434049812753658,Calm3
ENSMUSG00000030591,0.7385723228597396,0.0,0.0,0.734122361627059,0.7429588452460908,Psmd8
ENSMUSG00000001525,0.7381121013856707,0.0,0.0,0.7336555064838975,0.7425052021783526,Tubb5
ENSMUSG00000024538,0.7378021133715976,0.0,0.0,0.7333410526490777,0.7421996428620127,Ppic
ENSMUSG00000032199,0.7376495273941015,0.0,0.0,0.7331862691533145,0.7420492361591803,Polr2m
ENSMUSG00000055762,0.7360460945933088,0.0,0.0,0.7315597719393063,0.7404686772375032,Eef1d
ENSMUSG00000020592,0.7330599386154902,0.0,0.0,0.7285307980158082,0.7375249900795329,Sdc1
ENSMUSG00000028102,0.728941450412708,0.0,0.0,0.7243535461210733,0.7334647962112013,Pex11b
ENSMUSG00000043110,0.7253224832414823,0.0,0.0,0.7206832205873749,0.7298967865471886,Lrrn4
ENSMUSG00000025511,0.7218785393453598,0.0,0.0,0.7171906436522711,0.7265011042247955,Tspan4
ENSMUSG00000027746,0.7217465606863036,0.0,0.0,0.7170568059652742,0.726370970551855,Ufm1
ENSMUSG00000027566,0.719495617661949,0.0,0.0,0.7147742098025559,0.724151443370245,Psma7
ENSMUSG00000025869,0.7173594784437624,0.0,0.0,0.7126081248596586,0.7220450285068184,Nop16
ENSMUSG00000063605,0.7169066746984608,0.0,0.0,0.712148985066412,0.7215985143621692,Ccdc102a
ENSMUSG00000067586,0.7167981633739005,0.0,0.0,0.7120389559557971,0.7214915097176475,S1pr3
ENSMUSG00000030298,0.7161935329122023,0.0,0.0,0.7114258725949315,0.7208952704470375,Sec13
ENSMUSG00000070319,0.7126364926375998,0.0,0.0,0.7078192508470281,0.7173874546197241,Eif3g
ENSMUSG00000037166,0.7123756888578903,0.0,0.0,0.7075548216135681,0.7171302505193747,Ppp1r14a
ENSMUSG00000030663,0.7107342369312806,0.0,0.0,0.7058905827227533,0.7155114245978988,1110004F10Rik
ENSMUSG00000035783,0.708738547738776,0.0,0.0,0.7038672610054375,0.71354317515937,Acta2
ENSMUSG00000007836,0.7085711915116145,0.0,0.0,0.7036975911383837,0.713378116552141,Hnrnpa0
ENSMUSG00000037070,0.707941762701974,0.0,0.0,0.7030594656775107,0.7127573243438973,Rbmxl1
ENSMUSG00000018565,0.7064751663570598,0.0,0.0,0.7015726362621152,0.711310822384076,Elp5
ENSMUSG00000047749,0.7062096442153242,0.0,0.0,0.701303455557248,0.7110489338812842,Zc3hav1l
ENSMUSG00000028741,0.7060116255204953,0.0,0.0,0.7011027093231612,0.7108536241747311,Mrto4
ENSMUSG00000050288,0.7050500272987692,0.0,0.0,0.7001278769672022,0.7099051704480234,Fzd2
ENSMUSG00000003344,0.7017531777056062,0.0,0.0,0.6967857933030726,0.7066532532025972,Btbd2
ENSMUSG00000029632,0.7014022158630602,0.0,0.0,0.6964300288280103,0.7063070623830797,Ndufa4
ENSMUSG00000009013,0.7012190520868756,0.0,0.0,0.6962443595724308,0.7061263876284946,Dynll1
ENSMUSG00000021835,0.7004477627247113,0.0,0.0,0.6954625271218061,0.7053655723447905,Bmp4
ENSMUSG00000030588,0.7001241874320171,0.0,0.0,0.6951345322528816,0.7050463878176123,Yif1b
ENSMUSG00000057134,0.6989942886912075,0.0,0.0,0.6939892170017654,0.7039318056340516,Ado
ENSMUSG00000022676,0.6981359385437376,0.0,0.0,0.693119172324454,0.7030850747614927,Snai2
ENSMUSG00000027523,0.6970087129323944,0.0,0.0,0.6919766111117465,0.7019730868089911,Gnas
ENSMUSG00000026674,0.6969460029255202,0.0,0.0,0.6919130486923148,0.7019112237954219,Ddr2
ENSMUSG00000029718,0.6965418608769277,0.0,0.0,0.6915034150418695,0.7015125384982089,Pcolce
ENSMUSG00000023988,0.6965231747414824,0.0,0.0,0.6914844750720566,0.7014941045888863,Bysl
ENSMUSG00000027460,0.6957436337781339,0.0,0.0,0.6906943509172542,0.7007250799704787,Angpt4
ENSMUSG00000021737,0.6935480548681494,0.0,0.0,0.6884690292176303,0.6985590581516149,Psmd6
ENSMUSG00000057777,0.6926419506133766,0.0,0.0,0.6875506781411289,0.697665125187501,Mab21l2
ENSMUSG00000023886,0.6925134406154221,0.0,0.0,0.6874204325326161,0.6975383401399948,Smoc2
ENSMUSG00000035413,0.6922706477019186,0.0,0.0,0.6871743614380769,0.697298805302859,Tmem98
ENSMUSG00000011114,0.6914666697362893,0.0,0.0,0.6863595365383995,0.6965056080274313,Tbrg1
ENSMUSG00000055302,0.6905696682373105,0.0,0.0,0.6854504482036466,0.6956206200538122,Mrfap1
ENSMUSG00000097542,0.68919936877157,0.0,0.0,0.684061715162312,0.6942686433875224,Gm26751
ENSMUSG00000022587,0.6886249730009337,0.0,0.0,0.6834796035691156,0.6937019174414486,Ly6e
ENSMUSG00000001642,0.6883793332178536,0.0,0.0,0.6832306661198262,0.6934595557322343,Akr1b3
ENSMUSG00000056201,0.687633704168887,0.0,0.0,0.682475034476163,0.6927238700946319,Cfl1
ENSMUSG00000051695,0.6873478966768304,0.0,0.0,0.6821853958073444,0.692441871208691,Pcbp1
ENSMUSG00000062929,0.6862585112319247,0.0,0.0,0.6810814222840748,0.6913669883953172,Cfl2
ENSMUSG00000042436,0.6854695073226175,0.0,0.0,0.6802818674350255,0.6905884741162978,Mfap4
ENSMUSG00000074102,0.685354030787802,0.0,0.0,0.6801648477281814,0.690474531821024,Rbm15b
ENSMUSG00000026766,0.6847971837284339,0.0,0.0,0.6796005629490678,0.6899250795529015,Mmadhc
ENSMUSG00000026728,0.6836522641372864,0.0,0.0,0.6784403701650288,0.6887953456466366,Vim
ENSMUSG00000003923,0.6832180031982864,0.0,0.0,0.6780003229982555,0.6883668380100555,Tfam
ENSMUSG00000031654,0.6802873957657833,0.0,0.0,0.6750307650184918,0.6854749627432555,Cbln1
ENSMUSG00000048076,0.678477251759801,0.0,0.0,0.6731966475695522,0.6836886606043548,Arf1
ENSMUSG00000001555,0.6783024518196356,0.0,0.0,0.6730195360290535,0.6835161596922233,Fkbp10
ENSMUSG00000035403,0.6782506051962081,0.0,0.0,0.6729670038887576,0.6834649948611703,Crb2
ENSMUSG00000005124,0.6780408654900308,0.0,0.0,0.6727544915448396,0.6832580127468064,Wisp1
ENSMUSG00000075592,0.6777946619564461,0.0,0.0,0.6725050344556976,0.6830150451502266,Nynrin
ENSMUSG00000029844,0.6777715750728387,0.0,0.0,0.6724816425428237,0.6829922616461561,Hoxa1
ENSMUSG00000045954,0.6775917466296051,0.0,0.0,0.6722994385262119,0.6828147959402424,Sdpr
ENSMUSG00000049090,0.6769639300523855,0.0,0.0,0.6716633333805354,0.6821952233130112,Zadh2
ENSMUSG00000031891,0.6754043600728484,0.0,0.0,0.6700832074449596,0.6806560997606909,Hsd11b2
ENSMUSG00000032394,0.6712617736342769,0.0,0.0,0.6658862536948899,0.6765675987327339,Igdcc3
ENSMUSG00000061353,0.6709957780670203,0.0,0.0,0.6656167788254875,0.6763050648138954,Cxcl12
ENSMUSG00000048978,0.6697720544479823,0.0,0.0,0.6643770666025953,0.6750972492751744,Nrsn1
ENSMUSG00000059395,0.6695134496139281,0.0,0.0,0.6641150867576061,0.6748420025809552,Nkapl
ENSMUSG00000006931,0.668484442780274,0.0,0.0,0.6630726636504592,0.6738263453922262,P3h4
ENSMUSG00000013921,0.6680802421332013,0.0,0.0,0.6626631987447322,0.6734273830512874,Clip3
ENSMUSG00000062093,0.6677116265210755,0.0,0.0,0.6622897851524467,0.6730635418595106,Gm10110
ENSMUSG00000055839,0.6674578054184934,0.0,0.0,0.6620326618255987,0.6728130068182049,Tceb2
ENSMUSG00000002274,0.6668002555465172,0.0,0.0,0.6613665631388488,0.6721639641158267,Metrn
ENSMUSG00000071553,0.6663462468279825,0.0,0.0,0.6609066568484548,0.6717158244058213,Cpa2
ENSMUSG00000012405,0.6652554529143624,0.0,0.0,0.6598017102254267,0.6706391152121967,Rpl15
ENSMUSG00000005469,0.6645393995040618,0.0,0.0,0.6590763790685895,0.6699322954047339,Prkaca
ENSMUSG00000095440,0.6631221625294328,0.0,0.0,0.6576408092284709,0.6685333050635686,Fignl2
ENSMUSG00000074364,0.6623691932448755,0.0,0.0,0.6568781159990547,0.6677900145238692,Ehd2
ENSMUSG00000097440,0.6622551768522468,0.0,0.0,0.6567626281632409,0.6676774627672667,Gm6277
ENSMUSG00000019505,0.6615495565356784,0.0,0.0,0.6560479071662292,0.666980901220339,Ubb
ENSMUSG00000055235,0.6607211378264662,0.0,0.0,0.6552088165874304,0.66616310565282,Wdr86
ENSMUSG00000027805,0.6597451600747092,0.0,0.0,0.6542202835289711,0.6651996264600131,Pfn2
ENSMUSG00000024165,0.6595426045992203,0.0,0.0,0.6540151246770309,0.6649996626728097,Hn1l
ENSMUSG00000035033,0.6591733120327483,0.0,0.0,0.6536410878116685,0.664635093174701,Tbr1
ENSMUSG00000020186,0.6589298850360233,0.0,0.0,0.6533945349880127,0.6643947780660996,Csrp2
ENSMUSG00000014349,0.6581730641655466,0.0,0.0,0.6526280033411056,0.6636476249186626,Ube2z
ENSMUSG00000037892,0.657853823977336,0.0,0.0,0.6523046703825032,0.6633324594683871,Pcdh18
ENSMUSG00000009281,0.6571059993776688,0.0,0.0,0.6515472663176085,0.6625941723902159,Rarres2
ENSMUSG00000069833,0.6569198552214192,0.0,0.0,0.6513587394190691,0.6624104006006513,Ahnak
ENSMUSG00000021266,0.6566591029511955,0.0,0.0,0.6510946505383587,0.6621529704500789,Wars
ENSMUSG00000005575,0.6562438559554266,0.0,0.0,0.650674092784345,0.6617430112404494,Ube2m
ENSMUSG00000030122,0.6556730198257227,0.0,0.0,0.6500959615823964,0.6611794388128602,Ptms
ENSMUSG00000070436,0.6549991427454366,0.0,0.0,0.6494134809154487,0.6605141285983014,Serpinh1
ENSMUSG00000030107,0.6531469977974202,0.0,0.0,0.6475377354409677,0.6586854849859078,Usp18
ENSMUSG00000052957,0.6526370808629809,0.0,0.0,0.647021332941156,0.6581820267547608,Gas1
ENSMUSG00000057594,0.6524503789823539,0.0,0.0,0.6468322577127326,0.6579976884347317,Arl16
ENSMUSG00000051007,0.652438975040225,0.0,0.0,0.6468207088264702,0.6579864288397599,Pddc1
ENSMUSG00000042985,0.6523428301269021,0.0,0.0,0.6467233420134928,0.6578915007968985,Upk3b
ENSMUSG00000066705,0.652210449098764,0.0,0.0,0.6465892788628996,0.6577607949777554,Fxyd6
ENSMUSG00000038112,0.651059491445763,0.0,0.0,0.6454237109998908,0.6566243879730854,AW551984
