,Blood_2_corr,Blood_2_pval,Blood_2_qval,Blood_2_ci_low,Blood_2_ci_high,gene_annotation
ENSMUSG00000052187,0.7789350893764972,0.0,0.0,0.7750832916366764,0.782728997373743,Hbb-y
ENSMUSG00000069919,0.6929031046777682,0.0,0.0,0.6878153602692282,0.6979227728912959,Hba-a1
ENSMUSG00000069917,0.691671701167806,0.0,0.0,0.6865673329501508,0.696707891324134,Hba-a2
ENSMUSG00000055609,0.6662647609874341,0.0,0.0,0.660824112939549,0.6716353915235491,Hba-x
ENSMUSG00000073940,0.6235920936416899,0.0,0.0,0.6176154282472649,0.6294967399245129,Hbb-bt
ENSMUSG00000052305,0.5579618287911108,0.0,0.0,0.5512311137317155,0.5646199283411586,Hbb-bs
ENSMUSG00000073400,0.4923936854397623,0.0,0.0,0.4849946208006873,0.4997222599377168,Trim10
ENSMUSG00000073063,0.4864078342655179,0.0,0.0,0.4789519803776292,0.4937935164234702,Hbq1b
ENSMUSG00000052217,0.47191295818690615,0.0,0.0,0.46432251427313664,0.47943408279272637,Hbb-bh1
ENSMUSG00000063856,0.4622016553357284,0.0,0.0,0.4545233551837945,0.46981127038802445,Gpx1
ENSMUSG00000034248,0.44131733420398916,0.0,0.0,0.43345639192866126,0.44911112132954273,Slc25a37
ENSMUSG00000030217,0.43619360712340627,0.0,0.0,0.42828916792188615,0.4440313002661902,Art4
ENSMUSG00000082101,0.4314407065009978,0.0,0.0,0.42349638054675687,0.43931867749089126,Slfn14
ENSMUSG00000023216,0.42511878552557064,0.0,0.0,0.4171220945866163,0.4330496588054077,Epb42
ENSMUSG00000027078,0.4218644016594984,0.0,0.0,0.4138410610967217,0.42982220868461896,Ube2l6
ENSMUSG00000034059,0.42100198389669125,0.0,0.0,0.41297161607096083,0.42896689432816876,Ypel4
ENSMUSG00000038871,0.4141077589517913,0.0,0.0,0.4060217408790714,0.4221289410274528,Bpgm
ENSMUSG00000032285,0.40129576004937195,0.0,0.0,0.39310880706326873,0.4094190908097084,Dnaja4
ENSMUSG00000032596,0.39770539593359355,0.0,0.0,0.38949073668820505,0.40585678659342833,Uba7
ENSMUSG00000058794,0.3958299586078489,0.0,0.0,0.3876009277138932,0.40399590795566703,Nfe2
ENSMUSG00000018659,0.3858722935214416,0.0,0.0,0.3775681145988691,0.3941144102467689,Pnpo
ENSMUSG00000070803,0.3813920104152815,0.0,0.0,0.37305465578264524,0.3896677757062474,Cited4
ENSMUSG00000051839,0.38039155612509884,0.0,0.0,0.37204684719697,0.3886747824900649,Gypa
ENSMUSG00000027495,0.36990403618647927,0.0,0.0,0.36148341793998734,0.37826431696723906,Fam210b
ENSMUSG00000071714,0.3694607654180367,0.0,0.0,0.3610369863602763,0.3778242564345479,Csf2rb2
ENSMUSG00000020481,0.35081618859793606,0.0,0.0,0.342262957401392,0.35931128392775463,Ankrd36
ENSMUSG00000027562,0.34703032161723596,0.0,0.0,0.33845163855450083,0.35555132294850816,Car2
ENSMUSG00000027869,0.3463869826850345,0.0,0.0,0.33780400252101883,0.3549123588518351,Hsd3b6
ENSMUSG00000104818,0.34473196600525635,0.0,0.0,0.3361379687126229,0.3532685600215151,Gm43661
ENSMUSG00000006574,0.3399883862026392,0.0,0.0,0.33136310979292755,0.34855684055231506,Slc4a1
ENSMUSG00000030000,0.3385254386676641,0.0,0.0,0.32989060473128184,0.3471036315501109,Add2
ENSMUSG00000036390,0.3321596150307856,0.0,0.0,0.3234836819492624,0.3407797042002298,Gadd45a
ENSMUSG00000073938,0.32265741823791394,0.0,0.0,0.31392161665352203,0.3313385940972215,Olfr632
ENSMUSG00000084796,0.32206910886208096,0.0,0.0,0.31332965888924535,0.3307540096272274,Mir142hg
ENSMUSG00000039956,0.320910541347345,0.0,0.0,0.3121639263987469,0.3296027581445316,Mrap
ENSMUSG00000071713,0.32061695750526437,0.0,0.0,0.31186853111701385,0.32931102409775986,Csf2rb
ENSMUSG00000028684,0.32035611591649954,0.0,0.0,0.3116060815301738,0.329051824611356,Urod
ENSMUSG00000005161,0.3198947157419131,0.0,0.0,0.31114184025265124,0.3285933259269536,Prdx2
ENSMUSG00000032126,0.31718730771457787,0.0,0.0,0.3084178453429137,0.3259028606749809,Hmbs
ENSMUSG00000035472,0.30478664315137083,0.0,0.0,0.29594304606452265,0.3135779942570279,Slc25a21
ENSMUSG00000023926,0.30398485231240296,0.0,0.0,0.2951365657088026,0.3127810023394989,Rhag
ENSMUSG00000021361,0.301948333879689,0.0,0.0,0.29308819276208364,0.3107566172992779,Tmem14c
ENSMUSG00000098008,0.29776242946694365,0.0,0.0,0.28887817771689694,0.3065954011796264,A930001A20Rik
ENSMUSG00000110206,0.2975344433892386,0.0,0.0,0.28864888831556273,0.3063687500585588,Flt3l
ENSMUSG00000040466,0.2975164424938286,0.0,0.0,0.28863078455819313,0.3063508545234749,Blvrb
ENSMUSG00000104763,0.2973718263031503,0.0,0.0,0.2884853422222589,0.30620708455347806,9830132P13Rik
ENSMUSG00000054191,0.29481358801218555,0.0,0.0,0.28591255733825915,0.3036637491492065,Klf1
ENSMUSG00000001348,0.2936060353298179,0.0,0.0,0.2846981828797697,0.3024631871836423,Acp5
ENSMUSG00000000244,0.29332148253725215,0.0,0.0,0.28441202673747296,0.3021802776214411,Tspan32
ENSMUSG00000029866,0.2930775313187147,0.0,0.0,0.28416670220795737,0.3019377339255638,Kel
ENSMUSG00000024661,0.2905565272397197,0.0,0.0,0.2816315745946023,0.2994312080812215,Fth1
ENSMUSG00000086804,0.290378400140854,0.0,0.0,0.28145245427921745,0.2992540993404089,Gm43154
ENSMUSG00000096982,0.28911509799054236,0.0,0.0,0.280182125948532,0.29799800197709747,Redrum
ENSMUSG00000027333,0.28840317622774925,0.0,0.0,0.27946625843293676,0.2972901268497634,Smox
ENSMUSG00000038695,0.2873117399772385,0.0,0.0,0.2783687923018299,0.29620487546313573,Josd2
ENSMUSG00000069814,0.27905262065646574,0.0,0.0,0.2700648005311766,0.28799181385558664,Ccdc92b
ENSMUSG00000008843,0.27860003726103566,0.0,0.0,0.26960979685234754,0.2875417163231554,Cldn13
ENSMUSG00000014503,0.27794785300711033,0.0,0.0,0.26895413196828366,0.28689310731501416,Pkd2l2
ENSMUSG00000026614,0.27731706167843545,0.0,0.0,0.2683199821109349,0.28626576615459554,Slc30a10
ENSMUSG00000073937,0.27696955845817267,0.0,0.0,0.26797063200685356,0.28592016035589884,Olfr633
ENSMUSG00000042066,0.274832668583447,0.0,0.0,0.2658224371689723,0.2837948870461352,Tmcc2
ENSMUSG00000034449,0.2723873217630824,0.0,0.0,0.2633642633156346,0.28136272558487596,Dhrs11
ENSMUSG00000026686,0.2718984473410456,0.0,0.0,0.26287283856338983,0.2808764733517328,Lmx1a
ENSMUSG00000026532,0.26713383230362686,0.0,0.0,0.2580836129885993,0.2761371730308688,Spta1
ENSMUSG00000090523,0.26586688312571854,0.0,0.0,0.25681019452945564,0.2748768815433003,Gypc
ENSMUSG00000000706,0.26525953024383236,0.0,0.0,0.2561997515398692,0.2742727092607926,Btn1a1
ENSMUSG00000001542,0.2649919291715359,0.0,0.0,0.2559307912524356,0.27400650730969617,Ell2
ENSMUSG00000055401,0.2633971501731431,0.0,0.0,0.2543279410500114,0.27242003778248036,Fbxo6
ENSMUSG00000042351,0.2633668206994181,0.0,0.0,0.2542974585610613,0.27238986586271396,Grap2
ENSMUSG00000020034,0.2622167698636591,0.0,0.0,0.2531416188997757,0.2712457761572342,Tcp11l2
ENSMUSG00000109831,0.25886991613467447,0.0,0.0,0.2497780660561662,0.2679161252114448,Gm45320
ENSMUSG00000071068,0.25687541180375734,0.0,0.0,0.24777371448488056,0.2659317698402437,Treml2
ENSMUSG00000028644,0.25539262559168424,0.0,0.0,0.2462836579721392,0.26445647898915026,Ermap
ENSMUSG00000030979,0.2548934879828765,0.0,0.0,0.2457820827114059,0.26395985493579366,Uros
ENSMUSG00000037124,0.25325066968255344,0.0,0.0,0.24413127579096902,0.2623252755855594,Trim58
ENSMUSG00000051811,0.2513448712864519,0.0,0.0,0.24221627618723302,0.2604289697701021,Cox6b2
ENSMUSG00000025889,0.24369283997507835,0.0,0.0,0.23452801686188107,0.252814346714809,Snca
