,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000023944,0.768636136722844,0.0,0.0,0.7646286344757974,0.7725841995446052,Hsp90ab1
ENSMUSG00000030319,0.7584171414962715,0.0,0.0,0.7542572278523367,0.7625161694399072,Cand2
ENSMUSG00000046691,0.7541208956420877,0.0,0.0,0.7498975253145739,0.7582827991144886,Chtf8
ENSMUSG00000008958,0.7499478705589746,0.0,0.0,0.7456632147273078,0.7541705101606007,Vps72
ENSMUSG00000024962,0.7474441414075433,0.0,0.0,0.7431228816213012,0.7517030624631934,Vegfb
ENSMUSG00000006289,0.7445127226183504,0.0,0.0,0.7401487644329893,0.7488139712332069,Osgep
ENSMUSG00000109324,0.7435942137611596,0.0,0.0,0.7392169119061726,0.7479086913434363,Prmt1
ENSMUSG00000021266,0.7409543423774784,0.0,0.0,0.736538783006864,0.7453067517688285,Wars
ENSMUSG00000020496,0.7396664821363821,0.0,0.0,0.7352323090944837,0.7440373484294623,Rnf187
ENSMUSG00000024212,0.7384137939192885,0.0,0.0,0.7339615471627894,0.7428025827734995,Mllt1
ENSMUSG00000030652,0.7347889006413356,0.0,0.0,0.7302845297269341,0.7392293836560185,Coq7
ENSMUSG00000037570,0.7309694258321932,0.0,0.0,0.7264104151399247,0.7354641073895646,Mcrs1
ENSMUSG00000054074,0.7300663949838258,0.0,0.0,0.7254945082640281,0.7345738500180725,Skida1
ENSMUSG00000049401,0.727132905641617,0.0,0.0,0.7225193029837181,0.7316817481329287,Ogfr
ENSMUSG00000008683,0.7260932943737133,0.0,0.0,0.7214649488443415,0.7306567650290359,Rps15a
ENSMUSG00000020267,0.7216526339210456,0.0,0.0,0.7169615563749254,0.726278356627064,Hint1
ENSMUSG00000036398,0.719708535140038,0.0,0.0,0.7149901170545148,0.7243613933431272,Ppp1r11
ENSMUSG00000061374,0.7165878197144089,0.0,0.0,0.7118256708112654,0.7212840860420067,Fiz1
ENSMUSG00000035478,0.7161889574501301,0.0,0.0,0.7114212331943145,0.7208907584576744,Mbd3
ENSMUSG00000030032,0.7148896325224725,0.0,0.0,0.7101037680205333,0.7196094421771251,Wdr54
ENSMUSG00000029623,0.714470877777526,0.0,0.0,0.7096791740616721,0.7191964845252413,Pdap1
ENSMUSG00000031807,0.7130226236077263,0.0,0.0,0.7082107519330859,0.7177682537349218,Pgls
