,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000045826,0.7297044717090375,0.0,0.0,0.7251274289870682,0.7342170418340024,Ptprcap
ENSMUSG00000031553,0.690913250000078,0.0,0.0,0.6857986577454498,0.6959596020434107,Adam3
ENSMUSG00000031506,0.6815710932982162,0.0,0.0,0.6763315031442674,0.6867417145232128,Ptpn7
ENSMUSG00000022831,0.6810627369842495,0.0,0.0,0.6758163946868216,0.6862400726426778,Hcls1
ENSMUSG00000063234,0.6705157048850079,0.0,0.0,0.6651304296918413,0.6758312358580161,Gpr84
ENSMUSG00000022439,0.6667181913580043,0.0,0.0,0.6612834326342665,0.6720829610688925,Parvg
ENSMUSG00000030798,0.6656285035063458,0.0,0.0,0.6601795983783955,0.671007351394456,Cd37
ENSMUSG00000004266,0.6596113327355911,0.0,0.0,0.6540847360615624,0.6650675115234362,Ptpn6
ENSMUSG00000051457,0.6528070064372941,0.0,0.0,0.6471934192037979,0.6583498005709261,Spn
ENSMUSG00000009350,0.6505484407788932,0.0,0.0,0.6449061814906821,0.6561197900154647,Mpo
ENSMUSG00000020573,0.6503333429741964,0.0,0.0,0.6446883583318964,0.6559074066232302,Pik3cg
ENSMUSG00000033220,0.6461965859166225,0.0,0.0,0.6404993656431043,0.6518226813918543,Rac2
ENSMUSG00000019982,0.642587948843932,0.0,0.0,0.6368454384596497,0.6482591668861396,Myb
ENSMUSG00000049744,0.6371041755669454,0.0,0.0,0.6312933350265593,0.6428434873084348,Arhgap15
ENSMUSG00000040592,0.6354507081048402,0.0,0.0,0.6296193815171769,0.6412104388682168,Cd79b
ENSMUSG00000034786,0.631412921741512,0.0,0.0,0.6255317955320453,0.6372222967183078,Gpsm3
ENSMUSG00000002257,0.6278617713008233,0.0,0.0,0.6219371141614451,0.6337145501785503,Def6
ENSMUSG00000032556,0.6277928086958304,0.0,0.0,0.6218673086663657,0.6336464280857964,Bfsp2
ENSMUSG00000037318,0.6198772895872503,0.0,0.0,0.6138556683584078,0.625826779648115,Traf3ip3
ENSMUSG00000052384,0.60675535137165,0.0,0.0,0.6005771174169313,0.6128611355855255,Nrros
ENSMUSG00000027400,0.603098664536161,0.0,0.0,0.5968773944191699,0.6092474173503954,Pdyn
ENSMUSG00000020437,0.5984085800086725,0.0,0.0,0.5921324987531291,0.6046120706834062,Myo1g
ENSMUSG00000074497,0.5891727140221987,0.0,0.0,0.5827899690143717,0.5954827676711936,A430078G23Rik
ENSMUSG00000030220,0.5871552190223903,0.0,0.0,0.5807493987583855,0.5934883335277936,Arhgdib
ENSMUSG00000018008,0.5784802623131085,0.0,0.0,0.5719761386534616,0.5849116490563226,Cyth4
ENSMUSG00000022876,0.5781253147885688,0.0,0.0,0.5716172005995133,0.5845606918424996,Samsn1
ENSMUSG00000026068,0.5755572497362118,0.0,0.0,0.5690203380465424,0.5820214251656236,Il18rap
ENSMUSG00000090164,0.5752274667092857,0.0,0.0,0.5686868663793969,0.5816953312034958,BC035044
ENSMUSG00000034116,0.5739900328799884,0.0,0.0,0.567435610957469,0.5804717211920586,Vav1
