,Extra-Embryonic endoderm_1_corr,Extra-Embryonic endoderm_1_pval,Extra-Embryonic endoderm_1_qval,Extra-Embryonic endoderm_1_ci_low,Extra-Embryonic endoderm_1_ci_high,gene_annotation
ENSMUSG00000058135,0.8993743130759061,0.0,0.0,0.897500114542196,0.9012160261789639,Gstm1
ENSMUSG00000017950,0.8894566283097894,0.0,0.0,0.8874086583839874,0.8914694889160467,Hnf4a
ENSMUSG00000033860,0.8888435653438473,0.0,0.0,0.8867849181278475,0.8908669443115451,Fgg
ENSMUSG00000026956,0.8887427308776297,0.0,0.0,0.886682328216158,0.8907678391870357,Uap1l1
ENSMUSG00000030895,0.8860026604056757,0.0,0.0,0.8838946330135646,0.8880746880221718,Hpx
ENSMUSG00000016256,0.8800011234419346,0.0,0.0,0.8777893075872936,0.8821754207650886,Ctsz
ENSMUSG00000007038,0.8735027933057922,0.0,0.0,0.8711794077244323,0.8757870564026864,Neu1
ENSMUSG00000040564,0.8726679323310353,0.0,0.0,0.8703302740844691,0.8749662650669489,Apoc1
ENSMUSG00000024650,0.8675694776383512,0.0,0.0,0.86514495855006,0.8699534462887571,Slc22a6
ENSMUSG00000005681,0.866062887426502,0.0,0.0,0.8636128002246116,0.8684720671270386,Apoa2
ENSMUSG00000064373,0.8658766870963849,0.0,0.0,0.8634234430592664,0.8682889796573328,Selenop
ENSMUSG00000025533,0.8655780060822087,0.0,0.0,0.8631196996592322,0.8679952905608019,Asl
ENSMUSG00000030800,0.8655753935934595,0.0,0.0,0.8631170428988963,0.8679927217276577,Prss8
ENSMUSG00000021953,0.8629697237013713,0.0,0.0,0.860467284724055,0.8654305290765926,Tdh
ENSMUSG00000032083,0.86095835096854,0.0,0.0,0.8584219718670167,0.8634526293366436,Apoa1
ENSMUSG00000031827,0.8606711049794996,0.0,0.0,0.8581298854390551,0.8631701573976005,Cotl1
ENSMUSG00000060807,0.8585005840250565,0.0,0.0,0.8559228417792637,0.8610356600943041,Serpina6
ENSMUSG00000038298,0.8559627321364093,0.0,0.0,0.8533424053132815,0.8585398150862745,Pdzk1
ENSMUSG00000032554,0.8555622434649114,0.0,0.0,0.8529352082611197,0.8581459442029277,Trf
ENSMUSG00000006179,0.8550441828635461,0.0,0.0,0.8524084746343692,0.8576364396699134,Prss16
ENSMUSG00000035041,0.8498972124834799,0.0,0.0,0.8471756276752681,0.8525741980023105,Creb3l3
ENSMUSG00000003546,0.8498595136331378,0.0,0.0,0.8471373017718568,0.8525371178918945,Klc4
ENSMUSG00000026958,0.8484438025368917,0.0,0.0,0.8456980633515656,0.8511446229258139,Dpp7
ENSMUSG00000072949,0.8480762214599539,0.0,0.0,0.8453243800745067,0.8507830635647984,Acot1
ENSMUSG00000025068,0.8471965477194995,0.0,0.0,0.8444301138342484,0.8499177902414962,Gsto1
ENSMUSG00000055850,0.8463308575123374,0.0,0.0,0.8435500781480533,0.8490662572099004,Rnf181
ENSMUSG00000020258,0.8462299175716446,0.0,0.0,0.8434474664889854,0.8489669670781324,Glyctk
