,Mixed mesoderm_corr,Mixed mesoderm_pval,Mixed mesoderm_qval,Mixed mesoderm_ci_low,Mixed mesoderm_ci_high,gene_annotation
ENSMUSG00000004885,0.7608073203438204,0.0,0.0,0.7566828690889856,0.7648712160850603,Crabp2
ENSMUSG00000035960,0.7288505133073747,0.0,0.0,0.7242613153016905,0.7333751426148939,Apex1
ENSMUSG00000025362,0.7081621543066676,0.0,0.0,0.7032829014801213,0.712974692740651,Rps26
ENSMUSG00000030744,0.6847088251067885,0.0,0.0,0.6795110247003446,0.6898378937687224,Rps3
ENSMUSG00000042462,0.675221070559617,0.0,0.0,0.6698975052460012,0.6804752101831423,Dctpp1
ENSMUSG00000041453,0.6673500451963469,0.0,0.0,0.6619235000241637,0.672706641328065,Rpl21
ENSMUSG00000047675,0.6479381983974489,0.0,0.0,0.6422629284815445,0.6535424277860032,Rps8
ENSMUSG00000059070,0.6396514126861187,0.0,0.0,0.63387223773223,0.6453591659632447,Rpl18
ENSMUSG00000024608,0.6367636587042512,0.0,0.0,0.6309485948182697,0.6425071798267402,Rps14
ENSMUSG00000004032,0.6301864615797932,0.0,0.0,0.6242902728744583,0.6360108541624411,Gstm5
ENSMUSG00000040952,0.62690945312357,0.0,0.0,0.6209731646770045,0.632773830771601,Rps19
ENSMUSG00000027133,0.6258897459296733,0.0,0.0,0.6199410230146198,0.6317665239215687,Nop10
ENSMUSG00000033307,0.6242567647476781,0.0,0.0,0.6182881718857738,0.6301533595750849,Mif
ENSMUSG00000028081,0.6201051018602743,0.0,0.0,0.6140862297086441,0.626051849436084,Rps3a1
ENSMUSG00000020460,0.6120435929509779,0.0,0.0,0.6059280651984902,0.6180867849556717,Rps27a
ENSMUSG00000043716,0.6096783221816909,0.0,0.0,0.6035346794333113,0.6157495758077156,Rpl7
ENSMUSG00000034892,0.5868346809685162,0.0,0.0,0.5804252019358698,0.5931714522044401,Rps29
ENSMUSG00000020392,0.5794119683901295,0.0,0.0,0.5729183313700551,0.5858328694610921,Cdkn2aipnl
ENSMUSG00000070493,0.5787161521910715,0.0,0.0,0.5722146819222876,0.5851448857344647,Chchd2
ENSMUSG00000028234,0.5761549806304092,0.0,0.0,0.5696247600716939,0.5826124643402454,Rps20
ENSMUSG00000063457,0.5717183865254631,0.0,0.0,0.5651386700986034,0.5782253760192647,Rps15
ENSMUSG00000005732,0.5636619463101121,0.0,0.0,0.5569933447269478,0.5702578715197959,Ranbp1
ENSMUSG00000001056,0.563509469227422,0.0,0.0,0.5568391977626078,0.5701070656774925,Nhp2
ENSMUSG00000067274,0.5620091699966241,0.0,0.0,0.5553224922216515,0.5686231869176817,Rplp0
ENSMUSG00000012848,0.555844583048098,0.0,0.0,0.5490909601446666,0.5625256182961554,Rps5
