,Amnion_1_corr,Amnion_1_pval,Amnion_1_qval,Amnion_1_ci_low,Amnion_1_ci_high,gene_annotation
ENSMUSG00000005124,0.5606488684154125,0.0,0.0,0.5539473537026223,0.567277736353637,Wisp1
ENSMUSG00000023886,0.547295654004919,0.0,0.0,0.5404504354648744,0.554068425980104,Smoc2
ENSMUSG00000022639,0.5458818848587396,0.0,0.0,0.5390216579134178,0.5526696929610039,Dubr
ENSMUSG00000001555,0.5424758617024537,0.0,0.0,0.5355796389416145,0.5492997374811623,Fkbp10
ENSMUSG00000069833,0.5391221647800474,0.0,0.0,0.5321907230653948,0.5459813372415967,Ahnak
ENSMUSG00000042256,0.5347789983827883,0.0,0.0,0.5278022768375019,0.5416835615477864,Ptchd4
ENSMUSG00000018217,0.534229308126963,0.0,0.0,0.527246882320937,0.5411395904025788,Pmp22
ENSMUSG00000024529,0.5336141350424883,0.0,0.0,0.526625332520047,0.5405308108704343,Lox
ENSMUSG00000022676,0.5307398555293105,0.0,0.0,0.5237213580227531,0.5376863080337965,Snai2
ENSMUSG00000029661,0.5269160129834537,0.0,0.0,0.5198582631226331,0.5339018342247515,Col1a2
ENSMUSG00000027460,0.526704887100645,0.0,0.0,0.5196449784076301,0.5336928738550204,Angpt4
ENSMUSG00000020427,0.5263848695195259,0.0,0.0,0.5193216902182769,0.5333761370595459,Igfbp3
ENSMUSG00000056174,0.5249484887232607,0.0,0.0,0.5178706543828967,0.5319544577354468,Col8a2
ENSMUSG00000032334,0.5207515273317356,0.0,0.0,0.5136311057729344,0.5278002262588538,Loxl1
ENSMUSG00000025511,0.5186338236139683,0.0,0.0,0.5114920453577738,0.5257039551933987,Tspan4
ENSMUSG00000006931,0.5164175454917052,0.0,0.0,0.5092535112158308,0.5235100154052186,P3h4
ENSMUSG00000023078,0.5152637623912958,0.0,0.0,0.5080881801125707,0.522367824299248,Cxcl13
ENSMUSG00000027932,0.5135380672249522,0.0,0.0,0.5063452618103841,0.5206594195172425,Slc27a3
ENSMUSG00000032531,0.5130204056649164,0.0,0.0,0.5058224452366336,0.5201469334819909,Amotl2
ENSMUSG00000049436,0.5126171231185832,0.0,0.0,0.5054151503580772,0.5197476793549871,Upk1b
ENSMUSG00000039323,0.5105193864516778,0.0,0.0,0.5032965946852395,0.5176708468965688,Igfbp2
ENSMUSG00000001506,0.5080896703493291,0.0,0.0,0.5008428733695331,0.5152652378769654,Col1a1
ENSMUSG00000035403,0.5079359306554984,0.0,0.0,0.500687618669904,0.5151130197492682,Crb2
ENSMUSG00000031891,0.5057822499657958,0.0,0.0,0.49851276386411714,0.5129806065059594,Hsd11b2
ENSMUSG00000022887,0.5045562098480205,0.0,0.0,0.4972747106910737,0.5117666337630632,Masp1
ENSMUSG00000021835,0.5025364656303374,0.0,0.0,0.49523524116558054,0.5097667062119656,Bmp4
ENSMUSG00000027864,0.502207381586498,0.0,0.0,0.4949029508318908,0.5094408435638403,Ptgfrn
ENSMUSG00000031654,0.5007743450416553,0.0,0.0,0.4934559770135318,0.5080218107912398,Cbln1
ENSMUSG00000067786,0.5007403752519347,0.0,0.0,0.49342167733557196,0.5079881724802554,Nnat
ENSMUSG00000021806,0.4984701248767067,0.0,0.0,0.4911294316428394,0.5057400252005265,Nid2
ENSMUSG00000051279,0.4979503176325483,0.0,0.0,0.4906046025501306,0.5052252648925875,Gdf6
ENSMUSG00000068329,0.49700186957619774,0.0,0.0,0.4896470052873139,0.5042860122110323,Htra2
ENSMUSG00000026042,0.4965859184485525,0.0,0.0,0.4892270472828791,0.503874088367705,Col5a2
ENSMUSG00000024538,0.49633578064798084,0.0,0.0,0.48897450153617983,0.5036263708325123,Ppic
ENSMUSG00000070436,0.4957947899617942,0.0,0.0,0.4884283072354929,0.5030906105249436,Serpinh1
ENSMUSG00000026837,0.49569389871142094,0.0,0.0,0.4883264461834276,0.5029906940858039,Col5a1
ENSMUSG00000027966,0.49479434043815596,0.0,0.0,0.4874182499187766,0.5020998187223512,Col11a1
ENSMUSG00000053198,0.4913997936379235,0.0,0.0,0.4839912507832921,0.4987378978420874,Prx
ENSMUSG00000036545,0.49095898240442004,0.0,0.0,0.4835462420042371,0.4983013071675345,Adamts2
ENSMUSG00000045377,0.49010246667895435,0.0,0.0,0.4826815812182268,0.4974529815278491,Tmem88
ENSMUSG00000063975,0.4896359829462126,0.0,0.0,0.4822106675302294,0.4969909524439514,Slco1a5
ENSMUSG00000036446,0.4895683170105027,0.0,0.0,0.48214235936241345,0.4969239323323187,Lum
ENSMUSG00000027750,0.48892630038178697,0.0,0.0,0.4814942537065614,0.4962880389378844,Postn
ENSMUSG00000022893,0.4884967986458189,0.0,0.0,0.4810606830189865,0.4958626291652885,Adamts1
ENSMUSG00000043110,0.4877219180992855,0.0,0.0,0.4802784707219985,0.4950951221440024,Lrrn4
ENSMUSG00000021186,0.48761690324827156,0.0,0.0,0.4801724631544041,0.49499110569661275,Fbln5
ENSMUSG00000019539,0.48514241380610756,0.0,0.0,0.4776746450277403,0.49254008070567834,Rcn3
ENSMUSG00000026043,0.4850632568410555,0.0,0.0,0.4775947437892607,0.49246167241280986,Col3a1
ENSMUSG00000000739,0.4846371081112361,0.0,0.0,0.47716459031848696,0.49203955216424766,Sult5a1
ENSMUSG00000037335,0.48393826985391625,0.0,0.0,0.4764591924653608,0.49134731265024423,Hand1
ENSMUSG00000038112,0.48321761656209933,0.0,0.0,0.47573178489672346,0.4906334542854326,AW551984
ENSMUSG00000037892,0.48205447123777484,0.0,0.0,0.4745577596667826,0.4894812550767867,Pcdh18
ENSMUSG00000012017,0.48169816960970563,0.0,0.0,0.47419813057763305,0.4891283013396897,Scarf2
ENSMUSG00000074682,0.4804130225300954,0.0,0.0,0.47290100244683486,0.4878552095756844,Zcchc3
ENSMUSG00000062093,0.4791126007166897,0.0,0.0,0.47158849032249,0.48656695413602113,Gm10110
ENSMUSG00000050830,0.47768805303071626,0.0,0.0,0.47015073656120054,0.4851556969026526,Vwc2
ENSMUSG00000054196,0.4773720290747374,0.0,0.0,0.4698317883697098,0.4848426160496527,Cthrc1
ENSMUSG00000061048,0.47684705115923454,0.0,0.0,0.4693019570756656,0.48432252297472705,Cdh3
ENSMUSG00000018672,0.47657475486490697,0.0,0.0,0.4690271455636934,0.48405275827551425,Copz2
ENSMUSG00000015652,0.4752984595445382,0.0,0.0,0.46773908050421015,0.48278830999163036,Steap1
ENSMUSG00000051041,0.4740087273250816,0.0,0.0,0.46643748724964573,0.48151051781016524,Olfml1
ENSMUSG00000063605,0.4737664901812683,0.0,0.0,0.4661930260267885,0.4812705196834891,Ccdc102a
ENSMUSG00000050288,0.47333628617129836,0.0,0.0,0.465758874987425,0.4808442893100873,Fzd2
ENSMUSG00000045954,0.47324315244826193,0.0,0.0,0.4656648872628137,0.48075201536182416,Sdpr
ENSMUSG00000026728,0.4711362118395374,0.0,0.0,0.4635386724733496,0.4786644807812777,Vim
ENSMUSG00000030770,0.4705909133397533,0.0,0.0,0.4629883998638609,0.47812419090141334,Parva
ENSMUSG00000075592,0.47034605879821,0.0,0.0,0.46274131371203003,0.47788158351785154,Nynrin
ENSMUSG00000074364,0.4698054772763943,0.0,0.0,0.4621958095009018,0.4773459591242063,Ehd2
ENSMUSG00000033453,0.4694304526960832,0.0,0.0,0.46181737322350686,0.47697437022415395,Adamts15
ENSMUSG00000059395,0.46929629607297957,0.0,0.0,0.46168199681548483,0.4768414419835927,Nkapl
ENSMUSG00000022665,0.4688975178337963,0.0,0.0,0.4612795948808809,0.4764463130526487,Ccdc80
ENSMUSG00000036655,0.4684182593293691,0.0,0.0,0.4607959855037993,0.4759714363146504,Colec11
ENSMUSG00000051855,0.468036475781458,0.0,0.0,0.46041073923337344,0.47559314018693555,Mest
ENSMUSG00000021760,0.4672382614464879,0.0,0.0,0.45960529448855963,0.4748022081483484,Gpx8
ENSMUSG00000019817,0.466958321330159,0.0,0.0,0.4593228215838498,0.47452481909739685,Plagl1
ENSMUSG00000033585,0.4665689572596243,0.0,0.0,0.4589299372676339,0.4741390007626959,Ndn
ENSMUSG00000048126,0.4661829295675057,0.0,0.0,0.4585404224432716,0.47375648555372396,Col6a3
ENSMUSG00000004105,0.4659941907061219,0.0,0.0,0.4583499797021386,0.4735694629954707,Angptl2
ENSMUSG00000056481,0.46570872711925493,0.0,0.0,0.4580619403664678,0.4732865939832701,Cd248
ENSMUSG00000026193,0.4654810358331098,0.0,0.0,0.4578321957643792,0.47306097105978945,Fn1
