,Blood_4_corr,Blood_4_pval,Blood_4_qval,Blood_4_ci_low,Blood_4_ci_high,gene_annotation
ENSMUSG00000020775,0.42068649704564237,0.0,0.0,0.41265356218612126,0.42865400245417035,Mrpl38
ENSMUSG00000058600,0.3998028851283635,0.0,0.0,0.39160438107607715,0.4079379132893045,Rpl30
ENSMUSG00000036114,0.37825199240135543,0.0,0.0,0.3698916216612441,0.3865511103812567,Rpp25l
ENSMUSG00000032288,0.3683034498655299,0.0,0.0,0.3598714365883317,0.3766753045293367,Imp3
ENSMUSG00000030034,0.3524768701058989,0.0,0.0,0.34393489226007073,0.36096051467240947,Ino80b
ENSMUSG00000029147,0.351136962138693,0.0,0.0,0.3425859003937058,0.3596298497995408,Ppm1g
ENSMUSG00000014294,0.34744191031302885,0.0,0.0,0.3388659806682276,0.3559601085797561,Ndufa2
ENSMUSG00000028798,0.3466005938254312,0.0,0.0,0.3380190395488199,0.3551245182762849,Eif3i
ENSMUSG00000029536,0.3453821482720413,0.0,0.0,0.33679247270368345,0.3539143415817964,Gatc
ENSMUSG00000047604,0.34310019818670767,0.0,0.0,0.3344953911842731,0.3516478008621047,Frat2
ENSMUSG00000025580,0.3424292277393352,0.0,0.0,0.33381999103552773,0.3509813422233429,Eif4a3
ENSMUSG00000002658,0.33392454955499795,0.0,0.0,0.32525993157521227,0.3425331010724039,Gtf2f1
ENSMUSG00000030750,0.3305974306568923,0.0,0.0,0.32191153332723543,0.33922768203776293,Nsmce1
ENSMUSG00000023089,0.3238725957791374,0.0,0.0,0.31514435159571375,0.3325460565887191,Ndufa5
ENSMUSG00000021901,0.3236684401131811,0.0,0.0,0.31493892422489034,0.3323431990755386,Bap1
ENSMUSG00000046756,0.3207404458535365,0.0,0.0,0.31199278119382073,0.32943373458037634,Mrps7
ENSMUSG00000074213,0.3207174209710992,0.0,0.0,0.31196961426144365,0.3294108547562872,Gm10642
ENSMUSG00000045608,0.3206618952220544,0.0,0.0,0.31191374599407906,0.32935567878129457,Dbx2
ENSMUSG00000061983,0.3205634082031725,0.0,0.0,0.3118146515931125,0.32925781201687737,Rps12
ENSMUSG00000032058,0.3184519695203379,0.0,0.0,0.3096902371748116,0.3271596258834165,Ppp2r1b
ENSMUSG00000063457,0.3183945948143471,0.0,0.0,0.3096325110963462,0.3271026100943529,Rps15
ENSMUSG00000036622,0.3177980425364389,0.0,0.0,0.3090323092576273,0.3265097858909081,Atp13a2
ENSMUSG00000004849,0.31771260865555034,0.0,0.0,0.30894635328475284,0.32642488535666225,Ap1s1
ENSMUSG00000020457,0.31732623669538956,0.0,0.0,0.30855762196878556,0.3260409236839503,Drg1
ENSMUSG00000034203,0.31673535352042387,0.0,0.0,0.30796313626796523,0.3254537210290491,Chchd4
ENSMUSG00000028234,0.31638633683119155,0.0,0.0,0.3076119948944821,0.32510687515178593,Rps20
ENSMUSG00000046229,0.3139881365229117,0.0,0.0,0.3051992598601183,0.322723527706326,Scand1
ENSMUSG00000032556,0.31326193825509563,0.0,0.0,0.30446868259285237,0.3220018051774137,Bfsp2
ENSMUSG00000033751,0.3127587305844687,0.0,0.0,0.3039624466315959,0.3215016929413857,Gadd45gip1
ENSMUSG00000031578,0.3123552236320256,0.0,0.0,0.3035565149734906,0.32110066460018855,Mak16
ENSMUSG00000024925,0.31220292120144183,0.0,0.0,0.30340329817568235,0.3209492968983154,Rnaseh2c
ENSMUSG00000020925,0.3098703104060406,0.0,0.0,0.301056740103474,0.3186309462525769,Ccdc43
ENSMUSG00000059518,0.30934844413972523,0.0,0.0,0.30053176807573156,0.31811225600773935,Znhit1
ENSMUSG00000057103,0.3091662917882263,0.0,0.0,0.3003485329460972,0.3179312109804607,Nat8f1
ENSMUSG00000020133,0.3077389768837282,0.0,0.0,0.29891275610586504,0.3165125507527185,2310011J03Rik
ENSMUSG00000045128,0.30741705614577525,0.0,0.0,0.2985889323610576,0.3161925765913415,Rpl18a
ENSMUSG00000024146,0.30715607149027463,0.0,0.0,0.29832640640908137,0.3159331685812781,Cript
ENSMUSG00000028495,0.3058703112639512,0.0,0.0,0.29703307237503634,0.31465515665784705,Rps6
ENSMUSG00000016526,0.30482622807899623,0.0,0.0,0.29598286284320174,0.3136173419379697,Dyrk3
ENSMUSG00000021290,0.3043068665484415,0.0,0.0,0.2954604618276939,0.3131010907270553,2010107E04Rik
