,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000032092,0.5639247125400789,0.0,0.0,0.5572589897691828,0.57051775663083,Mpzl2
ENSMUSG00000074277,0.5625522120218248,0.0,0.0,0.5558714674698648,0.5691602904284504,Phldb3
ENSMUSG00000028042,0.5430163831189498,0.0,0.0,0.5361258574458471,0.5498345499284105,Zbtb7b
ENSMUSG00000030510,0.5363190154959353,0.0,0.0,0.5293583068305103,0.5432075251537877,Cers3
ENSMUSG00000030598,0.5228347940840832,0.0,0.0,0.5157354682984978,0.5298623251018232,Fbxo17
ENSMUSG00000009246,0.5186942429099113,0.0,0.0,0.5115530727458767,0.5257637641935473,Trpm5
ENSMUSG00000003271,0.5180658918837143,0.0,0.0,0.5109184011798175,0.52514175672955,Sult2b1
ENSMUSG00000056962,0.5149607098848161,0.0,0.0,0.5077820987655699,0.5220678123171493,Jmjd6
ENSMUSG00000027107,0.5142536734924369,0.0,0.0,0.5070680029859879,0.5213678627794286,Chrna1
ENSMUSG00000035078,0.5112499634873634,0.0,0.0,0.5040344124849361,0.5183941532052113,Mtmr9
ENSMUSG00000051343,0.5107662921227949,0.0,0.0,0.5035459462653633,0.5179152964977941,Rab11fip5
ENSMUSG00000022512,0.5086866492289898,0.0,0.0,0.5014457395131813,0.5158563041476585,Cldn1
ENSMUSG00000019851,0.5048235566081526,0.0,0.0,0.4975446744550915,0.5120313516011481,Perp
ENSMUSG00000005125,0.5041214454845312,0.0,0.0,0.4968356935172834,0.5113361416787182,Ndrg1
ENSMUSG00000026413,0.5040032639059144,0.0,0.0,0.4967163565459127,0.511219120803732,Pkp1
ENSMUSG00000084128,0.5033345489509802,0.0,0.0,0.4960411091430403,0.5105569684979291,Esrp2
ENSMUSG00000022500,0.5002599421371919,0.0,0.0,0.4929365810646425,0.5075124250861571,Litaf
ENSMUSG00000039145,0.4998438425355845,0.0,0.0,0.4925164464168443,0.5071003801794526,Camk1d
ENSMUSG00000034714,0.499498020052121,0.0,0.0,0.4921672729847554,0.5067579250494256,Ttyh2
ENSMUSG00000018428,0.4992356303982478,0.0,0.0,0.4919023424031175,0.5064980888155106,Akap1
ENSMUSG00000028954,0.49922901746719944,0.0,0.0,0.4918956654513409,0.5064915402205311,Nub1
ENSMUSG00000017390,0.4982464039629754,0.0,0.0,0.4909035487120669,0.5055184770826608,Aldoc
ENSMUSG00000024922,0.49781999343667055,0.0,0.0,0.4904730201300981,0.5050962052346782,Ovol1
ENSMUSG00000030739,0.49726530750216175,0.0,0.0,0.48991298268822886,0.5045468977875909,Myh14
ENSMUSG00000028640,0.4963861557705893,0.0,0.0,0.48902536149457937,0.5036762586355299,Tfap2c
ENSMUSG00000037573,0.49490678213581346,0.0,0.0,0.48753177046296114,0.50221117593399,Tob1
ENSMUSG00000032091,0.4936543212419707,0.0,0.0,0.4862673066381604,0.5009707811882702,Tmprss4
ENSMUSG00000048546,0.49257888231961006,0.0,0.0,0.48518158595744204,0.4999056790070645,Tob2
