,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000029843,0.5273011557940885,0.0,0.0,0.5202473464129934,0.5342830244367792,Slc13a4
ENSMUSG00000026295,0.5200632396820564,0.0,0.0,0.5129358671454033,0.5271189139836638,Spp2
ENSMUSG00000032080,0.5194842409358856,0.0,0.0,0.5123510283647902,0.5265457760111304,Apoa4
ENSMUSG00000032083,0.5150893625342157,0.0,0.0,0.5079120370049524,0.5221951744099509,Apoa1
ENSMUSG00000028001,0.5019446191830499,0.0,0.0,0.494637629849049,0.5091806518455813,Fga
ENSMUSG00000024990,0.49970913497664193,0.0,0.0,0.49238043328892894,0.5069669845715611,Rbp4
ENSMUSG00000061808,0.49943566338205914,0.0,0.0,0.49210431234243157,0.5066961753168531,Ttr
ENSMUSG00000039878,0.48923250954427094,0.0,0.0,0.4818033660103766,0.49659132861545546,Slc39a5
ENSMUSG00000021278,0.48489794342053455,0.0,0.0,0.4774278764075832,0.4922979221510319,Amn
ENSMUSG00000035041,0.4770839689705218,0.0,0.0,0.4695410645004002,0.4845572369555746,Creb3l3
ENSMUSG00000067235,0.46915397766222183,0.0,0.0,0.46153838479855164,0.4767004263101629,H2-Q10
ENSMUSG00000005681,0.4688286906410338,0.0,0.0,0.4612101425729668,0.47637811540424335,Apoa2
ENSMUSG00000028307,0.4655790846106043,0.0,0.0,0.45793112861875496,0.4731581292776052,Aldob
ENSMUSG00000034456,0.45999100282734484,0.0,0.0,0.45229296300086036,0.4676205088665206,Uroc1
ENSMUSG00000034918,0.45332500450269425,0.0,0.0,0.4455680245660844,0.46101392229923305,Cdhr2
ENSMUSG00000036892,0.45137258770561733,0.0,0.0,0.44359851042468684,0.45907874532739046,Prodh2
ENSMUSG00000063354,0.45114682957612323,0.0,0.0,0.4433707801707313,0.45885497592342644,Slc39a4
ENSMUSG00000024391,0.4448159089904267,0.0,0.0,0.4369849642095617,0.45257942682427715,Apom
ENSMUSG00000033860,0.4432616606472356,0.0,0.0,0.4354173596690773,0.4510386546656624,Fgg
ENSMUSG00000054932,0.44109937920958,0.0,0.0,0.4332365761191937,0.44889504428583465,Afp
ENSMUSG00000027690,0.43303238022479384,0.0,0.0,0.4251013622056339,0.4408969110714013,Slc2a2
ENSMUSG00000027463,0.4293320317921522,0.0,0.0,0.42137015207454764,0.43722773360460604,Slc52a3
ENSMUSG00000090231,0.41742903213299526,0.0,0.0,0.4093697066538374,0.4254232194500969,Cfb
ENSMUSG00000038298,0.4166622975519159,0.0,0.0,0.40859679066761956,0.42466273556866796,Pdzk1
ENSMUSG00000001827,0.4154293991647078,0.0,0.0,0.4073539769233733,0.42343986454519755,Folr1
ENSMUSG00000020609,0.4152991025555957,0.0,0.0,0.4072226341753722,0.4233106259540645,Apob
ENSMUSG00000075707,0.41515295741090835,0.0,0.0,0.4070753160429004,0.42316566713066756,Dio3
ENSMUSG00000022875,0.4149205679677337,0.0,0.0,0.4068410622647844,0.42293516324511293,Kng1
ENSMUSG00000032554,0.41486156265096535,0.0,0.0,0.4067815837493939,0.4228766365195992,Trf
ENSMUSG00000022780,0.4143247608286248,0.0,0.0,0.40624048014141856,0.4223441856176434,Mfi2
ENSMUSG00000040600,0.41391834029961483,0.0,0.0,0.40583080643873093,0.4219410555529988,Eps8l3
ENSMUSG00000020429,0.4132810264666599,0.0,0.0,0.4051883978015961,0.42130889515633807,Igfbp1
ENSMUSG00000006179,0.4091623074715057,0.0,0.0,0.4010369457066732,0.4172232927546658,Prss16
ENSMUSG00000003546,0.40835223028623613,0.0,0.0,0.4002204697903801,0.4164196906552689,Klc4
ENSMUSG00000020258,0.4058981775549262,0.0,0.0,0.39774711149398456,0.4139851766507191,Glyctk
ENSMUSG00000033831,0.40062741857893996,0.0,0.0,0.39243528890551566,0.40875599141355384,Fgb
ENSMUSG00000032359,0.3997131066094017,0.0,0.0,0.39151390929630947,0.40784883686364987,Ctsh
ENSMUSG00000050747,0.397129884629399,0.0,0.0,0.3889108078318547,0.40528575006944056,Trim15
ENSMUSG00000027249,0.39573743542601136,0.0,0.0,0.3875076973087649,0.4039041012654773,F2
ENSMUSG00000017950,0.39415778455837447,0.0,0.0,0.38591599796978027,0.402336657699945,Hnf4a
ENSMUSG00000030492,0.3940761602410386,0.0,0.0,0.38583375241252105,0.4022556628600328,Slc7a9
