,Mid-Hind Gut_corr,Mid-Hind Gut_pval,Mid-Hind Gut_qval,Mid-Hind Gut_ci_low,Mid-Hind Gut_ci_high,gene_annotation
ENSMUSG00000035517,0.8552533494850575,0.0,0.0,0.8526211423401793,0.8578421523971184,Tdrd7
ENSMUSG00000032369,0.8292679085836727,0.0,0.0,0.8262074240494225,0.8322794478069488,Plscr1
ENSMUSG00000009647,0.8211206100467275,0.0,0.0,0.8179286161232048,0.8242620530375677,Mcu
ENSMUSG00000025584,0.8202056528673609,0.0,0.0,0.816998972744699,0.8233616056145149,Pde8a
ENSMUSG00000028082,0.8161396628203388,0.0,0.0,0.8128679201282881,0.8193599034464812,Sh3d19
ENSMUSG00000030554,0.8072008299298372,0.0,0.0,0.8037872082525935,0.8105613001160065,Synm
ENSMUSG00000028007,0.8067002487625211,0.0,0.0,0.8032787287869441,0.8100685270480985,Snx7
ENSMUSG00000021338,0.8039624409982893,0.0,0.0,0.8004978114189875,0.8073733396177776,Carmil1
ENSMUSG00000086927,0.803813209828029,0.0,0.0,0.8003462347375422,0.807226427486405,Gm11823
ENSMUSG00000048186,0.8021628083622379,0.0,0.0,0.7986699229703922,0.8056016449080328,Bend7
ENSMUSG00000024052,0.7978061222902889,0.0,0.0,0.7942450999762181,0.8013123383808469,Lpin2
ENSMUSG00000066687,0.7945167978131564,0.0,0.0,0.7909045819336934,0.7980736470259123,Zbtb16
ENSMUSG00000050931,0.7938238967100738,0.0,0.0,0.7902009242803227,0.7973913856592529,Sgms2
ENSMUSG00000108569,0.791902831042647,0.0,0.0,0.7882500860723214,0.7954997709253436,Gm4593
ENSMUSG00000024985,0.7888010816639587,0.0,0.0,0.7851004209738215,0.7924454249917717,Tcf7l2
ENSMUSG00000019947,0.7874949560702609,0.0,0.0,0.7837741756613358,0.7911592059782164,Arid5b
ENSMUSG00000051022,0.7872831725305247,0.0,0.0,0.7835591329793797,0.7909506471646378,Hs3st1
ENSMUSG00000035539,0.787107121745768,0.0,0.0,0.7833803736237702,0.7907772763719306,Ccdc180
ENSMUSG00000034903,0.7868683236793979,0.0,0.0,0.7831379025943955,0.7905421125480326,Cobll1
ENSMUSG00000031668,0.7856772151429909,0.0,0.0,0.7819284905074709,0.7893691151862908,Eif2ak3
ENSMUSG00000042333,0.7851656195474065,0.0,0.0,0.7814090419780524,0.7888652902849197,Tnfrsf14
ENSMUSG00000026483,0.7851479084916901,0.0,0.0,0.7813910591528926,0.7888478481557468,Fam129a
ENSMUSG00000037110,0.7838854491241712,0.0,0.0,0.7801092438976693,0.7876045427506347,Ralgapa2
ENSMUSG00000072774,0.7833488242857366,0.0,0.0,0.779564401187788,0.7870760503818713,Zfp951
ENSMUSG00000024727,0.782098640261441,0.0,0.0,0.7782950940636003,0.7858447914873226,Trpm6
ENSMUSG00000024913,0.7815744325145491,0.0,0.0,0.7777628771654603,0.7853285102944924,Lrp5
ENSMUSG00000024558,0.7814483913830733,0.0,0.0,0.7776349111191991,0.7852043742543607,Mapk4
ENSMUSG00000024589,0.7793856402818341,0.0,0.0,0.7755407023409903,0.7831727584043583,Nedd4l
ENSMUSG00000034738,0.779183887510265,0.0,0.0,0.7753358773120511,0.7829740465565119,Nostrin
ENSMUSG00000044456,0.7777987531192819,0.0,0.0,0.7739296721833382,0.7816097687525363,Rin3
ENSMUSG00000034893,0.7767868285787516,0.0,0.0,0.7729023783120224,0.7806130581625701,Cog3
ENSMUSG00000026399,0.7761686852269394,0.0,0.0,0.7722748564828096,0.7800041988165726,Cd55
ENSMUSG00000041757,0.774529697769595,0.0,0.0,0.7706110390727405,0.7783897924508014,Plekha6
ENSMUSG00000021749,0.7736588666583241,0.0,0.0,0.7697270369762986,0.7775320010592407,Oit1
ENSMUSG00000036995,0.7735868954293298,0.0,0.0,0.7696539778848052,0.7774611068738756,Asap3
