,Amnion_2_corr,Amnion_2_pval,Amnion_2_qval,Amnion_2_ci_low,Amnion_2_ci_high,gene_annotation
ENSMUSG00000045132,0.7936104789241766,0.0,0.0,0.7899841953352092,0.7971812431402593,Olfr620
ENSMUSG00000074364,0.7891329968090302,0.0,0.0,0.7854374543882461,0.7927722762737451,Ehd2
ENSMUSG00000021760,0.7879226259602727,0.0,0.0,0.7842084296940608,0.7915803613464851,Gpx8
ENSMUSG00000044502,0.7855682884693905,0.0,0.0,0.7818178913856744,0.7892618434312567,Bod1
ENSMUSG00000002059,0.7841573601020823,0.0,0.0,0.7803853211060354,0.787872330869374,Rab34
ENSMUSG00000037892,0.7824365143934569,0.0,0.0,0.7786381333299688,0.7861775538515251,Pcdh18
ENSMUSG00000019777,0.7804706842534493,0.0,0.0,0.7766422830641171,0.7842414347567546,Hdac2
ENSMUSG00000033585,0.7761858462897848,0.0,0.0,0.7722922778109343,0.7800211022323446,Ndn
ENSMUSG00000031776,0.7756635633273876,0.0,0.0,0.7717620765099251,0.7795066580416684,Arl2bp
ENSMUSG00000069662,0.7749625677104323,0.0,0.0,0.7710504616154769,0.7788161752865249,Marcks
ENSMUSG00000057134,0.7697672525230462,0.0,0.0,0.7657767479328895,0.7736984833453333,Ado
ENSMUSG00000018656,0.7681000818471028,0.0,0.0,0.7640845330073813,0.7720561131432565,Tcaf3
ENSMUSG00000022209,0.7636714160539545,0.0,0.0,0.7595896081148901,0.7676930706270926,Dhrs2
ENSMUSG00000051351,0.7619696041609473,0.0,0.0,0.757862438407921,0.7660163767419346,Zfp46
ENSMUSG00000026930,0.7618470932291687,0.0,0.0,0.7577381042257806,0.7658956718938496,Gpsm1
ENSMUSG00000001018,0.7608379924781764,0.0,0.0,0.7567139970348168,0.7649014366770805,Snapin
ENSMUSG00000027349,0.7599309115207842,0.0,0.0,0.7557934440583237,0.7640077018283778,Fam98b
ENSMUSG00000067786,0.7594677281977587,0.0,0.0,0.755323387817214,0.763551327403232,Nnat
ENSMUSG00000044528,0.7594416355811568,0.0,0.0,0.7552969081537516,0.7635256182325234,Tram1l1
ENSMUSG00000099664,0.7593709390680106,0.0,0.0,0.7552251630263729,0.7634559605799325,Gm28511
ENSMUSG00000101791,0.7593038986064664,0.0,0.0,0.755157128271172,0.7633899051667525,2210011K15Rik
ENSMUSG00000022676,0.758772457432851,0.0,0.0,0.7546178083229491,0.7628662696156278,Snai2
