,Blood_1_corr,Blood_1_pval,Blood_1_qval,Blood_1_ci_low,Blood_1_ci_high,gene_annotation
ENSMUSG00000052187,0.5059842123106139,0.0,0.0,0.4987167079325873,0.5131805782618377,Hbb-y
ENSMUSG00000055609,0.445661538169398,0.0,0.0,0.4378378801572281,0.4534177044638271,Hba-x
ENSMUSG00000069919,0.42443780628754024,0.0,0.0,0.4164355216746438,0.4323743322726565,Hba-a1
ENSMUSG00000069917,0.39559109599908543,0.0,0.0,0.3873602396447732,0.4037588947427692,Hba-a2
ENSMUSG00000073940,0.34776069110281166,0.0,0.0,0.3391868963019956,0.35627671611946204,Hbb-bt
ENSMUSG00000052217,0.33980497457018893,0.0,0.0,0.33117849761723994,0.3483746521109141,Hbb-bh1
ENSMUSG00000052305,0.33541869105371597,0.0,0.0,0.32676369989806275,0.34401742826399784,Hbb-bs
ENSMUSG00000002020,0.2925330207410235,0.0,0.0,0.28361913054432664,0.30139636086719607,Ltbp2
ENSMUSG00000027078,0.19968195026795776,0.0,0.0,0.1903310099658453,0.2089966608715819,Ube2l6
ENSMUSG00000063856,0.19718979135369824,0.0,0.0,0.1878294454461022,0.20651432288010418,Gpx1
ENSMUSG00000023216,0.196833515000587,0.0,0.0,0.18747183439849996,0.206159440708645,Epb42
ENSMUSG00000036390,0.18338015660812954,4.2624740688497114e-306,2.2083195471280462e-305,0.17396989249153647,0.192756932396469,Gadd45a
ENSMUSG00000040466,0.16631821123192025,3.765334474034437e-251,1.1887166260318055e-250,0.1568514194868535,0.1757544429418294,Blvrb
ENSMUSG00000024661,0.15559766970816546,1.4362952555443358e-219,3.657703673283325e-219,0.14609826906599166,0.16506837868874022,Fth1
ENSMUSG00000027327,0.15245083137952523,1.0049048420249359e-210,2.426238930218923e-210,0.1429422850359494,0.16193123840325482,1700037H04Rik
ENSMUSG00000006574,0.1459974175496162,3.4842321207081153e-193,7.602636600393321e-193,0.13647072038503594,0.1554971134306874,Slc4a1
ENSMUSG00000070803,0.14599458222283618,3.545170240262573e-193,7.734229584052487e-193,0.13646787726232915,0.15549428640137117,Cited4
ENSMUSG00000058794,0.1435749766886155,8.305324925853287e-187,1.7434365388128412e-186,0.1340416760665837,0.1530817050117114,Nfe2
ENSMUSG00000038489,0.1375176854310585,2.3684854492471356e-171,4.544471299618293e-171,0.1279683742341478,0.14704150114616452,Polr2l
ENSMUSG00000034248,0.13708935020127086,2.7598804905476096e-170,5.266639655209459e-170,0.12753893394364305,0.14661434734264117,Slc25a37
