,Cardiac_1_corr,Cardiac_1_pval,Cardiac_1_qval,Cardiac_1_ci_low,Cardiac_1_ci_high,gene_annotation
ENSMUSG00000020469,0.8782999839716024,0.0,0.0,0.8760588798988189,0.8805031455692595,Myl7
ENSMUSG00000061086,0.8428727196094133,0.0,0.0,0.8400347839079952,0.8456645306035294,Myl4
ENSMUSG00000013936,0.8083843947118253,0.0,0.0,0.8049894674611109,0.81172638464864,Myl2
ENSMUSG00000068614,0.8012563905563168,0.0,0.0,0.7977492980157204,0.8047092752576287,Actc1
ENSMUSG00000026414,0.7962086304031328,0.0,0.0,0.7926227185563753,0.7997394626217572,Tnnt2
ENSMUSG00000059741,0.7496746902749021,0.0,0.0,0.7453860345554597,0.7539012943177085,Myl3
ENSMUSG00000002100,0.7471933553829379,0.0,0.0,0.7428684360244561,0.751455904000593,Mybpc3
ENSMUSG00000026418,0.7414617116696831,0.0,0.0,0.737053494443877,0.7458068410601322,Tnni1
ENSMUSG00000091898,0.7369196374807591,0.0,0.0,0.732445873881917,0.7413297646055339,Tnnc1
ENSMUSG00000067818,0.7332152293087826,0.0,0.0,0.7286883110284874,0.7376780764262515,Myl9
ENSMUSG00000020475,0.6866463973864328,0.0,0.0,0.6814744999656878,0.6917497133409433,Pgam2
ENSMUSG00000019787,0.6752517618930038,0.0,0.0,0.6699286005306605,0.680505499698424,Trdn
ENSMUSG00000035783,0.6694140401705708,0.0,0.0,0.6640143802900279,0.674743883689964,Acta2
ENSMUSG00000001349,0.6688646918830476,0.0,0.0,0.6634578680264078,0.6742016637495342,Cnn1
ENSMUSG00000022490,0.6661293902142749,0.0,0.0,0.6606869847098416,0.6715017697287521,Ppp1r1a
ENSMUSG00000026564,0.6640500772540627,0.0,0.0,0.6585807226230815,0.6694492774064469,Dusp27
ENSMUSG00000018845,0.6625222103327097,0.0,0.0,0.6570331082600439,0.667941065589523,Unc45b
ENSMUSG00000001504,0.6501042539571048,0.0,0.0,0.6444563676958642,0.6556812076092632,Irx2
ENSMUSG00000019528,0.6369030338287763,0.0,0.0,0.6310896983000511,0.6426448322996596,Gyg
ENSMUSG00000040666,0.635329925482328,0.0,0.0,0.6294971045502304,0.6410911457713275,Sh3bgr
ENSMUSG00000030785,0.6337763302241372,0.0,0.0,0.6279243136878978,0.639556685070427,Cox6a2
ENSMUSG00000007122,0.6308328870362273,0.0,0.0,0.6249446335482307,0.6366493679274466,Casq1
ENSMUSG00000026308,0.6304714732983329,0.0,0.0,0.624578782244085,0.636292378565747,Klhl30
ENSMUSG00000030470,0.6119055359387059,0.0,0.0,0.6057883641171157,0.6179503687905699,Csrp3
ENSMUSG00000026208,0.6103002503766798,0.0,0.0,0.6041639895035935,0.6163641357864366,Des
ENSMUSG00000032648,0.6023068579018737,0.0,0.0,0.5960763037249314,0.6084648813526691,Pygm
ENSMUSG00000067279,0.5794684147487328,0.0,0.0,0.57297541360124,0.5858886800240304,Ppp1r3c
ENSMUSG00000026817,0.562902711228471,0.0,0.0,0.5562257992903613,0.5695069537058403,Ak1
ENSMUSG00000006221,0.5628545884208711,0.0,0.0,0.5561771501291238,0.5694593577024338,Hspb7
ENSMUSG00000011148,0.5620338119162236,0.0,0.0,0.5553474032501894,0.5686475594841597,Adssl1
ENSMUSG00000034413,0.5606550180928623,0.0,0.0,0.5539535703729062,0.5672838189719535,Neurl1b
ENSMUSG00000020218,0.5600990137851645,0.0,0.0,0.5533915121332282,0.566733874687614,Wif1
ENSMUSG00000037568,0.559286074084131,0.0,0.0,0.5525697319101202,0.5659297847682375,Vash2
ENSMUSG00000038530,0.5569844747139897,0.0,0.0,0.5502431740259517,0.5636531723987641,Rgs4
ENSMUSG00000039824,0.5501975746628026,0.0,0.0,0.5433832862573676,0.5569393634905209,Myl6b
ENSMUSG00000061816,0.5491543827342974,0.0,0.0,0.5423289563118998,0.5559073280328535,Myl1
ENSMUSG00000041616,0.5441711409006661,0.0,0.0,0.53729280568928,0.5509770924678878,Nppa
ENSMUSG00000038663,0.543369296483125,0.0,0.0,0.5364824936252927,0.5501837328167772,Fsd2
ENSMUSG00000073680,0.5403446825426241,0.0,0.0,0.5334260534101687,0.5471910132889831,Tmem88b
ENSMUSG00000029683,0.537220709178975,0.0,0.0,0.5302693979339109,0.5440997982979747,Lmod2
ENSMUSG00000032366,0.5350705991891195,0.0,0.0,0.5280969060736415,0.5419721261210783,Tpm1
ENSMUSG00000038216,0.5340326065277127,0.0,0.0,0.527048140953921,0.5409449339294609,Pnmt
ENSMUSG00000097201,0.532422049516918,0.0,0.0,0.5254209114298186,0.539351094185741,Gm26700
ENSMUSG00000026787,0.5292512664872435,0.0,0.0,0.5222174540628387,0.536213078173858,Gad2
ENSMUSG00000042258,0.5228732363544101,0.0,0.0,0.5157743006515307,0.5299003759824681,Isl1
ENSMUSG00000079243,0.5183227741454607,0.0,0.0,0.5111778664609821,0.5253960465318521,Xirp1
ENSMUSG00000051456,0.5169097577527881,0.0,0.0,0.5097506579331378,0.5239972746800337,Hspb3
ENSMUSG00000043301,0.5153656280841635,0.0,0.0,0.5081910643031226,0.5224686675791577,Kcnj6
ENSMUSG00000026430,0.5133433416104886,0.0,0.0,0.5061485964451886,0.5204666413507367,Rassf5
ENSMUSG00000070369,0.5113619347195487,0.0,0.0,0.5041474943970503,0.5185050091925426,Itgad
ENSMUSG00000031880,0.51009446270626,0.0,0.0,0.5028674643558695,0.5172501473045606,Rrad
ENSMUSG00000021798,0.5091669521410087,0.0,0.0,0.501930784162886,0.5163318450797383,Ldb3
ENSMUSG00000031633,0.5062911324035773,0.0,0.0,0.4990266411712182,0.5134844717814518,Slc25a4
ENSMUSG00000053093,0.4972344536190644,0.0,0.0,0.48988183131073604,0.504516342904724,Myh7
ENSMUSG00000041324,0.49641361296858083,0.0,0.0,0.4890530829756785,0.5037034501972084,Inhba
ENSMUSG00000040752,0.4931987580729338,0.0,0.0,0.48580738526249784,0.5005195994379952,Myh6
ENSMUSG00000041907,0.4906639961383352,0.0,0.0,0.4832484489246853,0.4980091431756593,Gpr45
ENSMUSG00000047746,0.4900678894540318,0.0,0.0,0.48264667548399937,0.4974187346384491,Fbxo40
ENSMUSG00000038086,0.4892277439990524,0.0,0.0,0.48179855526929205,0.49658660852006037,Hspb2
ENSMUSG00000038370,0.48646575495818684,0.0,0.0,0.47901044719305996,0.49385088781727626,Pcp4l1
ENSMUSG00000021200,0.4862467174237924,0.0,0.0,0.4787893447449682,0.49363392721730776,Asb2
ENSMUSG00000052374,0.48053919377580623,0.0,0.0,0.4730283485088617,0.4879801986741944,Actn2
ENSMUSG00000027488,0.4800491857219085,0.0,0.0,0.4725337796080679,0.4874947799865102,Snta1
ENSMUSG00000047459,0.4797782158196876,0.0,0.0,0.4722602896323739,0.4872263459848046,Dynlrb1
ENSMUSG00000050875,0.4791615926410246,0.0,0.0,0.47163793713133506,0.4866154882935974,A730017C20Rik
ENSMUSG00000055027,0.4786122450781699,0.0,0.0,0.471083491647353,0.4860712710452193,Smyd1
ENSMUSG00000001508,0.47684283791771864,0.0,0.0,0.46929770490504613,0.48431834891541814,Sgca
ENSMUSG00000043857,0.47664858737052096,0.0,0.0,0.46910165992029185,0.48412590448547116,Mgat5b
ENSMUSG00000030399,0.4752268341285747,0.0,0.0,0.46766679552455226,0.4827173485033087,Ckm
ENSMUSG00000032419,0.47459110973378843,0.0,0.0,0.46702522148409026,0.48208751260830524,Tbx18
ENSMUSG00000002930,0.47086935316746853,0.0,0.0,0.4632693788347806,0.47840007394451506,Ppp1r17
ENSMUSG00000061462,0.4673785269852304,0.0,0.0,0.45974682967562913,0.47494119489658443,Obscn
ENSMUSG00000022551,0.46681140250017616,0.0,0.0,0.4591745741078332,0.474379238522227,Cyc1
ENSMUSG00000039405,0.4660123267329635,0.0,0.0,0.4583682794252902,0.47358743413141485,Prss23
ENSMUSG00000028949,0.46402644687480316,0.0,0.0,0.45636451345812545,0.4716195722194509,Smarcd3
ENSMUSG00000021835,0.46069943859884355,0.0,0.0,0.45300771415440105,0.4683225804876367,Bmp4
ENSMUSG00000070283,0.46050587314490976,0.0,0.0,0.45281242217088713,0.4681307548622142,Ndufaf3
ENSMUSG00000049709,0.4596700256152182,0.0,0.0,0.45196912767813047,0.46730241194708394,Nlrp10
ENSMUSG00000068697,0.45913383118245005,0.0,0.0,0.4514281632813644,0.466771024653377,Myoz1
ENSMUSG00000024411,0.458248395851906,0.0,0.0,0.4505348635536186,0.46589351543597735,Aqp4
ENSMUSG00000028834,0.4569704519955717,0.0,0.0,0.4492455962901663,0.46462698477903763,Trim63
ENSMUSG00000040694,0.4566633010043429,0.0,0.0,0.4489357285386897,0.4643225722556465,Apobec2
ENSMUSG00000006356,0.4553562479983191,0.0,0.0,0.4476171353893281,0.4630271523134293,Crip2
ENSMUSG00000062694,0.4549047248383626,0.0,0.0,0.4471616334929258,0.46257964019451653,Cav3
