,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000021477,0.8123488304033555,0.0,0.0,0.8090167246036128,0.8156287256559608,Ctsl
ENSMUSG00000006179,0.7951662553078737,0.0,0.0,0.7915641302358883,0.7987131235957192,Prss16
ENSMUSG00000026638,0.7872333400130733,0.0,0.0,0.7835085337177305,0.7909015732991286,Irf6
ENSMUSG00000025579,0.7870202206557896,0.0,0.0,0.7832921357732205,0.7906916979458306,Gaa
ENSMUSG00000029103,0.7850231244981039,0.0,0.0,0.7812643605730172,0.7887249587265932,Lrpap1
ENSMUSG00000023046,0.7850140211867259,0.0,0.0,0.7812551175997959,0.7887159936169554,Igfbp6
ENSMUSG00000016256,0.7841280664666985,0.0,0.0,0.7803555785617631,0.787843481467225,Ctsz
ENSMUSG00000021190,0.7817813965792878,0.0,0.0,0.7779730026947798,0.7855323454759943,Lgmn
ENSMUSG00000020758,0.7803211651367601,0.0,0.0,0.776490483791248,0.7840941724279422,Itgb4
ENSMUSG00000001247,0.7793420620034291,0.0,0.0,0.7754964603913284,0.7831298370261466,Lsr
ENSMUSG00000009291,0.7781085799090429,0.0,0.0,0.7742442087618886,0.7819149335077048,Pttg1ip
ENSMUSG00000050854,0.7775590833246594,0.0,0.0,0.7736863603912238,0.7813737040727193,Tmem125
ENSMUSG00000029175,0.7766402874729994,0.0,0.0,0.772753613195935,0.7804687186406746,Slc35f6
ENSMUSG00000071203,0.7746583990995863,0.0,0.0,0.7707416882397633,0.7785165654001371,Naip5
ENSMUSG00000046312,0.774134937920629,0.0,0.0,0.7702103067646189,0.77800094547405,AI464131
ENSMUSG00000029123,0.7724440210437211,0.0,0.0,0.7684938424805368,0.7763353223162676,Stk32b
ENSMUSG00000042045,0.7696582025144245,0.0,0.0,0.7656660580852099,0.7735910571562478,Sln
ENSMUSG00000000157,0.769130930030916,0.0,0.0,0.765130860079202,0.7730716328849291,Itgb2l
ENSMUSG00000034320,0.7685241359269209,0.0,0.0,0.7645149519903552,0.7724738640958413,Slc26a2
ENSMUSG00000046761,0.7679952598838358,0.0,0.0,0.7639781382542521,0.7719528487236019,Fam83h
ENSMUSG00000030741,0.7678818926197577,0.0,0.0,0.7638630702291472,0.7718411657421661,Spns1
ENSMUSG00000024827,0.767726944593731,0.0,0.0,0.7637057980514823,0.771688519363563,Gldc
ENSMUSG00000021411,0.765272349977778,0.0,0.0,0.7612144492755136,0.7692703251945294,Pxdc1
ENSMUSG00000024644,0.7650889073676611,0.0,0.0,0.761028264676157,0.7690895983492986,Cndp2
ENSMUSG00000022780,0.7642630767963768,0.0,0.0,0.7601900983731945,0.7682759858131115,Mfi2
ENSMUSG00000030278,0.7639768346968496,0.0,0.0,0.7598995837352152,0.7679939755950514,Cidec
ENSMUSG00000022479,0.7637201992147631,0.0,0.0,0.7596391190169928,0.7677411329577001,Vdr
ENSMUSG00000030340,0.7630336083302214,0.0,0.0,0.7589422900051153,0.7670646831209619,Scnn1a
ENSMUSG00000026879,0.7629143679191059,0.0,0.0,0.7588212724908749,0.7669472029947237,Gsn
ENSMUSG00000037405,0.7621919245944587,0.0,0.0,0.758088068253495,0.7662354189488355,Icam1
ENSMUSG00000025232,0.761608442875648,0.0,0.0,0.7574959030511892,0.7656605389580892,Hexa
ENSMUSG00000022824,0.7615809438796595,0.0,0.0,0.7574679949770083,0.765633445194486,Muc13
ENSMUSG00000097481,0.7612122350812486,0.0,0.0,0.7570938026764406,0.7652701683964029,D330020A13Rik
ENSMUSG00000051375,0.761208765211598,0.0,0.0,0.7570902812151123,0.7652667496343106,Pcdh1
ENSMUSG00000064373,0.7606483898793297,0.0,0.0,0.7565215770951988,0.7647146250419279,Selenop
ENSMUSG00000024225,0.7603495286311338,0.0,0.0,0.7562182764621731,0.7644201616646265,Clps
ENSMUSG00000074604,0.7602021494899477,0.0,0.0,0.7560687087555854,0.764274950645193,Mgst2
ENSMUSG00000015474,0.7600600280339482,0.0,0.0,0.7559244772191769,0.764134919573005,Ppt2
ENSMUSG00000011463,0.7594465182320033,0.0,0.0,0.7553018632307504,0.7635304291310135,Cpb1
ENSMUSG00000020722,0.7590788016930158,0.0,0.0,0.7549286935432625,0.7631681150538168,Cacng1
ENSMUSG00000068615,0.7565923223551513,0.0,0.0,0.7524054108365114,0.7607180993954968,Gjd2
ENSMUSG00000040848,0.7563966872864637,0.0,0.0,0.7522068853096814,0.7605253282836568,Sft2d2
ENSMUSG00000028673,0.7560466951079872,0.0,0.0,0.7518517239838379,0.7601804579234793,Fuca1
ENSMUSG00000078949,0.7558071566290031,0.0,0.0,0.7516086490870466,0.7599444235303051,R3hdml
ENSMUSG00000024738,0.7554667638783554,0.0,0.0,0.7512632329217194,0.7596090083339985,Pga5
ENSMUSG00000045934,0.7551430558385464,0.0,0.0,0.7509347498313688,0.7592900318243643,Mtmr11
ENSMUSG00000026958,0.7547086474486525,0.0,0.0,0.7504939367111584,0.7588619699024959,Dpp7
ENSMUSG00000034707,0.7545752447173062,0.0,0.0,0.7503585679000326,0.7587305153915433,Gns
ENSMUSG00000031778,0.7545656980029206,0.0,0.0,0.7503488805004231,0.7587211080848923,Cx3cl1
ENSMUSG00000028749,0.7541798338271245,0.0,0.0,0.7499573315505317,0.7583408771142116,Pla2g2f
ENSMUSG00000053460,0.7536870917586461,0.0,0.0,0.7494573344227755,0.7578553244373967,Ggcx
ENSMUSG00000038312,0.7536867972180212,0.0,0.0,0.7494570355468222,0.7578550341929089,Edem2
