,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000062647,0.5972864128948695,0.0,0.0,0.5909972818367432,0.6035029380565148,Rpl7a
ENSMUSG00000008668,0.5852228027315287,0.0,0.0,0.5787949557779837,0.5915779326748318,Rps18
ENSMUSG00000026895,0.5703496292742113,0.0,0.0,0.5637547211500364,0.5768718161045945,Ndufa8
ENSMUSG00000008822,0.5620242223139628,0.0,0.0,0.555337708920583,0.5686380747042242,Acyp1
ENSMUSG00000000563,0.5555742953572611,0.0,0.0,0.5488177544124402,0.5622582524061244,Atp5f1
ENSMUSG00000000740,0.5531891099255362,0.0,0.0,0.5464068809501502,0.5598987901727559,Rpl13
ENSMUSG00000040797,0.5417332977701146,0.0,0.0,0.5348292578048721,0.5485650073689269,Iqsec3
ENSMUSG00000003970,0.530670395101312,0.0,0.0,0.5236511819981838,0.5376175652381953,Rpl8
ENSMUSG00000044533,0.5268851358491645,0.0,0.0,0.5198270702044682,0.5338712738497541,Rps2
ENSMUSG00000040952,0.5216522050285167,0.0,0.0,0.514540893485949,0.52869176243707,Rps19
ENSMUSG00000019689,0.5184434028724794,0.0,0.0,0.5112997085912809,0.5255154574360513,Fmc1
ENSMUSG00000003429,0.5121946267820522,0.0,0.0,0.5049884539699949,0.5193294000249474,Rps11
ENSMUSG00000028998,0.508540042876845,0.0,0.0,0.5012976867126356,0.5157111504491151,Tomm7
ENSMUSG00000025290,0.5049455169256439,0.0,0.0,0.49766782908604207,0.5121521121818478,Rps24
ENSMUSG00000030034,0.5042344142176619,0.0,0.0,0.49694976693777054,0.5114480006553348,Ino80b
ENSMUSG00000078572,0.5037066724948346,0.0,0.0,0.4964168667460298,0.5109254411449072,Ndufaf8
ENSMUSG00000073702,0.5028089570091266,0.0,0.0,0.4955103890645852,0.5100365286091336,Rpl31
ENSMUSG00000030432,0.49674095777913424,0.0,0.0,0.489383579715711,0.5040276269780548,Rpl28
ENSMUSG00000058267,0.4954577488049786,0.0,0.0,0.48808802710706045,0.5027568250971747,Mrps14
ENSMUSG00000006333,0.49350014326868247,0.0,0.0,0.48611165324225875,0.5008180864803683,Rps9
ENSMUSG00000054191,0.49173633462910654,0.0,0.0,0.48433099900492915,0.49907121410591954,Klf1
ENSMUSG00000040197,0.4912863542319293,0.0,0.0,0.48387673080482224,0.4986255449205499,Cd209e
ENSMUSG00000048758,0.4857867179198365,0.0,0.0,0.4783250118066634,0.493178286478454,Rpl29
ENSMUSG00000008683,0.4844275455632394,0.0,0.0,0.47695305971569424,0.4918319693821657,Rps15a
ENSMUSG00000062997,0.48405602724999613,0.0,0.0,0.47657805450835006,0.4914639587840998,Rpl35
ENSMUSG00000038997,0.481217431513819,0.0,0.0,0.4737129068889303,0.48865207651141845,Asb17
ENSMUSG00000028081,0.4807580494792813,0.0,0.0,0.47324924278428077,0.4881970031101992,Rps3a1
ENSMUSG00000057176,0.4806779426170363,0.0,0.0,0.4731683896422879,0.48811764717156514,Ccdc189
ENSMUSG00000053565,0.479920082958566,0.0,0.0,0.4724034759830616,0.4873668856205932,Eif3k
ENSMUSG00000022370,0.4773808273271417,0.0,0.0,0.4698406680075354,0.48485133239062495,Mrpl13
ENSMUSG00000036199,0.47729549453546877,0.0,0.0,0.4697545459365201,0.4847667939817517,Ndufa13
ENSMUSG00000067274,0.4762851951234223,0.0,0.0,0.46873491274448587,0.48376588907149964,Rplp0
ENSMUSG00000051255,0.4750253080964661,0.0,0.0,0.46746341427952914,0.4825176899773923,Gm6563
ENSMUSG00000005161,0.47356055983978496,0.0,0.0,0.4659852058635043,0.48106649188774797,Prdx2
ENSMUSG00000058546,0.47216729164299764,0.0,0.0,0.46457917360846485,0.47968607443357225,Rpl23a
ENSMUSG00000039670,0.47187734680568477,0.0,0.0,0.46428657732761536,0.47939879920990325,Oxld1
ENSMUSG00000107002,0.47041650822606645,0.0,0.0,0.4628124050966233,0.47795138651231944,0610012G03Rik
ENSMUSG00000057841,0.4686629931002674,0.0,0.0,0.4610429404860388,0.47621393308302556,Rpl32
ENSMUSG00000074129,0.4665610011016501,0.0,0.0,0.4589219092090774,0.47413111702699906,Rpl13a
ENSMUSG00000041453,0.46625494455824734,0.0,0.0,0.458613087749499,0.4738278454936905,Rpl21
ENSMUSG00000040657,0.46601894485686995,0.0,0.0,0.4583749572861912,0.4735939920824461,1700063H04Rik
ENSMUSG00000024608,0.4653813943942126,0.0,0.0,0.4577316560821207,0.4729622344575528,Rps14
ENSMUSG00000109994,0.4630118505825421,0.0,0.0,0.4553408090532068,0.47061415219752306,Gm45459
ENSMUSG00000030708,0.4592929962424523,0.0,0.0,0.4515887436761593,0.46692876332783684,Dnajb13
ENSMUSG00000046095,0.4587529180023232,0.0,0.0,0.45104386495423743,0.4663935231203975,Krt32
