,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000025577,0.33921751671546213,0.0,0.0,0.330587198930761,0.3477911077148936,Cbx2
ENSMUSG00000021018,0.33650221601820923,0.0,0.0,0.3278542334782436,0.34509380918430077,Polr2h
ENSMUSG00000021943,0.3279987196421143,0.0,0.0,0.31929635279002716,0.33664577188387407,Gdf10
ENSMUSG00000049086,0.3232990098032499,0.0,0.0,0.314567194777883,0.3319761158004249,Bmyc
ENSMUSG00000029844,0.31794494502681436,0.0,0.0,0.3091801098134731,0.32665577096972065,Hoxa1
ENSMUSG00000006728,0.3173104828709246,0.0,0.0,0.3085417720067397,0.32602526807487914,Cdk4
ENSMUSG00000047786,0.31510981830894585,0.0,0.0,0.30632772575573125,0.3238382763286482,Lix1
ENSMUSG00000025215,0.3139245997242515,0.0,0.0,0.305135339519483,0.32266038290611604,Tlx1
ENSMUSG00000029430,0.31182965102488114,0.0,0.0,0.3030277889478516,0.3205783157106533,Ran
ENSMUSG00000071451,0.31144484430354574,0.0,0.0,0.3026406768348178,0.3201958659136168,Psmg4
ENSMUSG00000057706,0.30902448810018485,0.0,0.0,0.3002058867772198,0.31779026889017525,Mex3b
ENSMUSG00000021737,0.30717492563383314,0.0,0.0,0.298345371854741,0.3159519088682485,Psmd6
ENSMUSG00000022676,0.3054169659154233,0.0,0.0,0.2965770643144351,0.3142045356833573,Snai2
ENSMUSG00000029394,0.3038455373063408,0.0,0.0,0.2949964371623902,0.31264251990598585,Cdk2ap1
ENSMUSG00000111726,0.30364286944837743,0.0,0.0,0.2947925864900298,0.3124410625613595,RP23-130L13.2
ENSMUSG00000027968,0.3035897407679351,0.0,0.0,0.29473914787213545,0.31238825108189067,Larp7
ENSMUSG00000057113,0.3025964146014915,0.0,0.0,0.29374003711929375,0.3114008454837691,Npm1
ENSMUSG00000014226,0.30208526814759484,0.0,0.0,0.2932259215696902,0.3108927382312315,Cacybp
ENSMUSG00000028902,0.3013409209224234,0.0,0.0,0.29247725981932915,0.310152807781253,Sf3a3
ENSMUSG00000052146,0.29966048166745995,0.0,0.0,0.2907871200403465,0.30848230058538056,Rps10
ENSMUSG00000045680,0.29785607809936476,0.0,0.0,0.2889723620039679,0.30668850116875795,Tcf21
ENSMUSG00000057895,0.29522994761074967,0.0,0.0,0.2863312756878315,0.3040776918595499,Zfp105
ENSMUSG00000009013,0.29357308299543217,0.0,0.0,0.2846650447898928,0.3024304252217028,Dynll1
ENSMUSG00000051518,0.29217467553941456,0.0,0.0,0.2832587739979313,0.30104007736523836,Rps19bp1
ENSMUSG00000023004,0.29174253458789035,0.0,0.0,0.2828242108443461,0.30061041939703265,Tuba1b
ENSMUSG00000015843,0.2915635814151192,0.0,0.0,0.28264425568948554,0.30043249339446754,Rxrg
ENSMUSG00000039756,0.28940212490676437,0.0,0.0,0.28047074649220416,0.2982833946397765,Dnttip2
ENSMUSG00000040681,0.2879500696045138,0.0,0.0,0.27901064568719514,0.29683959064269877,Hmgn1
ENSMUSG00000030512,0.2879494508629176,0.0,0.0,0.2790100235261048,0.296838975408439,Snrpa1
ENSMUSG00000010376,0.2872189025304234,0.0,0.0,0.2782754430316563,0.2961125630404679,Nedd8
ENSMUSG00000076437,0.28714619426351345,0.0,0.0,0.27820233403381023,0.2960402658450241,Selenoh
ENSMUSG00000040280,0.2870956804659925,0.0,0.0,0.2781515418909719,0.2959900375778784,Ndufa4l2
ENSMUSG00000030523,0.2869542674137506,0.0,0.0,0.27800934987881487,0.29584942360449207,Trpm1
ENSMUSG00000042448,0.28680983556132145,0.0,0.0,0.27786412284235124,0.29570580749124037,Hoxd1
ENSMUSG00000035960,0.2863635462889625,0.0,0.0,0.2774153790635951,0.29526203628278497,Apex1
ENSMUSG00000005503,0.2859365979735256,0.0,0.0,0.27698608626746474,0.29483749331166265,Evx1
ENSMUSG00000029623,0.28487803600478706,0.0,0.0,0.27592172688037964,0.2937848799192818,Pdap1
ENSMUSG00000053931,0.28219400977298603,0.0,0.0,0.27322309951027735,0.29111583971208355,Cnn3
ENSMUSG00000047459,0.2815218785646752,0.0,0.0,0.27254733400605363,0.2904474395442456,Dynlrb1
ENSMUSG00000062867,0.28047799907469223,0.0,0.0,0.2714978276857736,0.2894093374232023,Impdh2
ENSMUSG00000005732,0.28005876262260293,0.0,0.0,0.27107633743164766,0.2889924153291512,Ranbp1
ENSMUSG00000067148,0.2797144571983272,0.0,0.0,0.27073018360833984,0.28865000807834534,Polr1c
ENSMUSG00000007039,0.2792248596600412,0.0,0.0,0.27023796167303066,0.2881631057803689,Ddah2
ENSMUSG00000021144,0.27869972734533766,0.0,0.0,0.2697100197052879,0.28764085918810756,Mta1
ENSMUSG00000049517,0.2774232387245251,0.0,0.0,0.2684267239307501,0.28637136299309396,Rps23
ENSMUSG00000074807,0.27705913431804996,0.0,0.0,0.26806068371134917,0.28600924734041977,Gm10762
ENSMUSG00000024218,0.2767121214585152,0.0,0.0,0.267711828326453,0.28566412750076364,Taf11
ENSMUSG00000063694,0.27641422623561485,0.0,0.0,0.2674123532592605,0.2853678554996067,Cycs
ENSMUSG00000027714,0.2761481100028062,0.0,0.0,0.26714482718808463,0.2851031878786981,Exosc9
ENSMUSG00000001493,0.2757022901219011,0.0,0.0,0.266696648539444,0.284659791771826,Meox1
ENSMUSG00000026238,0.27566667129710665,0.0,0.0,0.2666608414286808,0.2846243664293664,Ptma
ENSMUSG00000028832,0.27376629251598184,0.0,0.0,0.26475045303343925,0.2827342750788282,Stmn1
ENSMUSG00000021660,0.2735041119597061,0.0,0.0,0.26448689708321516,0.2824735083328552,Btf3
ENSMUSG00000027805,0.27205639928242153,0.0,0.0,0.26303161398671354,0.28103357858605427,Pfn2
ENSMUSG00000043162,0.271401938070306,0.0,0.0,0.26237374392659596,0.28038262250337315,Pyurf
ENSMUSG00000099664,0.2712970906054857,0.0,0.0,0.26226835112979435,0.2802783358074849,Gm28511
ENSMUSG00000001416,0.2707286939068903,0.0,0.0,0.2616970018387328,0.27971297544662094,Cct3
ENSMUSG00000005575,0.270607911051738,0.0,0.0,0.26157559238066097,0.27959283700282633,Ube2m
ENSMUSG00000046434,0.26923782380740874,0.0,0.0,0.2601984173443507,0.27823003987142564,Hnrnpa1
ENSMUSG00000040554,0.26758354567722625,0.0,0.0,0.258535630245596,0.27658451576059373,Aipl1
ENSMUSG00000038900,0.26696918243924866,0.0,0.0,0.2579181206131834,0.2759733901353169,Rpl12
ENSMUSG00000020163,0.26655027551143873,0.0,0.0,0.25749707253908805,0.27555668661698646,Uqcr11
ENSMUSG00000054766,0.2664692424490051,0.0,0.0,0.2574156256916471,0.27547607938983276,Set
ENSMUSG00000021400,0.266401535822883,0.0,0.0,0.2573475734289124,0.27540872847036807,Wrnip1
ENSMUSG00000001666,0.2663102653938883,0.0,0.0,0.2572558372142094,0.2753179374039752,Ddt
ENSMUSG00000028729,0.26577448914506235,0.0,0.0,0.25671732999796737,0.2747849718724214,Ebna1bp2
ENSMUSG00000026095,0.26536712119522493,0.0,0.0,0.25630788936896043,0.27437973729603327,Asnsd1
ENSMUSG00000037070,0.26504495102465436,0.0,0.0,0.25598408230583397,0.27405925205393067,Rbmxl1
ENSMUSG00000022706,0.2647304437395383,0.0,0.0,0.25566797902333693,0.27374638768964893,Mrpl40
ENSMUSG00000030796,0.26462546681039784,0.0,0.0,0.2555624698100313,0.2736419587134967,Tead2
ENSMUSG00000031028,0.2638678588411405,0.0,0.0,0.25480102680023714,0.27288829896305095,Tub
ENSMUSG00000019777,0.26337627677575287,0.0,0.0,0.2543069623423127,0.2723992728190234,Hdac2
ENSMUSG00000025909,0.2626802432425995,0.0,0.0,0.25360742207331133,0.27170685025493385,Sntg1
ENSMUSG00000030603,0.2626644715460262,0.0,0.0,0.2535915710261914,0.2716911602724416,Psmc4
ENSMUSG00000056209,0.2620791070404649,0.0,0.0,0.25300326488164626,0.2711088251804986,Npm3
ENSMUSG00000037742,0.26164822214511324,0.0,0.0,0.2525702189441892,0.2706801660029408,Eef1a1
ENSMUSG00000055762,0.2610704091830401,0.0,0.0,0.2519895137514296,0.2701053320875305,Eef1d
ENSMUSG00000059395,0.2608174827515839,0.0,0.0,0.2517353233598602,0.2698537076493082,Nkapl
ENSMUSG00000053508,0.260493556926901,0.0,0.0,0.2514097805967817,0.2695314475001058,BC048502
ENSMUSG00000022234,0.26045519404910705,0.0,0.0,0.2513712263593814,0.2694932817559557,Cct5
ENSMUSG00000060036,0.2603226398535642,0.0,0.0,0.25123801118614125,0.2693614084923277,Rpl3
ENSMUSG00000037894,0.25947850226918145,0.0,0.0,0.25038967240829063,0.26852159929631264,H2afz
ENSMUSG00000031609,0.25926866054080594,0.0,0.0,0.2501787884833445,0.2683128314160797,Sap30
