,Blood_3_corr,Blood_3_pval,Blood_3_qval,Blood_3_ci_low,Blood_3_ci_high,gene_annotation
ENSMUSG00000052187,0.6591392437405909,0.0,0.0,0.6536065819805758,0.6646014604680385,Hbb-y
ENSMUSG00000055609,0.6493390355078746,0.0,0.0,0.6436814646021903,0.6549256352849028,Hba-x
ENSMUSG00000069919,0.6222850408673867,0.0,0.0,0.6162925266259301,0.628205495460636,Hba-a1
ENSMUSG00000069917,0.6006175943201814,0.0,0.0,0.5943672747160124,0.6067953559907686,Hba-a2
ENSMUSG00000073940,0.5425041592947044,0.0,0.0,0.5356082346469354,0.5493277363338581,Hbb-bt
ENSMUSG00000052217,0.5183878384026329,0.0,0.0,0.5112435851632571,0.5254604539590652,Hbb-bh1
ENSMUSG00000052305,0.5085771662491599,0.0,0.0,0.5013351763116762,0.5157479060222638,Hbb-bs
ENSMUSG00000002020,0.4673317149062386,0.0,0.0,0.4596995938223843,0.47489480964178843,Ltbp2
ENSMUSG00000063856,0.37932619729756273,0.0,0.0,0.37097367859345565,0.3876173476188344,Gpx1
ENSMUSG00000027078,0.3661041246336712,0.0,0.0,0.3576565358386247,0.37449180231573415,Ube2l6
ENSMUSG00000036390,0.35163902537244784,0.0,0.0,0.34309136323184364,0.36012845369463453,Gadd45a
ENSMUSG00000023216,0.3456520317011099,0.0,0.0,0.3370641524703465,0.354182395937225,Epb42
ENSMUSG00000040466,0.3366629374176014,0.0,0.0,0.32801599644229945,0.34525346896876374,Blvrb
ENSMUSG00000070803,0.31398951514076195,0.0,0.0,0.30520064680091846,0.32272489781775426,Cited4
ENSMUSG00000027327,0.3133333049515838,0.0,0.0,0.30454047917446964,0.3220727324734554,1700037H04Rik
ENSMUSG00000058794,0.3049531525558139,0.0,0.0,0.2961105309307671,0.313743505507231,Nfe2
ENSMUSG00000024661,0.3006650000467192,0.0,0.0,0.29179743045713935,0.30948088840640026,Fth1
ENSMUSG00000034248,0.2874372116373539,0.0,0.0,0.2784949559698924,0.2963296372786365,Slc25a37
ENSMUSG00000042453,0.2815607028107577,0.0,0.0,0.27258636793864544,0.2904860485116455,Reln
ENSMUSG00000021102,0.27847006637997174,0.0,0.0,0.2694791316670138,0.28741245859118064,Glrx5
ENSMUSG00000038489,0.27644480348087896,0.0,0.0,0.2674430925864395,0.28539826620922676,Polr2l
ENSMUSG00000039720,0.27072850641377194,0.0,0.0,0.26169681337270745,0.2797127889540505,Got1l1
ENSMUSG00000038967,0.268862681171069,0.0,0.0,0.25982134041832255,0.27785688702217953,Pdk2
ENSMUSG00000006574,0.261207015035615,0.0,0.0,0.2521268027914478,0.27024123421880447,Slc4a1
ENSMUSG00000071068,0.2598198046280484,0.0,0.0,0.25073267171619334,0.2688611532533218,Treml2
ENSMUSG00000049960,0.2588674724879457,0.0,0.0,0.2497756102970259,0.2679136940460786,Mrps16
ENSMUSG00000073938,0.25414360145794385,0.0,0.0,0.24502854311671562,0.2632137356506564,Olfr632
ENSMUSG00000071714,0.2505778125179233,0.0,0.0,0.24144553412793499,0.25966571185870363,Csf2rb2
ENSMUSG00000005161,0.25055305578266784,0.0,0.0,0.2414206587068138,0.2596410776065421,Prdx2
ENSMUSG00000030000,0.24931512465412886,0.0,0.0,0.24017680813663295,0.25840925601718584,Add2
ENSMUSG00000020034,0.24888984849295867,0.0,0.0,0.23974950534845102,0.25798607188879624,Tcp11l2
ENSMUSG00000024588,0.24762084901614154,0.0,0.0,0.23847447958319629,0.25672329417045187,Fech
ENSMUSG00000026686,0.23906788465438134,0.0,0.0,0.2298817208418069,0.24821145331851088,Lmx1a
ENSMUSG00000020029,0.23606166281879037,0.0,0.0,0.2268618520868638,0.24521935031466624,Nudt4
ENSMUSG00000026688,0.23528511893966925,0.0,0.0,0.22608181179030915,0.24444642514804418,Mgst3
ENSMUSG00000073063,0.23227169262478614,0.0,0.0,0.22305492917893474,0.24144693122161393,Hbq1b
ENSMUSG00000059895,0.2316952661654362,0.0,0.0,0.2224759489672412,0.24087314985777625,Ptp4a3
ENSMUSG00000027077,0.22627541502530157,0.0,0.0,0.2170324041652936,0.23547785547251057,Smtnl1
ENSMUSG00000026614,0.22627169769679897,0.0,0.0,0.2170286707832175,0.23547415479216022,Slc30a10
ENSMUSG00000045316,0.22296028583946137,0.0,0.0,0.2137030657365698,0.23217746717858545,Fahd1
ENSMUSG00000038725,0.22213323486925074,0.0,0.0,0.212872503391496,0.23135406065243627,Pkhd1l1
ENSMUSG00000027562,0.21986669429733804,0.0,0.0,0.2105964084581771,0.2290974400002715,Car2
ENSMUSG00000071711,0.21944606496199756,0.0,0.0,0.2101740170613402,0.22867864070877839,Mpst
ENSMUSG00000110633,0.21829272896240326,0.0,0.0,0.20901586737036895,0.22753030502894533,RP23-459B8.2
ENSMUSG00000020326,0.2158886735067095,0.0,0.0,0.2066018617342228,0.22513658982493978,Ccng1
ENSMUSG00000034059,0.21452622335499644,0.0,0.0,0.20523382271046633,0.22377995023933647,Ypel4
ENSMUSG00000061983,0.21249815990493795,0.0,0.0,0.20319750724508692,0.22176046964072757,Rps12
ENSMUSG00000058216,0.20952040182997342,0.0,0.0,0.20020777870875484,0.21879516957896467,Gstp3
ENSMUSG00000045730,0.20720708168464996,0.0,0.0,0.1978852788106831,0.21649140940430037,Adrb2
ENSMUSG00000021361,0.2063645014864395,0.0,0.0,0.19703938107486257,0.21565228554347818,Tmem14c
ENSMUSG00000056300,0.20526446597429224,0.0,0.0,0.19593503522744513,0.2145567418273433,Zfp981
ENSMUSG00000061477,0.20423675054357907,0.0,0.0,0.19490331421906978,0.2135332017596593,Rps7
ENSMUSG00000039956,0.19782537089134797,0.0,0.0,0.1884674121758127,0.20714740917401564,Mrap
ENSMUSG00000042351,0.19753880587320644,0.0,0.0,0.1881797698618942,0.2068619692561848,Grap2
ENSMUSG00000038871,0.19625003725357448,0.0,0.0,0.186886176167591,0.20557824092947222,Bpgm
ENSMUSG00000028717,0.19598886535323737,0.0,0.0,0.1866240304119509,0.20531808654401876,Tal1
ENSMUSG00000016252,0.1930025109928161,0.0,0.0,0.18362663536181312,0.20234327316863746,Atp5e
ENSMUSG00000046404,0.18814802699309513,0.0,0.0,0.17875457614786774,0.19750718179176327,Yod1
ENSMUSG00000037446,0.18745878487508782,0.0,0.0,0.1780628760357157,0.19682051413452642,Tulp1
ENSMUSG00000020932,0.18380881012221514,1.4934178151161567e-307,2.325514948736721e-307,0.1744000394198603,0.19318401968354024,Gfap
ENSMUSG00000071715,0.18058513010193367,1.069757935031654e-296,1.6304362046618144e-296,0.17116521625107078,0.18997203133137325,Ncf4
ENSMUSG00000034796,0.18019981233605215,2.0548195946725063e-295,3.1230612039370667e-295,0.17077858016252223,0.18958809759432504,Cpne7
ENSMUSG00000032596,0.17916824134318307,5.42310258304023e-292,8.176113885096943e-292,0.16974349404310815,0.18856021778537915,Uba7
ENSMUSG00000074203,0.17566975774579416,1.51055661193852e-280,2.2235857027588307e-280,0.16623324403964332,0.1850740992796387,G430095P16Rik
