,Cardiac_2_corr,Cardiac_2_pval,Cardiac_2_qval,Cardiac_2_ci_low,Cardiac_2_ci_high,gene_annotation
ENSMUSG00000094678,0.6760977022205585,0.0,0.0,0.6707856822543189,0.6813403577100383,Olfr857
ENSMUSG00000018800,0.6655182113691496,0.0,0.0,0.6600678757325903,0.6708984829102814,Abca5
ENSMUSG00000097422,0.663105516198089,0.0,0.0,0.6576239478027391,0.6685168728227436,Gm26521
ENSMUSG00000107539,0.6579214716072324,0.0,0.0,0.6523731851099372,0.6633992438155103,Gm44790
ENSMUSG00000071392,0.6573782468407061,0.0,0.0,0.6518229999266643,0.6628629489286986,Ect2l
ENSMUSG00000028182,0.6572498898170046,0.0,0.0,0.6516929991001424,0.6627362285244432,Lrriq3
ENSMUSG00000000948,0.656801594832349,0.0,0.0,0.6512389655920161,0.6622936470711823,Gm38393
ENSMUSG00000033671,0.6549922767301253,0.0,0.0,0.6494065272860106,0.6605073498247099,Cep350
ENSMUSG00000051986,0.6532023827673701,0.0,0.0,0.6475938251551293,0.6587401681408797,A530006G24Rik
ENSMUSG00000022748,0.6531214067106714,0.0,0.0,0.6475118187418147,0.6586602181588536,Cmss1
ENSMUSG00000018707,0.6531030828283989,0.0,0.0,0.6474932617205824,0.6586421264472637,Dync1h1
ENSMUSG00000007908,0.6528879088531763,0.0,0.0,0.6472753505352364,0.6584296783304657,Hmgcll1
ENSMUSG00000079625,0.6509936904685574,0.0,0.0,0.6453570755408843,0.6565594181020706,Tm4sf19
ENSMUSG00000111281,0.6498578684389668,0.0,0.0,0.6442068626435012,0.6554379291757026,RP23-142F22.2
ENSMUSG00000035875,0.6493147387568202,0.0,0.0,0.6436568605402141,0.6549016446287844,AI182371
ENSMUSG00000054178,0.648305544508496,0.0,0.0,0.6426349121014527,0.6539051544472496,Gm9938
ENSMUSG00000073647,0.6477756654536955,0.0,0.0,0.6420983445167877,0.6533819379046293,Gm10557
ENSMUSG00000039428,0.6471364800496755,0.0,0.0,0.6414510982381663,0.6527507822648652,Tmem135
ENSMUSG00000040407,0.6459594456216141,0.0,0.0,0.6402592412057924,0.6515885139367461,Akap9
ENSMUSG00000060961,0.645791169581788,0.0,0.0,0.6400888482781271,0.6514223467894974,Slc4a4
ENSMUSG00000111375,0.6457439056069747,0.0,0.0,0.6400409898303631,0.6513756750457222,Btbd8
ENSMUSG00000092541,0.6447866636614816,0.0,0.0,0.6390717174894653,0.650430418441811,Gm20537
ENSMUSG00000026131,0.6447052436183737,0.0,0.0,0.6389892750156958,0.6503500170281535,Dst
ENSMUSG00000108847,0.6445756110592439,0.0,0.0,0.6388580148691201,0.6502220060143881,B830042I05Rik
ENSMUSG00000020315,0.6445036808757287,0.0,0.0,0.6387851817176368,0.6501509754515247,Sptbn1
ENSMUSG00000098164,0.6444802476265876,0.0,0.0,0.6387614543238086,0.6501278352574061,Gm5493
ENSMUSG00000091844,0.6442673639018348,0.0,0.0,0.6385458988850269,0.6499176133658016,Gm8251
ENSMUSG00000066406,0.6441090551182088,0.0,0.0,0.638385603890863,0.649761283466363,Akap13
